frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706584503.472610474,1706584503.569895506,22,21,0.010908810,0.016624669,1,0,0,0,0,-0.039577758,0.010754306,0.001726750,0.000497938,0.000104803,0.000147432,0.999999860,1064,789,0.741541353,0.029927550,0.012033286,0.008759019,0.024753456,87.578515485,740,0.949968003,17.145352130,269.278763318,416.552206692,0.024389658,0.023169395,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000010280,0.000015897,0.000085001,0.971572174,-0.236728497,0.002670024,0.000000000,0.000000000,0.000001207,0.981889886,-0.189065103,-0.012109417,0.000000000,0.024753456,0.000000000,0.000000000,0.000000000,87.578515485,0,0.024389658,0.023169395,1.000000000,1.000000000,688,644,44,0.646616541,0,0,0,0,0,376,0,1382,688,0,0,376
2,1706584503.572453976,1706584503.672291517,23,22,0.013126521,0.020290918,1,0,0,0,0,-0.052840460,0.005621013,0.007605528,-0.000166718,0.000325168,0.000423277,0.999999844,1066,790,0.741088180,0.022677128,0.010878193,0.008179369,0.020725557,94.971586593,793,0.949551296,16.453741131,281.669936690,454.870499910,0.021851087,0.020748728,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000010338,0.000015522,0.000099101,0.971500146,-0.235622358,0.025876048,0.000000115,0.000000177,0.000001251,0.974904407,-0.222576843,0.004576653,0.000000000,0.022739506,0.137828480,0.015388632,0.000551478,91.275051039,0,0.023120372,0.021959061,1.000000000,1.000000000,512,492,20,0.480300188,0,0,0,0,0,554,0,1554,1200,0,0,930
3,1706584503.672702551,1706584503.772528410,24,23,0.012492169,0.020373563,1,0,1,1,0,-0.189598912,0.045272510,0.008155951,0.000491246,0.000287440,0.000188161,0.999999820,1040,784,0.753846154,0.022125512,0.011118711,0.007966978,0.019192614,108.688289998,763,0.948258952,16.262375618,270.616077271,436.643127219,0.022476697,0.021313730,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000007721,0.000011658,0.000089565,0.970073496,-0.240835981,0.030910238,0.000000032,0.000000057,0.000001279,0.973170953,-0.229796943,0.011474369,0.333333333,0.021557209,0.142714973,0.157780409,0.001021319,97.079464026,1,0.022905814,0.021743951,1.000000000,1.000000000,202,189,13,0.194230769,45,92,5,21,0,696,142,1624,1402,137,5,1626
4,1706584503.772541046,1706584503.872352362,25,24,0.010361361,0.018473450,1,0,1,1,0,-0.200755339,0.048796773,0.004683341,-0.000108972,0.000132015,0.000257589,0.999999952,1048,795,0.758587786,0.023609294,0.011749424,0.008839526,0.019790009,105.415216129,771,0.950585328,11.808360128,283.255493652,437.837434429,0.016111802,0.015315642,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006538,0.000009805,0.000072512,0.968209864,-0.249149060,0.022235239,0.000000029,0.000000051,0.000001158,0.975725743,-0.218775863,0.009818194,0.500000000,0.021115409,0.127308073,0.169984725,0.001159863,99.163402051,2,0.021207311,0.020136874,1.000000000,1.000000000,169,163,6,0.161259542,44,99,7,17,0,729,150,1680,1571,280,12,2355
5,1706584503.872761011,1706584503.972599506,26,25,0.013592853,0.024174919,1,0,0,0,0,-0.249949609,0.060173764,0.007447540,-0.000087674,0.000440505,0.000294668,0.999999856,1078,812,0.753246753,0.024998641,0.011048115,0.007794567,0.032245025,84.775827777,755,0.944045351,19.843711159,274.553053797,418.357474732,0.027840888,0.026283061,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005695,0.000007671,0.000044418,0.965298691,-0.259891699,-0.025587907,0.000000025,0.000000034,0.000001180,0.975052162,-0.221520745,0.014207074,0.400000000,0.023341332,0.113683970,0.220553024,0.001233973,96.285887197,0,0.022534026,0.021366111,1.000000000,1.000000000,294,277,17,0.272727273,0,0,0,0,0,784,0,1833,1865,280,12,3139
6,1706584503.972610950,1706584504.072437763,27,26,0.013160794,0.021824647,1,0,0,0,0,-0.291011853,0.071738810,0.000223988,0.001220326,-0.000021819,0.000400814,0.999999175,1064,798,0.750000000,0.025389331,0.012139073,0.008423860,0.022731930,110.414421592,789,0.943769170,19.263873199,276.881123242,448.488878335,0.025870262,0.024415555,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005116,0.000007386,0.000044618,0.971866104,-0.235175278,0.012994800,0.000000020,0.000000041,0.000001151,0.977814543,-0.209358599,0.006906281,0.333333333,0.023239765,0.103843646,0.263820078,0.001446288,98.640642929,0,0.023090066,0.021874352,1.000000000,1.000000000,267,254,13,0.250939850,0,0,0,0,0,797,0,1962,2132,280,12,3936
7,1706584504.072448730,1706584504.172276258,28,27,0.014015226,0.022894052,1,0,0,0,0,-0.293747624,0.072168876,0.002296365,0.001464732,0.000281698,0.000411039,0.999998803,1112,830,0.746402878,0.025111051,0.012063297,0.008125670,0.025499554,102.814259059,806,0.945686850,16.998738630,286.588615557,458.636247025,0.022301512,0.021090246,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005162,0.000006580,0.000040306,0.973178769,-0.229905979,0.008144023,0.000000020,0.000000031,0.000001106,0.975655333,-0.219006261,0.011529500,0.285714286,0.023562592,0.096069785,0.267279001,0.001467617,99.236873805,0,0.022977415,0.021762337,1.000000000,1.000000000,256,248,8,0.230215827,0,0,0,0,0,856,0,2081,2388,280,12,4792
8,1706584504.173086882,1706584504.272907019,29,28,0.013236705,0.025226737,1,0,0,0,0,-0.296440195,0.069848590,0.002062316,0.000202183,0.000112335,0.000589188,0.999999800,1086,827,0.761510129,0.022306073,0.012454064,0.008103817,0.021479067,122.937011540,790,0.944616672,15.769534310,280.310469181,450.167167436,0.021131784,0.019961436,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004553,0.000006915,0.000041070,0.970393260,-0.239618505,0.030329726,0.000000015,0.000000040,0.000001158,0.980091968,-0.198307588,0.009686793,0.250000000,0.023302151,0.097200936,0.270841085,0.001823136,102.199391022,0,0.022746711,0.021537224,1.000000000,1.000000000,222,208,14,0.204419890,0,0,0,0,0,864,0,2165,2610,280,12,5656
9,1706584504.272917986,1706584504.372742176,30,29,0.013669315,0.023119089,1,0,0,0,0,-0.303529665,0.076209799,0.008245650,-0.000797287,0.000655992,0.000268422,0.999999431,1070,811,0.757943925,0.022763113,0.011035115,0.007662813,0.025076498,105.066521951,794,0.948862828,18.521573989,284.764470099,450.111041706,0.024584080,0.023326919,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004602,0.000006548,0.000038377,0.970818211,-0.239536557,0.011586180,0.000000017,0.000000030,0.000001162,0.975908648,-0.217589644,0.016033036,0.222222222,0.023499301,0.095118881,0.282197105,0.002465761,102.517961125,0,0.022950863,0.021736079,1.000000000,1.000000000,203,197,6,0.189719626,0,0,0,0,0,867,0,2253,2813,280,12,6523
10,1706584504.372754574,1706584504.472580910,31,30,0.010636903,0.019236122,1,0,0,0,0,-0.304638005,0.083103981,0.007537895,0.000536175,0.000297650,0.000198116,0.999999792,1093,844,0.772186642,0.020805451,0.012006416,0.007821994,0.022724207,112.271848928,818,0.943538591,14.014892938,289.586351703,468.213322832,0.018158368,0.017133121,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004459,0.000006706,0.000038124,0.968516898,-0.248434516,0.015978406,0.000000016,0.000000036,0.000001084,0.978348616,-0.206697462,0.010494988,0.200000000,0.023421792,0.101595254,0.289215586,0.002605006,103.493349905,0,0.022471614,0.021275783,1.000000000,1.000000000,195,190,5,0.178408051,0,0,0,0,0,898,0,2324,3008,280,12,7421
11,1706584504.472592592,1706584504.572400808,32,31,0.011397562,0.016764015,1,0,0,0,0,-0.282216154,0.078011520,0.009595698,-0.000190786,0.000406694,0.000246197,0.999999869,1116,830,0.743727599,0.022163338,0.012089536,0.008562549,0.031152838,102.060740260,841,0.942089118,17.914670770,301.651483267,472.730794402,0.022611056,0.021301630,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004328,0.000006402,0.000033583,0.970581757,-0.238898138,0.029978878,0.000000015,0.000000030,0.000001090,0.974469239,-0.224022312,0.014956827,0.181818182,0.024124614,0.099949592,0.312300366,0.002700693,103.363112665,0,0.022484290,0.021278133,1.000000000,1.000000000,219,214,5,0.196236559,0,0,0,0,0,897,0,2408,3227,280,12,8318
12,1706584504.572412729,1706584504.672120333,33,32,0.010392425,0.016414717,1,0,0,0,0,-0.252921045,0.082939003,0.010067753,0.001337703,0.000247673,-0.000255967,0.999999042,1079,828,0.767377201,0.021100508,0.012312069,0.008688516,0.020052438,121.310537454,779,0.944233329,14.594917135,280.388139161,440.574706990,0.019841973,0.018735452,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004375,0.000006729,0.000037944,0.968252700,-0.247483739,0.035192441,0.000000016,0.000000037,0.000001011,0.977656033,-0.209542636,0.016750060,0.166666667,0.023785266,0.101684030,0.342010740,0.003704203,104.858731397,0,0.022264097,0.021066243,1.000000000,1.000000000,160,154,6,0.148285449,0,0,0,0,0,919,0,2462,3387,280,12,9237
13,1706584504.673056126,1706584504.770962000,34,33,0.012696423,0.020312640,1,0,0,0,0,-0.226541844,0.069513898,0.004623935,0.000259456,0.000182312,0.000078465,0.999999947,1078,821,0.761595547,0.019209232,0.010462370,0.007557543,0.021791669,116.756323150,793,0.940959010,13.636352850,288.361681371,444.182460843,0.018274872,0.017195905,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004411,0.000006336,0.000039609,0.967116686,-0.252678097,0.028967129,0.000000016,0.000000032,0.000001079,0.976311550,-0.215894332,0.014331583,0.153846154,0.023631912,0.111060880,0.372106103,0.004372498,105.773930763,0,0.021957234,0.020768525,1.000000000,1.000000000,147,146,1,0.136363636,0,0,0,0,0,931,0,2501,3534,280,12,10168
14,1706584504.772895575,1706584504.869842529,35,34,0.012104647,0.020225593,1,0,0,0,0,-0.211430344,0.063726848,0.006014591,0.000973054,0.000460736,0.000008526,0.999999420,1044,807,0.772988506,0.020663547,0.010547775,0.007598122,0.021138458,120.708542164,775,0.941231580,15.075768799,278.753409638,435.625296368,0.020667183,0.019452605,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004184,0.000006622,0.000040776,0.964367753,-0.263060195,0.028181042,0.000000014,0.000000031,0.000001159,0.976158162,-0.216579177,0.014446545,0.142857143,0.023453808,0.111662775,0.388347448,0.004511574,106.840688720,0,0.021865087,0.020674530,1.000000000,1.000000000,140,140,0,0.134099617,0,0,0,0,0,904,0,2541,3674,280,12,11072
15,1706584504.872747660,1706584504.972588062,36,35,0.012924408,0.024745704,1,0,1,1,0,-0.167485937,0.047086882,0.008363310,0.000958213,0.000423002,0.000176462,0.999999436,1040,771,0.741346154,0.017976745,0.010178300,0.006879622,0.018499863,126.300356853,800,0.935501098,14.394854784,276.707086715,457.298936650,0.019234150,0.017993568,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004583,0.000006860,0.000045027,0.968246710,-0.249974607,-0.003317342,0.000000018,0.000000034,0.000001245,0.976548240,-0.213921990,0.024308771,0.200000000,0.023123545,0.122890798,0.435395465,0.004847359,108.137999929,1,0.021689691,0.020495800,1.000000000,1.000000000,98,97,1,0.094230769,21,55,0,2,0,866,76,2548,3772,356,12,11938
16,1706584504.972600222,1706584505.072432518,37,36,0.012054360,0.021379196,1,0,0,0,0,-0.122625933,0.036576052,0.007048919,0.001920537,0.000287607,-0.000065432,0.999998112,1067,814,0.762886598,0.020748896,0.010972102,0.007683099,0.025081212,112.825114596,832,0.941795038,16.140601287,295.005136893,472.427733723,0.020598708,0.019399761,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004231,0.000006450,0.000039548,0.966431996,-0.256814301,0.007457317,0.000000014,0.000000031,0.000001097,0.976302039,-0.215650003,0.018149532,0.187500000,0.023245900,0.121489759,0.481489120,0.005330851,108.430944596,0,0.021621505,0.020427297,1.000000000,1.000000000,192,186,6,0.179943768,0,0,0,0,0,875,0,2596,3964,356,12,12813
17,1706584505.072444677,1706584505.172269344,38,37,0.013114362,0.018310208,1,0,0,0,0,-0.088003727,0.024455994,0.005233761,0.001075855,0.000218824,0.000173354,0.999999382,1106,825,0.745931284,0.019409772,0.011497881,0.008203646,0.026614509,113.468621623,875,0.939629203,16.224376765,310.950583070,495.000592889,0.019733470,0.018542145,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003904,0.000006288,0.000035481,0.964013192,-0.265094542,0.020086056,0.000000012,0.000000027,0.000001160,0.975168897,-0.220538729,0.020206202,0.176470588,0.023444053,0.123474079,0.518216328,0.005807789,108.727278538,0,0.021510444,0.020316406,1.000000000,1.000000000,208,202,6,0.188065099,0,0,0,0,0,898,0,2636,4172,356,12,13711
