frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706584503.472610474,1706584503.569895506,22,21,0.010908810,0.016624669,1,0,0,0,0,-0.039577758,0.010754306,0.001726750,0.000497938,0.000104803,0.000147432,0.999999860,1064,789,0.741541353,0.029927550,0.012033286,0.008759019,0.024753456,87.578515485,740,0.949968003,17.145352130,269.278763318,416.552206692,0.024389658,0.023169395,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000010280,0.000015897,0.000085001,0.971572174,-0.236728497,0.002670024,0.000000000,0.000000000,0.000001207,0.981889886,-0.189065103,-0.012109417,0.000000000,0.024753456,0.000000000,0.000000000,0.000000000,87.578515485,0,0.024389658,0.023169395,1.000000000,1.000000000,688,644,44,0.646616541,0,0,0,0,0,376,0,1382,688,0,0,376
2,1706584503.572453976,1706584503.672291517,23,22,0.013126521,0.020290918,1,0,0,0,0,-0.052840460,0.005621013,0.007605528,-0.000166718,0.000325168,0.000423277,0.999999844,1066,790,0.741088180,0.022677128,0.010878193,0.008179369,0.020725557,94.971586593,793,0.949551296,16.453741131,281.669936690,454.870499910,0.021851087,0.020748728,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000010338,0.000015522,0.000099101,0.971500146,-0.235622358,0.025876048,0.000000115,0.000000177,0.000001251,0.974904407,-0.222576843,0.004576653,0.000000000,0.022739506,0.137828480,0.015388632,0.000551478,91.275051039,0,0.023120372,0.021959061,1.000000000,1.000000000,512,492,20,0.480300188,0,0,0,0,0,554,0,1554,1200,0,0,930
3,1706584503.672702551,1706584503.772528410,24,23,0.012492169,0.020373563,1,0,1,1,0,-0.189598912,0.045272510,0.008155951,0.000491246,0.000287440,0.000188161,0.999999820,1040,784,0.753846154,0.022125512,0.011118711,0.007966978,0.019192614,108.688289998,763,0.948258952,16.262375618,270.616077271,436.643127219,0.022476697,0.021313730,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000007721,0.000011658,0.000089565,0.970073496,-0.240835981,0.030910238,0.000000032,0.000000057,0.000001279,0.973170953,-0.229796943,0.011474369,0.333333333,0.021557209,0.142714973,0.157780409,0.001021319,97.079464026,1,0.022905814,0.021743951,1.000000000,1.000000000,299,278,21,0.287500000,45,0,0,0,0,696,45,1684,1499,45,0,1626
4,1706584503.772541046,1706584503.872352362,25,24,0.010361361,0.018473450,1,0,0,1,0,-0.197014005,0.046748268,0.003630451,0.000206208,0.000043895,0.000369390,0.999999910,1048,786,0.750000000,0.022825559,0.011198791,0.008398531,0.022646291,101.566657193,768,0.949334418,11.454042927,284.003897994,433.630892192,0.015710079,0.014914118,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006345,0.000009740,0.000066888,0.969665450,-0.242801381,0.028220626,0.000000027,0.000000049,0.000001195,0.975509655,-0.219618497,0.012191352,0.250000000,0.021829480,0.131548979,0.166591857,0.001383512,98.201262317,0,0.021106880,0.020036493,1.000000000,1.000000000,309,296,13,0.294847328,0,0,0,0,0,739,0,1821,1808,45,0,2365
5,1706584503.872761011,1706584503.972599506,26,25,0.013592853,0.024174919,1,0,0,0,0,-0.230687584,0.058772801,0.005168170,-0.000481504,0.000455805,0.000088401,0.999999776,1078,811,0.752319109,0.023805267,0.011039643,0.007467676,0.035123342,85.946345597,767,0.946810783,18.178305386,276.023125712,432.002439575,0.025031959,0.023700529,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005263,0.000007902,0.000040886,0.970714427,-0.238848576,-0.025784851,0.000000021,0.000000036,0.000001208,0.976154399,-0.216429469,0.016759316,0.200000000,0.024488252,0.118617496,0.202381017,0.001945946,95.750278973,0,0.021891896,0.020769300,1.000000000,1.000000000,265,250,15,0.245825603,0,0,0,0,0,813,0,1946,2073,45,0,3178
6,1706584503.972610950,1706584504.072437763,27,26,0.013160794,0.021824647,1,0,0,0,0,-0.292322018,0.080708119,0.004824255,0.001477719,0.000146565,0.000137871,0.999998888,1063,810,0.761994356,0.023579483,0.011869487,0.008247087,0.028885667,98.866492716,796,0.943595534,17.825479094,281.634752779,451.641813488,0.023732433,0.022393818,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004930,0.000007338,0.000037486,0.972806906,-0.231429418,0.009335278,0.000000019,0.000000038,0.000001120,0.976773344,-0.213883195,0.012954257,0.166666667,0.025221155,0.109323586,0.267803336,0.002045758,96.269647930,0,0.022198652,0.021040053,1.000000000,1.000000000,243,232,11,0.228598307,0,0,0,0,0,820,0,2061,2316,45,0,3998
7,1706584504.072448730,1706584504.172276258,28,27,0.014015226,0.022894052,1,0,0,0,0,-0.312882383,0.080273010,0.004539739,-0.000332360,0.000443591,0.000412965,0.999999761,1113,823,0.739442947,0.025093772,0.012727886,0.008794665,0.025504612,106.198637600,798,0.944099754,17.739231301,280.255762799,455.396609808,0.023545831,0.022229613,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004966,0.000006750,0.000037010,0.972945664,-0.230806589,0.010249568,0.000000019,0.000000032,0.000001126,0.976284732,-0.216015678,0.014330011,0.142857143,0.025261649,0.101557295,0.288370273,0.002595220,97.688075026,0,0.022391106,0.021209990,1.000000000,1.000000000,262,257,5,0.235399820,0,0,0,0,0,851,0,2172,2578,45,0,4849
8,1706584504.173086882,1706584504.272907019,29,28,0.013236705,0.025226737,1,0,0,0,0,-0.300651057,0.074095056,0.001066529,0.000680992,-0.000002168,0.000425667,0.999999678,1086,823,0.757826888,0.023557322,0.012501211,0.008246848,0.023822008,112.331268485,788,0.943240294,16.926973355,274.627291911,451.719086367,0.022773551,0.021480931,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004594,0.000006931,0.000037360,0.968918836,-0.246339165,0.022656247,0.000000016,0.000000038,0.000001165,0.979287346,-0.202128240,0.011851978,0.125000000,0.025081693,0.095883149,0.302506597,0.002620915,99.518474208,0,0.022438912,0.021243858,1.000000000,1.000000000,211,201,10,0.194290976,0,0,0,0,0,875,0,2248,2789,45,0,5724
9,1706584504.272917986,1706584504.372742176,30,29,0.013669315,0.023119089,1,0,0,0,0,-0.315032351,0.084657717,0.001133333,0.000056317,0.000272611,0.000062943,0.999999959,1070,805,0.752336449,0.020522977,0.011114433,0.007814607,0.026156027,103.845137308,796,0.943208570,17.577157179,279.627924643,453.588939801,0.023411424,0.022081856,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004680,0.000006871,0.000036295,0.969165914,-0.244829876,0.027852528,0.000000017,0.000000034,0.000001157,0.976719850,-0.214406144,0.006952750,0.111111111,0.025201064,0.103985905,0.320350248,0.003346329,99.999214553,0,0.022546969,0.021336969,1.000000000,1.000000000,190,183,7,0.177570093,0,0,0,0,0,880,0,2330,2979,45,0,6604
10,1706584504.372754574,1706584504.472580910,31,30,0.010636903,0.019236122,1,0,0,0,0,-0.305960717,0.088080614,0.007285532,0.001585707,0.000330760,0.000042350,0.999998687,1090,832,0.763302752,0.021666709,0.012434112,0.008184743,0.028068827,102.125718388,819,0.942791899,17.310473389,287.822833220,467.013258430,0.022418637,0.021136109,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004429,0.000006761,0.000033794,0.964474015,-0.262712529,0.027784918,0.000000015,0.000000035,0.000001130,0.976878305,-0.213478867,0.011642618,0.100000000,0.025487840,0.103141085,0.331833294,0.003386498,100.211864936,0,0.022534136,0.021316883,1.000000000,1.000000000,180,175,5,0.165137615,0,0,0,0,0,910,0,2388,3159,45,0,7514
11,1706584504.472592592,1706584504.572400808,32,31,0.011397562,0.016764015,1,0,0,0,0,-0.298387067,0.084564254,0.008872071,0.000216898,0.000336030,0.000153411,0.999999908,1115,822,0.737219731,0.022608023,0.012453702,0.009127049,0.030627776,103.903271211,838,0.935240551,17.393277375,298.904512599,467.433792032,0.022192901,0.020755701,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004230,0.000006497,0.000031888,0.963885593,-0.264638914,0.029846414,0.000000014,0.000000030,0.000001101,0.974909233,-0.222268423,0.012195747,0.090909091,0.025955107,0.099421814,0.340332826,0.003607717,100.547447325,0,0.022503114,0.021265866,1.000000000,1.000000000,210,205,5,0.188340807,0,0,0,0,0,905,0,2463,3369,45,0,8419
12,1706584504.572412729,1706584504.672120333,33,32,0.010392425,0.016414717,1,0,0,0,0,-0.294108367,0.094282344,0.008268521,0.000937135,0.000236203,-0.000308783,0.999999485,1081,804,0.743755782,0.020751151,0.012041772,0.008589060,0.022072174,115.228460237,795,0.935759990,16.518621175,287.151791551,440.258779105,0.022204561,0.020778140,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004336,0.000006844,0.000036103,0.963144368,-0.265606048,0.042501229,0.000000016,0.000000038,0.000001108,0.977262028,-0.211440610,0.015868117,0.083333333,0.025631529,0.101481862,0.350968278,0.004531808,101.770865068,0,0.022478235,0.021225222,1.000000000,1.000000000,161,154,7,0.148936170,0,0,0,0,0,920,0,2521,3530,45,0,9339
13,1706584504.673056126,1706584504.770962000,34,33,0.012696423,0.020312640,1,0,0,0,0,-0.254679685,0.081044162,0.008803014,0.000580848,0.000441440,-0.000201092,0.999999714,1077,814,0.755803157,0.018594411,0.010731289,0.007657103,0.024410005,108.840119735,784,0.941901817,14.813372663,280.917699277,442.719952436,0.020060061,0.018894608,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004456,0.000006623,0.000036822,0.964526849,-0.261610894,0.035322768,0.000000016,0.000000037,0.000001097,0.978227050,-0.206834100,0.017073169,0.076923077,0.025537566,0.112940675,0.392563423,0.004747262,102.314653888,0,0.022292221,0.021045944,1.000000000,1.000000000,142,140,2,0.131847725,0,0,0,0,0,935,0,2564,3672,45,0,10274
14,1706584504.772895575,1706584504.869842529,35,34,0.012104647,0.020225593,1,0,0,0,0,-0.239521766,0.071158818,0.004391023,0.000930245,0.000280364,0.000054781,0.999999527,1047,794,0.758357211,0.019577939,0.010505339,0.007022774,0.020995801,117.508209097,780,0.940077759,16.536537220,278.800887486,437.923227381,0.022552059,0.021200689,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004409,0.000006952,0.000039412,0.965782492,-0.258229017,0.024123716,0.000000016,0.000000034,0.000001249,0.977241038,-0.211677379,0.013879478,0.071428571,0.025213154,0.116280646,0.411189969,0.005259016,103.399907832,0,0.022310781,0.021056997,1.000000000,1.000000000,116,114,2,0.110792741,0,0,0,0,0,931,0,2598,3788,45,0,11205
15,1706584504.872747660,1706584504.972588062,36,35,0.012924408,0.024745704,1,0,0,0,0,-0.207670570,0.057523589,0.004880585,0.000569891,0.000410132,0.000129440,0.999999745,1042,782,0.750479846,0.019384186,0.010391044,0.007260574,0.024605448,105.602151920,780,0.943247346,13.890497421,277.252653530,444.589778837,0.018879809,0.017808330,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004659,0.000006653,0.000038779,0.967655585,-0.251630017,0.018027836,0.000000018,0.000000028,0.000001216,0.975165610,-0.220057326,0.025036115,0.066666667,0.025172640,0.119148468,0.445840478,0.005408279,103.546724104,0,0.022082050,0.020840420,1.000000000,1.000000000,134,132,2,0.128598848,0,0,0,0,0,908,0,2625,3922,45,0,12113
16,1706584504.972600222,1706584505.072432518,37,36,0.012054360,0.021379196,1,0,0,0,0,-0.176073251,0.051869731,0.006999909,0.001558317,0.000386798,-0.000148197,0.999998700,1068,799,0.748127341,0.018999341,0.010281426,0.007016635,0.022469869,113.562507962,827,0.942023661,14.863072791,298.137923474,466.052571197,0.019078371,0.017972277,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004465,0.000006394,0.000038616,0.963375132,-0.268110168,0.005029191,0.000000016,0.000000030,0.000001119,0.977469352,-0.210424336,0.016591097,0.062500000,0.025003717,0.122380914,0.478009535,0.005962813,104.172710595,0,0.021894320,0.020661161,1.000000000,1.000000000,153,149,4,0.143258427,0,0,0,0,0,915,0,2669,4075,45,0,13028
17,1706584505.072444677,1706584505.172269344,38,37,0.013114362,0.018310208,1,0,0,0,0,-0.147138456,0.043280635,0.008637036,0.001554726,0.000350855,-0.000062283,0.999998728,1106,813,0.735081374,0.019876878,0.011052592,0.008067571,0.027643002,109.326453207,867,0.937832085,18.883752247,313.084804895,481.131860571,0.023224379,0.021780568,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004007,0.000006349,0.000034929,0.961063230,-0.275602182,0.020022589,0.000000013,0.000000029,0.000001182,0.975803264,-0.217829942,0.018923682,0.058823529,0.025158969,0.122073670,0.508236594,0.006134527,104.475871925,0,0.021972559,0.020727008,1.000000000,1.000000000,179,174,5,0.161844485,0,0,0,0,0,927,0,2705,4254,45,0,13955
