frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706584503.472610474,1706584503.569895506,22,21,0.010908810,0.016624669,0,0,0,0,0,-0.039577758,0.010754306,0.001726750,0.000497938,0.000104803,0.000147432,0.999999860,1064,789,0.741541353,0.029927550,0.012033286,0.008759019,0.024753456,87.578515485,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000010280,0.000015897,0.000085001,0.971572174,-0.236728497,0.002670024,0.000000000,0.000000000,0.000001207,0.981889886,-0.189065103,-0.012109417,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,688,644,44,0.646616541,0,0,0,0,0,376,0,1382,688,0,0,376
2,1706584503.572453976,1706584503.672291517,23,22,0.013126521,0.020290918,0,0,0,0,0,-0.052840460,0.005621013,0.007605528,-0.000166718,0.000325168,0.000423277,0.999999844,1066,790,0.741088180,0.022677128,0.010878193,0.008179369,0.020725557,94.971586593,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000010338,0.000015522,0.000099101,0.971500146,-0.235622358,0.025876048,0.000000115,0.000000177,0.000001251,0.974904407,-0.222576843,0.004576653,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,512,492,20,0.480300188,0,0,0,0,0,554,0,1554,1200,0,0,930
3,1706584503.672702551,1706584503.772528410,24,23,0.012492169,0.020373563,0,0,0,0,0,-0.189598912,0.045272510,0.008155951,0.000491246,0.000287440,0.000188161,0.999999820,1040,784,0.753846154,0.022125512,0.011118711,0.007966978,0.019192614,108.688289998,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000007721,0.000011658,0.000089565,0.970073496,-0.240835981,0.030910238,0.000000032,0.000000057,0.000001279,0.973170953,-0.229796943,0.011474369,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,344,316,28,0.330769231,0,0,0,0,0,696,0,1705,1544,0,0,1626
4,1706584503.772541046,1706584503.872352362,25,24,0.010361361,0.018473450,0,0,0,0,0,-0.216156111,0.051900692,0.000193723,0.000143801,-0.000044806,0.000340449,0.999999931,1048,776,0.740458015,0.021527442,0.010969784,0.008137441,0.018776705,112.730309577,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006332,0.000009763,0.000077783,0.972283160,-0.232383648,0.025754550,0.000000027,0.000000051,0.000001236,0.977169955,-0.212103340,0.012290295,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,280,270,10,0.267175573,0,0,0,0,0,768,0,1837,1824,0,0,2394
5,1706584503.872761011,1706584503.972599506,26,25,0.013592853,0.024174919,0,0,0,0,0,-0.183390024,0.049641666,0.000900003,-0.000302297,0.000167865,-0.000110086,0.999999934,1079,803,0.744207600,0.021149532,0.010401889,0.007428332,0.029874755,93.222024555,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005283,0.000007573,0.000048987,0.974033223,-0.225769398,-0.016954624,0.000000022,0.000000031,0.000001207,0.974439149,-0.223820526,0.019305866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,287,272,15,0.265987025,0,0,0,0,0,792,0,1963,2111,0,0,3186
6,1706584503.972610950,1706584504.072437763,27,26,0.013160794,0.021824647,0,0,0,0,0,-0.212115046,0.061449345,-0.004344962,0.000553966,-0.000240161,0.000040365,0.999999817,1070,816,0.762616822,0.022862482,0.011658775,0.008077117,0.026964616,102.290117862,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004824,0.000007054,0.000041574,0.973723233,-0.227353342,0.013172817,0.000000019,0.000000037,0.000001097,0.976831188,-0.213636859,0.012653932,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,250,239,11,0.233644860,0,0,0,0,0,820,0,2076,2361,0,0,4006
7,1706584504.072448730,1706584504.172276258,28,27,0.014015226,0.022894052,0,0,0,0,0,-0.196052199,0.052627391,-0.004299503,0.002177561,-0.000247686,0.000231959,0.999997572,1113,843,0.757412399,0.024590443,0.012197153,0.008468484,0.034546155,89.455872987,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004702,0.000006703,0.000032447,0.971750111,-0.235463356,0.016085068,0.000000018,0.000000034,0.000001132,0.977159741,-0.211930959,0.015624019,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,256,249,7,0.230008985,0,0,0,0,0,857,0,2180,2617,0,0,4863
8,1706584504.173086882,1706584504.272907019,29,28,0.013236705,0.025226737,0,0,0,0,0,-0.208584797,0.049493715,-0.002254544,0.000381835,0.000049874,0.000379664,0.999999854,1085,822,0.757603687,0.020632534,0.010820557,0.007324207,0.029312322,101.998133537,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004457,0.000006552,0.000031956,0.970311528,-0.241085543,0.019320958,0.000000015,0.000000035,0.000001123,0.978335980,-0.206738192,0.010864174,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,228,217,11,0.210138249,0,0,0,0,0,857,0,2255,2845,0,0,5720
9,1706584504.272917986,1706584504.372742176,30,29,0.013669315,0.023119089,0,0,0,0,0,-0.225496783,0.048362207,0.002678266,-0.001540571,0.000442950,0.000438339,0.999998619,1070,796,0.743925234,0.023277035,0.010673909,0.007676539,0.028124893,103.010071261,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004405,0.000006289,0.000032853,0.968898962,-0.246637527,0.020117921,0.000000015,0.000000027,0.000001140,0.975488177,-0.219750052,0.011520917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,221,212,9,0.206542056,0,0,0,0,0,849,0,2329,3066,0,0,6569
10,1706584504.372754574,1706584504.472580910,31,30,0.010636903,0.019236122,0,0,0,0,0,-0.211094063,0.051000772,0.003731106,0.000453098,0.000099839,0.000178434,0.999999876,1096,820,0.748175182,0.019716799,0.010605367,0.007262184,0.019926220,115.877660256,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004468,0.000006647,0.000037602,0.963527321,-0.267300646,0.012863336,0.000000017,0.000000036,0.000001112,0.978025026,-0.207985366,0.014461567,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,175,168,7,0.159671533,0,0,0,0,0,921,0,2397,3241,0,0,7490
