frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1706584505.472604513,1706584505.572421074,1,0,0,0,-0.028025071,0.011468158,0.017868692,-0.002472220,0.001240158,-0.000008187,0.999996175,1876,1565,0.834221748,0.025967223,0.009765923,0.006818116,0.031532858,76.778413609,0.000000000,0.031532858,0.000000000,0.000000000,0.000000000,76.778413609,0,1175,1096,79,0.626332623,226,0,0,0,0,0,475,226,2542,1175,226,0,0,475
2,1706584505.572432756,1706584505.672264338,1,0,0,0,0.013877157,-0.003937010,0.015101331,-0.000399887,0.000876609,0.000225028,0.999999511,1879,1643,0.874401277,0.018890323,0.008013312,0.005574269,0.041532482,65.110957466,0.000000000,0.036532670,0.157763878,0.044730014,0.000471860,70.944685538,0,762,730,32,0.405534859,172,0,0,0,0,0,945,172,2840,1937,398,0,0,1420
3,1706584505.673074007,1706584505.772902966,1,0,0,0,-0.008325653,-0.000757122,0.013497932,-0.001323151,0.000715533,0.000293436,0.999998826,1954,1683,0.861310133,0.021464009,0.008273204,0.005735554,0.044931458,66.850132590,0.000000000,0.039332266,0.132296773,0.067216618,0.000607484,69.579834555,0,807,769,38,0.412998976,200,0,0,0,0,0,945,202,3173,2744,598,0,0,2365
4,1706584505.772915125,1706584505.872747898,1,0,0,0,-0.013177160,0.005245910,0.013353799,-0.001003555,0.000866904,0.000032427,0.999999120,1885,1690,0.896551724,0.020198496,0.007793671,0.005329773,0.039064470,70.709937927,0.000000000,0.039265317,0.123176321,0.074936352,0.001129349,69.862360398,0,647,627,20,0.343236074,173,0,0,0,0,0,1065,173,3394,3391,771,0,0,3430
5,1706584505.872760773,1706584505.972007751,1,0,0,0,-0.006160275,-0.000950424,0.014539330,-0.000312890,0.000814013,0.000536175,0.999999476,1856,1680,0.905172414,0.018741364,0.007533801,0.005300879,0.040225002,71.856769759,0.000000000,0.039457254,0.125800032,0.084372278,0.002138076,70.261242270,0,539,522,17,0.290409483,156,0,0,0,0,0,1161,156,3594,3930,927,0,0,4591
6,1706584505.972593784,1706584506.070913076,1,0,0,0,0.002502878,-0.001978992,0.017463031,0.000148302,0.000778000,0.000297707,0.999999642,1827,1647,0.901477833,0.018475511,0.007913331,0.005420388,0.037925071,71.164789380,0.000000000,0.039201890,0.126140200,0.093573159,0.002614272,70.411833455,0,472,459,13,0.258347017,139,0,0,0,0,0,1216,139,3783,4402,1066,0,0,5807
7,1706584506.072422743,1706584506.169879913,1,0,0,0,0.010501333,0.002256848,0.019188340,-0.000224746,0.000889380,-0.000030132,0.999999579,1874,1672,0.892209178,0.017480895,0.007289654,0.005160745,0.037035238,76.387494802,0.000000000,0.038892369,0.131232523,0.102786970,0.003270581,71.265499362,0,486,471,15,0.259338314,118,0,0,0,0,0,1270,118,3958,4888,1184,0,0,7077
8,1706584506.173064470,1706584506.272882462,1,0,0,0,0.014680705,-0.001897668,0.023114898,-0.000159214,0.000976879,0.000257765,0.999999477,1840,1648,0.895652174,0.018269628,0.007877949,0.005395133,0.032375210,84.071509204,0.000000000,0.038077724,0.128176663,0.109868285,0.003846464,72.866250592,0,400,382,18,0.217391304,142,0,0,0,0,0,1298,142,4106,5288,1326,0,0,8375
9,1706584506.272894382,1706584506.372726202,1,0,0,0,0.017941927,0.000934654,0.027447825,-0.000998004,0.001191790,0.000024215,0.999998792,1905,1703,0.893963255,0.017793303,0.008468603,0.005270400,0.038830646,76.133400770,0.000000000,0.038161382,0.126994124,0.115986444,0.004315634,73.229267279,0,409,397,12,0.214698163,122,0,0,0,0,0,1374,122,4261,5697,1448,0,0,9749
10,1706584506.372737408,1706584506.472570419,1,0,0,0,-0.007611954,0.007301102,0.026497286,-0.000907488,0.001111011,0.000280877,0.999998932,1889,1723,0.912122816,0.019392149,0.008887067,0.005663379,0.041141546,75.277135285,0.000000000,0.038459398,0.120754552,0.142338598,0.004829322,73.434054079,0,393,375,18,0.208046585,138,0,0,0,0,0,1358,138,4391,6090,1586,0,0,11107
11,1706584506.472582340,1706584506.572411060,1,0,0,0,-0.021472317,0.012936071,0.026863417,-0.001330796,0.001130605,0.000062919,0.999998473,1910,1742,0.912041885,0.019835075,0.009101400,0.005658044,0.057388344,62.127487345,0.000000000,0.040180211,0.115071821,0.157305115,0.005266232,72.406184376,0,404,397,7,0.211518325,148,0,0,0,0,0,1357,149,4506,6494,1734,0,0,12464
12,1706584506.572422504,1706584506.672256708,1,0,0,0,-0.039247393,0.013355415,0.025401035,-0.000772785,0.001028186,0.000382197,0.999999100,1903,1746,0.917498686,0.018158954,0.008120923,0.005616924,0.049780058,67.970436582,0.000000000,0.040980199,0.112959622,0.175145174,0.005906209,72.036538727,0,404,393,11,0.212296374,115,0,0,0,0,0,1384,115,4610,6898,1849,0,0,13848
13,1706584506.673066139,1706584506.772905827,1,0,0,0,-0.045828893,0.014763936,0.023251051,-0.002434617,0.001052547,0.000207322,0.999996461,1890,1703,0.901058201,0.018133908,0.008935416,0.006050162,0.054986657,61.835818642,0.000000000,0.042057619,0.110863445,0.182210761,0.006259497,71.251867951,0,377,370,7,0.199470899,120,0,0,0,0,0,1393,120,4704,7275,1969,0,0,15241
14,1706584506.772917271,1706584506.872751713,1,0,0,0,-0.051512154,0.009883097,0.021487897,-0.001068303,0.000992553,0.000381025,0.999998864,1895,1730,0.912928760,0.016611298,0.007248920,0.005204885,0.051013157,70.764987513,0.000000000,0.042697300,0.114427601,0.189906912,0.006609909,71.217090777,0,340,334,6,0.179419525,90,0,0,0,0,0,1465,90,4775,7615,2059,0,0,16706
15,1706584506.872763872,1706584506.972592115,1,0,0,0,-0.063882084,0.010031134,0.022944875,-0.001981493,0.001150009,0.000488371,0.999997256,1879,1710,0.910058542,0.016634763,0.007925880,0.005736044,0.041775668,71.728436486,0.000000000,0.042635858,0.116659068,0.202363230,0.006822164,71.251180491,0,314,305,9,0.167110165,95,0,0,0,0,0,1470,95,4848,7929,2154,0,0,18176
16,1706584506.972604513,1706584507.072417974,1,0,0,0,-0.047508868,0.006264548,0.023628786,-0.001625152,0.001025818,0.000394934,0.999998075,1934,1757,0.908479835,0.016981943,0.007302662,0.005259093,0.053567041,71.693159569,0.000000000,0.043319057,0.116821417,0.219178018,0.007007815,71.278804183,0,335,332,3,0.173216132,101,0,0,0,0,0,1498,101,4930,8264,2255,0,0,19674
17,1706584507.072429895,1706584507.172256708,1,0,0,0,-0.032552176,0.007851530,0.025530265,-0.001427439,0.001117797,0.000206190,0.999998335,1902,1762,0.926393270,0.016240829,0.007257834,0.005190490,0.050455231,67.686270589,0.000000000,0.043738832,0.119186792,0.234338387,0.007385161,71.067478678,0,267,261,6,0.140378549,98,0,0,0,0,0,1537,98,5004,8531,2353,0,0,21211
18,1706584507.173066378,1706584507.271973133,1,0,0,0,-0.024814164,0.009311910,0.028743681,-0.001490105,0.001188736,0.000360064,0.999998118,1836,1669,0.909041394,0.016933150,0.007865717,0.005301145,0.044999156,70.735108838,0.000000000,0.043808850,0.118648442,0.242843419,0.007692559,71.049013686,0,256,248,8,0.139433551,86,0,0,0,0,0,1494,86,5085,8787,2439,0,0,22705
19,1706584507.272909164,1706584507.370930672,1,0,0,0,-0.014816418,0.009091190,0.029202754,-0.001263066,0.001249272,0.000070041,0.999998420,1874,1716,0.915688367,0.016503431,0.007073027,0.004850581,0.042896421,76.957876084,0.000000000,0.043760827,0.119103567,0.252854133,0.008272219,71.360006444,0,260,254,6,0.138740662,84,0,0,0,0,0,1530,84,5162,9047,2523,0,0,24235
20,1706584507.372763634,1706584507.472606421,1,0,0,1,0.002034670,0.005563131,0.031969115,-0.000936191,0.001272487,0.000193511,0.999998733,1880,1719,0.914361702,0.017021458,0.008231674,0.005323965,0.040147544,78.735360678,0.000000000,0.043580163,0.117981041,0.270291424,0.008519933,71.728774156,0,219,214,5,0.116489362,86,0,0,0,0,0,1575,86,5236,9266,2609,0,0,25810
21,1706584507.472617388,1706584507.572454929,1,0,0,1,0.031642450,-0.000185737,0.033148598,-0.001002420,0.001340413,-0.000067215,0.999998597,1900,1730,0.910526316,0.016714183,0.008243900,0.005234563,0.048084357,69.906221463,0.000000000,0.044407738,0.076513232,0.255745202,0.008569831,71.385164549,0,239,230,9,0.125789474,79,0,0,0,0,0,1582,79,5310,9505,2688,0,0,27392
22,1706584507.572466612,1706584507.672288656,1,0,0,1,0.038763990,-0.005698486,0.034459832,-0.000088503,0.001438447,0.000396287,0.999998883,1960,1775,0.905612245,0.018892699,0.009199193,0.006172949,0.046075731,73.606938314,0.000000000,0.044634900,0.076516875,0.242359481,0.009363647,71.809963591,0,242,235,7,0.123469388,102,0,0,0,0,0,1613,105,5380,9747,2790,0,0,29005
23,1706584507.673099756,1706584507.772921801,1,0,0,1,0.046562715,-0.007022386,0.034055837,-0.000994038,0.001283216,0.000197495,0.999998663,1912,1717,0.898012552,0.019258586,0.008736468,0.005775461,0.055469125,66.643997072,0.000000000,0.045161784,0.065443009,0.242560355,0.009241665,71.799656815,0,196,191,5,0.102510460,84,0,0,0,0,0,1628,88,5448,9943,2874,0,0,30633
24,1706584507.772933006,1706584507.872766972,1,0,0,1,0.046269178,-0.007342794,0.031035677,-0.001119841,0.001269142,0.000078511,0.999998565,1900,1728,0.909473684,0.017061215,0.008205070,0.005650979,0.048519550,73.244972901,0.000000000,0.045634538,0.059733144,0.236175689,0.008471198,71.926408564,0,220,210,10,0.115789474,102,0,0,0,0,0,1578,102,5515,10163,2976,0,0,32211
25,1706584507.872778416,1706584507.972614050,1,0,0,1,0.041809377,-0.006829585,0.026334396,-0.001679077,0.001015784,0.000063091,0.999998072,1892,1712,0.904862579,0.017314922,0.008347686,0.005627772,0.056808791,63.958125832,0.000000000,0.046463727,0.058794850,0.233475212,0.008026410,71.531476367,0,192,188,4,0.101479915,91,0,0,0,0,0,1609,91,5578,10355,3067,0,0,33820
26,1706584507.972625494,1706584508.072063923,1,0,0,1,0.025666014,-0.005116283,0.030418177,-0.000521930,0.001265247,0.000259993,0.999999030,1881,1713,0.910685805,0.015724519,0.007534616,0.005112075,0.047554476,71.494853321,0.000000000,0.046945197,0.063029918,0.241001200,0.007765996,71.547979564,0,197,192,5,0.104731526,60,0,0,0,0,0,1624,60,5638,10552,3127,0,0,35444
27,1706584508.072475195,1706584508.170465469,1,0,0,1,0.013530772,0.001242893,0.035274046,-0.001454709,0.001490327,0.000045027,0.999997830,1883,1729,0.918215613,0.016451625,0.008433876,0.005687991,0.051480523,70.126591335,0.000000000,0.047667462,0.064676648,0.248455451,0.007623062,71.234934391,0,189,187,2,0.100371747,79,0,0,0,0,0,1615,79,5691,10741,3206,0,0,37059
28,1706584508.172723532,1706584508.272552252,1,0,0,1,-0.000680992,0.003826250,0.037269057,-0.001585126,0.001309867,0.000035964,0.999997885,1892,1730,0.914376321,0.016357162,0.008416020,0.005267791,0.049119374,71.856036092,0.000000000,0.048504670,0.065685230,0.256919062,0.007171836,70.624160735,0,180,176,4,0.095137421,75,0,0,0,0,0,1637,75,5731,10921,3281,0,0,38696
29,1706584508.272564650,1706584508.372388363,1,0,0,1,-0.017556661,0.005530097,0.037507145,-0.001062264,0.001211699,-0.000291345,0.999998659,1932,1765,0.913561077,0.017317097,0.008449782,0.005417486,0.057072619,65.976103947,0.000000000,0.049416768,0.065575511,0.247530044,0.007311188,70.116295894,0,194,191,3,0.100414079,83,0,0,0,0,0,1655,83,5780,11115,3364,0,0,40351
30,1706584508.372400761,1706584508.472219944,1,0,0,1,-0.014525718,0.007694324,0.036053750,-0.000892327,0.000643386,-0.000421330,0.999999306,1864,1703,0.913626609,0.015587678,0.007723985,0.005265547,0.048869018,70.585552355,0.000000000,0.049803142,0.064248455,0.236561383,0.007132820,69.881716748,0,182,179,3,0.097639485,55,0,0,0,0,0,1627,55,5814,11297,3419,0,0,41978
31,1706584508.473029613,1706584508.572023630,1,0,0,1,-0.015106161,0.011036155,0.032786417,-0.001422561,-0.000377015,-0.001807286,0.999997284,1863,1709,0.917337627,0.016355058,0.008121990,0.005701618,0.047956735,69.860810391,0.000000000,0.049331562,0.054917901,0.223430911,0.009262534,70.268382900,0,170,169,1,0.091250671,70,0,0,0,0,0,1623,70,5847,11467,3489,0,0,43601
32,1706584508.572886467,1706584508.671166420,1,0,0,1,0.022591613,0.012251756,0.030408291,-0.000997367,-0.000652848,-0.004519040,0.999989079,1893,1746,0.922345483,0.018539318,0.008306027,0.005788928,0.051560166,69.306488745,0.000000000,0.049420567,0.056420144,0.254157591,0.014332557,70.335185508,0,180,177,3,0.095087163,94,0,0,0,0,0,1619,94,5894,11647,3583,0,0,45220
33,1706584508.672724485,1706584508.772552967,1,0,0,1,0.066033168,0.009499684,0.029686334,-0.003516039,-0.001349972,-0.007874949,0.999961899,1948,1767,0.907084189,0.016700018,0.007893037,0.005591597,0.046433707,75.112553971,0.000000000,0.048992919,0.054775005,0.289996066,0.020685849,70.999022275,0,191,186,5,0.098049281,83,0,0,0,0,0,1673,84,5951,11838,3666,0,0,46893
34,1706584508.772565365,1706584508.872396946,1,0,0,1,0.125222561,0.006104731,0.033006252,-0.002908909,-0.001080743,-0.011966513,0.999923583,1968,1810,0.919715447,0.017527149,0.008689572,0.006175758,0.051339210,72.284008145,0.000000000,0.049009222,0.054877029,0.336919305,0.028660332,71.074973306,0,209,206,3,0.106199187,81,0,0,0,0,0,1676,83,6005,12047,3747,0,0,48569
