frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1706584910.442404747,1706584910.542241573,1,0,0,0,-0.007571042,0.011281836,0.023218607,0.001116032,0.001484122,-0.000201022,0.999998256,1261,830,0.658207772,0.035106628,0.017169494,0.011616467,0.052196686,78.081885101,0.000000000,0.052196686,0.000000000,0.000000000,0.000000000,78.081885101,0,729,684,45,0.578112609,95,0,0,0,0,0,436,96,1643,729,95,0,0,436
2,1706584910.543051958,1706584910.642029285,1,0,0,0,-0.009443110,0.031255437,0.027597699,0.002215551,0.001399643,-0.000837784,0.999996215,1249,921,0.737389912,0.027761562,0.014809308,0.009118411,0.048797959,79.792657657,0.000000000,0.050497323,0.116832788,0.020533529,0.001270634,78.937271379,0,568,558,10,0.454763811,83,0,0,0,0,0,598,83,1822,1297,178,0,0,1034
3,1706584910.642890453,1706584910.740981817,1,0,0,0,-0.029646458,0.036117752,0.022181140,0.003631070,0.001337520,-0.000285041,0.999992473,1287,953,0.740481740,0.030639182,0.014478965,0.009809464,0.048958600,87.889564231,0.000000000,0.049984415,0.096952803,0.042008083,0.002379634,81.921368996,0,516,505,11,0.400932401,84,0,0,0,0,0,687,84,1994,1813,262,0,0,1721
4,1706584910.742739677,1706584910.842567921,1,0,0,0,-0.031909001,0.034591785,0.018422256,0.002492169,0.001285381,-0.000700032,0.999995823,1270,963,0.758267717,0.028947426,0.013519876,0.009339938,0.059791611,81.190703616,0.000000000,0.052436214,0.091079765,0.046653175,0.003212926,81.738702651,0,411,407,4,0.323622047,82,0,0,0,0,0,777,82,2117,2224,344,0,0,2498
5,1706584910.842580080,1706584910.942404270,1,0,0,0,-0.020599767,0.023574540,0.011554628,0.000718512,0.000884495,-0.000208335,0.999999329,1265,991,0.783399209,0.030619462,0.013334868,0.009964973,0.051592910,98.692217037,0.000000000,0.052267553,0.081461186,0.063870689,0.004191184,85.129405528,0,366,359,7,0.289328063,85,0,0,0,0,0,814,85,2221,2590,429,0,0,3312
6,1706584910.942415953,1706584911.042243481,1,0,0,0,-0.024660172,0.022459318,0.011009147,0.001363054,0.000889481,-0.000395661,0.999998597,1253,975,0.778132482,0.026213491,0.012454631,0.008651616,0.066840349,82.939246887,0.000000000,0.054696353,0.093904651,0.068116646,0.004564682,84.764379088,0,333,326,7,0.265762171,72,0,0,0,0,0,848,72,2318,2923,501,0,0,4160
7,1706584911.043054342,1706584911.142871141,1,0,0,0,-0.031533497,0.019743166,0.008957805,0.000534466,0.000879420,-0.000485115,0.999999353,1285,1018,0.792217899,0.029292277,0.012485164,0.008920067,0.057802856,91.210239641,0.000000000,0.055140139,0.087458295,0.075786593,0.004745076,85.685216310,0,281,278,3,0.218677043,79,0,0,0,0,0,925,79,2395,3204,580,0,0,5085
8,1706584911.142883539,1706584911.242702007,1,0,0,0,-0.043963290,0.014466055,0.009070797,0.000813040,0.000831375,-0.000119949,0.999999317,1268,996,0.785488959,0.027571315,0.012351519,0.009110139,0.056730063,93.126955586,0.000000000,0.055338879,0.086263943,0.089290681,0.005475822,86.615433719,0,292,286,6,0.230283912,71,0,0,0,0,0,905,71,2461,3496,651,0,0,5990
9,1706584911.242713690,1706584911.342554092,1,0,0,0,-0.056129680,0.016763372,0.015234926,0.001152479,0.001213100,-0.000384475,0.999998526,1339,1051,0.784914115,0.029449447,0.013807423,0.009563901,0.066945487,91.405097560,0.000000000,0.056628502,0.081355062,0.103121633,0.006003431,87.147618591,0,289,286,3,0.215832711,76,0,0,0,0,0,974,76,2546,3785,727,0,0,6964
10,1706584911.342565298,1706584911.442408562,1,0,0,0,-0.053319451,0.016039010,0.015790954,0.000059509,0.000866635,-0.000179542,0.999999607,1248,965,0.773237179,0.025567418,0.012148945,0.008716785,0.055854233,98.784119117,0.000000000,0.056551076,0.088149679,0.106076503,0.006410604,88.311268643,0,236,233,3,0.189102564,47,0,0,0,0,0,965,47,2591,4021,774,0,0,7929
11,1706584911.442420244,1706584911.540750265,1,0,0,0,-0.055402506,0.020550507,0.021090030,0.001088497,0.001194203,-0.000396856,0.999998616,1237,940,0.759902991,0.024602452,0.011895778,0.008659548,0.061873152,94.474770730,0.000000000,0.057034901,0.096494810,0.113341001,0.006842736,88.871587015,0,250,250,0,0.202101859,56,0,0,0,0,0,931,56,2653,4271,830,0,0,8860
12,1706584911.543058634,1706584911.642884970,1,0,0,0,-0.051300475,0.027149377,0.024595630,0.000750558,0.001111809,-0.000496021,0.999998977,1255,956,0.761752988,0.025268016,0.012543312,0.009422317,0.048593231,109.174212609,0.000000000,0.056331428,0.099128390,0.121865142,0.007041997,90.563472481,0,216,212,4,0.172111554,48,0,0,0,0,0,990,49,2711,4487,878,0,0,9850
13,1706584911.642896652,1706584911.742719889,1,0,0,0,-0.047314638,0.028055415,0.024692914,0.000564124,0.001025802,-0.000279527,0.999999276,1231,931,0.756295695,0.024845285,0.011182411,0.008459968,0.063931408,88.971854783,0.000000000,0.056916042,0.101951169,0.125953816,0.007474474,90.441040350,0,203,202,1,0.164906580,50,0,0,0,0,0,975,53,2759,4690,928,0,0,10825
14,1706584911.742731094,1706584911.842562914,1,0,0,0,-0.031352767,0.027828406,0.024256308,0.000279303,0.001201157,-0.000454355,0.999999136,1240,952,0.767741935,0.023033251,0.011730112,0.008832166,0.065096257,95.392404529,0.000000000,0.057500343,0.110239285,0.141923272,0.007824616,90.794709220,0,173,171,2,0.139516129,49,0,0,0,0,0,1018,49,2803,4863,977,0,0,11843
15,1706584911.842574835,1706584911.941831350,1,0,0,0,-0.032873953,0.026397031,0.023539209,0.000654728,0.001164309,-0.000324536,0.999999055,1257,954,0.758949881,0.025137802,0.011794592,0.008797407,0.062337818,90.684205019,0.000000000,0.057822841,0.109807711,0.144131682,0.008085108,90.787342274,0,161,161,0,0.128082737,41,0,0,0,0,0,1055,41,2841,5024,1018,0,0,12898
