frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1706584910.442404747,1706584910.542241573,43,42,0,0.014007104,0.018946650,1,0,0,0,-0.007571042,0.011281836,0.023218607,0.001116032,0.001484122,-0.000201022,0.999998256,1261,830,0.658207772,0.035106628,0.017169494,0.011616467,0.052196686,78.081885101,863,0.945570720,23.937736887,321.136757847,470.953036909,0.029334472,0.027737818,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000006772,0.000011173,0.000038519,0.999189421,0.040137456,-0.003079870,0.000000000,0.000000000,0.000001162,0.999536883,0.030330846,-0.002461542,0.000000000,0.052196686,0.000000000,0.000000000,0.000000000,78.081885101,0,729,684,45,0.578112609,95,0,0,0,0,0,436,96,1643,729,95,0,0,436
2,1706584910.543051958,1706584910.642029285,44,43,0,0.014769546,0.026188882,1,0,0,0,-0.009443110,0.031255437,0.027597699,0.002215551,0.001399643,-0.000837784,0.999996215,1249,921,0.737389912,0.027761562,0.014809308,0.009118411,0.048797959,79.792657657,902,0.951589634,25.095353971,324.735541580,508.502954318,0.029237288,0.027821900,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000006188,0.000009273,0.000035869,0.999512011,0.015072327,-0.027359920,0.000000000,0.000000000,0.000001016,0.999476300,0.030237251,0.011525340,0.000000000,0.050497323,0.116832788,0.020533529,0.001270634,78.937271379,0,568,558,10,0.454763811,83,0,0,0,0,0,598,83,1822,1297,178,0,0,1034
3,1706584910.642890453,1706584910.740981817,45,44,0,0.014866241,0.020239371,1,0,0,0,-0.029646458,0.036117752,0.022181140,0.003631070,0.001337520,-0.000285041,0.999992473,1287,953,0.740481740,0.030639182,0.014478965,0.009809464,0.048958600,87.889564231,957,0.944893278,25.510433722,347.319085191,531.433348150,0.028211303,0.026656671,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004703,0.000007209,0.000029226,0.999555609,0.018798709,-0.023134244,0.000000012,0.000000021,0.000000973,0.999842293,0.016350816,0.006931035,0.000000000,0.049984415,0.096952803,0.042008083,0.002379634,81.921368996,0,516,505,11,0.400932401,84,0,0,0,0,0,687,84,1994,1813,262,0,0,1721
4,1706584910.742739677,1706584910.842567921,46,45,0,0.015677100,0.022944452,1,0,0,0,-0.031909001,0.034591785,0.018422256,0.002492169,0.001285381,-0.000700032,0.999995823,1270,963,0.758267717,0.028947426,0.013519876,0.009339938,0.059791611,81.190703616,971,0.951588796,29.118846431,344.943623761,549.930250842,0.031514151,0.029988513,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003948,0.000005791,0.000021106,0.999835188,0.017749452,0.003814816,0.000000010,0.000000015,0.000000953,0.999796983,0.016691940,0.011285938,0.000000000,0.052436214,0.091079765,0.046653175,0.003212926,81.738702651,0,411,407,4,0.323622047,82,0,0,0,0,0,777,82,2117,2224,344,0,0,2498
5,1706584910.842580080,1706584910.942404270,47,46,0,0.012961397,0.017411148,1,0,0,0,-0.020599767,0.023574540,0.011554628,0.000718512,0.000884495,-0.000208335,0.999999329,1265,991,0.783399209,0.030619462,0.013334868,0.009964973,0.051592910,98.692217037,965,0.948591719,27.992066510,348.082647192,539.316295075,0.030579355,0.029007323,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003323,0.000004896,0.000019539,0.998973966,0.044652867,0.007558862,0.000000007,0.000000011,0.000000927,0.999856570,0.014340589,0.009010366,0.000000000,0.052267553,0.081461186,0.063870689,0.004191184,85.129405528,0,366,359,7,0.289328063,85,0,0,0,0,0,814,85,2221,2590,429,0,0,3312
6,1706584910.942415953,1706584911.042243481,48,47,0,0.011050682,0.017617025,1,0,0,0,-0.024660172,0.022459318,0.011009147,0.001363054,0.000889481,-0.000395661,0.999998597,1253,975,0.778132482,0.026213491,0.012454631,0.008651616,0.066840349,82.939246887,974,0.949780783,36.104895690,335.910719296,553.070867291,0.039028671,0.037068681,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003206,0.000004738,0.000015509,0.999015844,0.033896067,-0.028607688,0.000000007,0.000000014,0.000000990,0.999800377,0.017865016,0.008946952,0.000000000,0.054696353,0.093904651,0.068116646,0.004564682,84.764379088,0,333,326,7,0.265762171,72,0,0,0,0,0,848,72,2318,2923,501,0,0,4160
7,1706584911.043054342,1706584911.142871141,49,48,0,0.013470683,0.021571599,1,0,0,0,-0.031533497,0.019743166,0.008957805,0.000534466,0.000879420,-0.000485115,0.999999353,1285,1018,0.792217899,0.029292277,0.012485164,0.008920067,0.057802856,91.210239641,998,0.952423020,29.815905855,352.530999756,568.171268799,0.031368054,0.029875657,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003069,0.000004622,0.000014779,0.999267225,0.017763474,-0.033903863,0.000000007,0.000000012,0.000000925,0.999785625,0.019656687,0.006505267,0.000000000,0.055140139,0.087458295,0.075786593,0.004745076,85.685216310,0,281,278,3,0.218677043,79,0,0,0,0,0,925,79,2395,3204,580,0,0,5085
8,1706584911.142883539,1706584911.242702007,50,49,0,0.012000573,0.017061470,1,0,0,0,-0.043963290,0.014466055,0.009070797,0.000813040,0.000831375,-0.000119949,0.999999317,1268,996,0.785488959,0.027571315,0.012351519,0.009110139,0.056730063,93.126955586,986,0.949800465,30.262496946,339.018750529,567.222011495,0.032314353,0.030692188,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003166,0.000004466,0.000014906,0.999449806,0.026824907,-0.019506641,0.000000007,0.000000012,0.000000941,0.999845058,0.015997606,0.007344202,0.000000000,0.055338879,0.086263943,0.089290681,0.005475822,86.615433719,0,292,286,6,0.230283912,71,0,0,0,0,0,905,71,2461,3496,651,0,0,5990
9,1706584911.242713690,1706584911.342554092,51,50,0,0.012666955,0.018837105,1,0,0,0,-0.056129680,0.016763372,0.015234926,0.001152479,0.001213100,-0.000384475,0.999998526,1339,1051,0.784914115,0.029449447,0.013807423,0.009563901,0.066945487,91.405097560,1027,0.943366106,32.565729903,357.045000331,579.226260355,0.033613219,0.031709571,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002920,0.000004314,0.000013281,0.999541734,0.025143985,-0.016855331,0.000000005,0.000000010,0.000000891,0.999801987,0.018198796,0.008049310,0.000000000,0.056628502,0.081355062,0.103121633,0.006003431,87.147618591,0,289,286,3,0.215832711,76,0,0,0,0,0,974,76,2546,3785,727,0,0,6964
10,1706584911.342565298,1706584911.442408562,52,51,0,0.011829802,0.019525395,1,0,0,0,-0.053319451,0.016039010,0.015790954,0.000059509,0.000866635,-0.000179542,0.999999607,1248,965,0.773237179,0.025567418,0.012148945,0.008716785,0.055854233,98.784119117,998,0.949142148,30.974861838,352.914000289,563.355001928,0.032699987,0.031036936,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003058,0.000004388,0.000014622,0.999216924,0.039538236,-0.001505547,0.000000006,0.000000012,0.000000983,0.999812572,0.017387142,0.008515164,0.000000000,0.056551076,0.088149679,0.106076503,0.006410604,88.311268643,0,236,233,3,0.189102564,47,0,0,0,0,0,965,47,2591,4021,774,0,0,7929
11,1706584911.442420244,1706584911.540750265,53,52,0,0.012588092,0.019046682,1,0,0,0,-0.055402506,0.020550507,0.021090030,0.001088497,0.001194203,-0.000396856,0.999998616,1237,940,0.759902991,0.024602452,0.011895778,0.008659548,0.061873152,94.474770730,974,0.940621173,32.435061790,334.505514470,549.224446330,0.035403078,0.033300885,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003070,0.000004301,0.000014556,0.999636929,0.013629182,-0.023243392,0.000000006,0.000000011,0.000000954,0.999855123,0.015530490,0.006966891,0.000000000,0.057034901,0.096494810,0.113341001,0.006842736,88.871587015,0,250,250,0,0.202101859,56,0,0,0,0,0,931,56,2653,4271,830,0,0,8860
12,1706584911.543058634,1706584911.642884970,54,53,0,0.017029288,0.023318149,1,0,0,0,-0.051300475,0.027149377,0.024595630,0.000750558,0.001111809,-0.000496021,0.999998977,1255,956,0.761752988,0.025268016,0.012543312,0.009422317,0.048593231,109.174212609,985,0.947551529,28.195982983,353.243296080,551.898977251,0.030209822,0.028625363,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003103,0.000004453,0.000016511,0.999613335,0.021413237,-0.017738509,0.000000006,0.000000011,0.000000979,0.999811012,0.018475461,0.006049561,0.000000000,0.056331428,0.099128390,0.121865142,0.007041997,90.563472481,0,216,212,4,0.172111554,48,0,0,0,0,0,990,49,2711,4487,878,0,0,9850
13,1706584911.642896652,1706584911.742719889,55,54,0,0.013747945,0.018466432,1,0,0,0,-0.047314638,0.028055415,0.024692914,0.000564124,0.001025802,-0.000279527,0.999999276,1231,931,0.756295695,0.024845285,0.011182411,0.008459968,0.063931408,88.971854783,985,0.940542465,28.742915425,352.046597485,545.644815040,0.031025313,0.029180625,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003174,0.000004350,0.000015244,0.999631341,0.012426844,-0.024140325,0.000000007,0.000000011,0.000001034,0.999712907,0.019054908,0.014526335,0.000000000,0.056916042,0.101951169,0.125953816,0.007474474,90.441040350,0,203,202,1,0.164906580,50,0,0,0,0,0,975,53,2759,4690,928,0,0,10825
14,1706584911.742731094,1706584911.842562914,56,55,0,0.012363823,0.017937368,1,0,0,0,-0.031352767,0.027828406,0.024256308,0.000279303,0.001201157,-0.000454355,0.999999136,1240,952,0.767741935,0.023033251,0.011730112,0.008832166,0.065096257,95.392404529,998,0.942775595,34.864412523,347.333215911,558.692415413,0.037054715,0.034934281,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003132,0.000004530,0.000014160,0.999533413,0.018391034,-0.024386997,0.000000005,0.000000013,0.000000945,0.999701898,0.024093707,0.003950755,0.000000000,0.057500343,0.110239285,0.141923272,0.007824616,90.794709220,0,173,171,2,0.139516129,49,0,0,0,0,0,1018,49,2803,4863,977,0,0,11843
15,1706584911.842574835,1706584911.941831350,57,56,0,0.012464485,0.020240117,1,0,0,0,-0.032873953,0.026397031,0.023539209,0.000654728,0.001164309,-0.000324536,0.999999055,1257,954,0.758949881,0.025137802,0.011794592,0.008797407,0.062337818,90.684205019,997,0.935360456,34.179782675,349.896229538,548.478362814,0.036651785,0.034282631,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003099,0.000004380,0.000013992,0.999285817,0.029148603,-0.024046094,0.000000007,0.000000011,0.000000929,0.999828653,0.014357478,0.011684486,0.000000000,0.057822841,0.109807711,0.144131682,0.008085108,90.787342274,0,161,161,0,0.128082737,41,0,0,0,0,0,1055,41,2841,5024,1018,0,0,12898
