frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1706584910.442404747,1706584910.542241573,0,0,0,0,-0.007571042,0.011281836,0.023218607,0.001116032,0.001484122,-0.000201022,0.999998256,1261,830,0.000000000,0.035106628,0.017169494,0.011616467,0.000000000,78.081885101,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,825,775,50,0.654242665,0,0,0,0,0,0,436,0,1703,825,0,0,0,436
2,1706584910.543051958,1706584910.642029285,0,0,0,0,-0.020750499,0.030141621,0.023925575,0.001122165,0.001194744,-0.000813789,0.999998326,1249,891,0.000000000,0.023725571,0.013021290,0.009057689,0.000000000,76.328509716,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,643,627,16,0.514811849,0,0,0,0,0,0,606,0,1900,1468,0,0,0,1042
3,1706584910.642890453,1706584910.740981817,0,0,0,0,-0.011322260,0.039732990,0.027530299,0.002464797,0.001537973,-0.000401449,0.999995699,1284,902,0.000000000,0.026910153,0.013833873,0.009474322,0.000000000,86.635626476,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,547,532,15,0.426012461,0,0,0,0,0,0,737,0,2098,2015,0,0,0,1779
4,1706584910.742739677,1706584910.842567921,0,0,0,0,-0.006109278,0.036716646,0.019660749,0.001053096,0.001020919,-0.000664576,0.999998704,1273,920,0.000000000,0.024055280,0.011955091,0.008667591,0.000000000,87.564217333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,439,434,5,0.344854674,0,0,0,0,0,0,834,0,2247,2454,0,0,0,2613
5,1706584910.842580080,1706584910.942404270,0,0,0,0,-0.017824878,0.032934953,0.019779040,0.000086858,0.001216313,-0.000549361,0.999999106,1260,939,0.000000000,0.026794801,0.012305695,0.009423842,0.000000000,103.319591094,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,410,404,6,0.325396825,0,0,0,0,0,0,850,0,2357,2864,0,0,0,3463
6,1706584910.942415953,1706584911.042243481,0,0,0,0,-0.021517767,0.034543689,0.018924608,0.000002881,0.001011140,-0.000762357,0.999999198,1255,923,0.000000000,0.022359194,0.011917503,0.008799524,0.000000000,79.530508566,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,375,367,8,0.298804781,0,0,0,0,0,0,880,0,2462,3239,0,0,0,4343
7,1706584911.043054342,1706584911.142871141,0,0,0,0,-0.030173971,0.033949215,0.015773760,0.000573531,0.000934447,-0.000756741,0.999999113,1285,957,0.000000000,0.024509933,0.012724022,0.009312180,0.000000000,91.338515677,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,340,334,6,0.264591440,0,0,0,0,0,0,945,0,2566,3579,0,0,0,5288
8,1706584911.142883539,1706584911.242702007,0,0,0,0,-0.030452162,0.030697789,0.018082536,0.000729339,0.001116462,-0.000528443,0.999998971,1271,945,0.000000000,0.022948133,0.011881312,0.008488089,0.000000000,91.959961027,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,305,298,7,0.239968529,0,0,0,0,0,0,966,0,2651,3884,0,0,0,6254
9,1706584911.242713690,1706584911.342554092,0,0,0,0,-0.046165053,0.029985113,0.015463385,0.000805016,0.000910362,-0.000540438,0.999999116,1338,975,0.000000000,0.024683771,0.011846012,0.008743478,0.000000000,96.528215688,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,342,341,1,0.255605381,0,0,0,0,0,0,996,0,2749,4226,0,0,0,7250
10,1706584911.342565298,1706584911.442408562,0,0,0,0,-0.052337631,0.029496692,0.016870796,-0.000439172,0.000955543,-0.000494393,0.999999325,1247,908,0.000000000,0.021575828,0.012014933,0.008957057,0.000000000,88.757185363,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,253,247,6,0.202886929,0,0,0,0,0,0,994,0,2798,4479,0,0,0,8244
