time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1706584982.642671824,37,3,0.169207810,0.471731959,0.300000000,nan,nan,0,0,3775,1621,fitness_reject
1706584984.842749596,39,6,0.174311753,0.538680554,0.300000000,nan,nan,0,0,4116,1622,fitness_reject
1706584990.042711258,44,13,0.123247118,0.483282038,0.300000000,nan,nan,0,0,4562,1766,fitness_reject
1706584991.042686224,45,14,0.139865920,0.527466319,0.300000000,nan,nan,0,0,4528,1816,fitness_reject
1706584992.042310953,46,14,0.152497312,0.516113149,0.300000000,nan,nan,0,0,4528,1732,fitness_reject
1706584994.039943933,48,16,0.129660805,0.617506988,0.300000000,nan,nan,0,0,4550,1653,fitness_reject
1706584995.142283916,49,4,0.129341175,1.919796027,0.300000000,nan,nan,0,0,3828,1260,fitness_reject
1706584999.642542362,51,10,0.143706063,0.662240293,0.300000000,nan,nan,0,0,4591,1081,fitness_reject
1706585003.242334366,54,1,0.084790728,1.839913943,0.300000000,nan,nan,0,0,3602,1534,fitness_reject
1706585004.642533541,55,12,0.095740137,0.733354793,0.300000000,nan,nan,0,0,4533,1548,fitness_reject
1706585005.842625141,56,5,0.037458647,1.802969586,0.300000000,nan,nan,0,0,3927,1323,fitness_reject
1706585007.042687893,57,4,0.076135122,1.965122206,0.300000000,nan,nan,0,0,3828,1448,fitness_reject
1706585008.342576265,58,2,0.066524106,1.457147508,0.300000000,nan,nan,0,0,3738,1695,fitness_reject
1706585010.142882824,60,13,0.115901312,0.933995403,0.300000000,nan,nan,0,0,4562,1558,fitness_reject
1706585013.042246342,63,14,0.094001546,1.293253699,0.300000000,nan,nan,0,0,4528,1702,fitness_reject
1706585014.039519072,64,14,0.093769892,1.463023858,0.300000000,nan,nan,0,0,4528,1830,fitness_reject
1706585015.042613983,65,16,0.114404934,1.023418817,0.300000000,nan,nan,0,0,4550,1694,fitness_reject
1706585017.142917156,67,16,0.094107321,1.117993752,0.300000000,nan,nan,0,0,4550,2144,fitness_reject
1706585018.042246342,68,35,0.092339952,0.464692093,0.300000000,nan,nan,0,0,4772,1602,fitness_reject
1706585019.040901423,69,22,0.120631659,0.845850660,0.300000000,nan,nan,0,0,4460,1668,fitness_reject
1706585020.042250156,70,17,0.090682863,0.834458158,0.300000000,nan,nan,0,0,4509,1554,fitness_reject
1706585020.942448616,71,22,0.095163090,1.028902545,0.300000000,nan,nan,0,0,4460,1592,fitness_reject
1706585021.942859173,72,37,0.033636445,0.617951564,0.300000000,nan,nan,0,0,4857,1947,fitness_reject
1706585022.841457129,73,37,0.094678443,0.569141309,0.300000000,nan,nan,0,0,4857,1947,fitness_reject
1706585023.742750645,74,37,0.035246293,0.660033936,0.300000000,nan,nan,0,0,4857,1941,fitness_reject
1706585024.742736816,75,44,0.057322825,0.610450623,0.300000000,nan,nan,0,0,4793,1944,fitness_reject
1706585025.642916441,76,44,0.078437895,0.662614577,0.300000000,nan,nan,0,0,4793,1791,fitness_reject
1706585026.542272091,77,6,0.179926724,3.370116246,0.300000000,nan,nan,0,0,4116,1450,fitness_reject
1706585027.342574120,78,14,0.123258987,1.454882116,0.300000000,nan,nan,0,0,4528,1418,fitness_reject
1706585028.542287111,79,18,0.088127205,1.528541637,0.300000000,nan,nan,0,0,4471,1629,fitness_reject
1706585029.439448833,80,4,0.134706397,243.644897423,0.300000000,nan,nan,0,0,3828,1210,fitness_reject
1706585031.542248249,82,13,0.154713487,5.676691930,0.300000000,nan,nan,0,0,4562,1315,fitness_reject
1706585045.137468338,96,40,0.178305045,1305.577026927,0.300000000,nan,nan,0,0,4849,492,fitness_reject
1706585049.642751694,103,55,0.162068957,38.416321921,0.300000000,nan,nan,0,0,4770,1488,fitness_reject
1706585050.042110205,104,62,0.173446899,126.237198342,0.300000000,nan,nan,0,0,4763,1827,fitness_reject
1706585050.442269325,105,60,0.139483789,127.752758991,0.300000000,nan,nan,0,0,4641,1915,fitness_reject
1706585050.842418671,106,60,0.143188825,51.216319664,0.300000000,nan,nan,0,0,4641,1844,fitness_reject
1706585051.242576838,107,60,0.110044102,75.676643837,0.300000000,nan,nan,0,0,4641,1637,fitness_reject
1706585052.042929888,109,60,0.121620288,92.917302465,0.300000000,nan,nan,0,0,4641,1766,fitness_reject
1706585052.442280293,110,60,0.116210946,129.225486844,0.300000000,nan,nan,0,0,4641,1894,fitness_reject
1706585052.842424631,111,60,0.108500806,170.503506998,0.300000000,nan,nan,0,0,4641,1928,fitness_reject
1706585053.542917490,113,60,0.137156346,157.885069613,0.300000000,nan,nan,0,0,4641,1950,fitness_reject
1706585053.841862202,114,60,0.130138014,139.444561508,0.300000000,nan,nan,0,0,4641,1919,fitness_reject
1706585054.142369747,115,60,0.094018979,208.765573806,0.300000000,nan,nan,0,0,4641,1933,fitness_reject
1706585055.742579937,120,73,0.118882619,nan,nan,nan,nan,0,0,4670,1526,icp_not_converged
1706585056.142729759,121,73,0.074815468,nan,nan,nan,nan,0,0,4670,1430,icp_not_converged
1706585056.441176414,122,67,0.131021556,nan,nan,nan,nan,0,0,4745,1442,icp_not_converged
1706585056.742555857,123,60,0.099497250,119.164879419,0.300000000,nan,nan,0,0,4641,1683,fitness_reject
1706585057.042876005,124,60,0.076335368,121.255935821,0.300000000,nan,nan,0,0,4641,1793,fitness_reject
1706585057.342377186,125,76,0.142511975,nan,nan,nan,nan,0,0,4661,2016,icp_not_converged
1706585057.641934156,126,68,0.097794030,nan,nan,nan,nan,0,0,4706,1684,icp_not_converged
1706585057.942585230,127,68,0.044219599,nan,nan,nan,nan,0,0,4706,1547,icp_not_converged
1706585058.242925882,128,45,0.083935780,107.096775704,0.300000000,nan,nan,0,0,4889,1350,fitness_reject
1706585058.542455435,129,45,0.109706466,296.865013607,0.300000000,nan,nan,0,0,4889,1400,fitness_reject
1706585058.842740297,130,44,0.053164856,108.707263122,0.300000000,nan,nan,0,0,4793,1491,fitness_reject
1706585059.138907194,131,59,0.103878296,nan,nan,nan,nan,0,0,4727,1597,icp_not_converged
1706585059.442561626,132,76,0.041470832,nan,nan,nan,nan,0,0,4661,1843,icp_not_converged
1706585059.742873907,133,44,0.080659012,372.494793971,0.300000000,nan,nan,0,0,4793,1904,fitness_reject
1706585060.042402983,134,44,0.098697374,253.652218397,0.300000000,nan,nan,0,0,4793,1805,fitness_reject
1706585060.340086937,135,39,0.081329175,130.382846273,0.300000000,nan,nan,0,0,4881,1645,fitness_reject
1706585060.642242670,136,19,0.095846982,60.260909842,0.300000000,nan,nan,0,0,4442,1508,fitness_reject
1706585060.942562580,137,25,0.148184413,68.206986840,0.300000000,nan,nan,0,0,4503,1641,fitness_reject
1706585061.242878437,138,19,0.102838590,159.467300789,0.300000000,nan,nan,0,0,4442,1859,fitness_reject
1706585061.842728376,140,19,0.156775171,267.050497667,0.300000000,nan,nan,0,0,4442,2128,fitness_reject
1706585062.142267942,141,19,0.113775131,155.152435298,0.300000000,nan,nan,0,0,4442,1882,fitness_reject
1706585062.742359400,143,19,0.106186406,400.221316363,0.300000000,nan,nan,0,0,4442,1974,fitness_reject
1706585063.342746735,145,26,0.141440842,150.069240650,0.300000000,nan,nan,0,0,4565,1646,fitness_reject
1706585064.239245892,148,34,0.115267654,nan,nan,nan,nan,0,0,4750,1839,icp_not_converged
1706585064.542426825,149,31,0.133818452,190.169017353,0.300000000,nan,nan,0,0,4657,1780,fitness_reject
1706585064.842760563,150,60,0.150783361,nan,nan,nan,nan,0,0,4641,1807,icp_not_converged
1706585065.142278910,151,60,0.165217999,nan,nan,nan,nan,0,0,4641,1800,icp_not_converged
1706585065.440331697,152,63,0.132312548,nan,nan,nan,nan,0,0,4769,1777,icp_not_converged
1706585066.042458773,154,37,0.166595638,nan,nan,nan,nan,0,0,4857,1908,icp_not_converged
1706585067.242546797,158,31,0.170074376,nan,nan,nan,nan,0,0,4657,1869,icp_not_converged
1706585068.142711401,161,60,0.143181301,nan,nan,nan,nan,0,0,4641,1777,icp_not_converged
1706585068.442231894,162,63,0.093541806,nan,nan,nan,nan,0,0,4769,1788,icp_not_converged
1706585068.742538452,163,60,0.096075941,nan,nan,nan,nan,0,0,4641,1804,icp_not_converged
1706585069.042861938,164,128,0.089162961,16.427974888,0.300000000,nan,nan,0,0,6839,1666,fitness_reject
1706585069.339899302,165,132,0.098548478,1.872350818,0.300000000,nan,nan,0,0,7222,1727,fitness_reject
1706585069.642712116,166,125,0.091986159,2.077065377,0.300000000,nan,nan,0,0,6902,1792,fitness_reject
1706585069.942250729,167,111,0.074131327,11.737196133,0.300000000,nan,nan,0,0,6855,1855,fitness_reject
1706585070.242565155,168,114,0.167140161,9.162003175,0.300000000,nan,nan,0,0,6942,1590,fitness_reject
1706585070.541075468,169,111,0.157534374,14.202442092,0.300000000,nan,nan,0,0,6855,1657,fitness_reject
1706585070.842416048,170,7,0.126562910,nan,nan,nan,nan,0,0,4222,1768,icp_not_converged
1706585071.142716885,171,133,0.088394851,3.127446561,0.300000000,nan,nan,0,0,7259,1819,fitness_reject
1706585071.439563274,172,105,0.107583498,21.926057058,0.300000000,nan,nan,0,0,5930,1626,fitness_reject
1706585071.742219925,173,10,0.093596322,nan,nan,nan,nan,0,0,4591,1576,icp_not_converged
1706585072.042893171,174,105,0.103281503,28.118157352,0.300000000,nan,nan,0,0,5930,1765,fitness_reject
1706585072.342405081,175,133,0.128883536,4.580385744,0.300000000,nan,nan,0,0,7259,1803,fitness_reject
1706585072.642727137,176,133,0.135972034,5.687176606,0.300000000,nan,nan,0,0,7259,1795,fitness_reject
1706585072.942240953,177,128,0.061636883,4.677184257,0.300000000,nan,nan,0,0,6839,1539,fitness_reject
1706585073.841497183,180,13,0.158677308,nan,nan,nan,nan,0,0,4562,1356,icp_not_converged
1706585074.242887259,181,14,0.166917745,nan,nan,nan,nan,0,0,4528,1416,icp_not_converged
1706585075.042404175,183,133,0.097469771,10.738560138,0.300000000,nan,nan,0,0,7259,1691,fitness_reject
1706585075.442564726,184,128,0.071156251,11.455988677,0.300000000,nan,nan,0,0,6839,1489,fitness_reject
1706585075.842688560,185,133,0.097723345,16.562814273,0.300000000,nan,nan,0,0,7259,1688,fitness_reject
1706585076.242428303,186,8,0.146430341,nan,nan,nan,nan,0,0,4269,1665,icp_not_converged
1706585076.642563343,187,126,0.110519115,18.364460136,0.300000000,nan,nan,0,0,6871,1512,fitness_reject
1706585077.042733431,188,131,0.139614071,16.279788359,0.300000000,nan,nan,0,0,7148,1638,fitness_reject
1706585077.442881346,189,110,0.056222265,62.691754448,0.300000000,nan,nan,0,0,6853,1639,fitness_reject
1706585077.839090347,190,132,0.091698146,16.540351074,0.300000000,nan,nan,0,0,7222,1601,fitness_reject
1706585078.242399216,191,107,0.044396970,87.358533039,0.300000000,nan,nan,0,0,6388,1682,fitness_reject
1706585078.642562866,192,133,0.097780103,24.139095835,0.300000000,nan,nan,0,0,7259,1664,fitness_reject
1706585079.040010929,193,8,0.177152813,nan,nan,nan,nan,0,0,4269,1379,icp_not_converged
1706585079.542284727,194,2,0.065958333,nan,nan,nan,nan,0,0,3738,1449,icp_not_converged
