frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected,normal_quality_filter
1,1706585245.782728672,1706585245.882569075,25,24,0.011709188,0.018796437,1,0,1,1,0,-0.101549872,0.030103375,0.029830391,-0.003095467,0.002039471,-0.000269598,0.999993093,1049,757,0.721639657,0.028544576,0.015092056,0.009994574,0.013169529,129.922441718,735,0.946962643,16.149712240,262.926048134,416.941782390,0.023203025,0.021972398,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000009188,0.000018481,0.000161682,0.960967868,-0.276464445,-0.010400349,0.000000000,0.000000000,0.000001578,0.967520913,-0.252031646,0.019578894,1.000000000,0.013169529,0.000000000,0.000000000,0.000000000,129.922441718,1,0.023203025,0.021972398,1.000000000,1.000000000,340,320,20,0.324118208,68,185,78,41,0,378,331,1186,340,253,78,378,0
2,1706585245.882580280,1706585245.982406616,26,25,0.014694714,0.023139877,1,0,1,1,0,-0.084068503,0.038417714,0.026794759,-0.000857429,0.001229535,-0.000497907,0.999998753,1047,777,0.742120344,0.024876878,0.012548126,0.008249771,0.011478236,137.414105438,727,0.950638003,14.204233383,266.124464174,410.785130896,0.020552668,0.019538148,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000009357,0.000016719,0.000176749,0.958009730,-0.286697039,0.004707992,0.000000103,0.000000179,0.000001383,0.972574671,-0.229682304,-0.036668093,1.000000000,0.012323882,0.068655912,0.019594427,0.000446101,133.668273578,2,0.021877847,0.020755273,1.000000000,1.000000000,301,286,15,0.287488061,74,150,63,35,0,459,287,1256,641,477,141,837,0
3,1706585245.982418537,1706585246.082262039,27,26,0.012803715,0.018663021,1,0,1,1,0,-0.132896545,0.048568331,0.019102879,-0.001471050,0.001186554,-0.000017440,0.999998214,1092,803,0.735347985,0.026048693,0.010598213,0.007279602,0.012660142,143.071985911,769,0.948086250,15.509385183,271.533371224,442.035569501,0.021272591,0.020168251,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006865,0.000013195,0.000133451,0.958871635,-0.283359583,-0.016508626,0.000000024,0.000000079,0.000001305,0.975541659,-0.219780394,0.003879474,1.000000000,0.012435969,0.057739026,0.070056073,0.001405653,136.802844356,3,0.021676095,0.020559599,1.000000000,1.000000000,212,205,7,0.194139194,82,182,54,23,0,562,318,1327,853,741,195,1399,0
4,1706585246.083072662,1706585246.182045460,28,27,0.013835272,0.026922044,1,0,1,1,0,-0.215916275,0.061644513,0.008697898,-0.001287137,0.000616902,0.000250165,0.999998950,1048,785,0.749045802,0.026587290,0.012177702,0.007862601,0.010746507,144.308366187,736,0.950435115,13.586806882,276.561999727,409.371438388,0.019423036,0.018460335,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006535,0.000010780,0.000127376,0.960022446,-0.279002789,-0.022679212,0.000000030,0.000000061,0.000001295,0.974410295,-0.224645555,0.007678036,1.000000000,0.012013604,0.049982851,0.154740934,0.001942766,138.679224814,4,0.021112830,0.020034783,1.000000000,1.000000000,169,159,10,0.161259542,74,163,35,14,0,607,272,1384,1022,978,230,2006,0
5,1706585246.182919264,1706585246.282747746,29,28,0.010778113,0.014967964,1,0,1,1,0,-0.234692933,0.061416251,0.011579536,-0.003641895,0.001186092,0.000120069,0.999992658,1053,799,0.758784425,0.029676291,0.012488447,0.009287809,0.014311037,134.733750357,738,0.944946048,16.001696201,257.945987344,423.422500073,0.022945771,0.021682515,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005476,0.000009799,0.000092666,0.960474199,-0.277164695,-0.025865917,0.000000022,0.000000067,0.000001261,0.979226096,-0.202520112,0.010092455,1.000000000,0.012473090,0.063853304,0.173738797,0.002210010,137.890129922,5,0.021479418,0.020364329,1.000000000,1.000000000,132,129,3,0.125356125,80,154,25,9,0,662,259,1423,1154,1212,255,2668,0
6,1706585246.282759666,1706585246.382569551,30,29,0.011971626,0.018697056,1,0,1,1,0,-0.318449811,0.080709211,0.017720949,-0.001703659,0.001292520,0.000359668,0.999997649,1093,845,0.773101555,0.030004514,0.012012450,0.008506635,0.012995480,147.508113558,774,0.951508210,14.680058479,281.535095987,440.252200059,0.019933074,0.018966484,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004974,0.000008475,0.000080003,0.964710050,-0.263081252,-0.011080350,0.000000019,0.000000049,0.000001210,0.979312015,-0.202005403,0.011907715,1.000000000,0.012560155,0.069051355,0.259908107,0.002693446,139.493127195,6,0.021221694,0.020131355,1.000000000,1.000000000,157,148,9,0.143641354,76,141,19,13,0,700,236,1485,1311,1429,274,3368,0
7,1706585246.382580280,1706585246.482398510,31,30,0.011636136,0.018998617,1,0,1,1,0,-0.320785378,0.083262781,0.016437251,-0.000983254,0.000890170,0.000370057,0.999999052,1063,819,0.770460960,0.027987397,0.012453287,0.008709623,0.011624624,159.165557188,761,0.950491081,13.790283883,269.526913010,440.006516124,0.019065162,0.018121267,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004854,0.000007933,0.000076557,0.963480923,-0.267701264,-0.006367518,0.000000018,0.000000048,0.000001187,0.978097682,-0.208083123,0.005132041,1.000000000,0.012426508,0.063974989,0.263599105,0.002716877,142.303474337,7,0.020913618,0.019844200,1.000000000,1.000000000,125,118,7,0.117591722,76,147,23,5,0,690,248,1531,1436,1652,297,4058,0
8,1706585246.482410192,1706585246.581285477,32,31,0.012439336,0.017161179,1,0,1,1,0,-0.357334089,0.094423411,0.018533051,-0.003246358,0.001227376,0.000374133,0.999993907,1043,801,0.767976989,0.032124818,0.013006144,0.009500654,0.018174278,128.430126130,734,0.949536340,15.457539287,273.856088999,407.646045047,0.022178528,0.021059318,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004752,0.000007909,0.000060799,0.966833406,-0.255248995,-0.009006445,0.000000018,0.000000052,0.000001229,0.979059218,-0.203219367,0.012038925,1.000000000,0.013144979,0.078477275,0.301871293,0.002718808,140.569305811,8,0.021071732,0.019996089,1.000000000,1.000000000,119,115,4,0.114093960,76,130,12,11,0,702,222,1572,1555,1858,309,4760,0
9,1706585246.583044052,1706585246.680030346,33,32,0.013349083,0.022606962,1,0,1,1,0,-0.383998225,0.114267970,0.022420805,0.000072170,0.001197795,-0.000356085,0.999999217,1055,836,0.792417062,0.029667896,0.012946675,0.008650879,0.013589733,140.441138045,774,0.952258343,15.509906552,282.044678402,439.493372730,0.021043280,0.020038639,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004713,0.000007630,0.000059357,0.965629757,-0.259702375,-0.010670003,0.000000019,0.000000049,0.000001102,0.978300715,-0.207004922,0.008756375,1.000000000,0.013194396,0.075272032,0.335336160,0.004171103,140.555064948,9,0.021068571,0.020000817,1.000000000,1.000000000,164,159,5,0.155450237,79,132,23,8,0,655,236,1619,1719,2069,332,5415,0
10,1706585246.682888031,1706585246.782706022,34,33,0.013931112,0.032328718,1,0,1,1,0,-0.432672899,0.117028788,0.012740672,-0.003933722,0.000825079,0.000463065,0.999991815,1052,798,0.758555133,0.029633062,0.015133152,0.009751754,0.013277820,141.150156663,770,0.947716744,15.045731979,285.731945648,428.964215455,0.020617882,0.019539912,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004715,0.000007614,0.000060824,0.963597508,-0.266044364,-0.026462045,0.000000019,0.000000045,0.000001271,0.978660044,-0.205257281,0.009693649,1.000000000,0.013202738,0.072289271,0.385040798,0.005802735,140.614574120,10,0.021023502,0.019954727,1.000000000,1.000000000,164,164,0,0.155893536,65,142,4,3,0,677,211,1643,1883,2276,336,6092,0
11,1706585246.782718182,1706585246.882533073,35,34,0.011240283,0.019452217,1,0,1,1,0,-0.465068756,0.128571762,0.018337763,-0.004343127,0.001556504,0.000098435,0.999989352,1038,829,0.798651252,0.031452764,0.014328220,0.009621087,0.015729450,137.835056622,794,0.951793085,15.331977900,293.081621042,447.310110302,0.020287809,0.019309796,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004538,0.000007625,0.000056518,0.966282302,-0.256266770,-0.025017113,0.000000017,0.000000050,0.000001195,0.979900730,-0.199422692,0.005014971,1.000000000,0.013432439,0.074322499,0.419884150,0.006539020,140.361890711,11,0.020956620,0.019896097,1.000000000,1.000000000,173,166,7,0.166666667,82,124,29,8,0,630,235,1676,2056,2482,365,6722,0
12,1706585246.882544994,1706585246.982389927,36,35,0.011522755,0.017485703,1,0,1,1,0,-0.415144871,0.119896096,0.018149719,-0.003111559,0.001055193,0.000033542,0.999994602,1030,815,0.791262136,0.025430798,0.012490505,0.009015003,0.016784774,126.850122989,772,0.955767043,11.227901307,290.796625519,435.827630367,0.015217007,0.014543914,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004392,0.000007679,0.000053203,0.966421874,-0.256221494,-0.019475817,0.000000018,0.000000044,0.000001241,0.979727494,-0.200140945,0.008811289,1.000000000,0.013711801,0.078862715,0.470556596,0.006661851,139.235910067,12,0.020478319,0.019450081,1.000000000,1.000000000,126,124,2,0.122330097,62,102,0,2,0,740,164,1699,2182,2646,365,7462,0
13,1706585246.982402563,1706585247.082247019,37,36,0.009860976,0.018073254,1,0,1,1,0,-0.421756825,0.129072844,0.025984017,-0.005509660,0.001812307,-0.000323216,0.999983127,1033,807,0.781219748,0.031339772,0.013854323,0.009663106,0.012410276,156.444418542,767,0.952455283,11.816688246,280.123396846,438.593117327,0.016175429,0.015406373,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004284,0.000007523,0.000057969,0.966425150,-0.256513084,-0.014948845,0.000000016,0.000000039,0.000001254,0.974536492,-0.223217413,0.021274693,1.000000000,0.013611683,0.079666464,0.484315479,0.007388764,140.559641488,13,0.020147328,0.019139027,1.000000000,1.000000000,107,105,2,0.103581801,65,134,12,3,0,715,211,1725,2289,2845,377,8177,0
14,1706585247.083056927,1706585247.182888746,38,37,0.011902782,0.018399541,1,0,1,1,0,-0.399784169,0.118314160,0.023457274,-0.004339676,0.001580012,0.000142351,0.999989325,1045,822,0.786602871,0.026073681,0.012700984,0.009153195,0.012869054,153.696218229,776,0.957388190,14.151934704,290.227995794,438.553304720,0.019048730,0.018237029,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004240,0.000007415,0.000060676,0.964691365,-0.262986480,-0.014445828,0.000000016,0.000000044,0.000001181,0.977325514,-0.211356392,0.012779451,1.000000000,0.013558639,0.080887834,0.508910832,0.008326148,141.497968398,14,0.020068857,0.019074598,1.000000000,1.000000000,119,118,1,0.113875598,58,118,0,5,0,750,176,1757,2408,3021,377,8927,0
15,1706585247.182901621,1706585247.282733679,39,38,0.013368181,0.020161615,1,0,1,1,0,-0.352245462,0.106719320,0.029525784,-0.003229916,0.001747924,-0.000203479,0.999993235,1048,838,0.799618321,0.026929981,0.012409445,0.008875255,0.015294983,146.644684283,776,0.954381365,13.344076586,285.406261601,441.849600791,0.018017928,0.017195975,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004166,0.000007159,0.000056997,0.963877232,-0.266346700,-0.000342476,0.000000014,0.000000038,0.000001185,0.976989460,-0.212903951,0.012786807,1.000000000,0.013674395,0.079688611,0.558217988,0.009015383,141.841082791,15,0.019932128,0.018949357,1.000000000,1.000000000,94,93,1,0.089694656,57,116,9,2,0,772,182,1787,2502,3194,386,9699,0
16,1706585247.282745361,1706585247.382575989,40,39,0.012940212,0.019787035,1,0,1,1,0,-0.300242128,0.089236861,0.031744174,-0.002363741,0.001792831,0.000035960,0.999995599,1074,869,0.809124767,0.028313550,0.012840567,0.008517882,0.014237105,145.066400059,792,0.956863951,14.588064596,287.875499150,455.372685715,0.019249626,0.018419273,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004100,0.000007202,0.000055455,0.964620581,-0.263498630,-0.008695206,0.000000015,0.000000046,0.000001040,0.977505160,-0.210709454,0.009229741,1.000000000,0.013709564,0.077182978,0.613126134,0.009497077,142.042665120,16,0.019889472,0.018916227,1.000000000,1.000000000,83,83,0,0.077281192,72,115,0,0,0,804,187,1814,2585,3381,386,10503,0
17,1706585247.382586956,1706585247.481843233,41,40,0.011221896,0.016275559,1,0,1,1,0,-0.279418381,0.079683568,0.022118280,-0.002568616,0.000984397,0.000264705,0.999996182,1056,836,0.791666667,0.030190346,0.012734739,0.008994313,0.018595672,132.623420259,760,0.949255515,14.184380848,272.681095882,434.568714656,0.019661365,0.018663659,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003976,0.000006990,0.000049666,0.963452206,-0.267880247,-0.000140579,0.000000014,0.000000042,0.000001137,0.978067792,-0.207821435,0.013915631,1.000000000,0.013996982,0.076023612,0.637976720,0.009957983,141.488591893,17,0.019876054,0.018901370,1.000000000,1.000000000,68,67,1,0.064393939,62,116,0,0,0,808,180,1830,2653,3559,386,11311,0
18,1706585247.482417107,1706585247.582247257,42,41,0.014416898,0.022148833,1,0,1,1,0,-0.257712607,0.067888238,0.010278250,-0.002256440,0.000728062,0.000238336,0.999997161,1048,842,0.803435115,0.028059920,0.012676503,0.008739303,0.016334178,134.465344624,766,0.956610477,12.024644452,280.870207111,439.868773528,0.016409991,0.015697969,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003968,0.000007165,0.000048456,0.963188896,-0.268825398,-0.000236941,0.000000015,0.000000045,0.000001104,0.980072989,-0.198402408,0.009665422,1.000000000,0.014126827,0.074041716,0.665371186,0.010008949,141.098411489,18,0.019683495,0.018723403,1.000000000,1.000000000,77,73,4,0.073473282,56,119,0,1,0,795,176,1857,2730,3734,386,12106,0
19,1706585247.583058119,1706585247.682900190,43,42,0.012389145,0.021190528,1,0,1,1,0,-0.256082701,0.069219498,0.009339088,-0.000765649,0.000889563,0.000128899,0.999999303,1076,858,0.797397770,0.030133069,0.011509737,0.008357310,0.016265043,143.443052915,786,0.951510755,15.906013343,284.755105018,447.226335342,0.021267924,0.020236658,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003960,0.000006777,0.000047949,0.964160047,-0.265321285,-0.000141177,0.000000013,0.000000032,0.000001044,0.972821286,-0.231030298,0.015612396,1.000000000,0.014239364,0.072978052,0.667675720,0.010225897,141.221813669,19,0.019766886,0.018803048,1.000000000,1.000000000,80,78,2,0.074349442,74,113,2,0,0,806,190,1881,2810,3921,388,12912,0
20,1706585247.682912350,1706585247.782312155,44,43,0.012702815,0.017248346,1,0,1,1,0,-0.232670992,0.069245235,0.016312853,-0.000459738,0.001188104,-0.000228188,0.999999162,1042,823,0.789827255,0.027927248,0.011982536,0.007964770,0.011634054,167.088046141,770,0.957381299,11.264533313,285.675453242,440.243613613,0.015280499,0.014629264,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004199,0.000007155,0.000054744,0.965128285,-0.261686208,0.006908172,0.000000015,0.000000046,0.000001120,0.979350766,-0.201962938,0.009113135,1.000000000,0.014109099,0.071387562,0.692104027,0.010939803,142.515125293,20,0.019542566,0.018594359,1.000000000,1.000000000,73,70,3,0.070057582,63,111,0,6,0,795,174,1907,2883,4095,388,13707,0
21,1706585247.782747984,1706585247.881081343,45,44,0.012161463,0.021051386,1,0,0,0,0,-0.223480980,0.068887007,0.024524398,-0.001290821,0.001466588,-0.000201809,0.999998071,1053,847,0.804368471,0.028768552,0.011831259,0.007500121,0.012880863,151.024650024,770,0.959222172,13.030062165,288.620556808,436.950453666,0.017641542,0.016922159,1,0.019797220,0.018815071,0.891112127,0.899393804,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004315,0.000007118,0.000055981,0.964153287,-0.265308600,0.004448120,0.000000016,0.000000042,0.000001098,0.977554232,-0.210330613,0.012196587,0.952380952,0.014050611,0.069660797,0.704433428,0.010989868,142.920340756,0,0.019452041,0.018514730,0.891112127,0.899393804,244,233,11,0.231718898,0,0,0,0,0,809,0,2030,3127,4095,388,14516,0
22,1706585247.882591963,1706585247.979888678,46,45,0.011409096,0.021107218,1,0,0,0,1,-0.228725027,0.068374997,0.022807580,-0.003418998,0.001348102,-0.000092288,0.999993242,1044,831,0.795977011,0.022559480,0.010830972,0.007774410,0.016303480,144.745365832,784,0.950471737,14.483161069,297.754706950,432.931973420,0.019436054,0.018473420,1,0.019661365,0.018663659,0.988540413,0.989806968,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003927,0.000006972,0.000052580,0.963415241,-0.267846413,0.009453732,0.000000013,0.000000042,0.000001122,0.978809927,-0.204624317,0.007747022,0.909090909,0.014153014,0.081697595,0.709975056,0.011203479,143.003296442,0,0.019451315,0.018512853,0.939826270,0.944600386,201,196,5,0.192528736,0,0,0,0,0,843,0,2107,3328,4095,388,15359,0
23,1706585247.982422352,1706585248.082259417,47,46,0.015031971,0.023615228,1,0,0,0,1,-0.222015228,0.068445301,0.021810436,-0.003142388,0.001383808,-0.000159058,0.999994093,1026,806,0.785575049,0.020515604,0.010226848,0.007272191,0.019536675,120.627774494,764,0.944460371,13.267481448,278.178252201,430.121989916,0.018387022,0.017365813,1,0.019548709,0.018568539,0.940574721,0.935227756,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004102,0.000007216,0.000046459,0.962940947,-0.269708246,0.001481439,0.000000016,0.000000041,0.000001210,0.979390565,-0.201800194,0.008414450,0.863636364,0.014442430,0.100980445,0.697164481,0.010890397,142.580811568,0,0.019232405,0.018303462,0.940075754,0.941476176,211,204,7,0.205653021,0,0,0,0,0,815,0,2193,3539,4095,388,16174,0
24,1706585248.083070040,1706585248.182895422,48,47,0.013802489,0.020565885,1,0,0,0,1,-0.191291146,0.057803783,0.026976924,-0.002161207,0.001620231,0.000117020,0.999996345,1035,805,0.777777778,0.021837182,0.011407910,0.007702239,0.025463288,106.942455009,789,0.942641535,16.078735409,287.331043807,440.334391741,0.021618637,0.020378625,1,0.019436054,0.018473420,1.112295609,1.103132266,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004373,0.000007499,0.000039295,0.966847924,-0.255347146,0.001710534,0.000000017,0.000000042,0.000001279,0.978781013,-0.204614510,0.010983200,0.809523810,0.015193256,0.110489405,0.594940665,0.009947582,141.106391341,0,0.019186014,0.018254686,0.983130718,0.981890198,165,161,4,0.159420290,0,0,0,0,0,870,0,2250,3704,4095,388,17044,0
25,1706585248.182907343,1706585248.282731533,49,48,0.013255039,0.019278758,1,0,0,0,1,-0.195200830,0.054681757,0.025495235,-0.002981805,0.001520021,-0.000022963,0.999994399,1041,812,0.780019212,0.022067197,0.010956078,0.007770205,0.015943777,143.383607922,784,0.943047068,13.990330456,278.703972967,446.654598267,0.018922501,0.017844809,1,0.019548709,0.018568539,0.967966780,0.961023853,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004194,0.000007120,0.000042386,0.965840642,-0.258952594,-0.009767729,0.000000014,0.000000035,0.000001171,0.976493529,-0.215270303,0.010912563,0.772727273,0.015227371,0.117440584,0.600158718,0.010229610,141.209901185,0,0.019174036,0.018236055,0.980097930,0.977716929,151,151,0,0.145052834,0,0,0,0,0,890,0,2293,3855,4095,388,17934,0
26,1706585248.282743216,1706585248.382568836,50,49,0.010086937,0.015501624,1,0,0,0,1,-0.205395150,0.061370184,0.028180753,-0.003508447,0.001728578,-0.000254600,0.999992319,1035,795,0.768115942,0.021045189,0.010705960,0.007475155,0.021614187,126.403600226,796,0.941925698,15.539330206,288.610432193,445.623093335,0.020725384,0.019521772,1,0.019436054,0.018473420,1.066337031,1.056749205,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004083,0.000006752,0.000040969,0.967664822,-0.252226090,0.002605974,0.000000014,0.000000033,0.000001139,0.974311938,-0.225015476,0.009180537,0.727272727,0.015721356,0.128504338,0.593645695,0.010428704,140.396048187,0,0.019233234,0.018284302,0.994471113,0.990888975,132,131,1,0.127536232,0,0,0,0,0,903,0,2328,3987,4095,388,18837,0
27,1706585248.382580996,1706585248.482402802,51,50,0.011959360,0.016244466,1,0,0,0,1,-0.206314548,0.056119459,0.025467548,-0.003937918,0.001819583,0.000086914,0.999990587,1046,797,0.761950287,0.021976454,0.011107584,0.008230901,0.020890201,137.425804677,793,0.941499564,13.809187075,286.952367477,445.847599811,0.018495872,0.017413855,1,0.019548709,0.018568539,0.946142856,0.937815018,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003761,0.000006643,0.000040144,0.963340718,-0.268093506,0.010026649,0.000000010,0.000000032,0.000001223,0.974657268,-0.223168834,0.015455797,0.666666667,0.016164453,0.136710535,0.509766764,0.010602663,140.185571470,0,0.018988008,0.018048548,0.987567077,0.983306981,131,127,4,0.125239006,0,0,0,0,0,915,0,2363,4118,4095,388,19752,0
