frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706585247.583058119,1706585247.682900190,1,0,0,0,-0.088395090,-0.001238316,-0.013947432,0.000187100,-0.000386932,0.001083268,0.999999321,1078,797,0.739332096,0.037344526,0.015098766,0.010736662,0.030820620,88.742747022,0.000000000,0.030820620,0.000000000,0.000000000,0.000000000,88.742747022,0,612,577,35,0.567717996,101,0,0,0,0,365,101,1319,612,101,0,365
2,1706585247.682912350,1706585247.782312155,1,0,0,0,-0.155783312,0.040532811,0.003660157,-0.001456367,0.000553682,0.000097494,0.999998781,1036,766,0.739382239,0.022214499,0.010277200,0.007939954,0.021637075,96.299493363,0.000000000,0.026228847,0.254034175,0.081215926,0.001973017,92.521120192,0,384,369,15,0.370656371,46,0,0,0,0,606,46,1466,996,147,0,971
3,1706585247.782747984,1706585247.881081343,1,1,1,0,-0.172454256,0.059176161,0.011616621,-0.001321707,0.000371625,0.000073447,0.999999055,1059,800,0.755429651,0.027439276,0.011674948,0.008340719,0.019828020,111.078019387,0.333333333,0.024095238,0.216368088,0.107460929,0.002020481,98.706753257,1,188,182,6,0.177525968,77,117,15,13,0,661,210,1530,1184,341,15,1632
4,1706585247.882591963,1706585247.979888678,1,1,1,0,-0.215571380,0.072601283,0.007980536,-0.002708503,0.000362541,0.000019560,0.999996266,1034,784,0.758220503,0.026621868,0.012194703,0.008607692,0.016743154,112.063670045,0.500000000,0.022257217,0.194704451,0.152765911,0.002129236,102.045982454,2,149,143,6,0.144100580,61,119,0,13,0,705,180,1583,1333,521,15,2337
5,1706585247.982422352,1706585248.082259417,1,1,1,0,-0.258040549,0.057829666,0.001410985,-0.002062349,0.000204498,0.001071299,0.999997279,1028,782,0.760700389,0.025296962,0.011124723,0.008083088,0.016258267,120.122066174,0.600000000,0.021057427,0.183582257,0.198208073,0.004233830,105.661199198,3,133,128,5,0.129377432,48,120,0,12,0,727,168,1629,1466,689,15,3064
6,1706585248.083070040,1706585248.182895422,1,0,0,0,-0.229399748,0.055970943,0.013888196,0.000289440,0.001087559,0.000334094,0.999999311,1035,799,0.771980676,0.025173405,0.012760402,0.008782646,0.021230277,108.161016511,0.500000000,0.021086235,0.173927940,0.229503938,0.005706762,106.077835417,0,221,207,14,0.213526570,46,0,0,0,0,768,46,1742,1687,735,15,3832
7,1706585248.182907343,1706585248.282731533,1,0,0,0,-0.241655963,0.046615364,0.005781565,-0.001600413,0.000403188,0.000994160,0.999998144,1034,792,0.765957447,0.028422886,0.012723709,0.009381283,0.020111464,118.198415838,0.428571429,0.020946982,0.160709801,0.246924016,0.007024970,107.809346906,0,203,195,8,0.196324952,58,0,0,0,0,773,58,1829,1890,793,15,4605
8,1706585248.282743216,1706585248.382568836,1,0,0,0,-0.237845423,0.053663520,0.005862957,-0.001818838,0.000751612,0.000368464,0.999997996,1037,821,0.791706847,0.025095260,0.011570577,0.008798223,0.020167655,121.356565468,0.375000000,0.020849566,0.154783790,0.254936714,0.008277804,109.502749226,0,194,187,7,0.187078110,52,0,0,0,0,791,52,1911,2084,845,15,5396
9,1706585248.382580996,1706585248.482402802,1,0,0,0,-0.255792708,0.050028233,0.000863124,-0.001923472,0.000732299,0.000957618,0.999997423,1050,831,0.791428571,0.024721003,0.012912963,0.009363618,0.020495969,130.701649483,0.333333333,0.020810278,0.150240085,0.273918776,0.009456028,111.858182588,0,165,160,5,0.157142857,52,0,0,0,0,833,52,1970,2249,897,15,6229
10,1706585248.482415676,1706585248.582250834,1,0,0,0,-0.268163488,0.060555369,-0.003207275,-0.000646652,0.000115635,0.000503340,0.999999658,1068,845,0.791198502,0.023559655,0.010605249,0.008347875,0.022391958,125.811727269,0.300000000,0.020968446,0.149247066,0.290664669,0.010361914,113.253537056,0,177,172,5,0.165730337,44,0,0,0,0,847,44,2027,2426,941,15,7076
