frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706585247.583058119,1706585247.682900190,0,0,0,0,-0.088395090,-0.001238316,-0.013947432,0.000187100,-0.000386932,0.001083268,0.999999321,1078,797,0.000000000,0.037344526,0.015098766,0.010736662,0.000000000,88.742747022,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,713,670,43,0.661410019,0,0,0,0,0,365,0,1381,713,0,0,365
2,1706585247.682912350,1706585247.782312155,0,0,0,0,-0.200704919,0.054009491,0.000809987,-0.000379383,0.000217439,0.000080415,0.999999901,1036,751,0.000000000,0.020301562,0.011416798,0.008513034,0.000000000,110.740190143,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,388,371,17,0.374517375,0,0,0,0,0,648,0,1548,1101,0,0,1013
3,1706585247.782747984,1706585247.881081343,0,0,0,0,-0.191513621,0.069170577,0.010033964,-0.000730663,0.000286470,-0.000017642,0.999999692,1064,773,0.000000000,0.022522931,0.011195627,0.007921880,0.000000000,124.144128754,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,350,337,13,0.328947368,0,0,0,0,0,714,0,1699,1451,0,0,1727
4,1706585247.882591963,1706585247.979888678,0,0,0,0,-0.249792964,0.088233754,0.007687781,0.000052870,0.000109579,0.000039128,0.999999992,1036,785,0.000000000,0.021863719,0.011718785,0.008438633,0.000000000,102.318931765,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,284,274,10,0.274131274,0,0,0,0,0,752,0,1811,1735,0,0,2479
5,1706585247.982422352,1706585248.082259417,0,0,0,0,-0.259246775,0.070624516,0.009590573,-0.001956430,0.000468588,0.000672577,0.999997750,1030,781,0.000000000,0.022158820,0.010582185,0.007212549,0.000000000,98.278831114,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,253,239,14,0.245631068,0,0,0,0,0,777,0,1919,1988,0,0,3256
6,1706585248.083070040,1706585248.182895422,0,0,0,0,-0.263400925,0.070412545,0.015140512,0.000538154,0.000743283,0.000401329,0.999999498,1031,788,0.000000000,0.021631066,0.011664216,0.008036638,0.000000000,122.377926515,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,197,192,5,0.191076625,0,0,0,0,0,834,0,2004,2185,0,0,4090
7,1706585248.182907343,1706585248.282731533,0,0,0,0,-0.285078383,0.073912925,0.020604049,-0.002186799,0.001135027,0.000359422,0.999996900,1034,772,0.000000000,0.021151607,0.012056284,0.008153464,0.000000000,125.986249975,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,208,204,4,0.201160542,0,0,0,0,0,826,0,2074,2393,0,0,4916
8,1706585248.282743216,1706585248.382568836,0,0,0,0,-0.283575684,0.075218942,0.018221425,-0.001391958,0.000957376,0.000335272,0.999998517,1042,787,0.000000000,0.021087186,0.012141142,0.007888495,0.000000000,123.296139385,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,207,202,5,0.198656430,0,0,0,0,0,835,0,2141,2600,0,0,5751
9,1706585248.382580996,1706585248.482402802,0,0,0,0,-0.287182940,0.070162966,0.010173416,-0.001176111,0.000677860,0.000668838,0.999998855,1049,805,0.000000000,0.022000754,0.011818641,0.008251101,0.000000000,130.024299363,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,172,167,5,0.163965682,0,0,0,0,0,877,0,2200,2772,0,0,6628
10,1706585248.482415676,1706585248.582250834,0,0,0,0,-0.283386029,0.071624713,0.008217315,-0.000264111,0.000465205,0.000404835,0.999999775,1068,798,0.000000000,0.020814188,0.010695318,0.007943953,0.000000000,134.397603617,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,192,190,2,0.179775281,0,0,0,0,0,876,0,2269,2964,0,0,7504
