frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected,normal_quality_filter
1,1706585907.873071909,1706585907.972906351,22,21,0.015353485,0.022106799,1,0,0,0,0,-0.039414709,-0.007457625,0.019873984,-0.005179511,0.000645634,0.000187089,0.999986360,1206,835,0.692371476,0.041382262,0.020518900,0.014578135,0.104343792,59.260317400,764,0.941363746,45.889680851,244.406740360,428.905480634,0.063806395,0.060065027,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000009029,0.000011806,0.000018867,0.995768772,-0.007480461,-0.091589279,0.000000000,0.000000000,0.000001009,0.991237591,0.097720356,-0.088875026,0.000000000,0.104343792,0.000000000,0.000000000,0.000000000,59.260317400,0,0.063806395,0.060065027,1.000000000,1.000000000,731,691,40,0.606135987,99,0,0,0,0,376,99,1540,731,99,0,376,1
2,1706585907.972918987,1706585908.072736979,23,22,0.015104693,0.021927806,1,0,0,0,0,-0.027131556,0.012654045,0.028231947,-0.002063490,0.001007364,-0.000278530,0.999997325,1165,884,0.758798283,0.031268699,0.016077560,0.011565601,0.094955945,63.160762373,793,0.944019085,47.940956135,249.525295176,451.140882737,0.064040207,0.060455178,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000008740,0.000010754,0.000018849,0.995990614,0.089328598,0.004806068,0.000000106,0.000000122,0.000001059,0.998372508,-0.026019783,-0.050747481,0.000000000,0.099649868,0.139207570,0.025004213,0.000928701,61.210539887,0,0.063923301,0.060260103,1.000000000,1.000000000,497,481,16,0.426609442,77,0,0,0,0,591,77,1703,1228,176,0,967,1
3,1706585908.072748661,1706585908.172582388,24,23,0.013482035,0.018505765,1,0,0,0,0,-0.022280889,0.025158062,0.033510184,-0.002279921,0.001108962,-0.000388272,0.999996711,1217,911,0.748562038,0.031407796,0.015624349,0.011393125,0.097438658,68.594018659,822,0.945875248,45.368643090,251.244497276,480.896313569,0.058351243,0.055192996,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006376,0.000008769,0.000015002,0.995768301,0.089405317,0.021264531,0.000000011,0.000000027,0.000001019,0.997352463,0.042805245,-0.058785853,0.000000000,0.098912798,0.136513298,0.039417374,0.001149084,63.671699477,0,0.062065949,0.058571067,1.000000000,1.000000000,448,417,31,0.368118324,77,0,0,0,0,692,77,1865,1676,253,0,1659,1
4,1706585908.172593832,1706585908.272412062,25,24,0.015139157,0.023082924,1,0,0,0,0,-0.012685600,0.029368240,0.036273763,-0.003747905,0.001026826,-0.000470085,0.999992339,1259,920,0.730738681,0.030267159,0.014332434,0.010521670,0.099630543,70.399099566,867,0.941079060,49.584606709,270.592305916,495.738632422,0.060771739,0.057191011,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005108,0.000006202,0.000012480,0.997129985,0.054532798,-0.052516342,0.000000009,0.000000017,0.000001012,0.998069883,0.043600268,-0.044221311,0.000000000,0.099092235,0.134753712,0.050254003,0.001315346,65.353549500,0,0.061742396,0.058226053,1.000000000,1.000000000,433,405,28,0.343923749,87,0,0,0,0,739,87,2031,2109,340,0,2398,1
5,1706585908.272424698,1706585908.372009993,26,25,0.016551455,0.020834766,1,0,0,0,0,-0.011327308,0.017497899,0.027259188,-0.005324442,0.000129035,0.000170094,0.999985802,1194,892,0.747068677,0.030180936,0.016044601,0.011130935,0.096809642,69.905099881,861,0.945578244,49.018461329,254.689004722,510.435401845,0.060208673,0.056932011,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004788,0.000006045,0.000011163,0.992742121,0.103091826,-0.061928647,0.000000009,0.000000020,0.000000960,0.997779244,0.049480144,-0.044590310,0.000000000,0.098635716,0.129779865,0.065221051,0.002602017,66.263859576,0,0.061435651,0.057967245,1.000000000,1.000000000,358,348,10,0.299832496,61,0,0,0,0,775,61,2150,2467,401,0,3173,1
6,1706585908.373058319,1706585908.470735312,27,26,0.012601174,0.022687848,1,0,0,0,0,-0.014101212,0.013568331,0.034490572,-0.003743488,0.001172717,-0.000108419,0.999992300,1193,937,0.785414920,0.028642578,0.014968472,0.011169056,0.092100647,74.756819267,845,0.951091989,45.868457850,261.106119130,496.698153634,0.057073553,0.054282199,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004456,0.000005514,0.000010486,0.992747958,0.109165157,-0.050343431,0.000000008,0.000000018,0.000000918,0.997421941,0.053630800,-0.047678172,0.000000000,0.097546538,0.130737488,0.073906037,0.003166444,67.679352858,0,0.060708635,0.057353070,1.000000000,1.000000000,307,299,8,0.257334451,59,0,0,0,0,827,59,2241,2774,460,0,4000,1
7,1706585908.472907305,1706585908.569442749,28,27,0.011702130,0.018345229,1,0,0,0,0,-0.018599720,0.014368483,0.034618492,-0.003841606,0.000912233,-0.000167817,0.999992191,1185,907,0.765400844,0.028108307,0.015204778,0.010934599,0.097288334,76.289749377,875,0.946295839,45.979529875,271.490336715,510.538992969,0.055530239,0.052548034,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004264,0.000005320,0.000010300,0.986657092,0.160388105,0.027989962,0.000000007,0.000000018,0.000000974,0.997976399,0.048577969,-0.041027883,0.000000000,0.097509652,0.131300210,0.078476943,0.003283468,68.909409504,0,0.059968864,0.056666637,1.000000000,1.000000000,272,267,5,0.229535865,51,0,0,0,0,862,51,2326,3046,511,0,4862,1
8,1706585908.572750330,1706585908.672556639,29,28,0.013784958,0.024559964,1,0,0,0,0,-0.018662902,0.014002827,0.040948299,-0.004216409,0.001173788,-0.000124866,0.999990414,1209,947,0.783291977,0.030702251,0.015239422,0.011108297,0.092531307,76.287456287,896,0.950782064,47.998096354,279.072508129,524.830124622,0.056342359,0.053569304,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004327,0.000005353,0.000010262,0.989888196,0.140630990,-0.018554876,0.000000007,0.000000018,0.000000874,0.997733559,0.051460772,-0.043353594,0.000000000,0.096887359,0.123628330,0.084817617,0.003366482,69.831665351,0,0.059515551,0.056279470,1.000000000,1.000000000,256,249,7,0.211745244,61,0,0,0,0,892,61,2409,3302,572,0,5754,1
9,1706585908.672580719,1706585908.772357225,30,29,0.013554842,0.018055509,1,0,0,0,0,-0.026360160,0.013989886,0.039680545,-0.004820350,0.001044442,-0.000077119,0.999987834,1208,938,0.776490066,0.028327008,0.014275241,0.010565247,0.094624019,75.666979302,888,0.947029294,49.770658011,273.340323940,517.851030756,0.059183004,0.056048038,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004313,0.000005144,0.000010227,0.990106519,0.134314312,0.040604753,0.000000007,0.000000017,0.000000920,0.998158527,0.046089703,-0.039437214,0.000000000,0.096635876,0.122133509,0.092618589,0.003461804,70.480033568,0,0.059478601,0.056253755,1.000000000,1.000000000,246,245,1,0.203642384,52,0,0,0,0,910,52,2464,3548,624,0,6664,1
10,1706585908.772418022,1706585908.871104956,31,30,0.012312210,0.020232548,1,0,0,0,0,-0.030062031,0.021345961,0.042260788,-0.003926616,0.001259856,-0.000399293,0.999991417,1192,930,0.780201342,0.028059457,0.013581715,0.009181863,0.097947826,78.692088363,880,0.946005695,46.741105836,265.982402238,519.761503241,0.056146483,0.053114893,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004177,0.000005155,0.000010035,0.984329974,0.169371868,0.049068036,0.000000007,0.000000017,0.000000866,0.997650651,0.051595154,-0.045067925,0.000000000,0.096767071,0.120809057,0.101248382,0.004105973,71.301239048,0,0.059145389,0.055939869,1.000000000,1.000000000,226,224,2,0.189597315,48,0,0,0,0,918,48,2516,3774,672,0,7582,1
