frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1706585907.873071909,1706585907.972906351,1,0,0,0,-0.039414709,-0.007457625,0.019873984,-0.005179511,0.000645634,0.000187089,0.999986360,1206,835,0.692371476,0.041382262,0.020518900,0.014578135,0.104343792,59.260317400,0.000000000,0.104343792,0.000000000,0.000000000,0.000000000,59.260317400,0,731,691,40,0.606135987,99,0,0,0,0,0,376,99,1540,731,99,0,0,376
2,1706585907.972918987,1706585908.072736979,1,0,0,0,-0.027131556,0.012654045,0.028231947,-0.002063490,0.001007364,-0.000278530,0.999997325,1165,884,0.758798283,0.031268699,0.016077560,0.011565601,0.094955945,63.160762373,0.000000000,0.099649868,0.139207570,0.025004213,0.000928701,61.210539887,0,497,481,16,0.426609442,77,0,0,0,0,0,591,77,1703,1228,176,0,0,967
3,1706585908.072748661,1706585908.172582388,1,0,0,0,-0.022280889,0.025158062,0.033510184,-0.002279921,0.001108962,-0.000388272,0.999996711,1217,911,0.748562038,0.031407796,0.015624349,0.011393125,0.097438658,68.594018659,0.000000000,0.098912798,0.136513298,0.039417374,0.001149084,63.671699477,0,444,417,27,0.364831553,77,0,0,0,0,0,692,81,1861,1672,253,0,0,1659
4,1706585908.172593832,1706585908.272412062,1,0,0,0,-0.012685600,0.029368240,0.036273763,-0.003747905,0.001026826,-0.000470085,0.999992339,1259,920,0.730738681,0.030267159,0.014332434,0.010521670,0.099630543,70.399099566,0.000000000,0.099092235,0.134753712,0.050254003,0.001315346,65.353549500,0,428,405,23,0.339952343,87,0,0,0,0,0,739,92,2022,2100,340,0,0,2398
5,1706585908.272424698,1706585908.372009993,1,0,0,0,-0.011327308,0.017497899,0.027259188,-0.005324442,0.000129035,0.000170094,0.999985802,1194,892,0.747068677,0.030180936,0.016044601,0.011130935,0.096809642,69.905099881,0.000000000,0.098635716,0.129779865,0.065221051,0.002602017,66.263859576,0,355,348,7,0.297319933,61,0,0,0,0,0,775,64,2138,2455,401,0,0,3173
6,1706585908.373058319,1706585908.470735312,1,0,0,0,-0.014101212,0.013568331,0.034490572,-0.003743488,0.001172717,-0.000108419,0.999992300,1193,937,0.785414920,0.028642578,0.014968472,0.011169056,0.092100647,74.756819267,0.000000000,0.097546538,0.130737488,0.073906037,0.003166444,67.679352858,0,307,299,8,0.257334451,59,0,0,0,0,0,827,59,2229,2762,460,0,0,4000
7,1706585908.472907305,1706585908.569442749,1,0,0,0,-0.018599720,0.014368483,0.034618492,-0.003841606,0.000912233,-0.000167817,0.999992191,1185,907,0.765400844,0.028108307,0.015204778,0.010934599,0.097288334,76.289749377,0.000000000,0.097509652,0.131300210,0.078476943,0.003283468,68.909409504,0,271,267,4,0.228691983,51,0,0,0,0,0,862,52,2313,3033,511,0,0,4862
8,1706585908.572750330,1706585908.672556639,1,0,0,0,-0.018662902,0.014002827,0.040948299,-0.004216409,0.001173788,-0.000124866,0.999990414,1209,947,0.783291977,0.030702251,0.015239422,0.011108297,0.092531307,76.287456287,0.000000000,0.096887359,0.123628330,0.084817617,0.003366482,69.831665351,0,256,249,7,0.211745244,61,0,0,0,0,0,892,61,2396,3289,572,0,0,5754
9,1706585908.672580719,1706585908.772357225,1,0,0,0,-0.026360160,0.013989886,0.039680545,-0.004820350,0.001044442,-0.000077119,0.999987834,1208,938,0.776490066,0.028327008,0.014275241,0.010565247,0.094624019,75.666979302,0.000000000,0.096635876,0.122133509,0.092618589,0.003461804,70.480033568,0,246,245,1,0.203642384,52,0,0,0,0,0,910,52,2451,3535,624,0,0,6664
10,1706585908.772418022,1706585908.871104956,1,0,0,0,-0.030062031,0.021345961,0.042260788,-0.003926616,0.001259856,-0.000399293,0.999991417,1192,930,0.780201342,0.028059457,0.013581715,0.009181863,0.097947826,78.692088363,0.000000000,0.096767071,0.120809057,0.101248382,0.004105973,71.301239048,0,226,224,2,0.189597315,48,0,0,0,0,0,918,48,2503,3761,672,0,0,7582
