frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1706585909.873092175,1706585909.972931147,1,0,0,0,0.027833001,0.023661374,0.066746631,-0.002996814,0.002923609,-0.000837712,0.999990885,1164,809,0.695017182,0.042541708,0.023295142,0.014841108,0.094905754,62.662512280,0.000000000,0.094905754,0.000000000,0.000000000,0.000000000,62.662512280,0,667,625,42,0.573024055,80,0,0,0,0,0,417,80,1512,667,80,0,0,417
2,1706585909.972943068,1706585910.072144270,1,0,0,0,-0.017348901,0.016137787,0.037699353,0.000171048,0.001919455,-0.000610880,0.999997957,1196,845,0.706521739,0.034941020,0.019411065,0.012627853,0.111204298,59.085491963,0.000000000,0.103055026,0.098095251,0.054237930,0.000471851,60.874002122,0,567,545,22,0.474080268,72,0,0,0,0,0,557,72,1747,1234,152,0,0,974
3,1706585910.072781324,1706585910.170928001,1,0,0,0,-0.039544697,0.023234736,0.033054003,0.002052012,0.002625514,-0.001103088,0.999993840,1189,910,0.765349033,0.034432735,0.018588681,0.012467634,0.106982611,65.907700869,0.000000000,0.104364221,0.099412867,0.077999229,0.001446159,62.551901704,0,453,440,13,0.380992431,82,0,0,0,0,0,654,82,1904,1687,234,0,0,1628
4,1706585910.172612906,1706585910.269775152,1,0,0,0,-0.065488095,0.015203633,0.022382017,0.001562351,0.001808718,-0.000438426,0.999997048,1216,939,0.772203947,0.034171964,0.016787693,0.011167947,0.105438348,69.807805660,0.000000000,0.104632753,0.095464710,0.107178841,0.002770374,64.365877693,0,413,407,6,0.339638158,72,0,0,0,0,0,731,72,2022,2100,306,0,0,2359
5,1706585910.272456884,1706585910.372284651,1,0,0,0,-0.053589216,0.017963537,0.028640228,-0.000449176,0.001888700,-0.000644526,0.999997908,1199,944,0.787322769,0.030500291,0.015787049,0.010797998,0.101401316,73.191211615,0.000000000,0.103986465,0.111568977,0.120903476,0.003189926,66.130944477,0,341,337,4,0.284403670,70,0,0,0,0,0,788,70,2117,2441,376,0,0,3147
6,1706585910.373095751,1706585910.472922564,1,0,0,0,-0.037692280,0.020182888,0.031809595,0.001210673,0.001941930,-0.000751057,0.999997100,1227,975,0.794621027,0.033264598,0.016407745,0.011979403,0.098008443,74.120044156,0.000000000,0.102990128,0.105145114,0.137264496,0.003396591,67.462461090,0,310,305,5,0.252648737,61,0,0,0,0,0,856,61,2195,2751,437,0,0,4003
7,1706585910.472934484,1706585910.572751999,1,0,0,0,-0.019478566,0.020220574,0.038618619,0.000024021,0.002101174,-0.000700693,0.999997547,1190,942,0.791596639,0.034974826,0.015357238,0.010816814,0.105494772,72.589597414,0.000000000,0.103347935,0.097345683,0.156709383,0.003492717,68.194909137,0,265,260,5,0.222689076,73,0,0,0,0,0,852,73,2270,3016,510,0,0,4855
8,1706585910.572763681,1706585910.672602415,1,0,0,0,-0.013366835,0.009143596,0.035194595,-0.001653533,0.001618459,-0.000265828,0.999997288,1198,937,0.782136895,0.028333787,0.013502271,0.009810680,0.087437917,81.881995571,0.000000000,0.101359182,0.113304064,0.169815742,0.004357002,69.905794941,0,254,251,3,0.212020033,59,0,0,0,0,0,885,59,2333,3270,569,0,0,5740
9,1706585910.672614098,1706585910.772450447,1,0,0,0,-0.007316167,0.015541230,0.041755553,0.000054414,0.001992020,-0.000536846,0.999997870,1214,928,0.764415157,0.030445592,0.014042983,0.010318853,0.111183845,70.572742327,0.000000000,0.102450811,0.113485805,0.180796929,0.004893474,69.979900206,0,232,228,4,0.191103789,56,0,0,0,0,0,926,56,2397,3502,625,0,0,6666
10,1706585910.772462606,1706585910.872291565,1,0,0,0,0.008428587,0.022312931,0.040326558,-0.000250377,0.001978682,-0.000822556,0.999997673,1203,925,0.768911056,0.030202887,0.015842937,0.011094059,0.099945261,78.803190853,0.000000000,0.102200256,0.113334801,0.197995627,0.005466104,70.862229271,0,214,214,0,0.177888612,50,0,0,0,0,0,939,50,2456,3716,675,0,0,7605
11,1706585910.873100996,1706585910.971498251,1,0,0,0,0.003329763,0.028858908,0.047078549,0.000624423,0.002169920,-0.000593185,0.999997275,1196,914,0.764214047,0.031139848,0.014905753,0.010871378,0.106364989,75.546371186,0.000000000,0.102578869,0.110444660,0.208693160,0.005928547,71.288060354,0,199,196,3,0.166387960,53,0,0,0,0,0,944,53,2523,3915,728,0,0,8549
12,1706585910.972957373,1706585911.069945574,1,0,0,0,0.008664114,0.026721629,0.041932131,-0.000629993,0.001559298,-0.000602929,0.999998404,1184,901,0.760979730,0.029174680,0.014498170,0.010432933,0.105510815,75.508431750,0.000000000,0.102823197,0.112001149,0.216407360,0.005952705,71.639757970,0,172,171,1,0.145270270,50,0,0,0,0,0,962,50,2560,4087,778,0,0,9511
13,1706585911.072803497,1706585911.172633648,1,0,0,0,0.009718897,0.023572829,0.042019031,-0.001133995,0.001704407,-0.000515433,0.999997772,1186,923,0.778246206,0.026412166,0.014763747,0.010482506,0.101244319,71.665957524,0.000000000,0.102701745,0.121420417,0.219729266,0.006125797,71.641773321,0,152,152,0,0.128161889,33,0,0,0,0,0,1001,33,2593,4239,811,0,0,10512
14,1706585911.172645569,1706585911.272463799,1,0,0,0,0.001212142,0.026375894,0.039644548,0.000021685,0.001774401,-0.000683859,0.999998192,1217,930,0.764174199,0.027287783,0.014726375,0.010514358,0.103482949,79.473264184,0.000000000,0.102757545,0.125145877,0.228995345,0.006458710,72.201165525,0,164,163,1,0.134757601,37,0,0,0,0,0,1016,37,2639,4403,848,0,0,11528
15,1706585911.272487879,1706585911.372006655,1,0,0,0,0.008395488,0.032708282,0.047592112,0.000483771,0.002350087,-0.000975076,0.999996646,1175,907,0.771914894,0.026236724,0.012719328,0.009461970,0.078772985,87.794798241,0.000000000,0.101158575,0.130515677,0.241439757,0.007038957,73.240741040,0,111,111,0,0.094468085,48,0,0,0,0,0,1016,48,2665,4514,896,0,0,12544
16,1706585911.372719288,1706585911.470854998,1,0,0,0,0.001448250,0.028204429,0.051163835,0.000207143,0.002222421,-0.000767003,0.999997215,1193,938,0.786253143,0.030666555,0.014648551,0.010601922,0.101298516,75.192692755,0.000000000,0.101167321,0.126810193,0.250456742,0.007453755,73.362738022,0,153,152,1,0.128248114,37,0,0,0,0,0,1003,37,2704,4667,933,0,0,13547
17,1706585911.472538948,1706585911.569767237,1,0,0,0,0.003399856,0.021417436,0.053047410,-0.001050504,0.002181324,-0.000663969,0.999996849,1193,908,0.761106454,0.026333842,0.014994429,0.010562091,0.100165511,76.961360426,0.000000000,0.101108391,0.130285479,0.257765634,0.007654322,73.574421693,0,138,136,2,0.115674769,37,0,0,0,0,0,1018,37,2735,4805,970,0,0,14565
