frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706585907.873071909,1706585907.972906351,22,21,0.015353485,0.022106799,1,0,0,0,0,-0.039414709,-0.007457625,0.019873984,-0.005179511,0.000645634,0.000187089,0.999986360,1206,835,0.692371476,0.041382262,0.020518900,0.014578135,0.104343792,59.260317400,764,0.941363746,45.889680851,244.406740360,428.905480634,0.063806395,0.060065027,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000009029,0.000011806,0.000018867,0.995768772,-0.007480461,-0.091589279,0.000000000,0.000000000,0.000001009,0.991237591,0.097720356,-0.088875026,0.000000000,0.104343792,0.000000000,0.000000000,0.000000000,59.260317400,0,0.063806395,0.060065027,1.000000000,1.000000000,830,782,48,0.688225539,0,0,0,0,0,376,0,1601,830,0,0,376
2,1706585907.972918987,1706585908.072736979,23,22,0.015104693,0.021927806,1,0,0,0,0,-0.027019206,0.007652502,0.018365829,-0.002516959,0.000559601,-0.000093264,0.999996672,1165,865,0.742489270,0.029064531,0.014730688,0.011011350,0.093159422,62.865506889,794,0.942378301,47.153822313,246.616592400,454.477956050,0.063018944,0.059387686,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000008739,0.000011501,0.000019644,0.997468553,0.070764952,0.006986286,0.000000248,0.000000285,0.000001156,0.991400324,-0.126699833,-0.032749816,0.000000000,0.098751607,0.174851548,0.019602015,0.000556829,61.062912144,0,0.063412670,0.059726356,1.000000000,1.000000000,567,551,16,0.486695279,0,0,0,0,0,598,0,1797,1397,0,0,974
3,1706585908.072748661,1706585908.172582388,24,23,0.013482035,0.018505765,1,0,0,0,0,-0.024617437,0.025911759,0.030813659,-0.002205682,0.001223083,-0.000522279,0.999996683,1220,875,0.717213115,0.028477323,0.014615256,0.010255529,0.093355418,69.508070950,834,0.939615705,46.193698882,256.183993500,481.261805494,0.058947640,0.055388128,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006591,0.000009446,0.000016049,0.997558327,0.069630385,-0.005384634,0.000000011,0.000000030,0.000001095,0.996915700,0.048644004,-0.061586095,0.000000000,0.096952877,0.180437451,0.041830768,0.001417438,63.877965080,0,0.061924326,0.058280280,1.000000000,1.000000000,484,459,25,0.396721311,0,0,0,0,0,736,0,1976,1881,0,0,1710
4,1706585908.172593832,1706585908.272412062,25,24,0.015139157,0.023082924,1,0,0,0,0,-0.030156447,0.029319354,0.027654373,-0.003372244,0.000569100,-0.000390873,0.999994076,1258,905,0.719395866,0.026580332,0.014197884,0.010100248,0.100151005,69.856987432,871,0.940917500,47.532157900,274.040950267,497.966034195,0.057998643,0.054571938,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005102,0.000006475,0.000012788,0.999089365,0.037589243,-0.020186372,0.000000009,0.000000018,0.000001001,0.997715435,0.047763415,-0.047776214,0.000000000,0.097752409,0.186433223,0.049060803,0.001681813,65.372720668,0,0.060942906,0.057353195,1.000000000,1.000000000,488,459,29,0.387917329,0,0,0,0,0,770,0,2162,2369,0,0,2480
5,1706585908.272424698,1706585908.372009993,26,25,0.016551455,0.020834766,1,0,0,0,0,-0.029929045,0.023468509,0.028181295,-0.003949363,0.000530625,-0.000052414,0.999992059,1193,864,0.724224644,0.024475176,0.014195813,0.009759725,0.096059023,68.431263129,863,0.938013923,45.808608880,255.237455393,508.459951173,0.056588349,0.053080659,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004928,0.000006289,0.000011546,0.995226438,0.062713556,-0.074775311,0.000000010,0.000000023,0.000000958,0.997578131,0.052135373,-0.046041021,0.000000000,0.097413732,0.197211003,0.054939726,0.002358374,65.984429160,0,0.060071994,0.056498688,1.000000000,1.000000000,404,393,11,0.338642079,0,0,0,0,0,789,0,2294,2773,0,0,3269
6,1706585908.373058319,1706585908.470735312,27,26,0.012601174,0.022687848,1,0,0,0,0,-0.033397929,0.016779981,0.032598959,-0.003207239,0.000965286,-0.000099477,0.999994386,1192,881,0.739093960,0.024472764,0.013276289,0.009231518,0.093773632,71.085532145,881,0.940095895,46.235072737,264.887743144,517.101667924,0.055824325,0.052480219,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004838,0.000006129,0.000010865,0.995712458,0.056086445,-0.073559583,0.000000009,0.000000024,0.000000966,0.996813450,0.058956806,-0.053731187,0.000000000,0.096807048,0.198762729,0.063673874,0.002454501,66.834612991,0,0.059364049,0.055828943,1.000000000,1.000000000,332,322,10,0.278523490,0,0,0,0,0,860,0,2394,3105,0,0,4129
7,1706585908.472907305,1706585908.569442749,28,27,0.011702130,0.018345229,1,0,0,0,0,-0.033470174,0.014812724,0.033902775,-0.003056355,0.000781786,-0.000009212,0.999995024,1184,865,0.730574324,0.025156061,0.014148229,0.009694921,0.095957372,72.938533940,892,0.940158081,47.477496137,273.333553173,517.809958554,0.056613769,0.053225893,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004549,0.000005842,0.000010543,0.996532102,0.081033404,-0.018903911,0.000000008,0.000000019,0.000000951,0.997932315,0.046316288,-0.044563405,0.000000000,0.096685666,0.193697973,0.066035072,0.002636443,67.706601698,0,0.058971152,0.055457078,1.000000000,1.000000000,309,304,5,0.260979730,0,0,0,0,0,875,0,2479,3414,0,0,5004
8,1706585908.572750330,1706585908.672556639,29,28,0.013784958,0.024559964,1,0,0,0,0,-0.031719555,0.014450932,0.035942123,-0.003574893,0.000942106,-0.000115496,0.999993160,1211,893,0.737407102,0.026181821,0.013956879,0.009836467,0.096469053,72.419657140,916,0.940181144,47.407861595,281.239018409,532.559048282,0.055048230,0.051755307,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004635,0.000005926,0.000010522,0.997664872,0.067009364,-0.013211650,0.000000008,0.000000021,0.000000920,0.997430930,0.053831909,-0.047261678,0.000000000,0.096658589,0.185091683,0.068746990,0.002850967,68.295733628,0,0.058480787,0.054994357,1.000000000,1.000000000,273,265,8,0.225433526,0,0,0,0,0,938,0,2559,3687,0,0,5942
9,1706585908.672580719,1706585908.772357225,30,29,0.013554842,0.018055509,1,0,0,0,0,-0.033805535,0.016650506,0.033040845,-0.003200641,0.000948244,-0.000076431,0.999994425,1204,892,0.740863787,0.023964173,0.012916204,0.009902736,0.099631477,74.265103060,896,0.936996339,51.678403077,267.661770186,520.208546777,0.061554978,0.057676789,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004385,0.000005547,0.000010297,0.995288264,0.084180773,0.048113081,0.000000008,0.000000015,0.000000941,0.997972957,0.047469446,-0.042386665,0.000000000,0.096988910,0.183921238,0.072943042,0.002929762,68.958996898,0,0.058822364,0.055292405,1.000000000,1.000000000,265,264,1,0.220099668,0,0,0,0,0,939,0,2618,3952,0,0,6881
10,1706585908.772418022,1706585908.871104956,31,30,0.012312210,0.020232548,1,0,0,0,0,-0.027669435,0.018104152,0.028259681,-0.003593227,0.000512469,-0.000078414,0.999993410,1192,881,0.739093960,0.023577905,0.012604414,0.008758084,0.100845422,74.703166195,891,0.933623909,48.073705175,266.089004713,517.696193026,0.057790696,0.053954776,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004374,0.000005319,0.000010010,0.997282148,0.068293819,0.027645475,0.000000007,0.000000016,0.000000903,0.997510199,0.051963770,-0.047677763,0.000000000,0.097374561,0.182970683,0.080856595,0.002931341,69.533413828,0,0.058719197,0.055158642,1.000000000,1.000000000,235,233,2,0.197147651,0,0,0,0,0,957,0,2674,4187,0,0,7838
