frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706585906.271564007,-0.076694060,-0.022493297,0.032178387,-0.005294026,0.001714169,0.000160608,0.999984504,0,0.000000000,0,1706585906.072376966
2,1706585906.370283842,-0.051200371,-0.008651970,0.004100449,-0.003356355,0.000295099,0.000128724,0.999994316,4481,1706585906.271564007,0,1706585906.072376966
3,1706585906.469025612,-0.067562036,0.002713321,0.012999649,-0.003332798,0.001367437,0.000011592,0.999993511,4537,1706585906.370283842,0,1706585906.072376966
4,1706585906.572385073,-0.070212036,0.005570592,0.020334801,-0.003860014,0.001133349,0.000002805,0.999991908,4532,1706585906.469025612,0,1706585906.072376966
5,1706585906.672221661,-0.079018979,0.003880078,0.027706357,-0.003413918,0.001292282,-0.000021470,0.999993337,4654,1706585906.572385073,0,1706585906.072376966
6,1706585906.772851229,-0.087044426,0.005739445,0.030631504,-0.002488376,0.001202910,-0.000111689,0.999996174,4627,1706585906.672221661,0,1706585906.072376966
7,1706585906.872689486,-0.075920934,0.001144393,0.032480220,-0.004553576,0.000998573,0.000183424,0.999989117,4676,1706585906.772851229,0,1706585906.072376966
8,1706585906.972539425,-0.066579412,0.003467315,0.036384082,-0.003554063,0.001327385,0.000006465,0.999992803,4616,1706585906.872689486,0,1706585906.072376966
9,1706585907.072326899,-0.050803615,-0.006766425,0.038731794,-0.004924061,0.001328531,0.000393875,0.999986917,4684,1706585906.972539425,4684,1706585907.072326899
10,1706585907.171009779,-0.051678930,-0.005713682,0.037060872,-0.005848007,0.001012179,0.000251007,0.999982356,4651,1706585907.072326899,4684,1706585907.072326899
11,1706585907.269699574,-0.053600108,-0.005297966,0.036425938,-0.004301033,0.001255044,0.000373815,0.999989893,4543,1706585907.171009779,4684,1706585907.072326899
12,1706585907.372275829,-0.052852207,-0.003250336,0.032434600,-0.003982077,0.001128236,0.000163643,0.999991422,4497,1706585907.269699574,4684,1706585907.072326899
