time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1693022072.223451614,276,241,0.172926124,702.463031662,0.100000000,nan,nan,1,0,9027,2070,fitness_reject
1693022072.623344421,279,244,0.149887769,904.122014613,0.100000000,nan,nan,1,0,8559,2076,fitness_reject
1693022072.826726198,280,246,0.149717501,268.938154661,0.100000000,nan,nan,1,0,8355,2082,fitness_reject
1693022073.025377035,281,247,0.171641568,208.838194484,0.100000000,nan,nan,1,0,8579,2033,fitness_reject
1693022073.125531673,282,250,0.173782062,171.391112951,0.100000000,nan,nan,1,0,8849,2059,fitness_reject
1693022073.225383759,283,251,0.146089880,159.908564286,0.100000000,nan,nan,1,0,8810,1996,fitness_reject
1693022073.400712967,284,253,0.104299447,104.012536723,0.100000000,nan,nan,1,0,9093,2041,fitness_reject
1693022073.523363113,285,251,0.121621868,194.525072714,0.100000000,nan,nan,1,0,8810,2016,fitness_reject
1693022073.626541376,286,251,0.158742783,212.460657419,0.100000000,nan,nan,1,0,8810,2021,fitness_reject
1693022073.726120234,287,254,0.130555003,148.232177184,0.100000000,nan,nan,1,0,8924,2019,fitness_reject
1693022073.827262163,288,246,0.120328915,557.421951763,0.100000000,nan,nan,1,0,8355,2027,fitness_reject
1693022073.933538675,289,246,0.120030141,nan,nan,nan,nan,0,0,8355,1985,icp_not_converged
1693022074.127051592,290,251,0.117925074,775.093380161,0.100000000,nan,nan,1,0,8810,1980,fitness_reject
1693022074.226188183,291,258,0.116445270,104.810349540,0.100000000,nan,nan,1,0,8559,1964,fitness_reject
1693022074.322622538,292,251,0.166903972,888.707818643,0.100000000,nan,nan,1,0,8810,1962,fitness_reject
1693022074.423686743,293,253,0.155390864,240.821461445,0.100000000,nan,nan,1,0,9093,2011,fitness_reject
1693022074.523200512,294,251,0.100086068,895.837036575,0.100000000,nan,nan,1,0,8810,2017,fitness_reject
1693022074.623461485,295,248,0.089361848,nan,nan,nan,nan,0,0,8579,1999,icp_not_converged
1693022074.822886467,296,251,0.135474231,1029.775756694,0.100000000,nan,nan,1,0,8810,2043,fitness_reject
1693022074.924170017,297,254,0.118495115,872.117390453,0.100000000,nan,nan,1,0,8924,2032,fitness_reject
1693022075.122241735,298,246,0.118576199,nan,nan,nan,nan,0,0,8355,1968,icp_not_converged
1693022075.323708773,299,258,0.150552624,263.065782132,0.100000000,nan,nan,1,0,8559,1952,fitness_reject
1693022075.527252436,300,263,0.152100161,99.752748288,0.300000000,nan,nan,0,0,8337,1962,fitness_reject
1693022075.825139046,301,255,0.134220868,1152.161747082,0.300000000,nan,nan,0,0,8842,1956,fitness_reject
1693022076.123796701,302,267,0.112118795,62.741301472,0.100000000,nan,nan,1,0,8289,1934,fitness_reject
1693022076.311683416,303,255,0.128717245,1301.850944560,0.100000000,nan,nan,1,0,8842,1906,fitness_reject
1693022076.613015413,304,258,0.132823200,1306.536985867,0.100000000,nan,nan,1,0,8559,1925,fitness_reject
1693022076.923146248,305,266,0.127241277,157.808939491,0.100000000,nan,nan,1,0,8449,1931,fitness_reject
1693022077.126774311,306,256,0.136174984,nan,nan,nan,nan,0,0,8805,1952,icp_not_converged
1693022077.323545456,307,242,0.146204074,nan,nan,nan,nan,0,0,9149,1907,icp_not_converged
1693022077.623486996,308,265,0.150660360,245.324463808,0.100000000,nan,nan,1,0,8507,1907,fitness_reject
1693022077.823749065,309,242,0.164345229,nan,nan,nan,nan,0,0,9149,1874,icp_not_converged
1693022078.022951126,310,279,0.179129286,49.049523760,0.100000000,nan,nan,1,0,7555,1860,fitness_reject
1693022084.522805929,322,241,0.167678884,nan,nan,nan,nan,0,0,9027,1968,icp_not_converged
1693022087.022718906,333,291,0.142184942,0.075355864,0.100000000,0.052110022,0.003230756,1,1,6829,2048,accepted
1693022088.422767401,340,291,0.168161351,nan,nan,nan,nan,0,0,0,1846,candidate_cooldown_reject
1693022089.040977001,344,283,0.158338343,nan,nan,nan,nan,0,0,0,1838,candidate_cooldown_reject
1693022091.924925804,362,318,0.177665285,48.952834337,0.100000000,nan,nan,1,0,5658,1905,fitness_reject
1693022092.722435474,367,331,0.177577426,29.468382029,0.100000000,nan,nan,1,0,6647,1988,fitness_reject
1693022093.126263380,370,277,0.161931871,2.633173527,0.100000000,nan,nan,1,0,7536,2024,fitness_reject
1693022093.321794271,371,315,0.175386759,313.087717855,0.100000000,nan,nan,1,0,5324,2021,fitness_reject
1693022093.723843336,374,269,0.148012895,0.732307344,0.100000000,nan,nan,1,0,8176,2023,fitness_reject
1693022095.423029661,384,348,0.163560186,80.737030287,0.100000000,nan,nan,1,0,6851,2013,fitness_reject
1693022095.822777748,386,347,0.154765032,175.402613967,0.100000000,nan,nan,1,0,6864,2030,fitness_reject
1693022096.013631344,387,333,0.132476477,nan,nan,nan,nan,0,0,6606,2079,icp_not_converged
1693022096.433687925,390,333,0.132676011,nan,nan,nan,nan,0,0,6606,2016,icp_not_converged
1693022097.501898050,397,354,0.149249713,nan,nan,nan,nan,0,0,7256,1982,icp_not_converged
1693022097.622217178,398,356,0.169851344,nan,nan,nan,nan,0,0,7315,2016,icp_not_converged
1693022097.723981619,399,354,0.122816882,nan,nan,nan,nan,0,0,7256,2013,icp_not_converged
1693022098.124034643,401,356,0.150184900,nan,nan,nan,nan,0,0,7315,1910,icp_not_converged
1693022098.322499514,402,360,0.166783090,336.285856148,0.100000000,nan,nan,1,0,7525,1958,fitness_reject
1693022098.422021389,403,333,0.158338678,nan,nan,nan,nan,0,0,6606,1926,icp_not_converged
1693022098.628675938,404,373,0.122499799,76.745320020,0.100000000,nan,nan,1,0,7883,1930,fitness_reject
1693022098.822919607,405,363,0.179208220,52.569975924,0.100000000,nan,nan,1,0,7703,1929,fitness_reject
1693022099.021826506,406,368,0.151558030,139.422055772,0.100000000,nan,nan,1,0,7774,1903,fitness_reject
1693022099.122723103,407,361,0.113161918,nan,nan,nan,nan,0,0,7628,1931,icp_not_converged
1693022099.322479725,408,377,0.175325263,138.566803427,0.100000000,nan,nan,1,0,8413,1948,fitness_reject
1693022099.423447132,409,329,0.168463750,nan,nan,nan,nan,0,0,6838,1948,icp_not_converged
1693022099.525560141,410,373,0.149126961,201.244728149,0.100000000,nan,nan,1,0,7883,1913,fitness_reject
1693022099.729109764,411,379,0.149771778,189.166851039,0.100000000,nan,nan,1,0,8625,1950,fitness_reject
1693022099.922971487,412,361,0.121342949,nan,nan,nan,nan,0,0,7628,1925,icp_not_converged
1693022100.023162365,413,332,0.148478153,nan,nan,nan,nan,0,0,6629,1960,icp_not_converged
1693022100.223865509,414,334,0.131707609,nan,nan,nan,nan,0,0,6722,1982,icp_not_converged
1693022100.325987101,415,384,0.131886721,69.046028703,0.100000000,nan,nan,1,0,8733,1975,fitness_reject
1693022100.522818565,416,384,0.140112471,115.674399376,0.100000000,nan,nan,1,0,8733,1977,fitness_reject
1693022100.622920036,417,379,0.151104533,nan,nan,nan,nan,0,0,8625,2003,icp_not_converged
1693022100.822091103,418,386,0.142683293,4.136090365,0.100000000,nan,nan,1,0,8582,2003,fitness_reject
1693022100.925183773,419,370,0.160498801,nan,nan,nan,nan,0,0,7795,1977,icp_not_converged
1693022101.123854160,420,379,0.139612422,nan,nan,nan,nan,0,0,8625,2021,icp_not_converged
1693022101.321640015,421,373,0.152876389,nan,nan,nan,nan,0,0,7883,1971,icp_not_converged
1693022101.422587156,422,368,0.141787768,nan,nan,nan,nan,0,0,7774,1998,icp_not_converged
1693022101.621440649,423,333,0.155964830,nan,nan,nan,nan,0,0,6606,1989,icp_not_converged
1693022101.924285412,426,331,0.148752171,nan,nan,nan,nan,0,0,6647,1914,icp_not_converged
1693022102.122098923,427,330,0.177075644,nan,nan,nan,nan,0,0,6736,1992,icp_not_converged
1693022102.222204924,428,396,0.164427927,56.512025614,0.100000000,nan,nan,1,0,8106,1988,fitness_reject
1693022102.322190046,429,370,0.171866478,nan,nan,nan,nan,0,0,7795,1949,icp_not_converged
1693022102.526111126,431,375,0.140595753,nan,nan,nan,nan,0,0,8046,2013,icp_not_converged
1693022102.921999216,433,335,0.149514064,nan,nan,nan,nan,0,0,6810,2015,icp_not_converged
1693022103.021649837,434,401,0.164712082,29.018874951,0.100000000,nan,nan,1,0,7844,1960,fitness_reject
1693022103.125370741,435,369,0.168526553,nan,nan,nan,nan,0,0,7803,2001,icp_not_converged
1693022103.523893356,437,406,0.155939202,24.655997366,0.100000000,nan,nan,1,0,7944,1975,fitness_reject
1693022103.621609688,438,375,0.123400152,nan,nan,nan,nan,0,0,8046,1969,icp_not_converged
1693022103.722163200,439,373,0.150225642,nan,nan,nan,nan,0,0,7883,1982,icp_not_converged
1693022103.821738243,440,373,0.126009886,nan,nan,nan,nan,0,0,7883,1959,icp_not_converged
1693022103.924443245,441,333,0.121572260,nan,nan,nan,nan,0,0,6606,1987,icp_not_converged
1693022104.420806885,444,316,0.134833990,nan,nan,nan,nan,0,0,5423,2005,icp_not_converged
1693022104.721505165,446,291,0.176982130,nan,nan,nan,nan,0,0,0,1952,candidate_cooldown_reject
1693022104.921640396,447,316,0.149457322,nan,nan,nan,nan,0,0,5423,1995,icp_not_converged
1693022105.023067713,448,310,0.152774974,nan,nan,nan,nan,0,0,6181,1977,icp_not_converged
1693022105.125561714,449,409,0.166478777,44.232985614,0.100000000,nan,nan,1,0,8014,1971,fitness_reject
1693022105.421975851,450,411,0.129361102,35.329749178,0.100000000,nan,nan,1,0,7915,1967,fitness_reject
1693022105.623312712,451,419,0.129601055,10.964778958,0.100000000,nan,nan,1,0,7711,1976,fitness_reject
1693022105.821018696,452,291,0.146273041,nan,nan,nan,nan,0,0,0,1963,candidate_cooldown_reject
1693022105.922385693,453,340,0.145213206,nan,nan,nan,nan,0,0,6949,1949,icp_not_converged
1693022106.421373367,456,369,0.160664418,nan,nan,nan,nan,0,0,7803,1924,icp_not_converged
1693022106.822233915,459,323,0.172586981,nan,nan,nan,nan,0,0,6381,1992,icp_not_converged
1693022107.021332502,460,277,0.158726725,nan,nan,nan,nan,0,0,7536,1966,icp_not_converged
1693022107.125289440,461,284,0.173317504,nan,nan,nan,nan,0,0,0,2040,candidate_cooldown_reject
1693022107.336036205,462,418,0.159393395,84.449138490,0.100000000,nan,nan,1,0,7708,2023,fitness_reject
1693022107.721026659,464,319,0.166158858,nan,nan,nan,nan,0,0,5680,1953,icp_not_converged
1693022107.821528673,465,343,0.128666349,nan,nan,nan,nan,0,0,6848,1917,icp_not_converged
1693022108.323054552,468,420,0.149982758,259.664271559,0.100000000,nan,nan,1,0,7660,1969,fitness_reject
1693022108.522758007,469,333,0.107250001,nan,nan,nan,nan,0,0,6606,1917,icp_not_converged
1693022108.643873453,470,417,0.159070237,nan,nan,nan,nan,0,0,7751,1924,icp_not_converged
