frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1693022009.620939732,1693022009.720435858,1,0,0,0,-0.000669688,0.004183226,0.001579541,-0.000038267,0.000084475,-0.000040287,0.999999995,5934,3765,0.634479272,0.011922888,0.002393730,0.001554785,0.137565730,69.665957217,0.000000000,0.137565730,0.000000000,0.000000000,0.000000000,69.665957217,0,2741,2691,50,0.461914392,190,0,0,0,0,3002,191,6243,2741,190,0,3002
2,1693022009.727220297,1693022009.826708555,1,0,0,0,-0.000585539,0.002803337,0.002013315,-0.000232799,0.000046512,-0.000033473,0.999999971,5954,3805,0.639066174,0.015005836,0.002489905,0.001859884,0.143683903,69.351278236,0.000000000,0.140624816,0.114485515,0.001448909,0.000013612,69.508617726,0,2271,2240,31,0.381424253,227,0,0,0,0,3455,228,6781,5012,417,0,6457
3,1693022009.826822996,1693022009.927646160,1,0,0,0,0.000250572,0.003457413,-0.000827190,-0.000144716,-0.000040915,-0.000028404,0.999999988,5932,3998,0.673971679,0.014068047,0.002693469,0.002105394,0.138730454,72.298066786,0.000000000,0.139993362,0.094425507,0.004481296,0.000023783,70.438434080,0,1710,1692,18,0.288267026,200,0,0,0,0,4018,204,7135,6722,617,0,10475
4,1693022009.927504539,1693022010.026996136,1,0,0,0,-0.000426694,0.006679415,-0.003393174,0.000136374,-0.000012420,0.000125077,0.999999983,5965,4166,0.698407376,0.015356988,0.002244625,0.001729243,0.139099862,73.040403591,0.000000000,0.139769987,0.094838025,0.008655533,0.000330730,71.088926458,0,1587,1576,11,0.266051970,208,0,0,0,0,4168,210,7457,8309,825,0,14643
5,1693022010.028057814,1693022010.127553940,1,0,0,0,-0.007594044,0.008257671,-0.001571238,-0.000025452,-0.000018696,0.000136428,0.999999990,5949,4240,0.712724828,0.015033530,0.003123399,0.002143221,0.133302659,74.068646620,0.000000000,0.138476522,0.087790766,0.016217361,0.000353438,71.684870490,0,1390,1373,17,0.233652715,203,0,0,0,0,4356,203,7742,9699,1028,0,18999
6,1693022010.125638723,1693022010.226461887,1,0,0,0,-0.023177200,0.007582566,-0.005835333,-0.000142123,-0.000363174,-0.000156586,0.999999912,5937,4273,0.719723766,0.019222432,0.009644132,0.006762488,0.132649472,74.457884597,0.000000000,0.137505347,0.143640613,0.032387488,0.000939365,72.147039508,0,1181,1173,8,0.198922014,179,0,0,0,0,4576,180,7945,10880,1207,0,23575
7,1693022010.228373051,1693022010.327869177,1,0,0,0,-0.036972938,0.011096125,-0.000417344,0.000270152,0.000213221,-0.000180969,0.999999924,5910,4259,0.720642978,0.021447515,0.009853807,0.006665350,0.133443438,72.832392984,0.000000000,0.136925074,0.187032323,0.047619760,0.000988119,72.244947147,0,1520,1497,23,0.257191201,246,0,0,0,0,4142,248,8314,12400,1453,0,27717
8,1693022010.320607901,1693022010.421430111,1,0,0,0,-0.052526236,0.008365869,0.000592657,-0.000097253,0.000205746,-0.000084329,0.999999971,5898,4315,0.731603934,0.020331019,0.009230647,0.006171181,0.139052724,69.772027599,0.000000000,0.137191030,0.190014755,0.063443144,0.001181244,71.935832204,0,1008,986,22,0.170905392,193,0,0,0,0,4693,197,8504,13408,1646,0,32410
9,1693022010.419630289,1693022010.519125462,1,0,0,0,-0.065272319,0.003195851,-0.004673380,0.000256078,-0.000296181,-0.000053621,0.999999922,5950,4311,0.724537815,0.021458305,0.010286323,0.006894707,0.142206744,68.981305728,0.000000000,0.137748332,0.195514319,0.078171445,0.001242547,71.607551484,0,1075,1060,15,0.180672269,202,0,0,0,0,4672,203,8742,14483,1848,0,37082
10,1693022010.520663500,1693022010.620159626,1,0,0,0,-0.076746941,0.000772671,0.007578725,-0.000129556,0.000516391,-0.000109023,0.999999852,5950,4353,0.731596639,0.021737717,0.010989356,0.007853413,0.140803203,69.367398086,0.000000000,0.138053819,0.197237272,0.095131775,0.001353333,71.383536145,0,984,975,9,0.165378151,168,0,0,0,0,4797,169,8889,15467,2016,0,41879
