frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1628499828.598861694,0.013661187,0.035106542,-0.025741420,0.003989895,-0.000963385,-0.007447852,0.999963840,0,0.000000000,0,0.000000000
2,1628499828.698701620,-0.011232899,0.032930110,-0.023288251,0.001690805,-0.000155969,-0.008211240,0.999964846,3302,1628499828.598861694,0,0.000000000
3,1628499828.798541546,-0.017845201,0.040412969,-0.026453396,0.000508901,-0.000610049,-0.000821233,0.999999347,3299,1628499828.698701620,0,0.000000000
4,1628499828.898381710,-0.014561558,0.059396321,-0.018888258,0.000883133,-0.000696440,0.002318859,0.999996679,3301,1628499828.798541546,0,0.000000000
5,1628499828.998266697,-0.013765155,0.051866309,-0.020366240,0.000540855,-0.000808679,-0.002734593,0.999995788,3305,1628499828.898381710,0,0.000000000
6,1628499829.098106623,-0.005335903,0.062848084,-0.021765692,0.003239329,-0.000224997,-0.009810194,0.999946607,3293,1628499828.998266697,3293,1628499828.998266697
7,1628499829.198906660,-0.005158535,0.069295857,-0.024841851,0.002929606,0.000481384,-0.011029495,0.999934766,3293,1628499829.098106623,3293,1628499828.998266697
8,1628499829.298746824,-0.004501162,0.073866927,-0.024407686,0.004197572,0.001949612,-0.011169260,0.999926911,3286,1628499829.198906660,3293,1628499828.998266697
9,1628499829.398586750,-0.005211478,0.082268469,-0.023506051,0.008145527,0.003257602,-0.014506304,0.999856292,3286,1628499829.298746824,3293,1628499828.998266697
10,1628499829.498426676,-0.005892358,0.093430877,-0.023479846,0.006964138,0.004746683,-0.019652683,0.999771345,3283,1628499829.398586750,3293,1628499828.998266697
11,1628499829.598266602,-0.010325835,0.100635459,-0.022149150,0.009908128,0.005874798,-0.028512244,0.999527072,3264,1628499829.498426676,3293,1628499828.998266697
12,1628499829.698106766,-0.017511090,0.105054987,-0.028983727,0.008396080,0.006415045,-0.043840507,0.998982664,3262,1628499829.598266602,3293,1628499828.998266697
13,1628499829.798906803,-0.019775697,0.109680295,-0.025555513,0.011180360,0.007305825,-0.064538917,0.997825813,3280,1628499829.698106766,3293,1628499828.998266697
14,1628499829.898746729,-0.020860790,0.113236186,-0.027800008,0.009361981,0.007438696,-0.082478751,0.996521086,3291,1628499829.798906803,3293,1628499828.998266697
15,1628499829.998627663,-0.019945265,0.102595158,-0.029472406,0.005735379,0.006869734,-0.090749762,0.995833517,3303,1628499829.898746729,3293,1628499828.998266697
