frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1628499830.398977518,1628499830.498787403,1,0,0,0,-0.031042091,-0.010098696,-0.017196469,0.003642412,-0.000952469,0.000752318,0.999992630,712,420,0.589887640,0.062424968,0.022804893,0.017956269,0.328663507,27.484393495,0.000000000,0.328663507,0.000000000,0.000000000,0.000000000,27.484393495,0,423,391,32,0.594101124,80,0,0,0,0,0,209,80,919,423,80,0,0,209
2,1628499830.498817444,1628499830.598627329,1,0,0,0,-0.052965023,-0.008200587,-0.046170971,-0.004631564,-0.005497663,0.000558544,0.999974006,699,418,0.597997139,0.040258327,0.015953877,0.011637094,0.359961841,23.512394557,0.000000000,0.344312674,0.215873876,0.036383231,0.000329635,25.498394026,0,291,273,18,0.416309013,55,0,0,0,0,0,353,55,1063,714,135,0,0,562
3,1628499830.598657608,1628499830.698467493,1,0,0,0,-0.047891592,0.016506066,-0.039221867,-0.004154563,-0.005036021,0.001891534,0.999976900,702,467,0.665242165,0.042476321,0.021896306,0.015221521,0.386759498,24.204369758,0.000000000,0.358461615,0.206005265,0.062545198,0.002986608,25.067052603,0,255,249,6,0.363247863,44,0,0,0,0,0,403,44,1152,969,179,0,0,965
4,1628499830.698497534,1628499830.798307419,1,0,0,0,-0.044929524,0.012010962,-0.027826350,-0.007711221,-0.005688267,0.005432421,0.999939333,717,438,0.610878661,0.040897706,0.019173570,0.013213842,0.339650405,22.776914010,0.000000000,0.353758813,0.198248899,0.075148277,0.010114406,24.494517955,0,200,193,7,0.278940028,39,0,0,0,0,0,478,39,1245,1169,218,0,0,1443
5,1628499830.798337460,1628499830.898147345,1,0,0,0,-0.027863380,0.013476281,-0.018163736,-0.010145796,-0.006274695,0.005822787,0.999911889,753,491,0.652058433,0.035921060,0.017883595,0.012250700,0.391209485,24.182836282,0.000000000,0.361248947,0.208864215,0.094814658,0.010934633,24.432181620,0,190,183,7,0.252324037,34,0,0,0,0,0,529,34,1304,1359,252,0,0,1972
6,1628499830.899137497,1628499830.999014378,1,0,0,0,-0.028649395,0.014858511,-0.023074760,-0.011371812,-0.006293378,0.004553177,0.999905167,719,463,0.643949930,0.038862276,0.020224025,0.014105591,0.347960175,24.849959215,0.000000000,0.359034152,0.200405607,0.099976686,0.013458209,24.501811220,0,163,160,3,0.226703755,26,0,0,0,0,0,530,26,1373,1522,278,0,0,2502
7,1628499830.999044418,1628499831.098854303,1,0,0,0,-0.024592252,-0.002194067,-0.020676809,-0.009229172,-0.005886046,0.002370285,0.999937277,699,458,0.655221745,0.036801498,0.018502603,0.013684745,0.395991100,24.643470216,0.000000000,0.364313716,0.197485231,0.117668520,0.017858416,24.522048219,0,153,150,3,0.218884120,30,0,0,0,0,0,516,30,1425,1675,308,0,0,3018
8,1628499831.098884344,1628499831.198694229,1,0,0,0,-0.031092615,-0.012222225,-0.023714609,-0.011498545,-0.005437840,0.000210681,0.999919081,729,446,0.611796982,0.034526230,0.018696589,0.014743481,0.351991096,23.108714505,0.000000000,0.362773388,0.199604601,0.129999249,0.022161273,24.345381505,0,173,169,4,0.237311385,24,0,0,0,0,0,532,24,1482,1848,332,0,0,3550
9,1628499831.198724270,1628499831.298534155,1,0,0,0,-0.033325223,-0.023399183,-0.027718980,-0.014734304,-0.005453650,0.000835135,0.999876223,690,449,0.650724638,0.029786183,0.014869803,0.010418203,0.327206503,24.359453751,0.000000000,0.358821512,0.214843165,0.142079974,0.023445741,24.346945088,0,139,137,2,0.201449275,26,0,0,0,0,0,525,26,1519,1987,358,0,0,4075
10,1628499831.298564434,1628499831.398374319,1,0,0,0,-0.031239812,-0.027876166,-0.028591011,-0.018049805,-0.005368342,0.004554931,0.999812301,729,485,0.665294925,0.032488925,0.014767405,0.010864694,0.384403211,25.920266486,0.000000000,0.361379682,0.215964146,0.147095227,0.030917460,24.504277228,0,159,157,2,0.218106996,32,0,0,0,0,0,538,32,1566,2146,390,0,0,4613
