time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1737472070.459268093,32,1,0.158630373,23.728368278,0.300000000,nan,nan,0,0,3066,1124,fitness_reject
1737472072.159539461,33,0,0.166872951,22.777324689,0.300000000,nan,nan,0,0,2776,1094,fitness_reject
1737472074.359189272,35,0,0.144779011,1.469145786,0.300000000,nan,nan,0,0,2776,615,fitness_reject
1737472075.759563446,36,0,0.108644916,nan,nan,nan,nan,0,0,2776,563,icp_not_converged
1737472077.159406900,37,0,0.105577827,nan,nan,nan,nan,0,0,2776,620,icp_not_converged
1737472079.759508371,39,0,0.156534348,nan,nan,nan,nan,0,0,2776,648,icp_not_converged
1737472081.059409618,40,0,0.150365968,nan,nan,nan,nan,0,0,2776,631,icp_not_converged
1737472082.459445000,41,0,0.153505697,nan,nan,nan,nan,0,0,2776,608,icp_not_converged
1737472083.759413958,42,11,0.105306395,nan,nan,nan,nan,0,0,4701,635,icp_not_converged
1737472085.059424400,43,12,0.090416510,nan,nan,nan,nan,0,0,4733,638,icp_not_converged
1737472086.359377623,44,11,0.120321657,nan,nan,nan,nan,0,0,4701,624,icp_not_converged
1737472087.659330130,45,11,0.103904134,nan,nan,nan,nan,0,0,4701,613,icp_not_converged
1737472088.959423780,46,13,0.119068231,nan,nan,nan,nan,0,0,4719,648,icp_not_converged
1737472090.259386778,47,11,0.124923724,nan,nan,nan,nan,0,0,4701,592,icp_not_converged
1737472091.559360743,48,11,0.078831057,nan,nan,nan,nan,0,0,4701,643,icp_not_converged
1737472092.859417200,49,13,0.070699039,nan,nan,nan,nan,0,0,4719,605,icp_not_converged
1737472094.159387350,50,13,0.089401468,nan,nan,nan,nan,0,0,4719,638,icp_not_converged
1737472095.458506823,51,13,0.077562075,nan,nan,nan,nan,0,0,4719,612,icp_not_converged
1737472096.759435177,52,13,0.087980082,nan,nan,nan,nan,0,0,4719,632,icp_not_converged
1737472098.059408903,53,13,0.074632759,nan,nan,nan,nan,0,0,4719,611,icp_not_converged
1737472099.359388590,54,19,0.165176617,nan,nan,nan,nan,0,0,4478,607,icp_not_converged
1737472100.658258677,55,13,0.075233805,nan,nan,nan,nan,0,0,4719,661,icp_not_converged
1737472101.959436178,56,13,0.085678047,nan,nan,nan,nan,0,0,4719,632,icp_not_converged
1737472103.359383583,57,13,0.084151989,nan,nan,nan,nan,0,0,4719,629,icp_not_converged
1737472104.659363985,58,13,0.128145465,nan,nan,nan,nan,0,0,4719,666,icp_not_converged
1737472105.959573746,59,13,0.083703122,nan,nan,nan,nan,0,0,4719,608,icp_not_converged
1737472107.259499073,60,13,0.072717801,nan,nan,nan,nan,0,0,4719,635,icp_not_converged
1737472108.559390783,61,26,0.100917151,9.918731454,0.300000000,nan,nan,0,0,3668,609,fitness_reject
1737472109.859442234,62,13,0.104239270,nan,nan,nan,nan,0,0,4719,632,icp_not_converged
1737472111.159523726,63,13,0.106684195,nan,nan,nan,nan,0,0,4719,642,icp_not_converged
1737472112.459450960,64,12,0.079376066,nan,nan,nan,nan,0,0,4733,641,icp_not_converged
1737472113.759351492,65,13,0.076433788,nan,nan,nan,nan,0,0,4719,649,icp_not_converged
1737472115.059404135,66,13,0.071643777,nan,nan,nan,nan,0,0,4719,631,icp_not_converged
1737472116.359486580,67,36,0.042919707,10.432454233,0.300000000,nan,nan,0,0,2868,615,fitness_reject
1737472117.659470081,68,37,0.029461471,23.741464706,0.300000000,nan,nan,0,0,2936,643,fitness_reject
1737472118.959503889,69,35,0.031635422,9.244680442,0.300000000,nan,nan,0,0,2925,616,fitness_reject
1737472120.259503365,70,35,0.029933500,53.493243173,0.300000000,nan,nan,0,0,2925,622,fitness_reject
1737472121.559509039,71,39,0.039147319,21.846272784,0.300000000,nan,nan,0,0,2771,612,fitness_reject
1737472122.859529495,72,36,0.032566025,58.310928662,0.300000000,nan,nan,0,0,2868,615,fitness_reject
1737472124.159436941,73,38,0.021228825,53.674116777,0.300000000,nan,nan,0,0,2886,629,fitness_reject
1737472125.458606482,74,38,0.015543096,53.958767581,0.300000000,nan,nan,0,0,2886,626,fitness_reject
1737472126.759600639,75,36,0.026622446,56.571894391,0.300000000,nan,nan,0,0,2868,625,fitness_reject
1737472128.059439898,76,38,0.011341934,44.007477126,0.300000000,nan,nan,0,0,2886,606,fitness_reject
1737472129.359508038,77,38,0.022367987,32.572620431,0.300000000,nan,nan,0,0,2886,643,fitness_reject
1737472130.659464598,78,40,0.034469750,24.183243593,0.300000000,nan,nan,0,0,2791,621,fitness_reject
1737472131.959408998,79,37,0.094293632,22.212792579,0.300000000,nan,nan,0,0,2936,628,fitness_reject
1737472133.259473085,80,48,0.054513574,2.523014369,0.300000000,nan,nan,0,0,2283,638,fitness_reject
1737472134.559379339,81,36,0.029336058,12.844225853,0.300000000,nan,nan,0,0,2868,622,fitness_reject
1737472135.858664274,82,37,0.088309859,12.092675262,0.300000000,nan,nan,0,0,2936,626,fitness_reject
1737472137.159526110,83,39,0.087015870,11.812074244,0.300000000,nan,nan,0,0,2771,666,fitness_reject
1737472138.459465742,84,38,0.069219631,15.733753339,0.300000000,nan,nan,0,0,2886,755,fitness_reject
1737472139.658660650,85,30,0.081444791,24.840315960,0.300000000,nan,nan,0,0,3421,1015,fitness_reject
1737472140.359483957,86,30,0.085397059,25.079136350,0.300000000,nan,nan,0,0,3421,1108,fitness_reject
