frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,pos_x,pos_y,pos_z,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1732437230.441109657,1732437230.541312456,0,0,0.037723645,-0.006759384,0.028367732,899,714,0.000000000,0.020812675,0.008217225,0.005873383,0.000000000,433,427,6,0.481646274,0,0,0,0,0,466,0,1021,433,0,0,466
2,1732437230.541060925,1732437230.641195536,0,0,0.073225994,-0.006525099,0.044125910,907,719,0.000000000,0.017423913,0.007809749,0.005659048,0.000000000,224,220,4,0.246968026,0,0,0,0,0,683,0,1044,657,0,0,1149
3,1732437230.640952349,1732437230.741255522,0,0,0.132760803,0.000794069,0.069906760,904,700,0.000000000,0.018412781,0.009380315,0.006855372,0.000000000,148,148,0,0.163716814,0,0,0,0,0,756,0,1067,805,0,0,1905
4,1732437230.741045952,1732437230.841362238,0,0,0.189711783,0.000415277,0.098324245,907,706,0.000000000,0.016687307,0.007564838,0.005200403,0.000000000,115,114,1,0.126791621,0,0,0,0,0,792,0,1086,920,0,0,2697
5,1732437230.841086626,1732437230.941238403,0,0,0.241064384,0.009346258,0.123856175,910,682,0.000000000,0.017084362,0.007696255,0.005369316,0.000000000,68,68,0,0.074725275,0,0,0,0,0,842,0,1093,988,0,0,3539
6,1732437230.941002131,1732437231.041373730,0,0,0.292790201,0.014171669,0.150532323,925,709,0.000000000,0.015949335,0.007523163,0.004964721,0.000000000,95,95,0,0.102702703,0,0,0,0,0,830,0,1106,1083,0,0,4369
7,1732437231.041211128,1732437231.141180992,0,0,0.343483118,0.019185125,0.179466312,913,694,0.000000000,0.016393946,0.008566855,0.006407825,0.000000000,108,107,1,0.118291347,0,0,0,0,0,805,0,1129,1191,0,0,5174
8,1732437231.140892982,1732437231.241395473,0,0,0.394887617,0.024773320,0.206237414,914,709,0.000000000,0.016359134,0.007307880,0.004744361,0.000000000,103,103,0,0.112691466,0,0,0,0,0,811,0,1140,1294,0,0,5985
9,1732437231.241258383,1732437231.341288090,0,0,0.444176834,0.023439188,0.232133099,934,712,0.000000000,0.015656081,0.007865487,0.005427176,0.000000000,119,119,0,0.127408994,0,0,0,0,0,815,0,1154,1413,0,0,6800
10,1732437231.341068983,1732437231.441225767,0,0,0.494195658,0.026458212,0.258807687,916,707,0.000000000,0.015602688,0.007109492,0.005347366,0.000000000,103,103,0,0.112445415,0,0,0,0,0,813,0,1164,1516,0,0,7613
11,1732437231.440963268,1732437231.541197777,0,0,0.539817509,0.030181782,0.281649752,907,698,0.000000000,0.016090229,0.006110348,0.004337741,0.000000000,91,91,0,0.100330761,0,0,0,0,0,816,0,1174,1607,0,0,8429
12,1732437231.541011810,1732437231.641309977,0,0,0.583562955,0.034578315,0.303928137,906,691,0.000000000,0.016175468,0.007330185,0.005516011,0.000000000,65,65,0,0.071743929,0,0,0,0,0,841,0,1180,1672,0,0,9270
13,1732437231.641061544,1732437231.741368771,0,0,0.627231956,0.033021222,0.325593839,920,700,0.000000000,0.017519184,0.008158497,0.006277492,0.000000000,72,72,0,0.078260870,0,0,0,0,0,848,0,1191,1744,0,0,10118
14,1732437231.741160393,1732437231.841280699,0,0,0.665038457,0.035285337,0.343357925,923,690,0.000000000,0.017108051,0.007553559,0.005374068,0.000000000,63,62,1,0.068255688,0,0,0,0,0,860,0,1200,1807,0,0,10978
15,1732437231.841061592,1732437231.941381454,0,0,0.706049894,0.039779727,0.363719065,925,705,0.000000000,0.016901086,0.007724018,0.005293766,0.000000000,54,53,1,0.058378378,0,0,0,0,0,871,0,1208,1861,0,0,11849
16,1732437231.941181183,1732437232.041185617,0,0,0.744632872,0.041366881,0.383526998,907,695,0.000000000,0.016957145,0.008122141,0.005612906,0.000000000,39,39,0,0.042998897,0,0,0,0,0,868,0,1210,1900,0,0,12717
17,1732437232.041023016,1732437232.141271830,0,0,0.780916361,0.043780259,0.403938923,882,653,0.000000000,0.016130920,0.007516507,0.004999750,0.000000000,44,44,0,0.049886621,0,0,0,0,0,838,0,1217,1944,0,0,13555
18,1732437232.141046047,1732437232.241374493,0,0,0.814158809,0.044023796,0.422327764,905,696,0.000000000,0.017405937,0.007807893,0.005513943,0.000000000,63,62,1,0.069613260,0,0,0,0,0,842,0,1223,2007,0,0,14397
19,1732437232.241116524,1732437232.341388226,0,0,0.845593177,0.048273101,0.438195923,916,694,0.000000000,0.016167081,0.007327081,0.005037406,0.000000000,81,81,0,0.088427948,0,0,0,0,0,835,0,1232,2088,0,0,15232
20,1732437232.341146231,1732437232.441238165,0,0,0.877917623,0.048194994,0.452107631,904,684,0.000000000,0.015384433,0.007141123,0.004902610,0.000000000,112,112,0,0.123893805,0,0,0,0,0,792,0,1238,2200,0,0,16024
21,1732437232.440997124,1732437232.541434526,0,0,0.909343319,0.048562050,0.470234751,907,676,0.000000000,0.015780335,0.007503776,0.005370765,0.000000000,128,128,0,0.141124587,0,0,0,0,0,779,0,1244,2328,0,0,16803
22,1732437232.541246891,1732437232.641280413,0,0,0.942143854,0.050931811,0.488078409,903,691,0.000000000,0.015911729,0.007836940,0.005623990,0.000000000,154,154,0,0.170542636,0,0,0,0,0,749,0,1257,2482,0,0,17552
23,1732437232.641060114,1732437232.741240978,0,0,0.977811752,0.053568085,0.507644787,891,670,0.000000000,0.015118920,0.007862291,0.005570805,0.000000000,132,132,0,0.148148148,0,0,0,0,0,759,0,1265,2614,0,0,18311
24,1732437232.741014004,1732437232.841264486,0,0,1.013945445,0.056828351,0.527364362,889,676,0.000000000,0.015290260,0.006665447,0.004936139,0.000000000,86,86,0,0.096737908,0,0,0,0,0,803,0,1267,2700,0,0,19114
25,1732437232.841122150,1732437232.941271782,0,0,1.049364510,0.058134969,0.545486984,890,676,0.000000000,0.015438152,0.006232346,0.004491424,0.000000000,64,64,0,0.071910112,0,0,0,0,0,826,0,1268,2764,0,0,19940
26,1732437232.941044569,1732437233.041234493,0,0,1.090218882,0.059981521,0.566808697,888,669,0.000000000,0.016349287,0.008023107,0.006025504,0.000000000,34,34,0,0.038288288,0,0,0,0,0,854,0,1269,2798,0,0,20794
27,1732437233.041071177,1732437233.141444683,0,0,1.131821111,0.062917344,0.587285596,891,669,0.000000000,0.015034705,0.007293370,0.005259594,0.000000000,35,34,1,0.039281706,0,0,0,0,0,856,0,1270,2833,0,0,21650
28,1732437233.141310453,1732437233.241348982,0,0,1.174261622,0.064177856,0.610878690,877,647,0.000000000,0.014592995,0.006985378,0.004997505,0.000000000,32,32,0,0.036488027,0,0,0,0,0,845,0,1272,2865,0,0,22495
29,1732437233.241131067,1732437233.341203451,0,0,1.219208058,0.067357273,0.635027422,894,658,0.000000000,0.014759198,0.007641028,0.005398726,0.000000000,23,22,1,0.025727069,0,0,0,0,0,871,0,1277,2888,0,0,23366
30,1732437233.341063499,1732437233.441235065,0,0,1.265825916,0.068497517,0.659880440,892,674,0.000000000,0.014465753,0.007093056,0.005243278,0.000000000,19,16,3,0.021300448,0,0,0,0,0,873,0,1282,2907,0,0,24239
31,1732437233.440994024,1732437233.541471243,0,0,1.310997873,0.070922830,0.682451096,891,661,0.000000000,0.015212012,0.007524673,0.005350677,0.000000000,32,31,1,0.035914703,0,0,0,0,0,859,0,1289,2939,0,0,25098
32,1732437233.541300774,1732437233.641272545,0,0,1.358123628,0.074223061,0.706992939,861,659,0.000000000,0.015419380,0.008209134,0.005437369,0.000000000,24,22,2,0.027874564,0,0,0,0,0,837,0,1297,2963,0,0,25935
33,1732437233.641056061,1732437233.741411924,0,0,1.406739913,0.074519139,0.731474048,873,655,0.000000000,0.015042045,0.007455845,0.005285597,0.000000000,37,37,0,0.042382589,0,0,0,0,0,836,0,1304,3000,0,0,26771
34,1732437233.741156340,1732437233.841312647,0,0,1.452987319,0.079474421,0.755479542,858,651,0.000000000,0.015673884,0.006931622,0.004981975,0.000000000,44,44,0,0.051282051,0,0,0,0,0,814,0,1312,3044,0,0,27585
35,1732437233.841074467,1732437233.941312075,0,0,1.502161002,0.081150875,0.781520341,856,653,0.000000000,0.015142242,0.007951665,0.005480520,0.000000000,56,56,0,0.065420561,0,0,0,0,0,800,0,1320,3100,0,0,28385
36,1732437233.941099882,1732437234.041218519,0,0,1.549200936,0.083867076,0.806869555,835,618,0.000000000,0.013410461,0.007362313,0.005186237,0.000000000,41,41,0,0.049101796,0,0,0,0,0,794,0,1323,3141,0,0,29179
37,1732437234.041074276,1732437234.141382217,0,0,1.594494559,0.086058841,0.831355600,831,608,0.000000000,0.015004105,0.007075307,0.004809427,0.000000000,40,40,0,0.048134777,0,0,0,0,0,791,0,1329,3181,0,0,29970
38,1732437234.141139507,1732437234.241401434,0,0,1.637760543,0.086181946,0.854930518,850,636,0.000000000,0.014946656,0.008392798,0.005865956,0.000000000,34,34,0,0.040000000,0,0,0,0,0,816,0,1332,3215,0,0,30786
39,1732437234.241184473,1732437234.341280699,0,0,1.673776937,0.087027059,0.874267170,835,629,0.000000000,0.015430260,0.007324729,0.005250772,0.000000000,33,33,0,0.039520958,0,0,0,0,0,802,0,1338,3248,0,0,31588
40,1732437234.341011286,1732437234.441268921,0,0,1.709431185,0.087379209,0.892326087,839,628,0.000000000,0.016787351,0.008005237,0.005539323,0.000000000,30,29,1,0.035756853,0,0,0,0,0,809,0,1343,3278,0,0,32397
41,1732437234.441030502,1732437234.541404486,0,0,1.743635898,0.086772243,0.910336194,835,628,0.000000000,0.016879962,0.007657099,0.005179315,0.000000000,31,31,0,0.037125749,0,0,0,0,0,804,0,1347,3309,0,0,33201
42,1732437234.541150093,1732437234.641339302,0,0,1.778257935,0.087851340,0.928463242,832,607,0.000000000,0.016123132,0.008281368,0.005648665,0.000000000,37,37,0,0.044471154,0,0,0,0,0,795,0,1357,3346,0,0,33996
43,1732437234.641154528,1732437234.741392851,0,0,1.807765118,0.089083242,0.946230317,853,627,0.000000000,0.016911836,0.007755263,0.005472220,0.000000000,39,37,2,0.045720985,0,0,0,0,0,814,0,1362,3385,0,0,34810
44,1732437234.741172314,1732437234.841290712,0,0,1.837718231,0.090552479,0.961655279,863,626,0.000000000,0.017442457,0.007598701,0.005390929,0.000000000,46,45,1,0.053302433,0,0,0,0,0,817,0,1372,3431,0,0,35627
45,1732437234.841059446,1732437234.941209078,0,0,1.866229225,0.091484695,0.976384537,850,624,0.000000000,0.015792029,0.007966300,0.005396191,0.000000000,65,65,0,0.076470588,0,0,0,0,0,785,0,1382,3496,0,0,36412
46,1732437234.941025257,1732437235.041245937,0,0,1.892326669,0.091743152,0.991120606,832,599,0.000000000,0.015631073,0.008047736,0.005175732,0.000000000,69,68,1,0.082932692,0,0,0,0,0,763,0,1387,3565,0,0,37175
47,1732437235.041004658,1732437235.141300201,0,0,1.913754034,0.092318654,1.003884362,825,606,0.000000000,0.016102981,0.007653068,0.005702019,0.000000000,57,54,3,0.069090909,0,0,0,0,0,768,0,1395,3622,0,0,37943
48,1732437235.141081810,1732437235.241259813,0,0,1.938552961,0.095365313,1.010596463,807,614,0.000000000,0.017665762,0.008059884,0.005189340,0.000000000,59,59,0,0.073110285,0,0,0,0,0,748,0,1401,3681,0,0,38691
49,1732437235.241043091,1732437235.341367245,0,0,1.961621532,0.095207280,1.024023441,793,593,0.000000000,0.016095886,0.007591275,0.005090577,0.000000000,45,44,1,0.056746532,0,0,0,0,0,748,0,1408,3726,0,0,39439
50,1732437235.341122150,1732437235.441480875,0,0,1.981982939,0.096832865,1.036511550,791,589,0.000000000,0.016898584,0.008242228,0.005526159,0.000000000,60,59,1,0.075853350,0,0,0,0,0,731,0,1415,3786,0,0,40170
51,1732437235.441345215,1732437235.540979862,0,0,2.002670598,0.098523105,1.048151594,745,572,0.000000000,0.014946536,0.005987829,0.004057456,0.000000000,30,30,0,0.040268456,0,0,0,0,0,715,0,1419,3816,0,0,40885
52,1732437235.541014671,1732437235.641340256,0,0,2.023680879,0.101696665,1.057365666,782,581,0.000000000,0.016673584,0.006962641,0.004917067,0.000000000,37,36,1,0.047314578,0,0,0,0,0,745,0,1427,3853,0,0,41630
53,1732437235.641093969,1732437235.741364717,0,0,2.047110443,0.102207214,1.071035021,773,574,0.000000000,0.015058130,0.007144616,0.005073993,0.000000000,26,26,0,0.033635188,0,0,0,0,0,747,0,1433,3879,0,0,42377
54,1732437235.741114855,1732437235.841470480,0,0,2.068993158,0.096799928,1.088925008,772,569,0.000000000,0.016186190,0.007704345,0.005818625,0.000000000,33,33,0,0.042746114,0,0,0,0,0,739,0,1442,3912,0,0,43116
55,1732437235.841217518,1732437235.941342354,0,0,2.090866170,0.091079716,1.105153201,780,578,0.000000000,0.017467322,0.008196417,0.005563848,0.000000000,26,25,1,0.033333333,0,0,0,0,0,754,0,1450,3938,0,0,43870
56,1732437235.941087246,1732437236.041278362,0,0,2.113181480,0.092524058,1.116345871,797,582,0.000000000,0.014867851,0.006976161,0.004719582,0.000000000,29,28,1,0.036386449,0,0,0,0,0,768,0,1456,3967,0,0,44638
57,1732437236.041025877,1732437236.141492128,0,0,2.138727382,0.096028669,1.125319007,800,588,0.000000000,0.016207771,0.007258481,0.005213275,0.000000000,19,18,1,0.023750000,0,0,0,0,0,781,0,1460,3986,0,0,45419
58,1732437236.141220331,1732437236.241359711,0,0,2.166002133,0.102930732,1.133429484,804,592,0.000000000,0.017261235,0.007605509,0.005333059,0.000000000,30,30,0,0.037313433,0,0,0,0,0,774,0,1467,4016,0,0,46193
