frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1737472023.259151459,1737472023.359366179,1,0,0,0,-0.005460335,-0.000273476,-0.003087665,-0.000418961,-0.000056788,0.000104135,0.999999905,882,689,0.781179138,0.023243640,0.009840899,0.007475659,0.298724042,7.646096545,0.000000000,0.298724042,0.000000000,0.000000000,0.000000000,7.646096545,0,438,428,10,0.496598639,78,0,0,0,0,366,78,1005,438,78,0,366
2,1737472023.359639883,1737472023.459530830,1,0,0,0,-0.008142268,-0.002975479,-0.005170561,0.000093789,-0.000620523,-0.000265463,0.999999768,886,690,0.778781038,0.018674181,0.009157809,0.006881892,0.279011193,8.145681750,0.000000000,0.288867618,0.109009949,0.004339590,0.000739360,7.895889148,0,281,280,1,0.317155756,48,0,0,0,0,557,48,1060,719,126,0,923
3,1737472023.459321260,1737472023.559467793,1,0,0,0,-0.009908065,-0.010781483,-0.005596596,0.000324849,-0.001166629,0.000084409,0.999999263,884,692,0.782805430,0.021036005,0.009310303,0.006939580,0.290956909,8.436998696,0.000000000,0.289564048,0.088914120,0.012354154,0.001438464,8.076258997,0,263,262,1,0.297511312,58,0,0,0,0,563,58,1120,982,184,0,1486
4,1737472023.559220552,1737472023.659505606,1,0,0,0,-0.013068772,-0.008323022,-0.006908405,0.000050476,-0.001235446,-0.000075079,0.999999233,867,671,0.773933103,0.017811539,0.008132390,0.006064045,0.276209946,8.318920635,0.000000000,0.286225523,0.105046955,0.016567816,0.001756808,8.136924407,0,171,171,0,0.197231834,40,0,0,0,0,656,40,1135,1153,224,0,2142
5,1737472023.659291029,1737472023.759499073,1,0,0,0,-0.010068590,-0.008446871,-0.005653268,0.000171671,-0.001393929,0.000315135,0.999998964,882,685,0.776643991,0.019197371,0.008850328,0.006270240,0.304131852,7.786093988,0.000000000,0.289806788,0.096952602,0.019822321,0.002536885,8.066758323,0,182,182,0,0.206349206,57,0,0,0,0,643,57,1170,1335,281,0,2785
6,1737472023.759288549,1737472023.859453440,1,0,0,0,-0.009183981,-0.008863568,-0.006635148,0.000267042,-0.001692134,0.000226509,0.999998507,849,659,0.776207303,0.018310590,0.008837642,0.006538161,0.304179314,7.894896226,0.000000000,0.292202209,0.095229833,0.021208056,0.002714562,8.038114640,0,156,154,2,0.183745583,34,0,0,0,0,659,34,1198,1491,315,0,3444
7,1737472023.859183311,1737472023.959444284,1,0,0,0,-0.009343468,-0.010037215,-0.006903511,-0.000025455,-0.001621193,-0.000825030,0.999998345,892,713,0.799327354,0.022090029,0.010211378,0.007441285,0.286892707,8.478063130,0.000000000,0.291443709,0.096093267,0.022422511,0.004816663,8.100964424,0,148,147,1,0.165919283,50,0,0,0,0,694,50,1223,1639,365,0,4138
8,1737472023.959311247,1737472024.059544325,1,0,0,0,-0.008462183,-0.010892691,-0.007079221,0.000369337,-0.001617301,-0.000499205,0.999998499,881,705,0.800227015,0.021116304,0.010351816,0.007385918,0.308292623,8.016151713,0.000000000,0.293549823,0.090981589,0.023663227,0.005467037,8.090362835,0,110,110,0,0.124858116,38,0,0,0,0,733,38,1237,1749,403,0,4871
9,1737472024.059403658,1737472024.159530163,1,0,0,0,-0.005720563,-0.006718666,-0.005177959,0.000070266,-0.001782222,-0.000643960,0.999998202,887,706,0.795941375,0.018777156,0.008580671,0.006369474,0.290805511,8.562653894,0.000000000,0.293244900,0.089225867,0.029006800,0.005755605,8.142839620,0,121,121,0,0.136414882,37,0,0,0,0,729,37,1253,1870,440,0,5600
10,1737472024.159280300,1737472024.259557962,1,0,0,0,-0.004711941,-0.005962616,-0.005933927,0.000242645,-0.001536928,-0.000486032,0.999998671,884,692,0.782805430,0.018717763,0.008190699,0.006162860,0.292574190,8.390206104,0.000000000,0.293177829,0.087466654,0.030476635,0.006070970,8.167576268,0,101,101,0,0.114253394,37,0,0,0,0,746,37,1266,1971,477,0,6346
