time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1737472052.359537363,36,1,0.169311565,12.833742795,0.300000000,nan,nan,0,0,2398,948,fitness_reject
1737472053.559466124,38,0,0.150849389,8.645078441,0.300000000,nan,nan,0,0,2342,804,fitness_reject
1737472054.159382582,39,0,0.126528844,3.289054913,0.300000000,nan,nan,0,0,2342,809,fitness_reject
1737472055.359520912,41,1,0.164476514,5.687864156,0.300000000,nan,nan,0,0,2398,845,fitness_reject
1737472055.959453583,42,3,0.147685084,7.288829583,0.300000000,nan,nan,0,0,2571,797,fitness_reject
1737472063.759380341,55,0,0.158842056,3.660426663,0.300000000,nan,nan,0,0,2342,646,fitness_reject
1737472064.359499693,56,0,0.131569295,15.390992402,0.300000000,nan,nan,0,0,2342,744,fitness_reject
1737472064.959547758,57,1,0.146574747,32.327463641,0.300000000,nan,nan,0,0,2398,756,fitness_reject
1737472066.159466267,59,28,0.143198012,9.454761365,0.300000000,nan,nan,0,0,3857,780,fitness_reject
1737472066.758924246,60,28,0.103344545,1.847659104,0.300000000,nan,nan,0,0,3857,829,fitness_reject
1737472067.159498692,61,1,0.119663436,5.807860559,0.300000000,nan,nan,0,0,2398,895,fitness_reject
1737472067.459434748,62,1,0.127387416,7.334704792,0.300000000,nan,nan,0,0,2398,933,fitness_reject
1737472067.859322548,63,26,0.139739222,6.708605960,0.300000000,nan,nan,0,0,3897,1050,fitness_reject
1737472068.459486485,64,27,0.138078215,4.227934874,0.300000000,nan,nan,0,0,3858,1104,fitness_reject
1737472068.759298563,65,2,0.129296896,15.345003674,0.300000000,nan,nan,0,0,2487,1121,fitness_reject
1737472070.259487152,66,27,0.135095201,5.594809919,0.300000000,nan,nan,0,0,3858,1108,fitness_reject
1737472071.459327698,67,1,0.152681533,17.859689736,0.300000000,nan,nan,0,0,2398,1105,fitness_reject
1737472071.859475851,68,26,0.173511402,7.196835190,0.300000000,nan,nan,0,0,3897,1114,fitness_reject
1737472072.159539461,69,26,0.137269292,7.016578687,0.300000000,nan,nan,0,0,3897,1094,fitness_reject
1737472072.459437132,70,26,0.139089283,8.597704633,0.300000000,nan,nan,0,0,3897,1026,fitness_reject
1737472073.059360743,71,28,0.098079434,5.085279862,0.300000000,nan,nan,0,0,3857,913,fitness_reject
1737472073.659275055,72,28,0.091269321,2.235800446,0.300000000,nan,nan,0,0,3857,719,fitness_reject
1737472074.259382486,73,38,0.119002606,3.362127774,0.300000000,nan,nan,0,0,3121,607,fitness_reject
1737472074.959426165,74,28,0.095176989,3.654889964,0.300000000,nan,nan,0,0,3857,592,fitness_reject
1737472075.659394979,75,26,0.099206857,4.057590253,0.300000000,nan,nan,0,0,3897,580,fitness_reject
1737472076.359377384,76,27,0.093207494,9.672554553,0.300000000,nan,nan,0,0,3858,607,fitness_reject
1737472077.059631109,77,26,0.123867761,16.876436675,0.300000000,nan,nan,0,0,3897,607,fitness_reject
1737472077.759397268,78,29,0.098435191,20.015219643,0.300000000,nan,nan,0,0,3814,636,fitness_reject
1737472078.459388971,79,28,0.114771999,17.212683098,0.300000000,nan,nan,0,0,3857,624,fitness_reject
1737472079.159407139,80,27,0.131058799,22.183351269,0.300000000,nan,nan,0,0,3858,657,fitness_reject
1737472079.859602213,81,0,0.114536521,nan,nan,nan,nan,0,0,2342,634,icp_not_converged
1737472080.559392929,82,0,0.145979831,nan,nan,nan,nan,0,0,2342,660,icp_not_converged
1737472081.759427786,84,42,0.116225553,nan,nan,nan,nan,0,0,3050,594,icp_not_converged
1737472082.459445000,85,29,0.147987005,42.947064567,0.300000000,nan,nan,0,0,3814,608,fitness_reject
1737472083.158987999,86,38,0.113999495,13.926856834,0.300000000,nan,nan,0,0,3121,621,fitness_reject
1737472083.859453201,87,56,0.133568047,0.371476204,0.300000000,nan,nan,0,0,2686,625,fitness_reject
1737472084.559390783,88,56,0.116642098,0.353409996,0.300000000,nan,nan,0,0,2686,616,fitness_reject
1737472085.159667969,89,0,0.109562087,nan,nan,nan,nan,0,0,2342,617,icp_not_converged
1737472085.859399319,90,56,0.119366529,0.555486390,0.300000000,nan,nan,0,0,2686,612,fitness_reject
1737472086.559468269,91,56,0.114076152,0.615936010,0.300000000,nan,nan,0,0,2686,623,fitness_reject
1737472087.258823156,92,56,0.118969419,0.597327214,0.300000000,nan,nan,0,0,2686,635,fitness_reject
1737472087.959482431,93,56,0.163384397,0.638669282,0.300000000,nan,nan,0,0,2686,627,fitness_reject
1737472088.659429312,94,56,0.120292963,0.540705523,0.300000000,nan,nan,0,0,2686,617,fitness_reject
1737472089.359449625,95,29,0.153631096,nan,nan,nan,nan,0,0,3814,627,icp_not_converged
1737472090.059350014,96,56,0.130322629,0.711488804,0.300000000,nan,nan,0,0,2686,585,fitness_reject
1737472090.759406805,97,56,0.133434266,0.724673973,0.300000000,nan,nan,0,0,2686,638,fitness_reject
1737472091.459415436,98,56,0.124238606,0.748204066,0.300000000,nan,nan,0,0,2686,632,fitness_reject
1737472092.159443855,99,56,0.138734012,1.032060917,0.300000000,nan,nan,0,0,2686,624,fitness_reject
1737472092.859417200,100,56,0.118034781,0.802887082,0.300000000,nan,nan,0,0,2686,605,fitness_reject
1737472093.559409618,101,56,0.118784094,1.059201944,0.300000000,nan,nan,0,0,2686,617,fitness_reject
1737472094.259518862,102,71,0.088487408,0.571661511,0.300000000,nan,nan,0,0,2236,615,fitness_reject
1737472094.959439039,103,71,0.089874236,0.881171237,0.300000000,nan,nan,0,0,2236,595,fitness_reject
1737472095.659507036,104,73,0.059269876,0.724416453,0.300000000,nan,nan,0,0,2212,617,fitness_reject
1737472096.359684706,105,74,0.041508944,0.966694283,0.300000000,nan,nan,0,0,2228,622,fitness_reject
1737472097.059441090,106,75,0.077559508,0.908401552,0.300000000,nan,nan,0,0,2204,624,fitness_reject
1737472097.759377956,107,75,0.041729599,0.700157192,0.300000000,nan,nan,0,0,2204,613,fitness_reject
1737472098.459491730,108,76,0.046237908,0.746338069,0.300000000,nan,nan,0,0,2194,607,fitness_reject
1737472099.159512997,109,78,0.024285675,0.907203608,0.300000000,nan,nan,0,0,2141,620,fitness_reject
