time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,6.615020449179198625e-02,-6.403326581550905505e-03,6.397404954318730574e-03,-6.613989354290773781e-02,6.584741584459637663e-03,-5.281983010951129404e-03,6.667641025227180607e-02
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,6.688377271692633186e-02,-1.372957169230537566e-02,7.825564681982200010e-03,-6.681527132560576010e-02,1.404004198906022051e-02,-6.227638603489675517e-03,6.855790796067630366e-02
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,6.529999512071474332e-02,-1.583370562965494277e-02,8.422869503728502849e-03,-6.519933687683453216e-02,1.620624614240240985e-02,-6.836218048164339513e-03,6.753021412974444249e-02
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,6.219606540937527850e-02,-1.078234804892300169e-02,8.425644101537177466e-03,-6.219637696936044374e-02,1.094156065834793121e-02,-7.184871405814924859e-03,6.355886590298157057e-02
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,6.408767439179396952e-02,-1.072063115861127125e-02,8.063864427133915491e-03,-6.398989954207097430e-02,1.095895871698237753e-02,-6.665750259080673382e-03,6.526283970286071712e-02
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,6.548346997704837524e-02,-1.132669198820715484e-02,7.670052645097513722e-03,-6.502875195047795598e-02,1.156108661434187765e-02,-6.032314400811497265e-03,6.632334521849259090e-02
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,6.563045178656898293e-02,-1.283476087182489067e-02,8.054126069945821698e-03,-6.558077852874587277e-02,1.312856282637219450e-02,-6.475671499832913458e-03,6.719473190434027687e-02
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,6.634971219783381002e-02,-1.496510070910592183e-02,7.511234518081277844e-03,-6.610309130911605491e-02,1.484246291518342628e-02,-7.403720586708132517e-03,6.815227409658444757e-02
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,6.377449926584546902e-02,-1.763127676175560432e-02,7.553817272939300498e-03,-6.355027511629371406e-02,1.762542067571264831e-02,-7.339196360313366904e-03,6.635628624755679494e-02
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,6.265802076923868147e-02,-2.232306134821238075e-02,7.310852526190791956e-03,-6.271807185495704984e-02,2.220758983823532123e-02,-7.800554525572950086e-03,6.698941882516436241e-02
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,6.321556797714494857e-02,-2.513026888470540343e-02,7.528349207804374554e-03,-6.342480925696430960e-02,2.486842238343351177e-02,-8.284960251313356477e-03,6.862787646058272906e-02
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,6.494609958431671326e-02,-2.447511365933663363e-02,8.119299887481778999e-03,-6.499264076626184994e-02,2.441533844123302058e-02,-8.611916170192883066e-03,6.995939683198205972e-02
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,6.436437702004374484e-02,-2.541966451442606578e-02,9.061478447943138725e-03,-6.442831677087267062e-02,2.517268485690805566e-02,-9.656834353699244797e-03,6.984215428069144582e-02
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,6.438761084513308641e-02,-2.434753512655976615e-02,9.288047990908931961e-03,-6.442548190074143255e-02,2.424395808232151367e-02,-9.715889903830526170e-03,6.951842013641766627e-02
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,6.468739889010355348e-02,-2.154530717145375363e-02,9.314067639542955579e-03,-6.472329902961759807e-02,2.124166848592396253e-02,-1.010865145700060030e-02,6.886580248296184092e-02
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,6.212340215088579809e-02,-1.807220712966245424e-02,8.919361208790443918e-03,-6.218034397990834100e-02,1.786789154116478692e-02,-9.750631435338085948e-03,6.542729964605260851e-02
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,6.227207579248322800e-02,-1.683238392893685043e-02,7.831182281541226864e-03,-6.233006246334223815e-02,1.652364875944271894e-02,-8.661253021727094784e-03,6.506216226744969411e-02
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,6.200130912170023767e-02,-1.652107095745677934e-02,7.567969774247618187e-03,-6.221165309608145400e-02,1.661351309448208871e-02,-6.954385735409888795e-03,6.476621093783842265e-02
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,6.281785457820387997e-02,-1.880407370624609387e-02,7.901097489875275048e-03,-6.245397274944153310e-02,1.913175641616839118e-02,-5.893192686580508814e-03,6.558393504355126968e-02
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,6.253967968915893905e-02,-2.052846470353472674e-02,8.565942103711698952e-03,-6.198361811068268251e-02,2.080103068246022535e-02,-6.302070897604678847e-03,6.568384800803039880e-02
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,6.146917170228802241e-02,-2.202367263155463606e-02,9.197625043681711965e-03,-6.105537362497043957e-02,2.237836545558711046e-02,-6.769712327106439803e-03,6.537873426382868891e-02
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,5.809003616932950642e-02,-2.503476365065199216e-02,8.785383130413548791e-03,-5.785524563960682543e-02,2.533274981279300814e-02,-6.772425604253519069e-03,6.352041726611970529e-02
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,5.895062350587212952e-02,-2.693342312900454116e-02,8.659731792165614728e-03,-5.889044448845148771e-02,2.732100871222167826e-02,-6.304779761671085517e-03,6.522478222994582131e-02
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,5.997365539634025300e-02,-2.460090240220993985e-02,8.421494826995057359e-03,-5.991464503271255737e-02,2.494275354650430862e-02,-6.650423814290383311e-03,6.523905104143745692e-02
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,6.145818385867532485e-02,-2.224626460505393921e-02,8.183478862296089673e-03,-6.136398182315637440e-02,2.264988179349968628e-02,-6.148245627968154138e-03,6.569898275280983135e-02
3.606352353096008301e+01,3.168829948762767312e-04,4.186553250328346135e-04,2.194012331313702126e-03,6.291578033404013337e-02,-2.230875853899538797e-02,8.196554936821753845e-03,-6.259889733916385035e-02,2.272741386402822236e-02,-6.002542605508051285e-03,6.686694106026487561e-02
3.616348481178283691e+01,5.676536900522967513e-05,4.141398744468301044e-04,2.049227757813147557e-03,6.111519416079383427e-02,-2.409884593805103337e-02,8.631580261114435437e-03,-6.105842879178860483e-02,2.451298581249786515e-02,-6.582352503301287447e-03,6.612371408536696360e-02
3.626339721679687500e+01,9.071020425686178099e-05,4.910826451042061636e-04,2.461433013595636186e-03,6.293576374620390990e-02,-2.423894065709733536e-02,9.196049882120915786e-03,-6.284505354194705462e-02,2.473002330220154185e-02,-6.734616868525280034e-03,6.787068492054171287e-02
3.636338472366333008e+01,9.064378529065966761e-05,4.703442095526206256e-04,2.368703961074123277e-03,6.345368187179134534e-02,-2.895735126416301708e-02,8.609030105538262312e-03,-6.336303808650069203e-02,2.942769547371563640e-02,-6.240326144464139468e-03,7.014132538549841533e-02
3.646338796615600586e+01,8.584092603931698360e-05,3.693640325942198132e-04,2.212107746353835554e-03,6.289504827519842856e-02,-2.802979352169820970e-02,8.568583209123348254e-03,-6.280920734915911019e-02,2.839915755429242919e-02,-6.356475462769512266e-03,6.922364811198539192e-02
3.656337809562683105e+01,3.729198636524754212e-04,2.524807016792597484e-04,2.055377027120571139e-03,6.513610024999871850e-02,-2.787192385749134860e-02,8.603638906815924692e-03,-6.476318038634623631e-02,2.812440455917060780e-02,-6.548261879695353553e-03,7.090931814090013774e-02
3.666335105895996094e+01,1.179707436754099737e-04,2.198384687939448033e-04,1.747023136353074340e-03,6.144132311573299865e-02,-2.569782015516403062e-02,8.717981611386926843e-03,-6.132335237205759071e-02,2.591765862395797523e-02,-6.970958475033852721e-03,6.693932205181205020e-02
3.676334166526794434e+01,1.764654624915270621e-04,3.732886982571045832e-04,2.037435092953374799e-03,6.175638808999273088e-02,-2.654580069662426656e-02,8.665822945720158543e-03,-6.157992262750120599e-02,2.691908939488137087e-02,-6.628387852766783744e-03,6.753265706445553407e-02
3.686332821846008301e+01,5.052074715645646624e-04,3.947582500754227624e-04,2.032552792677267545e-03,6.055582935906195230e-02,-2.874195321962663696e-02,8.695391826014420289e-03,-6.005062188749738655e-02,2.913671146970206113e-02,-6.662839033337152744e-03,6.707770544918786881e-02
3.696334290504455566e+01,4.678531012717780809e-04,2.980336725815827242e-04,2.040453116256809533e-03,6.229210152694078517e-02,-2.989502350232473016e-02,8.807620685418182660e-03,-6.182424842566900530e-02,3.019305717490631397e-02,-6.767167569161373561e-03,6.913503418582439553e-02
3.706330966949462891e+01,4.582532795689185710e-04,3.363118457426223103e-04,2.034684015887231346e-03,6.098329234109944874e-02,-2.802880017021663894e-02,8.352255643872041890e-03,-6.052503906153053337e-02,2.836511201595925957e-02,-6.317571627984810978e-03,6.713994075326870647e-02
3.716331148147583008e+01,4.594322333183638307e-04,3.383150970630317139e-04,2.043278443803823487e-03,6.005048526482467675e-02,-3.185362586806420038e-02,8.242260216082430979e-03,-5.959105303150631638e-02,3.219194096512723036e-02,-6.198981772278607492e-03,6.801354305959274316e-02
3.726326751708984375e+01,8.795311659357460117e-05,3.105155614480608174e-04,2.047059011742642827e-03,6.073554447111442767e-02,-2.935015766697179895e-02,7.900253578301041912e-03,-6.064759135452085087e-02,2.966067322841986140e-02,-5.853194566558399085e-03,6.776537286920247816e-02
3.736322855949401855e+01,4.507787220785817550e-04,2.333832973933462618e-04,1.980862887625161207e-03,6.059404776842239326e-02,-2.608655880940244365e-02,8.303118020279165457e-03,-6.014326904634380994e-02,2.631994210679578991e-02,-6.322255132654004683e-03,6.595394661465187047e-02
3.746329092979431152e+01,8.879506935077947916e-06,5.049966651773073607e-05,9.073546440069284874e-04,6.192765689157611608e-02,-2.189823445393199175e-02,8.516179271677859486e-03,-6.191877738464103553e-02,2.194873412044972411e-02,-7.608824627670930998e-03,6.613301848935658478e-02
3.756334042549133301e+01,-7.707707163496189950e-05,7.740352850971182882e-05,2.445033899333624275e-04,6.467137964277924755e-02,-2.466336481316200313e-02,9.332637895783590931e-03,-6.474845671441420425e-02,2.474076834167171501e-02,-9.088134505850229208e-03,6.990752787669622659e-02
3.766336274147033691e+01,-1.019927715334615172e-04,-1.275044663023727905e-04,1.891158653000544901e-04,6.467812936577535532e-02,-2.353778720519986156e-02,9.225722672066449803e-03,-6.478012213730881264e-02,2.341028273889748934e-02,-9.036606806766395855e-03,6.947061122964059976e-02
3.776336812973022461e+01,-1.974503847691940471e-04,-6.955244584010150536e-05,6.427786147507132536e-06,6.464192470412616354e-02,-2.183620996669458081e-02,9.386366380291055744e-03,-6.483937508889535406e-02,2.176665752085447936e-02,-9.379938594143549455e-03,6.903560812782442990e-02
3.786339282989501953e+01,-4.854206575503209258e-05,-1.592126632543174275e-04,3.398759226824616384e-05,6.429778557549620244e-02,-2.701961316316567330e-02,9.497805917508150841e-03,-6.434632764125124138e-02,2.686040049991135492e-02,-9.463818325239905030e-03,7.036685905470016489e-02
3.796340203285217285e+01,-6.859955583413221859e-05,-1.448592571467424337e-04,-6.095212927552731697e-04,6.209665815784257137e-02,-2.999410078935491053e-02,9.039925205656718088e-03,-6.216525771367670261e-02,2.984924153220816848e-02,-9.649446498411991258e-03,6.963194887680264344e-02
3.806345462799072266e+01,1.633922208624817834e-04,-3.383659556617276808e-04,-7.866895670966409437e-04,6.075317131211949162e-02,-2.762643142574472410e-02,8.596803431688060382e-03,-6.058977909125701222e-02,2.728806547008299707e-02,-9.383492998784701000e-03,6.711042980256573531e-02
3.826332831382751465e+01,-9.108623776075570606e-05,-3.328268772153773650e-04,-9.469218198888895103e-04,6.038072656898055279e-02,-2.297199824746518071e-02,7.881874307575420513e-03,-6.047181280674130549e-02,2.263917137024980264e-02,-8.828796127464309806e-03,6.517146511722311797e-02
3.836338567733764648e+01,-8.299864779574537036e-05,-2.759196918755210258e-04,-7.209467638763811812e-04,6.267602557873291902e-02,-2.416663783376193919e-02,8.392930499860451476e-03,-6.275902422652866741e-02,2.389071814188641757e-02,-9.113877263736832116e-03,6.776816578585798112e-02
3.846339535713195801e+01,-6.929246815891837018e-05,-2.017826323711710936e-04,-8.302856874668904314e-04,6.263767304763101507e-02,-2.570797573740116193e-02,8.980590361923668219e-03,-6.270696551578992806e-02,2.550619310502999157e-02,-9.810876049390558976e-03,6.840308984078169452e-02
