time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,9.539850602349517206e-02,-2.755441113802428732e-02,2.809045709155688630e-03,-9.538819507461092362e-02,2.773582614093302035e-02,-1.693623765788087026e-03,9.935316891157590369e-02
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,9.613488987397503238e-02,-3.487978300906952045e-02,4.240232540827948426e-03,-9.606638848265446062e-02,3.519025330582436356e-02,-2.642306462335423500e-03,1.023429856280794192e-01
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,9.455207255516789866e-02,-3.698398041180220308e-02,4.839854735435911159e-03,-9.445141431128768750e-02,3.735652092454967016e-02,-3.253203279871747823e-03,1.016226483249133006e-01
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,9.144699915676218760e-02,-3.193332578078303396e-02,4.842638334709215009e-03,-9.144731071674735978e-02,3.209253839020796001e-02,-3.601865638986962402e-03,9.698203490200452137e-02
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,9.333830155977018705e-02,-3.187135893653056384e-02,4.479301878627495181e-03,-9.324052671004719184e-02,3.210968649490167359e-02,-3.081187710574253072e-03,9.866266520663065365e-02
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,9.473391652763576976e-02,-3.247729793261189268e-02,4.084663361558715788e-03,-9.427919850106535049e-02,3.271169255874661203e-02,-2.446925117272699332e-03,9.982289087474266465e-02
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,9.488155061247835476e-02,-3.398514344583480895e-02,4.469363102898582518e-03,-9.483187735465524459e-02,3.427894540038211452e-02,-2.890908532785674712e-03,1.008785825263008168e-01
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,9.560085647879631998e-02,-3.611558825955732410e-02,3.926943924616121961e-03,-9.535423559007856487e-02,3.599295046563483202e-02,-3.819429993242976634e-03,1.019926996096442717e-01
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,9.302628422007896969e-02,-3.878232660021038725e-02,3.972922038412152190e-03,-9.280206007052721473e-02,3.877647051416743124e-02,-3.758301125786218597e-03,1.006477115796575034e-01
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,9.191067544786030163e-02,-4.347448365449496643e-02,3.733176438790730689e-03,-9.197072653357867000e-02,4.335901214451790692e-02,-4.222878438172888819e-03,1.017666506060131149e-01
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,9.246903538145964663e-02,-4.628145689644025396e-02,3.951610071856737072e-03,-9.267827666127900765e-02,4.601961039516836577e-02,-4.708221115365718995e-03,1.035820199257517643e-01
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,9.419989442080478614e-02,-4.562561742347645555e-02,4.540840324117501048e-03,-9.424643560274992282e-02,4.556584220537284596e-02,-5.033456606828605115e-03,1.048044478308103739e-01
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,9.361914673472235271e-02,-4.656983432136951873e-02,5.483954566545545806e-03,-9.368308648555127849e-02,4.632285466385151207e-02,-6.079310472301652744e-03,1.046866064665687157e-01
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,9.364231990924906657e-02,-4.549758784208030038e-02,5.709975548732648676e-03,-9.368019096485741271e-02,4.539401079784204790e-02,-6.137817461654242884e-03,1.042797545006668020e-01
