frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1624181089.745963573,-0.000633280,0.007210151,-0.000434921,-0.000012798,0.000039658,0.000066760,0.999999997,0,0.000000000,0,0.000000000
2,1624181089.841932535,-0.002694926,0.006952334,0.000506600,0.000002273,-0.000024239,0.000125373,0.999999992,7557,1624181089.745963573,0,0.000000000
3,1624181089.946958303,-0.005416798,-0.000053782,0.000053287,0.000000877,0.000025726,0.000087904,0.999999996,7538,1624181089.841932535,0,0.000000000
4,1624181090.047000885,-0.006495619,-0.003376571,-0.000089203,0.000007469,0.000019820,0.000015137,1.000000000,7529,1624181089.946958303,7529,1624181090.047000885
5,1624181090.142014742,-0.006901463,-0.003382391,-0.000354332,-0.000005011,-0.000009792,0.000034029,0.999999999,7554,1624181090.047000885,7529,1624181090.047000885
6,1624181090.246309996,-0.008659042,-0.000021215,-0.000422069,-0.000005805,-0.000005492,0.000087420,0.999999996,7544,1624181090.142014742,7529,1624181090.047000885
7,1624181090.346303225,-0.010393632,0.000041493,-0.000246057,0.000001562,0.000014640,0.000050663,0.999999999,7540,1624181090.246309996,7529,1624181090.047000885
8,1624181090.446122169,-0.010388878,-0.003104290,-0.000234276,0.000009428,0.000042333,0.000150573,0.999999988,7529,1624181090.346303225,7529,1624181090.047000885
9,1624181090.546085358,-0.009400127,-0.003847423,0.000574101,0.000007844,0.000030136,-0.000065343,0.999999997,7562,1624181090.446122169,7529,1624181090.047000885
10,1624181090.646007061,-0.009015976,-0.009765990,0.000547357,0.000022157,0.000023869,0.000089567,0.999999995,7552,1624181090.546085358,7529,1624181090.047000885
11,1624181090.746010303,-0.011492817,-0.013803342,0.000631777,0.000023161,0.000037501,0.000205719,0.999999978,7559,1624181090.646007061,7529,1624181090.047000885
12,1624181090.846011877,-0.013165101,-0.016036379,0.000722199,0.000030661,0.000024982,0.000077767,0.999999996,7567,1624181090.746010303,7529,1624181090.047000885
13,1624181090.941905022,-0.013422355,-0.015828887,0.000425770,0.000020958,0.000009991,0.000174481,0.999999985,7550,1624181090.846011877,7529,1624181090.047000885
14,1624181091.046037197,-0.013178523,-0.013267842,-0.000301985,0.000009743,0.000025759,0.000015917,0.999999999,7542,1624181090.941905022,7529,1624181090.047000885
15,1624181091.146080256,-0.012374113,-0.012894290,-0.000898220,0.000006765,0.000007290,-0.000016540,1.000000000,7554,1624181091.046037197,7529,1624181090.047000885
16,1624181091.241984606,-0.013754706,-0.013764501,-0.000641297,0.000013752,0.000008489,0.000087480,0.999999996,7561,1624181091.146080256,7529,1624181090.047000885
17,1624181091.346046448,-0.013442134,-0.015270286,-0.000464668,0.000014899,0.000009467,0.000036001,0.999999999,7580,1624181091.241984606,7529,1624181090.047000885
18,1624181091.446188927,-0.012602263,-0.017023811,-0.000175471,0.000021111,0.000035505,0.000013409,0.999999999,7555,1624181091.346046448,7529,1624181090.047000885
19,1624181091.546207666,-0.010664461,-0.020606596,-0.000294363,0.000020612,0.000001253,-0.000031771,0.999999999,7562,1624181091.446188927,7529,1624181090.047000885
20,1624181091.646009684,-0.012975237,-0.018995678,-0.000005128,0.000013558,0.000004646,0.000124495,0.999999992,7532,1624181091.546207666,7529,1624181090.047000885
21,1624181091.741913319,-0.013141128,-0.020675170,0.000017973,0.000016941,0.000008268,0.000020301,1.000000000,7540,1624181091.646009684,7529,1624181090.047000885
22,1624181091.845990658,-0.011946491,-0.021280895,-0.000348944,0.000017985,0.000012337,-0.000025963,0.999999999,7522,1624181091.741913319,7529,1624181090.047000885
23,1624181091.941876173,-0.013336348,-0.024360432,-0.000371964,0.000023704,0.000013262,0.000102933,0.999999994,7551,1624181091.845990658,7529,1624181090.047000885
24,1624181092.045968056,-0.014401379,-0.025757303,-0.000205082,0.000025973,0.000022107,0.000066236,0.999999997,7578,1624181091.941876173,22649,1624181092.045968056
25,1624181092.146022081,-0.012927161,-0.025052211,-0.000311182,0.000022635,0.000015876,-0.000079323,0.999999996,7538,1624181092.045968056,22649,1624181092.045968056
26,1624181092.246022701,-0.012648823,-0.025091534,-0.000093163,0.000028302,0.000037600,-0.000027331,0.999999999,7531,1624181092.146022081,22649,1624181092.045968056
27,1624181092.346037149,-0.012893467,-0.023947383,0.000276539,0.000032620,0.000016109,-0.000093179,0.999999995,7542,1624181092.246022701,22649,1624181092.045968056
