frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,historical_anchor_count,historical_anchor_submap_points,historical_anchor_sampled_points,historical_anchor_matched_points,historical_anchor_overlap_ratio,historical_anchor_nn_rmse,historical_anchor_newest_age,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,0,0,0,0.005596917,0.000573926,0.100000000,0.030000000,1.000000000,0.015459885,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.012428026,0.027398445,1,0,0,0,0,-0.006941190,-0.010932105,-0.004047462,-0.000022762,-0.000019752,0.000251837,0.999999968,2355,1606,0.681953291,0.016142762,0.004565091,0.003842790,0.187240037,73.511329469,1358,0.961010547,184.389385043,330.968086292,789.694851892,0.141288883,0.135780107,0,0,0,0,0,0.008417025,0.000103186,0.100000000,0.030000000,0.931730386,0.016142762,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000001043,0.000002849,0.000005869,0.144206114,0.989428698,-0.015344321,0.000000001,0.000000004,0.000000010,-0.006069558,0.022891404,-0.999719533,0.000000000,0.179683183,0.021608219,0.008385105,0.000036512,70.270190816,0,0.146465132,0.140032412,885,853,32,0.375796178,125,0,0,0,0,0,1344,126,3023,2111,229,0,0,2351
3,1624181089.961854219,1624181090.061850786,8,7,0,0.011490728,0.025739126,1,0,0,0,0,-0.006502572,-0.014038363,-0.004539302,-0.000000319,-0.000029942,0.000139971,0.999999990,2369,1717,0.724778388,0.015827458,0.003956157,0.003328269,0.157718666,87.964480315,1432,0.962803758,177.719639025,327.366621873,873.648719950,0.128900508,0.124105893,0,0,0,0,0,0.006297698,0.000214224,0.100000000,0.030000000,0.880076409,0.015827458,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000829,0.000002289,0.000005293,0.139469502,0.990219498,-0.003688287,0.000000001,0.000000003,0.000000009,0.000170305,-0.006568108,0.999978415,0.000000000,0.172361677,0.017650525,0.011560500,0.000260245,76.168287316,0,0.140610257,0.134723573,717,699,18,0.302659350,115,0,0,0,0,0,1537,115,3227,2828,344,0,0,3888
4,1624181090.061851978,1624181090.161860704,9,8,0,0.011323731,0.024345484,1,0,0,0,0,-0.000369007,-0.009812218,-0.004886390,-0.000036090,-0.000085512,0.000024961,0.999999995,2364,1781,0.753384095,0.016427942,0.004759012,0.003690286,0.167840966,89.403761550,1459,0.963641132,178.435736144,329.225302029,898.291372905,0.126914492,0.122300025,0,0,0,0,0,0.011355787,0.000288545,0.100000000,0.030000000,0.898262407,0.016427942,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000751,0.000001980,0.000004369,0.144341180,0.989526370,-0.001785418,0.000000001,0.000000003,0.000000009,-0.003734607,0.013093212,-0.999907306,0.000000000,0.171231499,0.022584189,0.019017135,0.000490260,79.477155874,0,0.137186316,0.131617686,722,712,10,0.305414552,102,0,0,0,0,0,1540,102,3399,3550,446,0,0,5428
5,1624181090.161849499,1624181090.261902571,10,9,0,0.012089868,0.025133330,1,0,0,0,0,-0.002007294,-0.008172673,-0.004365928,-0.000033549,-0.000068280,0.000204783,0.999999976,2355,1805,0.766454352,0.016730302,0.004208070,0.003681450,0.160643384,88.832677448,1491,0.967112624,180.700846543,325.305491552,935.958583629,0.125315702,0.121194397,0,0,0,0,0,0.005090972,0.000329802,0.100000000,0.030000000,0.927613788,0.016730302,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000708,0.000001907,0.000003841,-0.124649675,-0.992188903,0.004862029,0.000000001,0.000000003,0.000000008,-0.003071111,-0.003864730,0.999987816,0.000000000,0.169113876,0.027595443,0.021392630,0.000849902,81.348260189,0,0.134812193,0.129533028,522,510,12,0.221656051,105,0,0,0,0,0,1728,105,3540,4072,551,0,0,7156
6,1624181090.261847019,1624181090.361894131,11,10,0,0.011213120,0.025452967,1,0,0,0,0,-0.004620625,-0.009472759,-0.004419582,-0.000034269,-0.000054554,0.000167642,0.999999984,2335,1820,0.779443255,0.016146043,0.003858232,0.003338143,0.152842074,94.258477099,1512,0.969294654,173.580235026,332.551437960,959.441844254,0.118438436,0.114801743,0,0,0,0,0,0.004004957,0.000029381,0.100000000,0.030000000,0.918836070,0.016146043,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000685,0.000001884,0.000003805,-0.126062822,-0.991942807,0.012555173,0.000000001,0.000000002,0.000000008,0.001688451,-0.005552034,0.999983162,0.000000000,0.166401909,0.025192228,0.024311979,0.000924183,83.499963007,0,0.132083234,0.127077814,441,424,17,0.188865096,99,0,0,0,0,0,1794,100,3651,4513,650,0,0,8950
7,1624181090.361844540,1624181090.461852789,12,11,0,0.012831884,0.025872072,1,0,0,0,0,-0.005762600,-0.012677900,-0.004655571,-0.000002483,-0.000018473,0.000318588,0.999999949,2364,1857,0.785532995,0.015562569,0.003671861,0.003127497,0.152758175,97.543208531,1537,0.969290809,173.294063422,329.102089864,987.403819450,0.116320356,0.112748252,0,0,0,0,0,0.003345231,0.000270224,0.100000000,0.030000000,0.909409974,0.015562569,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000680,0.000001848,0.000003778,-0.117260409,-0.993043026,0.010749147,0.000000001,0.000000002,0.000000009,-0.003859239,0.005431454,-0.999977803,0.000000000,0.164452804,0.026429880,0.027722656,0.001226071,85.506140939,0,0.129831394,0.125030734,492,484,8,0.208121827,96,0,0,0,0,0,1775,97,3754,5005,746,0,0,10725
8,1624181090.461842060,1624181090.561805964,13,12,0,0.010821014,0.025070167,1,0,0,0,0,-0.007790585,-0.014140578,-0.003819008,-0.000010553,-0.000041291,0.000155719,0.999999987,2358,1877,0.796013571,0.015452210,0.003541582,0.003148784,0.147615569,99.562226912,1559,0.969272461,167.547892027,335.759011282,1007.788863623,0.110878407,0.107471387,0,0,0,0,0,0.001159726,0.000330031,0.100000000,0.030000000,0.873646544,0.015452210,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000663,0.000001850,0.000003767,-0.115349688,-0.993281738,0.009264889,0.000000001,0.000000002,0.000000009,-0.002536366,0.010510635,-0.999941545,0.000000000,0.162348150,0.027682104,0.030359319,0.001551810,87.263151686,0,0.127462271,0.122835815,394,383,11,0.167090755,99,0,0,0,0,0,1864,100,3862,5399,845,0,0,12589
9,1624181090.561839819,1624181090.661713123,14,13,0,0.012071759,0.026333323,1,0,0,0,0,-0.006834956,-0.015433702,-0.004051331,-0.000010845,-0.000063381,0.000163407,0.999999985,2380,1901,0.798739496,0.014670592,0.003247320,0.002834160,0.147218547,101.284453418,1573,0.969988765,168.236057531,330.735799327,1026.820470445,0.110261439,0.106952357,0,0,0,0,0,0.002939681,0.000048809,0.100000000,0.030000000,0.874292147,0.014670592,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000657,0.000001837,0.000003776,-0.128846955,-0.991635613,0.007567929,0.000000001,0.000000002,0.000000009,-0.002006482,0.015344180,-0.999880258,0.000000000,0.160667083,0.036853613,0.031983933,0.001567187,88.821074101,0,0.125551067,0.121070987,341,332,9,0.143277311,85,0,0,0,0,0,1953,86,3951,5740,930,0,0,14542
10,1624181090.661837339,1624181090.761733294,15,14,0,0.011118437,0.022962517,1,0,0,0,0,-0.008029797,-0.022447397,-0.003830744,0.000011372,-0.000059637,0.000327736,0.999999944,2377,1919,0.807320151,0.015025388,0.003387339,0.002944716,0.138133549,104.171468760,1568,0.971649168,164.470423230,322.590009070,1036.485462789,0.107952392,0.104891852,0,0,0,0,0,0.005604577,0.000319193,0.100000000,0.030000000,0.861443458,0.015025388,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000645,0.000001767,0.000003839,-0.110971364,-0.993808037,0.005562532,0.000000001,0.000000002,0.000000008,-0.003317340,0.013189231,-0.999907515,0.000000000,0.158413730,0.038296302,0.039102093,0.001895843,90.356113566,0,0.123791200,0.119453073,407,401,6,0.171224232,93,0,0,0,0,0,1875,95,4042,6147,1023,0,0,16417
