time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-4.179457468065734815e+00,-3.912736294888111033e+00,1.799934010940669404e+00,4.179467779014618856e+00,3.912917709891019946e+00,-1.798818588997301848e+00,6.001218562618963581e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-4.179033460960940971e+00,-3.920946242967869644e+00,1.801558692741614287e+00,4.179101962352261168e+00,3.921256713264624327e+00,-1.799960766663121658e+00,6.006746722193794241e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-4.180970735311030140e+00,-3.923286657561551483e+00,1.802177768883418407e+00,4.181071393554910642e+00,3.923659198074298970e+00,-1.800591117427854160e+00,6.009874197751258862e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-4.184087365151195392e+00,-3.916457577412546076e+00,1.802032460508283140e+00,4.184087053591210470e+00,3.916616790021970829e+00,-1.800791687812560937e+00,6.007438909785633108e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-4.181879937178195838e+00,-3.916012195034592303e+00,1.801514900273892383e+00,4.181977712027919125e+00,3.916250522592963357e+00,-1.800116786105839140e+00,6.005528801298678943e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-4.180281757781799001e+00,-3.918440727078112751e+00,1.801757183398265072e+00,4.180736475808369157e+00,3.918675121704247477e+00,-1.800119445153979036e+00,6.006246931856852100e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-4.180965971689533767e+00,-3.921827147483577303e+00,1.802188803404364714e+00,4.181015644947357224e+00,3.922120949438124615e+00,-1.800610348834251750e+00,6.008837008410611524e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-4.179915181599312746e+00,-3.924087491370191749e+00,1.801537577323883310e+00,4.180161802488030709e+00,3.923964853576269451e+00,-1.801430063392510217e+00,6.009692433093074548e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-4.181415156950217593e+00,-3.924692024218523034e+00,1.801794209456278661e+00,4.181639381099769182e+00,3.924686168132480280e+00,-1.801579588543652743e+00,6.011236016473816335e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-4.184014141330631986e+00,-3.931405278979257734e+00,1.801973609497888429e+00,4.183954090244913715e+00,3.931289807469280806e+00,-1.802463311497270571e+00,6.017423482594748130e+00
