frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.012428026,0.027398445,1,0,0,0,0,-0.006941190,-0.010932105,-0.004047462,-0.000022762,-0.000019752,0.000251837,0.999999968,2355,1606,0.681953291,0.016142762,0.004565091,0.003842790,0.187240037,73.511329469,1358,0.961010547,184.389385043,330.968086292,789.694851892,0.141288883,0.135780107,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000001043,0.000002849,0.000005869,0.144206114,0.989428698,-0.015344321,0.000000001,0.000000004,0.000000010,-0.006069558,0.022891404,-0.999719533,0.000000000,0.179683183,0.021608219,0.008385105,0.000036512,70.270190816,0,0.146465132,0.140032412,885,853,32,0.375796178,125,0,0,0,0,0,1344,126,3023,2111,229,0,0,2351
3,1624181089.961854219,1624181090.061850786,8,7,0,0.011810386,0.025739126,1,0,0,0,0,-0.006507767,-0.014048303,-0.004587860,-0.000003517,-0.000035402,0.000139544,0.999999990,2369,1717,0.724778388,0.015847474,0.003966005,0.003329826,0.157718666,87.964423417,1432,0.962803758,177.719639025,327.366621873,873.648719950,0.128900508,0.124105893,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000828,0.000002288,0.000005292,0.139475052,0.990218649,-0.003706290,0.000000001,0.000000003,0.000000009,0.000176285,-0.006569740,0.999978403,0.000000000,0.172361677,0.017679466,0.011577374,0.000261098,76.168268350,0,0.140610257,0.134723573,719,701,18,0.303503588,115,0,0,0,0,0,1535,115,3227,2830,344,0,0,3886
4,1624181090.061851978,1624181090.161860704,9,8,0,0.011323731,0.024345484,1,0,0,0,0,-0.000400218,-0.010005219,-0.004961552,-0.000034400,-0.000083311,0.000026757,0.999999996,2364,1779,0.752538071,0.016286302,0.004481484,0.003552972,0.168990598,88.662211114,1460,0.963602945,178.482521863,329.269650878,899.108126524,0.126865846,0.122248303,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000747,0.000001973,0.000004327,0.144971302,0.989432484,-0.002584620,0.000000001,0.000000003,0.000000009,0.000024253,0.006404129,-0.999979493,0.000000000,0.171518907,0.019845219,0.018911425,0.000486668,79.291754041,0,0.137174155,0.131604755,723,713,10,0.305837563,101,0,0,0,0,0,1540,101,3400,3553,445,0,0,5426
5,1624181090.161849499,1624181090.261902571,10,9,0,0.012562372,0.025504992,1,0,0,0,0,-0.001583158,-0.007560920,-0.004262252,-0.000025869,-0.000040834,0.000194509,0.999999980,2354,1802,0.765505523,0.016772334,0.004485135,0.003760012,0.161179137,88.498138107,1491,0.966590167,180.169650492,325.443777786,935.572510195,0.125014855,0.120838129,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000709,0.000001908,0.000003840,-0.122199651,-0.992482686,0.006735224,0.000000001,0.000000003,0.000000008,-0.001583223,0.003665912,0.999992027,0.000000000,0.169450953,0.027242400,0.021715524,0.000822170,81.133030854,0,0.134742295,0.129451430,524,511,13,0.222599830,106,0,0,0,0,0,1724,106,3540,4077,551,0,0,7150
6,1624181090.261847019,1624181090.361894131,11,10,0,0.011755908,0.025452967,1,0,0,0,0,-0.004444334,-0.010075780,-0.003897177,-0.000025136,-0.000014679,0.000218746,0.999999976,2334,1819,0.779348757,0.016104168,0.004274124,0.003651957,0.152895996,93.552917935,1515,0.968772870,173.917956702,332.175238967,961.597702878,0.118497673,0.114797331,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000686,0.000001891,0.000003799,-0.117122300,-0.993041153,0.012313998,0.000000001,0.000000002,0.000000008,-0.004148677,0.024112070,-0.999700653,0.000000000,0.166691794,0.024868236,0.025542288,0.000870642,83.203012034,0,0.132034858,0.127009080,466,449,17,0.199657241,96,0,0,0,0,0,1771,97,3653,4543,647,0,0,8921
7,1624181090.361844540,1624181090.461852789,12,11,0,0.012069077,0.023218603,1,0,0,0,0,-0.005372154,-0.012251913,-0.004118581,-0.000012168,-0.000014290,0.000311852,0.999999951,2364,1859,0.786379019,0.016047538,0.003871277,0.003377219,0.156929607,94.812939306,1535,0.969279935,173.812976995,329.127892535,984.903830311,0.116821989,0.113233210,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000683,0.000001847,0.000003676,-0.109439228,-0.993957250,0.008487674,0.000000001,0.000000002,0.000000008,-0.003512788,0.003471028,-0.999987806,0.000000000,0.165297196,0.023065262,0.027918299,0.001056854,84.861573073,0,0.129861591,0.125041099,474,464,10,0.200507614,96,0,0,0,0,0,1793,97,3756,5017,743,0,0,10714
8,1624181090.461842060,1624181090.561805964,13,12,0,0.010821014,0.025070167,1,0,0,0,0,-0.008568865,-0.013976725,-0.003663278,-0.000014057,-0.000054816,0.000201990,0.999999978,2358,1876,0.795589483,0.016083065,0.003667729,0.003167292,0.154905294,96.709080820,1560,0.969587348,166.547011291,339.043675020,1006.965576705,0.110109631,0.106760905,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000672,0.000001848,0.000003629,-0.117740100,-0.993039755,0.003051989,0.000000001,0.000000002,0.000000008,-0.000250305,0.009585760,-0.999954024,0.000000000,0.163998208,0.021578715,0.031579069,0.001276577,86.342511541,0,0.127392596,0.122756074,381,370,11,0.161577608,103,0,0,0,0,0,1873,104,3865,5398,846,0,0,12587
9,1624181090.561839819,1624181090.661713123,14,13,0,0.011309033,0.023282189,1,0,0,0,0,-0.007441129,-0.013852556,-0.004151294,-0.000010740,-0.000052378,0.000162136,0.999999985,2382,1911,0.802267003,0.015227837,0.003400246,0.002955493,0.151603264,97.999637947,1574,0.969585731,167.688160995,332.010681187,1026.429098527,0.109878180,0.106536316,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000660,0.000001848,0.000003606,-0.116230500,-0.993186533,0.008425002,0.000000001,0.000000002,0.000000008,-0.002667223,0.003375455,0.999990746,0.000000000,0.162620992,0.026603450,0.032814127,0.001356285,87.637747809,0,0.125446550,0.120953879,325,316,9,0.136439966,89,0,0,0,0,0,1967,90,3953,5723,935,0,0,14554
10,1624181090.661837339,1624181090.761733294,15,14,0,0.011118437,0.022962517,1,0,0,0,0,-0.007519681,-0.016969893,-0.003776056,-0.000009243,-0.000036716,0.000269682,0.999999963,2376,1917,0.806818182,0.015640750,0.003418082,0.003035902,0.146266340,98.451977267,1569,0.970631481,166.427663131,325.695204346,1030.797926013,0.109281890,0.106072443,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000000649,0.000001803,0.000003610,-0.099863724,-0.994987657,0.005176746,0.000000001,0.000000002,0.000000008,-0.001190045,0.005474779,-0.999984305,0.000000000,0.160985527,0.026164935,0.035954950,0.001571376,88.719170755,0,0.123830084,0.119465735,364,358,6,0.153198653,88,0,0,0,0,0,1922,90,4031,6087,1023,0,0,16476
