time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-4.076784547991916696e+00,-3.526921681263444963e+00,1.670248751973297807e+00,4.076794858940800736e+00,3.527103096266353877e+00,-1.669133330029930251e+00,5.643289700785761198e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-4.076415158401681005e+00,-3.535133147317248259e+00,1.671879088450665574e+00,4.076483659793001202e+00,3.535443617614002942e+00,-1.670281162372172945e+00,5.648621049713130837e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-4.078375053660135308e+00,-3.537471963601320990e+00,1.672530395064226960e+00,4.078475711904015810e+00,3.537844504114068478e+00,-1.670943743608662713e+00,5.651757325132248155e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-4.081527227250886014e+00,-3.530798168951229776e+00,1.672383129666484614e+00,4.081526915690901092e+00,3.530957381560654529e+00,-1.671142356970762410e+00,5.649711388307260052e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-4.079264249070829962e+00,-3.529452261710700700e+00,1.671634089134232060e+00,4.079362023920553249e+00,3.529690589269071754e+00,-1.670235974966178816e+00,5.647087602494853087e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-4.078094695723173402e+00,-3.533116497101624010e+00,1.671537290681602173e+00,4.078549413749743557e+00,3.533350891727758736e+00,-1.669899552437316137e+00,5.648689968453045829e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-4.078455173685361146e+00,-3.535479276807683480e+00,1.671909197653785206e+00,4.078504846943184603e+00,3.535773078762230792e+00,-1.670330743083672242e+00,5.650300686010369056e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-4.076577890904665047e+00,-3.538559803116739122e+00,1.671742860274709530e+00,4.076824511793383010e+00,3.538437165322816824e+00,-1.671635346343336437e+00,5.651141513361838342e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-4.077479282791027337e+00,-3.537821766841470872e+00,1.672153367266960622e+00,4.077703506940578926e+00,3.537815910755428117e+00,-1.671938746354334704e+00,5.651476486766148888e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-4.079034717468191573e+00,-3.540612276838686956e+00,1.671910598755475652e+00,4.078974666382473302e+00,3.540496805328710028e+00,-1.672400300754857794e+00,5.654208585071632598e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-4.078538746028827155e+00,-3.541011407446515769e+00,1.671773342672540741e+00,4.078329504749008017e+00,3.540749560945243957e+00,-1.672529953716049622e+00,5.653939816510044736e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-4.076969860221256070e+00,-3.542711207159227715e+00,1.672031405264916559e+00,4.076923319039311266e+00,3.542651431941123974e+00,-1.672524021547627582e+00,5.654115272986116381e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-4.077624116342843941e+00,-3.543454988435867037e+00,1.673011107382402329e+00,4.077560176592014862e+00,3.543208008778349072e+00,-1.673606463288158430e+00,5.655243459052848642e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-4.079072732950845825e+00,-3.542847143335910776e+00,1.673647290777672936e+00,4.079034861895237896e+00,3.542743566291672419e+00,-1.674075132690594492e+00,5.656154606351454284e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-4.079274614125972143e+00,-3.540815780074688668e+00,1.673270550150935065e+00,4.079238713986457654e+00,3.540512141389158707e+00,-1.674065133968392738e+00,5.654901306104161307e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-4.082143040378737098e+00,-3.541120160178873100e+00,1.672875125691626330e+00,4.082086098549714492e+00,3.540915844590375450e+00,-1.673706395918173939e+00,5.657102176395738091e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-4.083141300543423391e+00,-3.539212899691365877e+00,1.672483414954843095e+00,4.083083313872564624e+00,3.538904164521871731e+00,-1.673313485695028913e+00,5.656446769404239738e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-4.082262727261491086e+00,-3.538184045209879613e+00,1.672167033005151016e+00,4.082052383287109620e+00,3.538276487346904808e+00,-1.671553448966313304e+00,5.654789394271293013e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-4.080418064166155823e+00,-3.539428845264179113e+00,1.672214742203254945e+00,4.080781945994917947e+00,3.539756527974101452e+00,-1.670206837399960120e+00,5.654400803603412129e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-4.079661712018729069e+00,-3.544225083987114555e+00,1.672637463939317115e+00,4.080217773597205166e+00,3.544497649966039887e+00,-1.670373592733210177e+00,5.657012339556434455e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-4.080327219802707184e+00,-3.545182347831278946e+00,1.673040948740546874e+00,4.080741017880025190e+00,3.545537040655311500e+00,-1.670613036023971709e+00,5.658111706020000575e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-4.083978499629563608e+00,-3.547439993580524753e+00,1.673431300121442700e+00,4.084213290159286025e+00,3.547737979742665804e+00,-1.671418342595282658e+00,5.662232973693883231e+00
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,-4.083800727639341765e+00,-3.546605169087718501e+00,1.673133885566038481e+00,4.083860906656762602e+00,3.546992754670935444e+00,-1.670778933535543853e+00,5.661323144932964624e+00
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,-4.083218934243868503e+00,-3.543626600537582494e+00,1.672962338710649366e+00,4.083277944607496046e+00,3.543968451681876797e+00,-1.671191267697944793e+00,5.659129916574130448e+00
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,-4.083562378994892050e+00,-3.545599876799499395e+00,1.673015980998660446e+00,4.083618653239513563e+00,3.545923782226059640e+00,-1.670985986695523673e+00,5.660539810139566086e+00
