time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,1.229821504715625236e-02,3.673617133604367702e-02,-1.075571604162750550e-02,-1.228790409827200565e-02,-3.655475633313494399e-02,1.187113798499510667e-02,4.035054788676348259e-02
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,1.303049286543295215e-02,2.939420061161779341e-02,-9.329322907154657951e-03,-1.296199147411238560e-02,-2.908373031486295029e-02,1.092724898564718244e-02,3.366424456893348655e-02
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,7.847453071344434594e-03,3.043002690549287403e-02,-8.622405758283102628e-03,-7.847764631329601573e-03,-3.027081429606794452e-02,9.863178454005356102e-03,3.279011889382737327e-02
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,9.466198789038926531e-03,2.966350171234660715e-02,-9.500642911792700485e-03,-9.368423939315933049e-03,-2.942517415397550087e-02,1.089875707984594259e-02,3.274738381892555728e-02
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,1.138884708635823362e-02,2.934249705873157033e-02,-9.750052858682300982e-03,-1.093412905978781088e-02,-2.910810243259684751e-02,1.138779110296831744e-02,3.311372210621287004e-02
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,1.125324237117394932e-02,2.730181300090137042e-02,-9.604269077331750726e-03,-1.120356911335084263e-02,-2.700801104635406832e-02,1.118272364744465897e-02,3.130504639403574457e-02
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,1.230889314464075901e-02,2.571486500915476370e-02,-1.015807165497206732e-02,-1.206227225592300042e-02,-2.583750280307725924e-02,1.026558558634521265e-02,3.030605897350583527e-02
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,1.031301227867842396e-02,2.518363518018351677e-02,-9.965994820856638459e-03,-1.008878812912666727e-02,-2.518949126622647278e-02,1.018061573348257205e-02,2.898170203556961130e-02
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,7.993968983226851233e-03,2.032637476623166961e-02,-1.023976839613299772e-02,-8.054020068945224806e-03,-2.044184627620872913e-02,9.750066396750840456e-03,2.403747310330624221e-02
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,8.381956653672750779e-03,1.884542721388776654e-02,-1.013061386162311672e-02,-8.591197933492118743e-03,-1.910727371515965820e-02,9.374002818114134800e-03,2.295143829027893739e-02
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,1.015154059748810123e-02,1.891342908577414716e-02,-9.674361594076530402e-03,-1.019808177943323270e-02,-1.897320430387776022e-02,9.181745311365426335e-03,2.341554612857608617e-02
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,1.050898718311266133e-02,2.013630075321340418e-02,-8.795511349884543861e-03,-1.057292693394158538e-02,-2.038328041073141431e-02,8.200155444128437790e-03,2.438252352733087658e-02
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,1.082520527880045935e-02,2.142645648603266895e-02,-8.166904435660427009e-03,-1.086307633440881069e-02,-2.153003353027092143e-02,7.739062522738832800e-03,2.532670250926171568e-02
