frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,0.005596917,0.000573926,0.100000000,0.030000000,1.000000000,0.015459885,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.011659390,0.022355472,1,0,0,0,0,-0.006664457,-0.010071061,-0.004062166,-0.000023978,-0.000022273,0.000231230,0.999999973,2356,1607,0.682088285,0.016231375,0.004570335,0.003832052,0.187769932,73.269261871,1358,0.961012832,184.390282187,330.971439035,789.693704715,0.141289235,0.135780767,0,0,0.007566705,0.000160156,0.100000000,0.030000000,0.931732705,0.016231375,0.000001043,0.000002848,0.000005828,0.141613220,0.989796201,-0.015785292,0.000000001,0.000000004,0.000000010,-0.005395344,0.024847470,-0.999676694,0.000000000,0.179948131,0.024343936,0.007529166,0.000077727,70.149157017,0,0.146465308,0.140032743,882,850,32,0.374363328,125,0,0,0,0,0,1348,126,3020,2108,229,0,0,2355
3,1624181089.961854219,1624181090.061850786,8,7,0,0.012871960,0.025739126,1,0,0,0,0,-0.006408032,-0.012848173,-0.004633023,0.000002200,-0.000038327,0.000129015,0.999999991,2369,1711,0.722245673,0.015778371,0.004072347,0.003240562,0.161663741,86.190901027,1432,0.962485728,179.312973539,328.660156483,870.306433114,0.130099131,0.125218557,0,0,0.005653690,0.000176378,0.100000000,0.030000000,0.888259021,0.015778371,0.000000830,0.000002279,0.000005232,0.144290123,0.989534828,-0.001088031,0.000000001,0.000000003,0.000000009,-0.001099580,0.008813895,-0.999960552,0.000000000,0.173853334,0.020005505,0.010375915,0.000282158,75.496405020,0,0.141009916,0.135094681,722,703,19,0.304769945,115,0,0,0,0,0,1532,115,3227,2830,344,0,0,3887
4,1624181090.061851978,1624181090.161860704,9,8,0,0.011904145,0.025239474,1,0,0,0,0,-0.000377957,-0.009877227,-0.004894774,-0.000022455,-0.000084921,0.000042528,0.999999995,2364,1780,0.752961083,0.016577739,0.004583953,0.003601424,0.173491539,87.829936983,1461,0.963130783,178.789157043,330.057431411,898.287485422,0.127059077,0.122374509,0,0,0.010055470,0.000243097,0.100000000,0.030000000,0.899283499,0.016577739,0.000000749,0.000001959,0.000004252,0.149060824,0.988823227,0.003081677,0.000000001,0.000000003,0.000000009,-0.005800954,0.017706663,-0.999826396,0.000000000,0.173762885,0.026636362,0.017103236,0.000455127,78.579788011,0,0.137522206,0.131914638,708,698,10,0.299492386,108,0,0,0,0,0,1548,108,3399,3538,452,0,0,5435
5,1624181090.161849499,1624181090.261902571,10,9,0,0.012499463,0.025504992,1,0,0,0,0,-0.002191561,-0.009845663,-0.004404697,-0.000017633,-0.000032012,0.000278823,0.999999960,2355,1800,0.764331210,0.016720332,0.004420450,0.003688834,0.164484187,88.863858916,1494,0.965951097,178.625299347,326.201815153,938.303823724,0.123776225,0.119561780,0,0,0.004927036,0.000457491,0.100000000,0.030000000,0.912170457,0.016720332,0.000000712,0.000001895,0.000003789,-0.129580500,-0.991565249,0.002692725,0.000000001,0.000000003,0.000000008,0.001164335,-0.001070687,0.999998749,0.000000000,0.171907146,0.029418872,0.018982153,0.000927714,80.636602192,0,0.134773010,0.129444066,567,553,14,0.240764331,107,0,0,0,0,0,1681,107,3542,4105,559,0,0,7116
6,1624181090.261847019,1624181090.361894131,11,10,0,0.011789099,0.026399256,1,0,0,0,0,-0.004789973,-0.009452248,-0.004432634,-0.000028768,0.000006322,0.000199028,0.999999980,2337,1818,0.777920411,0.016625617,0.004333749,0.003528441,0.156597076,93.013590067,1513,0.968261351,175.129253949,333.894856612,955.955313560,0.119543832,0.115749672,0,0,0.003118956,0.000118219,0.100000000,0.030000000,0.918867258,0.016625617,0.000000689,0.000001869,0.000003720,-0.118743363,-0.992901125,0.006882523,0.000000001,0.000000002,0.000000008,-0.006468608,0.006578464,-0.999957440,0.000000000,0.169355468,0.028839605,0.021610328,0.001087305,82.699433504,0,0.132234814,0.127161667,467,450,17,0.199828840,98,0,0,0,0,0,1771,99,3651,4572,657,0,0,8887
7,1624181090.361844540,1624181090.461852789,12,11,0,0.013025514,0.025872072,1,0,0,0,0,-0.005570166,-0.011330568,-0.004895704,-0.000011556,0.000021858,0.000321518,0.999999948,2363,1869,0.790943716,0.016162571,0.004618383,0.003780113,0.157893736,96.273108220,1538,0.968874594,176.813279343,330.281184181,983.034662551,0.118656347,0.114963121,0,0,0.002397012,0.000203382,0.100000000,0.030000000,0.922827610,0.016162571,0.000000682,0.000001819,0.000003640,-0.104970926,-0.994440921,0.008267934,0.000000001,0.000000002,0.000000008,-0.007831881,-0.000915905,-0.999968911,0.000000000,0.167718077,0.026758872,0.023696286,0.001332286,84.638529892,0,0.130295033,0.125419018,488,478,10,0.206517139,98,0,0,0,0,0,1776,99,3753,5060,755,0,0,10663
8,1624181090.461842060,1624181090.561805964,13,12,0,0.012003686,0.025070167,1,0,0,0,0,-0.007447839,-0.012581677,-0.004481252,-0.000011428,-0.000010087,0.000126211,0.999999992,2357,1880,0.797624098,0.015870441,0.003895225,0.003239532,0.149233822,101.414233209,1560,0.968024253,170.169153132,337.859308074,1002.089374163,0.112686010,0.109082790,0,0,0.001086019,0.000409418,0.100000000,0.030000000,0.886878861,0.015870441,0.000000662,0.000001821,0.000003742,-0.105948727,-0.994355298,0.005692914,0.000000001,0.000000002,0.000000008,-0.008945333,0.011101701,-0.999898361,0.000000000,0.165407545,0.026108820,0.025990343,0.001722901,86.735492807,0,0.128093905,0.123376989,400,389,11,0.169707255,96,0,0,0,0,0,1860,97,3861,5460,851,0,0,12523
9,1624181090.561839819,1624181090.661713123,14,13,0,0.012404819,0.026333323,1,0,0,0,0,-0.006884428,-0.014136105,-0.004639061,-0.000008758,-0.000007216,0.000187925,0.999999982,2381,1917,0.805123898,0.015243652,0.003840253,0.003275364,0.149742946,102.669757477,1576,0.969921282,169.616198911,332.437979519,1026.541761658,0.110962089,0.107624492,0,0,0.002354608,0.000146562,0.100000000,0.030000000,0.884740610,0.015243652,0.000000650,0.000001797,0.000003723,-0.120341034,-0.992682962,0.009928340,0.000000001,0.000000002,0.000000008,-0.006929357,0.007038189,-0.999951223,0.000000000,0.163667034,0.030784531,0.027651241,0.001846328,88.505966659,0,0.126190370,0.121626712,350,341,9,0.146997060,85,0,0,0,0,0,1945,86,3953,5810,936,0,0,14468
10,1624181090.661837339,1624181090.761733294,15,14,0,0.011693997,0.025725314,1,0,0,0,0,-0.008533912,-0.020161782,-0.003865863,0.000014992,-0.000034938,0.000327203,0.999999946,2376,1923,0.809343434,0.015559924,0.003842991,0.003271370,0.144975187,102.307629125,1571,0.970207380,164.489614954,324.889554446,1034.816624301,0.107918953,0.104703765,0,0,0.004990031,0.000260269,0.100000000,0.030000000,0.871887583,0.015559924,0.000000646,0.000001744,0.000003722,-0.107506370,-0.994176525,0.007444298,0.000000001,0.000000002,0.000000008,-0.011486460,0.017078864,-0.999788164,0.000000000,0.161797850,0.030841646,0.033946272,0.002124884,89.886132906,0,0.124363228,0.119934417,391,385,6,0.164562290,94,0,0,0,0,0,1889,96,4039,6201,1030,0,0,16357
