time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-3.772234415554236442e+00,-3.299311456925020813e+00,1.104772264477626331e+00,3.772244726503120482e+00,3.299492871927929727e+00,-1.103656842534258775e+00,5.131719196780598402e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-3.771671279577679670e+00,-3.306629042334602531e+00,1.106317402535176075e+00,3.771739780969000311e+00,3.306939512631357214e+00,-1.104719476456683447e+00,5.136367883749112018e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-3.773297116406457707e+00,-3.308674669511791233e+00,1.106998994941812642e+00,3.773397774650337766e+00,3.309047210024538721e+00,-1.105412343486248394e+00,5.139091422911161722e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-3.776252889887314446e+00,-3.303535216247431183e+00,1.106994092588407641e+00,3.776252578327329079e+00,3.303694428856855936e+00,-1.105753319892685438e+00,5.137817709790541088e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-3.774371511857632200e+00,-3.303535563469417902e+00,1.106577805861985953e+00,3.774469286707355042e+00,3.303773891027788956e+00,-1.105179691693932709e+00,5.136434801520089799e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-3.773005693361087154e+00,-3.304189327742682813e+00,1.106156172283918604e+00,3.773460411387657754e+00,3.304423722368817540e+00,-1.104518434039632568e+00,5.135969293560570748e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-3.772891191845312520e+00,-3.305693866959455551e+00,1.106564386631803343e+00,3.772940865103135533e+00,3.305987668914002864e+00,-1.104985932061690379e+00,5.136694574201476016e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-3.772249551021960023e+00,-3.307853856560850847e+00,1.106041742800617067e+00,3.772496171910677987e+00,3.307731218766928549e+00,-1.105934228869243974e+00,5.137694395472610864e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-3.774898189806250137e+00,-3.310442142294697021e+00,1.106207632011046549e+00,3.775122413955801726e+00,3.310436286208654266e+00,-1.105993011098420631e+00,5.141377070979814334e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-3.776155888218824863e+00,-3.315102785321381251e+00,1.106085157572539224e+00,3.776095837133106592e+00,3.314987313811404324e+00,-1.106574859571921365e+00,5.145148062182578919e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-3.775673387374404832e+00,-3.317920746775889107e+00,1.106339841738793739e+00,3.775464146094585249e+00,3.317658900274617295e+00,-1.107096452782302620e+00,5.146518498245222339e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-3.773908376455015201e+00,-3.317306054656913528e+00,1.106869068317740679e+00,3.773861835273069953e+00,3.317246279438809786e+00,-1.107361684600451701e+00,5.145134199484246551e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-3.774489642750141538e+00,-3.318215943459090767e+00,1.107845034383364791e+00,3.774425702999312460e+00,3.317968963801572801e+00,-1.108440390289120892e+00,5.146245964879315515e+00
