time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-2.135391541417790418e+00,-3.071027442027508769e+00,-8.854502649662970848e-02,2.135401852366674458e+00,3.071208857030417683e+00,8.966044843999730618e-02,3.741697998316749540e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-2.134802542090866950e+00,-3.078349396496437240e+00,-8.710708675550060676e-02,2.134871043482187591e+00,3.078659866793191924e+00,8.870501283399313819e-02,3.747491097655026859e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-2.136309778963742634e+00,-3.080229416343082782e+00,-8.654582422065160152e-02,2.136410437207622692e+00,3.080601956855830270e+00,8.813247567621576573e-02,3.749950040475533264e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-2.139532155622431819e+00,-3.073906247447708129e+00,-8.663972871754632710e-02,2.139531844062446453e+00,3.074065460057132881e+00,8.788050141326858578e-02,3.746357957670645611e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-2.137670220865613313e+00,-3.075250796881382698e+00,-8.683904379870543977e-02,2.137767995715336156e+00,3.075489124439753752e+00,8.823715796675868361e-02,3.746527879797242555e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-2.135858750659303862e+00,-3.076720857337548409e+00,-8.668906407958770766e-02,2.136313468685874462e+00,3.076955251963683136e+00,8.832680232387372932e-02,3.746904119814693956e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-2.135848708612595015e+00,-3.078215157629117904e+00,-8.630231774620816809e-02,2.135898381870418028e+00,3.078508959583665217e+00,8.788077231632107633e-02,3.747933075984212881e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-2.135522102889975127e+00,-3.080844145727422045e+00,-8.684720931661032983e-02,2.135768723778693090e+00,3.080721507933499748e+00,8.695472324798347863e-02,3.749655207457141426e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-2.138427523001473762e+00,-3.083218780870037090e+00,-8.724381415201065693e-02,2.138651747151025351e+00,3.083212924783994335e+00,8.745843506463658878e-02,3.753356126590063013e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-2.139864395174457812e+00,-3.089152256343639991e+00,-8.785149453861179625e-02,2.139804344088739541e+00,3.089036784833663063e+00,8.736179253922964072e-02,3.758795415000955487e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-2.139140233473923125e+00,-3.090460782985826604e+00,-8.780949694560047369e-02,2.138930992194103542e+00,3.090198936484554793e+00,8.705288590209149524e-02,3.759246395404617580e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-2.136882142161421694e+00,-3.089885161635397282e+00,-8.689616326019578008e-02,2.136835600979476446e+00,3.089825386417293540e+00,8.640354697748467427e-02,3.757732411587124677e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-2.136982388482454809e+00,-3.091494975419742719e+00,-8.577015080921923662e-02,2.136918448731625730e+00,3.091247995762224754e+00,8.517479490346313575e-02,3.758921304512824690e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-2.136560997848607979e+00,-3.087871954654954898e+00,-8.527730167499392167e-02,2.136523126792999605e+00,3.087768377610716541e+00,8.484945976207232399e-02,3.755828012025573148e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-2.136576333746587952e+00,-3.086257943085646716e+00,-8.536103335733813413e-02,2.136540433607073908e+00,3.085954304400116754e+00,8.456644953988048941e-02,3.754340218689736108e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-2.139346468725122463e+00,-3.085054897022668552e+00,-8.576561270683108473e-02,2.139289526896099858e+00,3.084850581434170902e+00,8.493434248028344791e-02,3.755006875119490495e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-2.140436763034329726e+00,-3.081746299476130435e+00,-8.669538224853762243e-02,2.140378776363470514e+00,3.081437564306636290e+00,8.586531150835174930e-02,3.752845802953757026e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-2.140093785245421820e+00,-3.079604391810748076e+00,-8.738482936339503349e-02,2.139883441271040798e+00,3.079696833947773271e+00,8.799841340223275854e-02,3.751183473520755207e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-2.139106905059874997e+00,-3.081186979692883909e+00,-8.741826711288930296e-02,2.139470786888637566e+00,3.081514662402806248e+00,8.942617191618407180e-02,3.752474503947621720e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-2.137954779948973538e+00,-3.086647087129176459e+00,-8.653692023576814440e-02,2.138510841527449635e+00,3.086919653108101791e+00,8.880079144187516538e-02,3.756352904698410988e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-2.138281905900496049e+00,-3.086603198599405129e+00,-8.615721000927206719e-02,2.138695703977813611e+00,3.086957891423437683e+00,8.858512272584734282e-02,3.756484481746590109e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-2.143180815137625039e+00,-3.090712659780652682e+00,-8.626895083395119679e-02,2.143415605667347901e+00,3.091010645942793733e+00,8.828190836011122478e-02,3.762495311265346309e+00
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,-2.143889846396818566e+00,-3.091860814990567974e+00,-8.644145134627778670e-02,2.143950025414239402e+00,3.092248400573784917e+00,8.879640337677231765e-02,3.763828726652887813e+00
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,-2.143493088950847003e+00,-3.089985944727193790e+00,-8.673970130947217250e-02,2.143552099314474546e+00,3.090327795871488092e+00,8.851077232217684221e-02,3.762017496666980154e+00
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,-2.143525175802761140e+00,-3.094001054485633340e+00,-8.657736721544229130e-02,2.143581450047382653e+00,3.094324959912193584e+00,8.860736151857896703e-02,3.765320657664911419e+00
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,-2.142027516755599770e+00,-3.089356734612298094e+00,-8.656774202869971235e-02,2.142121718791118568e+00,3.089760351800743710e+00,8.860297526302764182e-02,3.760738621188919328e+00
3.606352353096008301e+01,3.168829948762767312e-04,4.186553250328346135e-04,2.194012331313702126e-03,-2.139557944965128300e+00,-3.087232711026162146e+00,-8.677713306158962858e-02,2.139874827960004389e+00,3.087651366351194859e+00,8.897114539290333635e-02,3.757734836863796613e+00
3.616348481178283691e+01,5.676536900522967513e-05,4.141398744468301044e-04,2.049227757813147557e-03,-2.140341242143876777e+00,-3.088292982179255741e+00,-8.649639060413344405e-02,2.140398007512882117e+00,3.088707122053702570e+00,8.854561836194659030e-02,3.758890214268232999e+00
3.626339721679687500e+01,9.071020425686178099e-05,4.910826451042061636e-04,2.461433013595636186e-03,-2.139515484680971635e+00,-3.087275406753237306e+00,-8.648926336101320222e-02,2.139606194885228518e+00,3.087766489398341641e+00,8.895069637460883971e-02,3.757675982389665048e+00
3.636338472366333008e+01,9.064378529065966761e-05,4.703442095526206256e-04,2.368703961074123277e-03,-2.139626886474237377e+00,-3.091282164265817922e+00,-8.680851352389501452e-02,2.139717530259527933e+00,3.091752508475370753e+00,8.917721748496913736e-02,3.761020773550983964e+00
