frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,0,0,0,0.005596917,0.000573926,0.100000000,0.030000000,1.000000000,0.015459885,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.012428026,0.027398445,1,0,0,0,0,-0.006941190,-0.010932105,-0.004047462,-0.000022762,-0.000019752,0.000251837,0.999999968,2355,1606,0.681953291,0.016142762,0.004565091,0.003842790,0.187240037,73.511329469,1358,0.961010547,184.389385043,330.968086292,789.694851892,0.141288883,0.135780107,0,0,0,0,0,0.008417025,0.000103186,0.100000000,0.030000000,0.931730386,0.016142762,0.000001043,0.000002849,0.000005869,0.144206114,0.989428698,-0.015344321,0.000000001,0.000000004,0.000000010,-0.006069558,0.022891404,-0.999719533,0.000000000,0.179683183,0.021608219,0.008385105,0.000036512,70.270190816,0,0.146465132,0.140032412,885,853,32,0.375796178,125,0,0,0,0,0,1344,126,3023,2111,229,0,0,2351
3,1624181089.961854219,1624181090.061850786,8,7,0,0.012515712,0.025739126,1,0,0,0,0,-0.006530597,-0.014051135,-0.004605833,-0.000004466,-0.000038293,0.000139841,0.999999989,2369,1717,0.724778388,0.015859529,0.003965855,0.003308458,0.157718666,87.964467549,1432,0.962803758,177.719639025,327.366621873,873.648719950,0.128900508,0.124105893,0,0,0,0,0,0.006296070,0.000187433,0.100000000,0.030000000,0.880076409,0.015859529,0.000000826,0.000002286,0.000005289,0.139480929,0.990217743,-0.003727289,0.000000001,0.000000003,0.000000009,0.000176242,-0.006565800,0.999978429,0.000000000,0.172361677,0.017706542,0.011580213,0.000260504,76.168283061,0,0.140610257,0.134723573,716,698,18,0.302237231,116,0,0,0,0,0,1537,116,3227,2827,345,0,0,3888
4,1624181090.061851978,1624181090.161860704,9,8,0,0.011323731,0.024345484,1,0,0,0,0,-0.000188537,-0.009933864,-0.004803731,-0.000031183,-0.000081277,0.000010282,0.999999996,2364,1782,0.753807107,0.016453195,0.004739536,0.003716198,0.167713303,89.387031301,1461,0.963611238,178.537777212,330.066069257,899.232172385,0.126817168,0.122202448,0,0,0,0,0,0.011491515,0.000305643,0.100000000,0.030000000,0.897573578,0.016453195,0.000000743,0.000001964,0.000004350,0.143255309,0.989683248,-0.002232769,0.000000001,0.000000003,0.000000009,-0.000581577,0.008035087,-0.999967549,0.000000000,0.171199584,0.022896913,0.019144127,0.000519619,79.472970121,0,0.137161985,0.131593292,729,719,10,0.308375635,103,0,0,0,0,0,1532,103,3399,3556,448,0,0,5420
5,1624181090.161849499,1624181090.261902571,10,9,0,0.012089868,0.025133330,1,0,0,0,0,-0.001855394,-0.008188392,-0.003915459,-0.000022646,-0.000074191,0.000208251,0.999999975,2355,1807,0.767303609,0.016367312,0.004081427,0.003622941,0.157008270,91.379576138,1491,0.967227787,181.158040105,324.912065347,936.066525275,0.125617806,0.121501033,0,0,0,0,0,0.005291760,0.000363502,0.100000000,0.030000000,0.929850029,0.016367312,0.000000702,0.000001905,0.000003914,-0.121306108,-0.992600703,0.005354698,0.000000001,0.000000003,0.000000008,-0.004447479,-0.004916228,0.999978025,0.000000000,0.168361321,0.022561480,0.021715919,0.000915557,81.854291324,0,0.134853149,0.129574840,522,509,13,0.221656051,105,0,0,0,0,0,1728,105,3541,4078,553,0,0,7148
6,1624181090.261847019,1624181090.361894131,11,10,0,0.011213120,0.025452967,1,0,0,0,0,-0.003783509,-0.009174097,-0.003876598,-0.000037363,-0.000068685,0.000119970,0.999999990,2335,1823,0.780728051,0.016428195,0.003826446,0.003322933,0.151239103,96.366717001,1508,0.969211692,174.294888376,332.624297438,954.652045877,0.119251723,0.115580165,0,0,0,0,0,0.003300895,0.000116646,0.100000000,0.030000000,0.925145491,0.016428195,0.000000682,0.000001880,0.000003888,-0.122859203,-0.992378515,0.009513162,0.000000001,0.000000002,0.000000009,-0.003880253,-0.006170623,0.999973433,0.000000000,0.165507618,0.022243476,0.023881733,0.001092117,84.273028937,0,0.132252912,0.127242394,435,418,17,0.186295503,99,0,0,0,0,0,1800,100,3647,4513,652,0,0,8948
7,1624181090.361844540,1624181090.461852789,12,11,0,0.012831884,0.025872072,1,0,0,0,0,-0.004289450,-0.010607627,-0.004230943,-0.000014955,0.000014910,0.000227223,0.999999974,2363,1858,0.786288616,0.016073387,0.004079472,0.003364201,0.146371612,100.028754277,1534,0.969803804,174.543463660,330.814687677,982.320884690,0.117326022,0.113783223,0,0,0,0,0,0.001867645,0.000207399,0.100000000,0.030000000,0.917621528,0.016073387,0.000000672,0.000001852,0.000003881,-0.113168152,-0.993548489,0.007373554,0.000000001,0.000000002,0.000000009,-0.002179726,0.005463241,0.999982701,0.000000000,0.162773903,0.020624954,0.025442676,0.001306617,86.523846843,0,0.130120499,0.125319655,466,457,9,0.197206940,98,0,0,0,0,0,1798,99,3753,4979,750,0,0,10746
8,1624181090.461842060,1624181090.561805964,13,12,0,0.010821014,0.025070167,1,0,0,0,0,-0.006555814,-0.012257148,-0.003760103,-0.000008524,-0.000005707,0.000104239,0.999999995,2359,1877,0.795676134,0.016029359,0.003945174,0.003312506,0.146854643,99.317483577,1558,0.969320342,166.364326521,337.632102379,1006.204664315,0.110160380,0.106780697,0,0,0,0,0,0.001960773,0.000250330,0.100000000,0.030000000,0.868655102,0.016029359,0.000000660,0.000001856,0.000003771,-0.105155969,-0.994427789,0.007456133,0.000000001,0.000000002,0.000000008,-0.001657700,-0.002920638,0.999994361,0.000000000,0.160783995,0.019379806,0.028285037,0.001552583,88.123051434,0,0.127625484,0.123002286,402,391,11,0.170411191,98,0,0,0,0,0,1858,99,3859,5381,848,0,0,12604
9,1624181090.561839819,1624181090.661713123,14,13,0,0.012071759,0.026333323,1,0,0,0,0,-0.004912151,-0.014128749,-0.004210522,-0.000001641,0.000003823,0.000069159,0.999999998,2381,1905,0.800083998,0.015495475,0.004087960,0.003333831,0.144580952,102.401793372,1572,0.969523194,165.897716751,332.467727385,1025.725017561,0.108850308,0.105532899,0,0,0,0,0,0.003542851,0.000060112,0.100000000,0.030000000,0.862402752,0.015495475,0.000000653,0.000001837,0.000003811,-0.125889432,-0.992019717,0.006980893,0.000000001,0.000000002,0.000000009,-0.000920688,-0.005742310,0.999983089,0.000000000,0.158983657,0.021859488,0.030816320,0.001622744,89.709578316,0,0.125539353,0.121061243,360,351,9,0.151196976,86,0,0,0,0,0,1934,87,3945,5741,934,0,0,14538
10,1624181090.661837339,1624181090.761733294,15,14,0,0.011118437,0.022962517,1,0,0,0,0,-0.006737748,-0.021044789,-0.003696572,0.000012437,-0.000042860,0.000292018,0.999999956,2377,1914,0.805216660,0.015653938,0.003789789,0.003264359,0.142624036,102.174286531,1566,0.970866241,167.309063824,322.350170222,1030.717299119,0.110044492,0.106838483,0,0,0,0,0,0.005815900,0.000441529,0.100000000,0.030000000,0.876026222,0.015653938,0.000000645,0.000001784,0.000003782,-0.108542393,-0.994066893,0.007039959,0.000000001,0.000000002,0.000000008,-0.002067576,0.001780766,-0.999996277,0.000000000,0.157347695,0.021977239,0.037987691,0.002068461,90.956049138,0,0.123989867,0.119638967,407,401,6,0.171224232,90,0,0,0,0,0,1878,92,4034,6148,1024,0,0,16416
