time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-4.216144124097477075e+00,-3.726402310688848196e+00,2.636308627746576594e+00,4.216154435046361115e+00,3.726583725691757110e+00,-2.635193205803208816e+00,6.213503658698781962e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-4.215714198470108087e+00,-3.734608768805108170e+00,2.637949307359596762e+00,4.215782699861428284e+00,3.734919239101862853e+00,-2.636351381281104356e+00,6.218745379949796259e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-4.217635655281888774e+00,-3.736963819410352716e+00,2.638672096485299878e+00,4.217736313525769276e+00,3.737336359923100204e+00,-2.637085445029735631e+00,6.221832714082312421e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-4.220962209061006831e+00,-3.730119465845335824e+00,2.638389472013837889e+00,4.220961897501021909e+00,3.730278678454760577e+00,-2.637148699318115685e+00,6.219811220720838918e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-4.218688263995151289e+00,-3.729631902695944579e+00,2.637477290156318599e+00,4.218786038844874575e+00,3.729870230254315633e+00,-2.636079175988265355e+00,6.217636287060282818e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-4.217509714528393516e+00,-3.731428884330029394e+00,2.637569712970090130e+00,4.217964432554963672e+00,3.731663278956164120e+00,-2.635931974725804317e+00,6.218092324595257736e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-4.217800486063629783e+00,-3.732959754147358478e+00,2.637981841956347662e+00,4.217850159321453241e+00,3.733253556101905790e+00,-2.636403387386234698e+00,6.219169148821821480e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-4.216663461500524512e+00,-3.735493295736421526e+00,2.637708616636866843e+00,4.216910082389242476e+00,3.735370657942499228e+00,-2.637601102705493528e+00,6.220310617016409083e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-4.219019153787344045e+00,-3.736209524615522248e+00,2.638187935888329338e+00,4.219243377936895634e+00,3.736203668529479494e+00,-2.637973314975703421e+00,6.222550581997818853e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-4.221078756067688786e+00,-3.743192757402181492e+00,2.638176726687613716e+00,4.221018704981970515e+00,3.743077285892204564e+00,-2.638666428686995857e+00,6.228176859872366578e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-4.220982001500326319e+00,-3.743909539408479148e+00,2.638085381900431514e+00,4.220772760220507180e+00,3.743647692907207336e+00,-2.638841992943940618e+00,6.228427394274837603e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-4.219073819583618601e+00,-3.745719219256540278e+00,2.638291855838135191e+00,4.219027278401673797e+00,3.745659444038436536e+00,-2.638784472120846214e+00,6.228429925504328502e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-4.219355110180249113e+00,-3.746704369218492925e+00,2.639037667380927488e+00,4.219291170429420035e+00,3.746457389560974960e+00,-2.639633023286683589e+00,6.229448085527745427e+00
