frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.000000000,0.015459885,0.004058607,0.002975689,0.000000000,67.029052164,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,1331,1291,40,0.569289991,0,0,0,0,0,0,1007,0,2793,1331,0,0,0,1007
2,1624181089.861856699,1624181089.961797476,0,0,0,0,-0.004750546,-0.009221106,-0.004544950,-0.000027836,-0.000013941,0.000150559,0.999999988,2356,1607,0.000000000,0.016107926,0.004730719,0.003853028,0.000000000,74.115962739,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,975,943,32,0.413837012,0,0,0,0,0,0,1381,0,3068,2306,0,0,0,2388
3,1624181089.961854219,1624181090.061850786,0,0,0,0,-0.004223890,-0.010658074,-0.005385752,-0.000001337,-0.000027035,0.000084125,0.999999996,2371,1711,0.000000000,0.014487693,0.003991170,0.003097583,0.000000000,90.305786467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,780,761,19,0.328975116,0,0,0,0,0,0,1591,0,3293,3086,0,0,0,3979
4,1624181090.061851978,1624181090.161860704,0,0,0,0,-0.000994094,-0.008737376,-0.005283082,-0.000023219,-0.000069335,-0.000001779,0.999999997,2365,1777,0.000000000,0.014560664,0.004543337,0.003689341,0.000000000,93.189596647,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,750,740,10,0.317124736,0,0,0,0,0,0,1615,0,3477,3836,0,0,0,5594
5,1624181090.261847019,1624181090.361894131,0,0,0,0,-0.004667183,-0.009945583,-0.005006665,-0.000023555,-0.000024196,0.000157460,0.999999987,2334,1788,0.000000000,0.013888229,0.003480769,0.002883035,0.000000000,98.556935431,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,580,564,16,0.248500428,0,0,0,0,0,0,1754,0,3610,4416,0,0,0,7348
6,1624181090.361844540,1624181090.461852789,0,0,0,0,-0.006449075,-0.010730925,-0.004740788,-0.000003471,-0.000002405,0.000251966,0.999999968,2364,1826,0.000000000,0.013107928,0.003487479,0.002906446,0.000000000,105.615494620,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,566,552,14,0.239424704,0,0,0,0,0,0,1798,0,3746,4982,0,0,0,9146
7,1624181090.461842060,1624181090.561805964,0,0,0,0,-0.005525521,-0.009539175,-0.004075776,-0.000009961,-0.000021540,0.000035370,0.999999999,2357,1824,0.000000000,0.011788468,0.002972821,0.002533223,0.000000000,112.351834540,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,465,453,12,0.197284684,0,0,0,0,0,0,1892,0,3882,5447,0,0,0,11038
8,1624181090.561839819,1624181090.661713123,0,0,0,0,-0.003611728,-0.013175335,-0.004046240,-0.000011325,-0.000047967,0.000010149,0.999999999,2381,1872,0.000000000,0.011640615,0.002731513,0.002348878,0.000000000,112.374200143,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,429,422,7,0.180176396,0,0,0,0,0,0,1952,0,3985,5876,0,0,0,12990
9,1624181090.661837339,1624181090.761733294,0,0,0,0,-0.007173152,-0.018058716,-0.003832398,0.000004286,-0.000028098,0.000174863,0.999999984,2379,1881,0.000000000,0.011981092,0.002826058,0.002436304,0.000000000,111.597593574,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,421,414,7,0.176965111,0,0,0,0,0,0,1958,0,4077,6297,0,0,0,14948
10,1624181090.761834860,1624181090.861717939,0,0,0,0,-0.008524698,-0.018390562,-0.003811509,0.000011735,-0.000029229,0.000068009,0.999999997,2366,1880,0.000000000,0.011882114,0.002756711,0.002416240,0.000000000,114.972172921,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,350,340,10,0.147928994,0,0,0,0,0,0,2016,0,4163,6647,0,0,0,16964
11,1624181090.861832380,1624181090.961721897,0,0,0,0,-0.008753066,-0.018253458,-0.003863925,-0.000018006,-0.000021340,0.000122550,0.999999992,2352,1879,0.000000000,0.011361467,0.002583644,0.002220625,0.000000000,118.803783044,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,333,323,10,0.141581633,0,0,0,0,0,0,2019,0,4256,6980,0,0,0,18983
12,1624181090.961829901,1624181091.061767101,0,0,0,0,-0.008022783,-0.016969711,-0.004358865,-0.000008609,-0.000027497,0.000055949,0.999999998,2347,1864,0.000000000,0.011450719,0.002439210,0.002114052,0.000000000,117.282976291,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,333,322,11,0.141883255,0,0,0,0,0,0,2014,0,4349,7313,0,0,0,20997
13,1624181091.061827421,1624181091.161813259,0,0,0,0,-0.008846624,-0.018770250,-0.004873313,-0.000005990,-0.000053725,0.000013434,0.999999998,2376,1908,0.000000000,0.011491795,0.002629097,0.002190944,0.000000000,115.544596616,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,314,302,12,0.132154882,0,0,0,0,0,0,2062,0,4439,7627,0,0,0,23059
