frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,trusted_snapshot_active,trusted_snapshot_points,trusted_snapshot_age,trusted_snapshot_evaluation_ran,trusted_snapshot_icp_converged,trusted_snapshot_aligned_points,trusted_snapshot_matched_points,trusted_snapshot_overlap_ratio,trusted_snapshot_fitness_rmse,trusted_snapshot_correction_translation,trusted_snapshot_correction_rotation,trusted_snapshot_consistency_translation,trusted_snapshot_consistency_rotation,trusted_snapshot_consistent_streak,trusted_snapshot_candidate_accepted,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,0,0,0,0.005596917,0.000573926,0.100000000,0.030000000,1.000000000,0.015459885,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.012244957,0.023062190,1,0,0,0,0,-0.006649823,-0.010054427,-0.004045587,-0.000023971,-0.000022710,0.000230472,0.999999973,2356,1607,0.682088285,0.016232636,0.004566935,0.003818964,0.187767152,73.269927272,1358,0.961014616,184.393854902,330.973361033,789.690632613,0.141291710,0.135783398,0,0,0,0,0,0.007553342,0.000155638,0.100000000,0.030000000,0.931749028,0.016232636,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000001043,0.000002848,0.000005828,0.141590770,0.989798172,-0.015862926,0.000000001,0.000000004,0.000000010,-0.005392729,0.024845523,-0.999676757,0.000000000,0.179946741,0.024382751,0.007504961,0.000079241,70.149489718,0,0.146466546,0.140034058,883,851,32,0.374787776,126,0,0,0,0,0,1346,127,3020,2109,230,0,0,2353
3,1624181089.961854219,1624181090.061850786,8,7,0,0.013532809,0.025739126,1,0,0,0,0,-0.006364094,-0.012823789,-0.004663913,0.000000103,-0.000036382,0.000127969,0.999999991,2369,1712,0.722667792,0.015784844,0.004042034,0.003260686,0.161967739,86.050820962,1432,0.962470784,179.377612747,328.650826003,870.229724299,0.130148050,0.125263696,0,0,0,0,0,0.005638221,0.000166127,0.100000000,0.030000000,0.888585511,0.015784844,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000828,0.000002275,0.000005212,0.143808546,0.989605220,-0.000781928,0.000000001,0.000000003,0.000000009,-0.000937622,0.008464667,-0.999963734,0.000000000,0.173953740,0.020017956,0.010356861,0.000284250,75.449933466,0,0.141027047,0.135110604,723,704,19,0.305192064,115,0,0,0,0,0,1531,115,3228,2832,345,0,0,3884
4,1624181090.061851978,1624181090.161860704,9,8,0,0.012950497,0.025239474,1,0,0,0,0,-0.001219563,-0.009960921,-0.005101099,-0.000029821,-0.000088268,0.000077151,0.999999993,2364,1777,0.751692047,0.016420130,0.004513934,0.003545633,0.172299219,88.117790792,1464,0.962957258,178.424941241,329.438468915,901.906016284,0.126563208,0.121874960,0,0,0,0,0,0.009355271,0.000171871,0.100000000,0.030000000,0.895758203,0.016420130,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000732,0.000001945,0.000004285,0.152631070,0.988281982,0.001575102,0.000000001,0.000000003,0.000000009,-0.007254919,0.014602146,-0.999867063,0.000000000,0.173540110,0.023548405,0.016260533,0.000385881,78.616897797,0,0.137411087,0.131801693,688,678,10,0.291032149,106,0,0,0,0,0,1570,106,3395,3520,451,0,0,5454
5,1624181090.161849499,1624181090.261902571,10,9,0,0.013046644,0.025504992,1,0,0,0,0,-0.002851601,-0.008845955,-0.004705535,-0.000019701,-0.000082883,0.000255151,0.999999964,2353,1797,0.763705907,0.016527081,0.004092391,0.003543866,0.163112728,89.083442583,1490,0.966050385,180.776576286,324.287185483,934.351312145,0.125590304,0.121326561,0,0,0,0,0,0.004397489,0.000328340,0.100000000,0.030000000,0.925364093,0.016527081,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000694,0.000001855,0.000003766,-0.120784886,-0.992678703,0.000069350,0.000000001,0.000000003,0.000000008,-0.004703670,-0.000846848,0.999988579,0.000000000,0.171454633,0.025029240,0.018276263,0.000741879,80.710206754,0,0.135046931,0.129706667,547,535,12,0.232469188,108,0,0,0,0,0,1698,108,3533,4067,559,0,0,7152
6,1624181090.261847019,1624181090.361894131,11,10,0,0.012533416,0.026399256,1,0,0,0,0,-0.005044433,-0.009867569,-0.004102920,-0.000026932,-0.000042911,0.000226704,0.999999973,2337,1832,0.783910997,0.015944110,0.003597258,0.003085015,0.154917407,93.425236254,1511,0.968644485,173.448009688,332.236662717,957.937144577,0.118506029,0.114790212,0,0,0,0,0,0.002972868,0.000072574,0.100000000,0.030000000,0.910547863,0.015944110,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000667,0.000001851,0.000003648,-0.120341885,-0.992705737,0.007290396,0.000000001,0.000000002,0.000000008,0.002961840,0.001889215,0.999993829,0.000000000,0.168698429,0.023113918,0.020769323,0.000798774,82.829378338,0,0.132290114,0.127220591,457,440,17,0.195549850,99,0,0,0,0,0,1780,100,3644,4524,658,0,0,8932
7,1624181090.361844540,1624181090.461852789,12,11,0,0.013834681,0.025872072,1,0,0,0,0,-0.005735744,-0.011511732,-0.004284458,-0.000009347,-0.000021811,0.000304544,0.999999953,2364,1864,0.788494078,0.015536882,0.003564546,0.003018632,0.148665916,97.987439822,1530,0.969117949,173.374398168,326.966743853,982.409320503,0.116927563,0.113316600,0,0,0,0,0,0.001797099,0.000121986,0.100000000,0.030000000,0.910965602,0.015536882,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000660,0.000001828,0.000003667,-0.105259266,-0.994405260,0.008869362,0.000000001,0.000000002,0.000000008,-0.010189676,0.015774794,-0.999823648,0.000000000,0.165836641,0.024373645,0.022562125,0.000954453,84.994815693,0,0.130095464,0.125234306,488,480,8,0.206429780,94,0,0,0,0,0,1781,95,3750,5012,752,0,0,10713
8,1624181090.461842060,1624181090.561805964,13,12,0,0.012734671,0.025070167,1,0,0,0,0,-0.007196813,-0.012964945,-0.003773479,-0.000006653,-0.000054346,0.000139501,0.999999989,2357,1877,0.796351294,0.015216618,0.003254937,0.002788383,0.143945866,101.264182730,1555,0.968908219,165.256369357,335.854352933,1005.541558686,0.109684478,0.106274193,0,0,0,0,0,0.000871117,0.000338795,0.100000000,0.030000000,0.866637943,0.015216618,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000642,0.000001823,0.000003742,-0.102072513,-0.994745804,0.007873247,0.000000001,0.000000002,0.000000008,-0.007419128,0.018273468,-0.999805500,0.000000000,0.163100294,0.027980043,0.024685248,0.001284539,87.028486572,0,0.127544090,0.122864292,398,387,11,0.168858719,96,0,0,0,0,0,1862,97,3859,5410,848,0,0,12575
9,1624181090.561839819,1624181090.661713123,14,13,0,0.013076821,0.026333323,1,0,0,0,0,-0.006518957,-0.015528599,-0.004039313,-0.000001632,-0.000058947,0.000194893,0.999999979,2381,1914,0.803863923,0.014656547,0.002976594,0.002590063,0.145268248,102.357805297,1575,0.970371535,167.999870945,328.812531946,1031.522764387,0.109923448,0.106666585,0,0,0,0,0,0.002619597,0.000135098,0.100000000,0.030000000,0.871877191,0.014656547,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000628,0.000001802,0.000003693,-0.111215948,-0.993744836,0.010110096,0.000000001,0.000000002,0.000000008,-0.010439319,0.030364966,-0.999484362,0.000000000,0.161118956,0.036246741,0.027350295,0.001395321,88.731744208,0,0.125586241,0.121064547,345,336,9,0.144897102,88,0,0,0,0,0,1947,89,3948,5755,936,0,0,14522
10,1624181090.661837339,1624181090.761733294,15,14,0,0.012989325,0.025725314,1,0,0,0,0,-0.007816227,-0.020157961,-0.003684281,0.000015945,-0.000062347,0.000286587,0.999999957,2378,1926,0.809924306,0.015298965,0.003192947,0.002764200,0.142976388,100.232396272,1572,0.970602844,163.914162585,321.201589895,1040.671917945,0.107429209,0.104271096,0,0,0,0,0,0.002978517,0.000171943,0.100000000,0.030000000,0.855394134,0.015298965,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000620,0.000001740,0.000003586,-0.096635126,-0.995303529,0.005704094,0.000000001,0.000000002,0.000000008,-0.006540580,0.016574215,-0.999841246,0.000000000,0.159304699,0.035560531,0.032171078,0.001578707,89.881809415,0,0.123770538,0.119385202,386,380,6,0.162321278,90,0,0,0,0,0,1900,92,4030,6141,1026,0,0,16422
