time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-3.803690312051732025e+00,-3.511428001444278912e+00,1.285328963834809324e+00,3.803700623000616066e+00,3.511609416447187826e+00,-1.284213541891441768e+00,5.333736358714516790e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-3.803107934035455440e+00,-3.518735435185905480e+00,1.286867787672803187e+00,3.803176435426776081e+00,3.519045905482660164e+00,-1.285269861594310559e+00,5.338516057951165017e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-3.804765643433761557e+00,-3.520857631841909363e+00,1.287570860660501859e+00,3.804866301677641616e+00,3.521230172354656851e+00,-1.285984209204937612e+00,5.341331752163251068e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-3.807734218431600759e+00,-3.515717296980372719e+00,1.287611997318106827e+00,3.807733906871615392e+00,3.515876509589797472e+00,-1.286371224622384624e+00,5.339941578684321399e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-3.805800465061122573e+00,-3.515706074563802463e+00,1.287280046784907928e+00,3.805898239910845415e+00,3.515944402122173518e+00,-1.285881932616854684e+00,5.338559618099359305e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-3.804398964303915776e+00,-3.517743363703316639e+00,1.286829332772404078e+00,3.804853682330486375e+00,3.517977758329451365e+00,-1.285191594528118042e+00,5.338988339254010285e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-3.804668522818983156e+00,-3.519531208442583825e+00,1.287101898985593351e+00,3.804718196076806169e+00,3.519825010397131138e+00,-1.285523444415480387e+00,5.340189058593052707e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-3.804107746108485344e+00,-3.521463527293553053e+00,1.286749736919973852e+00,3.804354366997203307e+00,3.521340889499630755e+00,-1.286642222988600759e+00,5.341198556478667037e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-3.806035203655937060e+00,-3.523320102135992560e+00,1.287067421774189535e+00,3.806259427805488649e+00,3.523314246049949805e+00,-1.286852800861563617e+00,5.343907207209154464e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-3.807318394569890518e+00,-3.528008552004724852e+00,1.286962485993951244e+00,3.807258343484172247e+00,3.527893080494747924e+00,-1.287452187993333386e+00,5.347782607567493685e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-3.806567985654980113e+00,-3.529009919318177424e+00,1.287213885106183175e+00,3.806358744375160530e+00,3.528748072816905612e+00,-1.287970496149692057e+00,5.347831135258699575e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-3.805047123637989248e+00,-3.530466343900393156e+00,1.287978246731900978e+00,3.805000582456044000e+00,3.530406568682289414e+00,-1.288470863014612000e+00,5.348079761701718837e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-3.805630338616187380e+00,-3.530711900171684459e+00,1.288818906020622990e+00,3.805566398865358302e+00,3.530464920514166494e+00,-1.289414261926379091e+00,5.348748200281380427e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-3.805700093265013351e+00,-3.529480702415237037e+00,1.289094796722535463e+00,3.805662222209404977e+00,3.529377125370998680e+00,-1.289522638635457019e+00,5.348124575792642332e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-3.805214490164212204e+00,-3.525818633366979427e+00,1.288917430214409521e+00,3.805178590024698160e+00,3.525514994681449465e+00,-1.289712014031867193e+00,5.345278024466475486e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-3.807703779091137886e+00,-3.524309228264134841e+00,1.288621101284483039e+00,3.807646837262115280e+00,3.524104912675637191e+00,-1.289452371511030648e+00,5.346043143414778598e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-3.808761592943615604e+00,-3.521868898823881100e+00,1.287728709334257093e+00,3.808703606272756392e+00,3.521560163654386955e+00,-1.288558780074442911e+00,5.344903448742507557e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-3.808977160864543521e+00,-3.522263845277673333e+00,1.287257388984494266e+00,3.808766816890162499e+00,3.522356287414698528e+00,-1.286643804945656555e+00,5.345011764415351863e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-3.808148722967522382e+00,-3.524286800650693774e+00,1.287309015341021157e+00,3.808512604796284950e+00,3.524614483360616113e+00,-1.285301110537726332e+00,5.345996115033859297e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-3.806997855653318830e+00,-3.527308489564232818e+00,1.287915141963105636e+00,3.807553917231794927e+00,3.527581055543158151e+00,-1.285651270756998699e+00,5.347353936860104184e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-3.807307459246158654e+00,-3.527811361974658944e+00,1.288343988952224350e+00,3.807721257323476216e+00,3.528166054798691498e+00,-1.285916076235649186e+00,5.347922684447497410e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-3.811166529693541527e+00,-3.531140016397913861e+00,1.288404216995240104e+00,3.811401320223264388e+00,3.531438002560054912e+00,-1.286391259469080062e+00,5.352815788177605505e+00
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,-3.810926596573597003e+00,-3.531652136026756317e+00,1.288525366380578241e+00,3.810986775591017839e+00,3.532039721609973260e+00,-1.286170414350083613e+00,5.352864572685334110e+00
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,-3.811185491313995755e+00,-3.529636150576277664e+00,1.288300439710558187e+00,3.811244501677623298e+00,3.529978001720571967e+00,-1.286529368697853615e+00,5.351774206814145174e+00
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,-3.811746380106503906e+00,-3.533167296516583900e+00,1.288230356874579874e+00,3.811802654351125419e+00,3.533491201943144144e+00,-1.286200362571443101e+00,5.354410417833769920e+00
