time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-4.067580178150337566e+00,-3.568498960383071239e+00,9.484833186540501115e-01,4.067590489099221607e+00,3.568680375385980152e+00,-9.473678967106825555e-01,5.493475943370780712e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-4.067001301785665213e+00,-3.575826757228886432e+00,9.499732601000081544e-01,4.067069803176985410e+00,3.576137227525641116e+00,-9.483753340215156369e-01,5.498111496522172459e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-4.068620337207901727e+00,-3.577877389068942815e+00,9.506560027372734645e-01,4.068720995451782230e+00,3.578249929581690303e+00,-9.490693512817093280e-01,5.500826822480761713e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-4.071576998631004862e+00,-3.572738767291836925e+00,9.507136240938517391e-01,4.071576687071019940e+00,3.572897979901261678e+00,-9.494728513981295359e-01,5.499530469869663207e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-4.069699577136900004e+00,-3.572735804789149316e+00,9.502798524871532981e-01,4.069797351986623291e+00,3.572974132347520371e+00,-9.488817383191000543e-01,5.498160709726237272e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-4.068337619224220880e+00,-3.573386337782586519e+00,9.498410812105216872e-01,4.068792337250791036e+00,3.573620732408721246e+00,-9.482033429662356516e-01,5.497720054930456790e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-4.068219038674738997e+00,-3.574893593388946300e+00,9.502379527213701271e-01,4.068268711932562454e+00,3.575187395343493613e+00,-9.486594981512572744e-01,5.498429782014591538e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-4.067581882909568236e+00,-3.577049811435869309e+00,9.496946564268509139e-01,4.067828503798286199e+00,3.576927173641947011e+00,-9.495871424954778206e-01,5.499395647072931048e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-4.070228373975986358e+00,-3.579639834920850916e+00,9.498675525298380107e-01,4.070452598125537946e+00,3.579633978834808161e+00,-9.496529316172120927e-01,5.503108618457828172e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-4.069747922840903698e+00,-3.584294096312609312e+00,9.498920428090493751e-01,4.069538681561084559e+00,3.584032249811337500e+00,-9.506486538525583674e-01,5.505466838650590944e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-4.068005076287249722e+00,-3.584649585730228960e+00,9.504581131459575172e-01,4.067958535105304918e+00,3.584589810512125219e+00,-9.509507294286686507e-01,5.504714165400812931e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-4.070014703506434017e+00,-3.586580138579169574e+00,9.514640169185644147e-01,4.069950763755604939e+00,3.586333158921651609e+00,-9.520593728243205156e-01,5.507513213380284434e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-4.070358864891533202e+00,-3.584685826003394915e+00,9.516286693384650164e-01,4.070320993835925272e+00,3.584582248959156558e+00,-9.520565112513865724e-01,5.506646392590568873e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-4.070041011817595589e+00,-3.582271084257929061e+00,9.514381874130808381e-01,4.070005111678081100e+00,3.581967445572399100e+00,-9.522327712305385106e-01,5.504741559858334021e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-4.073143160247441052e+00,-3.582129051467388248e+00,9.510019266064673182e-01,4.073086218418418447e+00,3.581924735878890598e+00,-9.518331968330149273e-01,5.506923150976819947e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-4.073658730241426440e+00,-3.579385244425421497e+00,9.503745416062641116e-01,4.073600743570567673e+00,3.579076509255927352e+00,-9.512046123464499292e-01,5.505343031244777308e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-4.074028623092360135e+00,-3.579727913878128387e+00,9.503141404489654498e-01,4.073818279117978669e+00,3.579820356015153582e+00,-9.497005564101277386e-01,5.505727953637188143e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-4.072519667577650715e+00,-3.581947819539852418e+00,9.503286229238537830e-01,4.072883549406412840e+00,3.582275502249774757e+00,-9.483207181205590697e-01,5.506395405840462054e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-4.072495423550938298e+00,-3.585797412454544641e+00,9.509174659330433821e-01,4.073051485129414395e+00,3.586069978433469974e+00,-9.486535947269363334e-01,5.509046190905018570e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-4.073298563571847275e+00,-3.585694354946985296e+00,9.513261173082849798e-01,4.073712361649165281e+00,3.586049047771017850e+00,-9.488982045917097041e-01,5.509563320368504158e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-4.076616278801906468e+00,-3.588623176719144769e+00,9.512439868258329989e-01,4.076851069331628885e+00,3.588921162881285820e+00,-9.492310292996729570e-01,5.513810778569838256e+00
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,-4.075119988002506410e+00,-3.588865874094559594e+00,9.511269138394999878e-01,4.075180167019927246e+00,3.589253459677776537e+00,-9.487719618090054707e-01,5.512712764782540020e+00
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,-4.074860970876037491e+00,-3.587611511462371006e+00,9.510658101386963992e-01,4.074919981239665034e+00,3.587953362606665308e+00,-9.492947391259917156e-01,5.511764026831975194e+00
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,-4.075139406724167301e+00,-3.589584794463530404e+00,9.508922079832899943e-01,4.075195680968788814e+00,3.589908699890090649e+00,-9.488622136801533324e-01,5.513166405277753590e+00
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,-4.074251459216151616e+00,-3.587958236682935453e+00,9.508552097072819898e-01,4.074345661251670414e+00,3.588361853871381069e+00,-9.488199764729540187e-01,5.511523628674170894e+00
3.606352353096008301e+01,3.168829948762767312e-04,4.186553250328346135e-04,2.194012331313702126e-03,-4.072795997002802260e+00,-3.586957800815191888e+00,9.507819971824326144e-01,4.073112879997678348e+00,3.587376456140224601e+00,-9.485879848511189483e-01,5.509930810479936270e+00
3.616348481178283691e+01,5.676536900522967513e-05,4.141398744468301044e-04,2.049227757813147557e-03,-4.073326233911878980e+00,-3.584515817160514040e+00,9.512615813999413250e-01,4.073382999280884320e+00,3.584929957034960868e+00,-9.492123536421281926e-01,5.508645563837270664e+00
3.626339721679687500e+01,9.071020425686178099e-05,4.910826451042061636e-04,2.461433013595636186e-03,-4.072187522537200621e+00,-3.583521104276866875e+00,9.515978479276798740e-01,4.072278232741457060e+00,3.584012186921971210e+00,-9.491364149140842921e-01,5.507218290115351245e+00
3.636338472366333008e+01,9.064378529065966761e-05,4.703442095526206256e-04,2.368703961074123277e-03,-4.071781360811965733e+00,-3.587632922046222639e+00,9.509464580271300704e-01,4.071872004597256733e+00,3.588103266255775470e+00,-9.485777540660559337e-01,5.509485132627843562e+00
3.646338796615600586e+01,8.584092603931698360e-05,3.693640325942198132e-04,2.212107746353835554e-03,-4.071491130466421637e+00,-3.585815319044440841e+00,9.506554658666727109e-01,4.071576971392460997e+00,3.586184683077035196e+00,-9.484433581203188801e-01,5.507994591380087179e+00
3.656337809562683105e+01,3.729198636524754212e-04,2.524807016792597484e-04,2.055377027120571139e-03,-4.069318758617389342e+00,-3.586671515869400473e+00,9.507243437122514518e-01,4.069691678481041741e+00,3.586923996571079520e+00,-9.486689666851308989e-01,5.507121473458409078e+00
3.676334166526794434e+01,1.764654624915270621e-04,3.732886982571045832e-04,2.037435092953374799e-03,-4.070552219234191860e+00,-3.585967438761790582e+00,9.507054828042391659e-01,4.070728684696683253e+00,3.586340727460047617e+00,-9.486680477112857668e-01,5.507507866775988248e+00
3.686332821846008301e+01,5.052074715645646624e-04,3.947582500754227624e-04,2.032552792677267545e-03,-4.072799281975616914e+00,-3.589856276051803352e+00,9.510915577200091953e-01,4.073304489447181709e+00,3.590251034301878974e+00,-9.490590049273319728e-01,5.512025485054467211e+00
3.696334290504455566e+01,4.678531012717780809e-04,2.980336725815827242e-04,2.040453116256809533e-03,-4.072541927552797425e+00,-3.591495192605060449e+00,9.511802218288998301e-01,4.073009780654069267e+00,3.591793226277641971e+00,-9.491397687126430505e-01,5.512826276438389073e+00
3.706330966949462891e+01,4.582532795689185710e-04,3.363118457426223103e-04,2.034684015887231346e-03,-4.073914095863557350e+00,-3.590308279295199689e+00,9.511540442712629329e-01,4.074372349143126293e+00,3.590644591140942143e+00,-9.491193602553756881e-01,5.513081368832075668e+00
3.716331148147583008e+01,4.594322333183638307e-04,3.383150970630317139e-04,2.043278443803823487e-03,-4.074670589347921812e+00,-3.592761531334800029e+00,9.512423575840418533e-01,4.075130021581240491e+00,3.593099846431862865e+00,-9.491990791402380445e-01,5.515254308829473651e+00
3.726326751708984375e+01,8.795311659357460117e-05,3.105155614480608174e-04,2.047059011742642827e-03,-4.073714721174397368e+00,-3.591045772512956091e+00,9.509825131150622113e-01,4.073802674290990744e+00,3.591356288074404102e+00,-9.489354541033195867e-01,5.513092300425076253e+00
3.736322855949401855e+01,4.507787220785817550e-04,2.333832973933462618e-04,1.980862887625161207e-03,-4.073797224931979599e+00,-3.587785240504281159e+00,9.508491752984946643e-01,4.074248003654058259e+00,3.588018623801674689e+00,-9.488683124108695521e-01,5.511236296360753961e+00
3.746329092979431152e+01,8.879506935077947916e-06,5.049966651773073607e-05,9.073546440069284874e-04,-4.072720036178556491e+00,-3.583754533346181326e+00,9.507581687222823597e-01,4.072728915685491557e+00,3.583805033012699148e+00,-9.498508140782754294e-01,5.507539914000899373e+00
3.756334042549133301e+01,-7.707707163496189950e-05,7.740352850971182882e-05,2.445033899333624275e-04,-4.070144977467253788e+00,-3.586638338515580671e+00,9.514097909223826477e-01,4.070067900395618388e+00,3.586715742044090494e+00,-9.511652875324493328e-01,5.507694429819466109e+00
3.766336274147033691e+01,-1.019927715334615172e-04,-1.275044663023727905e-04,1.891158653000544901e-04,-4.070083177084603321e+00,-3.586046547573046972e+00,9.512059337699589889e-01,4.069981184313069988e+00,3.585919043106744475e+00,-9.510168179046589731e-01,5.507085909291366654e+00
