time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,3.860067832580507674e-02,2.276611425612479200e-02,-1.655908748655554596e-02,-3.859036737692082830e-02,-2.258469925321605898e-02,1.767450942992314714e-02,4.807986458209273506e-02
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,3.933227868743832678e-02,1.543908274351077359e-02,-1.513395588016991367e-02,-3.926377729611776196e-02,-1.512861244675592874e-02,1.673188195866243816e-02,4.528217084020911415e-02
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,3.774807147974099109e-02,1.333539284039489403e-02,-1.453622645538193980e-02,-3.764741323586078686e-02,-1.296285232764742695e-02,1.612287791094610401e-02,4.295707690184859262e-02
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,3.464621161117939496e-02,1.838801797385786196e-02,-1.452949026562017076e-02,-3.464652317116456021e-02,-1.822880536443293245e-02,1.577026296134242250e-02,4.220630411128543924e-02
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,3.653758429205961056e-02,1.844908485257146236e-02,-1.489261320357992968e-02,-3.643980944233661534e-02,-1.821075729420035608e-02,1.629072737163317353e-02,4.387344517722484988e-02
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,3.793284742293434597e-02,1.784258778099065412e-02,-1.528763834511176478e-02,-3.747812939636391977e-02,-1.760819315485593131e-02,1.692537658939777950e-02,4.473395826351885679e-02
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,3.807948913238756727e-02,1.633432791192776512e-02,-1.490418537255339126e-02,-3.802981587456445711e-02,-1.604052595738046302e-02,1.648263994266629950e-02,4.444370358017263323e-02
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,3.879748614832440046e-02,1.420387957447530325e-02,-1.544832208805524409e-02,-3.855086525960663840e-02,-1.432651736839779880e-02,1.555583601942838942e-02,4.397047130102991336e-02
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,3.622121393852109628e-02,1.153874238582222600e-02,-1.540479110520853734e-02,-3.599698978896934132e-02,-1.154459847186518028e-02,1.561941201783447093e-02,4.090265345337178171e-02
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,3.510264095322504496e-02,6.847497932301993551e-03,-1.564855053813979380e-02,-3.516269203894342027e-02,-6.962969442279053067e-03,1.515884853875763653e-02,3.891899978032170582e-02
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,3.565919624493171791e-02,4.039988570307379012e-03,-1.543241345643919793e-02,-3.586843752475108588e-02,-4.301835071579269802e-03,1.467580241293021601e-02,3.899268869818301592e-02
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,3.739042148863869208e-02,4.694234365511001927e-03,-1.484248777165347866e-02,-3.743696267058382182e-02,-4.754009583614613246e-03,1.434987148894237459e-02,4.037382311435154525e-02
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,3.680899212553756517e-02,3.749599916183815607e-03,-1.390021204115005071e-02,-3.687293187636649094e-02,-3.996579573701824865e-03,1.330485613539394464e-02,3.940310838286269907e-02
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,3.683282800098849896e-02,4.821642315455954009e-03,-1.367329369028552621e-02,-3.687069905659685204e-02,-4.925219359694204754e-03,1.324545177736393201e-02,3.948605104906936780e-02
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,3.713378124555971604e-02,7.623738406421720626e-03,-1.364653461750725549e-02,-3.716968138507376757e-02,-7.927377091951511717e-03,1.285195080004961077e-02,4.011983500954101334e-02
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,3.457092176622431068e-02,1.109802111691474136e-02,-1.403820703450564533e-02,-3.462786359524685359e-02,-1.130233670541240867e-02,1.320693680795800330e-02,3.874603117769523375e-02
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,3.471931787649595869e-02,1.233815478141009336e-02,-1.512607002547200485e-02,-3.477730454735496884e-02,-1.264688995090422485e-02,1.429599928528613693e-02,3.967090032472997407e-02
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,3.444848885351503576e-02,1.264966827048538689e-02,-1.538898097360802408e-02,-3.465883282789625208e-02,-1.255722613346007925e-02,1.600256501244575261e-02,4.018707140532219724e-02
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,3.526434017349877603e-02,1.036621824693578775e-02,-1.505722093673211859e-02,-3.490045834473642916e-02,-1.003853553701349044e-02,1.706512574002688395e-02,4.012521283337314865e-02
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,3.498593930424739873e-02,8.641714307183884225e-03,-1.439276397141919794e-02,-3.442987772577114219e-02,-8.369148328258383882e-03,1.665663517752621892e-02,3.915230030776156028e-02
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,3.391527546527633996e-02,7.146728713403299738e-03,-1.376081899523429186e-02,-3.350147738795875713e-02,-6.792035889370823601e-03,1.618873171180956402e-02,3.782268860268082206e-02
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,3.053461180433425515e-02,4.137160583679466708e-03,-1.417165029221967298e-02,-3.029982127461157415e-02,-3.839174421538450732e-03,1.618460781837970444e-02,3.456529993717914750e-02
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,3.139433138867087081e-02,2.238192364256597067e-03,-1.429856985449828866e-02,-3.133415237125022901e-02,-1.850606781039460837e-03,1.665352188499281960e-02,3.553299370242662958e-02
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,3.241814547562582582e-02,4.570375754541583513e-03,-1.453674917947467282e-02,-3.235913511199813020e-02,-4.228524610247214738e-03,1.630782019217934600e-02,3.648203729229590464e-02
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,3.207500400042653799e-02,1.654192630388517937e-03,-1.468793236468141084e-02,-3.201872975580501851e-02,-1.330287203828218285e-03,1.671792666781808309e-02,3.614495526751258792e-02
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,3.324327620080408385e-02,4.209729690502428401e-03,-1.484402020063557703e-02,-3.314907416528513340e-02,-3.806112502056682636e-03,1.687925343496351344e-02,3.739327221460585216e-02
3.606352353096008301e+01,3.168829948762767312e-04,4.186553250328346135e-04,2.194012331313702126e-03,3.460539552994168488e-02,4.875259064812259568e-03,-1.491454106198436547e-02,-3.428851253506540880e-02,-4.456603739779425172e-03,1.710855339329806629e-02,3.857805085760663416e-02
