frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,1,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,1,0,0,0,-0.006654494,-0.010062006,-0.004051645,-0.000023935,-0.000021998,0.000230330,0.999999973,2356,1607,0.682088285,0.016235121,0.004572640,0.003825212,0.187769889,73.269015240,1358,0.961012839,184.390294406,330.970593019,789.694547771,0.141289243,0.135780776,0.000001043,0.000002848,0.000005828,0.141605976,0.989797308,-0.015780909,0.000000001,0.000000004,0.000000010,-0.005378099,0.024813570,-0.999677629,0.000000000,0.179948109,0.024459261,0.007514623,0.000079526,70.149033702,0,883,851,32,0.374787776,126,0,0,0,0,0,1346,127,3020,2109,230,0,0,2353
3,1624181089.961854219,1624181090.061850786,8,7,0,1,0,0,0,-0.006363196,-0.012748013,-0.004660899,0.000000318,-0.000035866,0.000126952,0.999999991,2369,1712,0.722667792,0.015788217,0.004079807,0.003263788,0.162350911,85.974380076,1432,0.962463414,179.377225076,328.652308698,870.218075470,0.130148766,0.125263425,0.000000828,0.000002275,0.000005202,0.144651492,0.989481686,-0.001392706,0.000000001,0.000000003,0.000000009,-0.000918794,0.008047651,-0.999967195,0.000000000,0.174082377,0.020073649,0.010284221,0.000286283,75.424149160,0,724,705,19,0.305614183,114,0,0,0,0,0,1531,114,3227,2833,344,0,0,3884
4,1624181090.061851978,1624181090.161860704,9,8,0,1,0,0,0,-0.001222734,-0.009885728,-0.005065810,-0.000030529,-0.000086332,0.000076259,0.999999993,2364,1775,0.750846024,0.016343085,0.004456844,0.003490068,0.172966302,87.997745890,1463,0.962930713,178.416086195,329.439773478,900.911773765,0.126646923,0.121952212,0.000000733,0.000001944,0.000004276,0.153235946,0.988189218,0.000902071,0.000000001,0.000000003,0.000000009,-0.007501088,0.015281928,-0.999855088,0.000000000,0.173803358,0.022202003,0.016181761,0.000387664,78.567548343,0,690,680,10,0.291878173,105,0,0,0,0,0,1569,105,3395,3523,449,0,0,5453
5,1624181090.161849499,1624181090.261902571,10,9,0,1,0,0,0,-0.002803684,-0.008798133,-0.004581180,-0.000020664,-0.000075160,0.000262299,0.999999963,2353,1798,0.764130897,0.016524450,0.004024530,0.003497536,0.164304324,88.891558011,1490,0.966014660,181.780107345,324.247986641,933.333750113,0.126292154,0.122000072,0.000000695,0.000001851,0.000003751,-0.122384850,-0.992481907,0.001269976,0.000000001,0.000000003,0.000000008,-0.004896000,0.000814309,0.999987683,0.000000000,0.171903551,0.024260724,0.018160935,0.000759741,80.632350276,0,546,534,12,0.232044199,110,0,0,0,0,0,1697,110,3534,4069,559,0,0,7150
6,1624181090.261847019,1624181090.361894131,11,10,0,1,0,0,0,-0.004264910,-0.008694799,-0.004078584,-0.000026113,-0.000052308,0.000163138,0.999999985,2337,1828,0.782199401,0.016159103,0.003356472,0.002888259,0.156233587,92.494402191,1508,0.968268920,174.267368361,331.872556071,954.009606313,0.119348988,0.115561915,0.000000670,0.000001850,0.000003628,-0.119216492,-0.992835067,0.008121438,0.000000001,0.000000002,0.000000008,-0.004206948,0.001457556,-0.999990089,0.000000000,0.169291890,0.022222273,0.019709633,0.000958063,82.609358929,0,438,421,17,0.187419769,98,0,0,0,0,0,1800,99,3645,4507,657,0,0,8950
7,1624181090.361844540,1624181090.461852789,12,11,0,1,0,0,0,-0.005144956,-0.009895296,-0.004407776,-0.000004143,-0.000016859,0.000254600,0.999999967,2363,1866,0.789674143,0.015681445,0.003455025,0.002895087,0.151442170,96.021060104,1529,0.969307729,174.414088872,328.437318387,979.220110885,0.117682640,0.114070693,0.000000661,0.000001811,0.000003591,-0.101324198,-0.994820175,0.008137914,0.000000001,0.000000002,0.000000008,-0.004705993,-0.001518813,-0.999987773,0.000000000,0.166741930,0.022448955,0.021234113,0.001140985,84.525316240,0,475,467,8,0.201015658,97,0,0,0,0,0,1790,98,3749,4982,754,0,0,10740
8,1624181090.461842060,1624181090.561805964,13,12,0,1,0,0,0,-0.006783974,-0.011467609,-0.003705501,-0.000009802,-0.000052678,0.000128107,0.999999990,2358,1880,0.797285835,0.015225770,0.003195171,0.002779194,0.143994370,101.357718269,1555,0.969469406,166.415810043,336.562017988,1004.547097655,0.110390089,0.107019814,0.000000643,0.000001809,0.000003704,-0.094569206,-0.995499683,0.006086558,0.000000001,0.000000002,0.000000009,-0.002614464,0.008991469,-0.999956158,0.000000000,0.163898485,0.026898853,0.023611452,0.001393971,86.629366493,0,389,378,11,0.164970314,97,0,0,0,0,0,1871,98,3856,5371,851,0,0,12611
9,1624181090.561839819,1624181090.661713123,14,13,0,1,0,0,0,-0.005853144,-0.015012430,-0.003822235,-0.000014274,-0.000043386,0.000196466,0.999999980,2380,1910,0.802521008,0.014172073,0.003093449,0.002641931,0.140615698,105.456368075,1576,0.970688319,167.642681708,329.617163091,1032.544945174,0.109584362,0.106372260,0.000000627,0.000001806,0.000003797,-0.111068311,-0.993781002,0.007946700,0.000000001,0.000000002,0.000000009,-0.005270672,0.015453143,-0.999866701,0.000000000,0.161311509,0.043455445,0.027278307,0.001530689,88.721255558,0,357,348,9,0.150000000,78,0,0,0,0,0,1944,79,3949,5728,929,0,0,14555
10,1624181090.661837339,1624181090.761733294,15,14,0,1,0,0,0,-0.007165827,-0.019616513,-0.003456181,0.000008196,-0.000050519,0.000269357,0.999999962,2377,1915,0.805637358,0.014972245,0.003033623,0.002687516,0.139334234,102.253991874,1573,0.970575943,166.122778051,321.275516877,1039.317663658,0.108810534,0.105608886,0.000000621,0.000001744,0.000003712,-0.097915641,-0.995171343,0.006820924,0.000000001,0.000000002,0.000000008,-0.001068418,0.004665860,-0.999988544,0.000000000,0.159113781,0.043910027,0.032079839,0.001676469,90.074529189,0,391,385,6,0.164493058,85,0,0,0,0,0,1899,87,4028,6119,1014,0,0,16454
