time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-2.818677971049240671e+00,-2.742582904400802768e+00,5.865591619777474897e-01,2.818688281998124712e+00,2.742764319403711681e+00,-5.854437400343799336e-01,3.976242461874412548e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-2.818081321778734605e+00,-2.749909133737977296e+00,5.880498005384418025e-01,2.818149823170055246e+00,2.750219604034731979e+00,-5.864518744599492850e-01,3.981155874530405647e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-2.819699567788207961e+00,-2.751970062525844973e+00,5.887027603647789764e-01,2.819800226032088020e+00,2.752342603038592461e+00,-5.871161089092148400e-01,3.983888608454378755e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-2.822686813271069184e+00,-2.746848855005561418e+00,5.887168571395704486e-01,2.822686501711083817e+00,2.747008067614986171e+00,-5.874760844438482454e-01,3.982303423934099751e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-2.820802417588131661e+00,-2.746834375916910709e+00,5.883147112508114729e-01,2.820900192437854503e+00,2.747072703475281763e+00,-5.869165970827582290e-01,3.980999551093433730e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-2.819429493990571078e+00,-2.747476381053920669e+00,5.878981143665562570e-01,2.819884212017141678e+00,2.747710775680055395e+00,-5.862603761222702214e-01,3.980623406526024866e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-2.819308776754363866e+00,-2.748983434815666094e+00,5.882951082126456344e-01,2.819358450012186879e+00,2.749277236770213406e+00,-5.867166536425327816e-01,3.981399731996207336e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-2.818649969190370363e+00,-2.751135190069905700e+00,5.877600040002897153e-01,2.818896590079088327e+00,2.751012552275983403e+00,-5.876524900689166220e-01,3.982409257902021604e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-2.821283783234876275e+00,-2.753740830518476290e+00,5.878852681673629732e-01,2.821508007384427863e+00,2.753734974432433535e+00,-5.876706472547370552e-01,3.986141058065010512e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-2.822511811387434122e+00,-2.758407917447530444e+00,5.877160193551362877e-01,2.822451760301715851e+00,2.758292445937553516e+00,-5.882057213545184293e-01,3.990037233808804373e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-2.822013879903795264e+00,-2.761224845306129438e+00,5.879517300370116217e-01,2.821804638623975681e+00,2.760962998804857627e+00,-5.887083410805206141e-01,3.991500420917812875e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-2.820256681974782964e+00,-2.760603687117917815e+00,5.884990952369033579e-01,2.820210140792837716e+00,2.760543911899814074e+00,-5.889917115196144914e-01,3.990125206556392357e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-2.820839594302590125e+00,-2.761524938421574316e+00,5.894633499506740648e-01,2.820775654551761047e+00,2.761277958764056351e+00,-5.900587058564301657e-01,3.991190365696063225e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-2.820787116754325474e+00,-2.760451371274243115e+00,5.896779068891628839e-01,2.820749245698717100e+00,2.760347794230004759e+00,-5.901057488020844399e-01,3.990535183028662836e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-2.820423060506565438e+00,-2.757656663887953385e+00,5.896676560411431289e-01,2.820387160367051393e+00,2.757353025202423424e+00,-5.904622398586008014e-01,3.988260911306469758e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-2.822915062377285622e+00,-2.754129694008568663e+00,5.892898909134141050e-01,2.822858120548263017e+00,2.753925378420071013e+00,-5.901211611399617141e-01,3.987590242674964092e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-2.822433125099042872e+00,-2.751791593902079391e+00,5.887168825852759912e-01,2.822222781124661850e+00,2.751884036039104586e+00,-5.881032985464382801e-01,3.985432556682786842e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-2.821933794663143313e+00,-2.754611156493576463e+00,5.886651957317838857e-01,2.822297676491905882e+00,2.754938839203498802e+00,-5.866572909284891724e-01,3.987382469676452601e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-2.822136521422955457e+00,-2.757232847100663076e+00,5.891099933105097275e-01,2.822692583001431554e+00,2.757505413079588408e+00,-5.868461221044026788e-01,3.989463358939833615e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-2.823055713581205328e+00,-2.757568267574567411e+00,5.894915981722845810e-01,2.823469511658522890e+00,2.757922960398599965e+00,-5.870636854557093054e-01,3.990333683984315094e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-2.827213737832764195e+00,-2.761778760851344661e+00,5.891930274382481958e-01,2.827448528362487057e+00,2.762076747013485711e+00,-5.871800699120881539e-01,3.996037233489417861e+00
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,-2.826650258270253957e+00,-2.763733243309627774e+00,5.890495784016767100e-01,2.826710437287674793e+00,2.764120828892844717e+00,-5.866946263711821929e-01,3.996857069949232510e+00
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,-2.825618982409732194e+00,-2.761385412233712255e+00,5.888841992769316969e-01,2.825677992773359737e+00,2.761727263378006558e+00,-5.871131282642270133e-01,3.994533191939862338e+00
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,-2.826270709587737073e+00,-2.764892820575493460e+00,5.888883618196191216e-01,2.826326983832358586e+00,2.765216726002053704e+00,-5.868583675164824598e-01,3.997367947140286315e+00
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,-2.823891831098888971e+00,-2.760726316042439343e+00,5.888153725112920123e-01,2.823986033134407769e+00,2.761129933230884959e+00,-5.867801392769640412e-01,3.992874472779190054e+00
3.606352353096008301e+01,3.168829948762767312e-04,4.186553250328346135e-04,2.194012331313702126e-03,-2.821572271667901255e+00,-2.759298842834236876e+00,5.887641870245883258e-01,2.821889154662777344e+00,2.759717498159269589e+00,-5.865701746932746596e-01,3.990383896405151898e+00
3.616348481178283691e+01,5.676536900522967513e-05,4.141398744468301044e-04,2.049227757813147557e-03,-2.821907878137250414e+00,-2.759082695179787770e+00,5.890815700456759618e-01,2.821964643506255754e+00,2.759496835054234598e+00,-5.870323422878628294e-01,3.990352641404729450e+00
3.626339721679687500e+01,9.071020425686178099e-05,4.910826451042061636e-04,2.461433013595636186e-03,-2.820925592836944773e+00,-2.759343748854889089e+00,5.894226616360627169e-01,2.821016303041201656e+00,2.759834831499993424e+00,-5.869612286224671349e-01,3.989905357660860741e+00
3.636338472366333008e+01,9.064378529065966761e-05,4.703442095526206256e-04,2.368703961074123277e-03,-2.820131165225648218e+00,-2.762587734643671133e+00,5.890202408564206848e-01,2.820221809010938774e+00,2.763058078853223964e+00,-5.866515368953465481e-01,3.991528657654692669e+00
3.646338796615600586e+01,8.584092603931698360e-05,3.693640325942198132e-04,2.212107746353835554e-03,-2.820957003156261855e+00,-2.762185391751523778e+00,5.889288366433605981e-01,2.821042844082301215e+00,2.762554755784118132e+00,-5.867167288970067673e-01,3.991770036815874612e+00
3.656337809562683105e+01,3.729198636524754212e-04,2.524807016792597484e-04,2.055377027120571139e-03,-2.819207216385826165e+00,-2.762263262525636698e+00,5.889354644397368777e-01,2.819580136249478564e+00,2.762515743227315745e+00,-5.868800874126163247e-01,3.990733468087393820e+00
3.666335105895996094e+01,1.179707436754099737e-04,2.198384687939448033e-04,1.747023136353074340e-03,-2.823464547774472422e+00,-2.761120035302507159e+00,5.890757460139695034e-01,2.823582518518148010e+00,2.761339873771301079e+00,-5.873287228776163937e-01,3.992814942628526875e+00
3.676334166526794434e+01,1.764654624915270621e-04,3.732886982571045832e-04,2.037435092953374799e-03,-2.823009247993708115e+00,-2.762056770732765898e+00,5.890152863364237490e-01,2.823185713456199508e+00,2.762430059431022933e+00,-5.869778512434703499e-01,3.993236832916584600e+00
3.686332821846008301e+01,5.052074715645646624e-04,3.947582500754227624e-04,2.032552792677267545e-03,-2.824298599152696099e+00,-2.764433044552297325e+00,5.889703515998893080e-01,2.824803806624260449e+00,2.764827802802372947e+00,-5.869377988072120855e-01,3.996033696646784428e+00
3.696334290504455566e+01,4.678531012717780809e-04,2.980336725815827242e-04,2.040453116256809533e-03,-2.823327202391875623e+00,-2.766430074344750523e+00,5.891412749694741047e-01,2.823795055493147466e+00,2.766728108017332044e+00,-5.871008218532173251e-01,3.996659894729777562e+00
3.706330966949462891e+01,4.582532795689185710e-04,3.363118457426223103e-04,2.034684015887231346e-03,-2.824543210320022979e+00,-2.764261334471049381e+00,5.885508883546419767e-01,2.825001463599591922e+00,2.764597646316791835e+00,-5.865162043387547319e-01,3.995952286165604495e+00
3.716331148147583008e+01,4.594322333183638307e-04,3.383150970630317139e-04,2.043278443803823487e-03,-2.825361912068724557e+00,-2.768143739737918274e+00,5.887958072749295280e-01,2.825821344302042792e+00,2.768482054834981110e+00,-5.867525288311257192e-01,3.999254641548352751e+00
3.726326751708984375e+01,8.795311659357460117e-05,3.105155614480608174e-04,2.047059011742642827e-03,-2.824110371106194339e+00,-2.765561923922605025e+00,5.887032811789245645e-01,2.824198324222787715e+00,2.765872439484053036e+00,-5.866562221671819399e-01,3.996287283097617937e+00
3.736322855949401855e+01,4.507787220785817550e-04,2.333832973933462618e-04,1.980862887625161207e-03,-2.824365331210126673e+00,-2.762094860587159584e+00,5.887679938341278119e-01,2.824816109932205332e+00,2.762328243884553114e+00,-5.867871309465026997e-01,3.994291241126423309e+00
3.746329092979431152e+01,8.879506935077947916e-06,5.049966651773073607e-05,9.073546440069284874e-04,-2.823645950978055819e+00,-2.758038037382813723e+00,5.889940968070581651e-01,2.823654830484990885e+00,2.758088537049331546e+00,-5.880867421630512348e-01,3.990729882644539206e+00
3.756334042549133301e+01,-7.707707163496189950e-05,7.740352850971182882e-05,2.445033899333624275e-04,-2.821989163026022318e+00,-2.761384747545427398e+00,5.897883670941895806e-01,2.821912085954387361e+00,2.761462151073937221e+00,-5.895438637042562657e-01,3.992044964664185791e+00
3.766336274147033691e+01,-1.019927715334615172e-04,-1.275044663023727905e-04,1.891158653000544901e-04,-2.821923644622526428e+00,-2.760934899144423582e+00,5.895833780804087265e-01,2.821821651850993096e+00,2.760807394678121085e+00,-5.893942622151087107e-01,3.991506044301643463e+00
3.776336812973022461e+01,-1.974503847691940471e-04,-6.955244584010150536e-05,6.427786147507132536e-06,-2.821639485335585729e+00,-2.757547015688000869e+00,5.893557891765852652e-01,2.821442034950816691e+00,2.757477463242160809e+00,-5.893493613904378092e-01,3.988928400792266071e+00
