time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-3.152720594047671909e+00,-3.022947649397940140e+00,9.817534052414964574e-01,3.152730904996555950e+00,3.023129064400849053e+00,-9.806379832981289013e-01,4.476680952852523987e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-3.152129063031444467e+00,-3.030266720862322849e+00,9.832807931842257876e-01,3.152197564422765108e+00,3.030577191159077532e+00,-9.816828671057332700e-01,4.481567677531534066e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-3.153748352044889458e+00,-3.032322557174389477e+00,9.839470846366511481e-01,3.153849010288769517e+00,3.032695097687136965e+00,-9.823604331810870116e-01,4.484309886249475241e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-3.156730236846613025e+00,-3.027198212281755563e+00,9.839397900952544518e-01,3.156729925286627658e+00,3.027357424891180315e+00,-9.826990173995322486e-01,4.482804273893951752e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-3.154846506772533754e+00,-3.027187784020590300e+00,9.835344133456647153e-01,3.154944281622256597e+00,3.027426111578961354e+00,-9.821362991776114715e-01,4.481470070342250978e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-3.153474955499412591e+00,-3.027833368518760615e+00,9.831188287867862474e-01,3.153929673525983191e+00,3.028067763144895341e+00,-9.814810905425002119e-01,4.481045848330224679e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-3.153355139002532503e+00,-3.029338482024506618e+00,9.835233842806772042e-01,3.153404812260355516e+00,3.029632283979053931e+00,-9.819449297105643515e-01,4.481835509152382713e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-3.152699473491363591e+00,-3.031493656975193574e+00,9.829982764174729493e-01,3.152946094380081554e+00,3.031371019181271276e+00,-9.828907624860998560e-01,4.482895669205253064e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-3.153446014867383074e+00,-3.037747727027918732e+00,9.829420357473239722e-01,3.153236773587563491e+00,3.037485880526646920e+00,-9.836986467908329645e-01,4.487414138721961265e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-3.152263230246354908e+00,-3.038216289721112684e+00,9.835563905468052148e-01,3.152216689064409660e+00,3.038156514503008943e+00,-9.840490068295163484e-01,4.487228265786733949e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-3.153757491745841079e+00,-3.039575879456760887e+00,9.846284006294355740e-01,3.153693551995012001e+00,3.039328899799242922e+00,-9.852237565351916748e-01,4.489317212170588434e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-3.154421939011289311e+00,-3.037840503730486752e+00,9.850605688802624993e-01,3.154384067955680937e+00,3.037736926686248395e+00,-9.854884107931840553e-01,4.488782896480238094e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-3.155128732523809987e+00,-3.036546931161295593e+00,9.850101343908349572e-01,3.155092832384295942e+00,3.036243292475765632e+00,-9.858047182082926296e-01,4.488339899618629225e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-3.158852140405272291e+00,-3.035881809962945432e+00,9.846787880319668451e-01,3.158795198576249685e+00,3.035677494374447782e+00,-9.855100582585144542e-01,4.490496078533928959e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-3.159426749412319158e+00,-3.033944053538753849e+00,9.838750343747886262e-01,3.159368762741459946e+00,3.033635318369259704e+00,-9.847051051149744438e-01,4.489342754555877946e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-3.159042976412187009e+00,-3.033705645735809586e+00,9.833202348152496608e-01,3.158832632437805987e+00,3.033798087872834781e+00,-9.827066507764119496e-01,4.488637521477427228e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-3.157744219880045833e+00,-3.036199300646773569e+00,9.837296966096003015e-01,3.158108101708808402e+00,3.036526983356695908e+00,-9.817217918063055881e-01,4.489757296251046803e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-3.157481339660525244e+00,-3.040594958569421191e+00,9.844881355779322440e-01,3.158037401239001341e+00,3.040867524548346523e+00,-9.822242643718251953e-01,4.492754170327811991e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-3.158411481030364509e+00,-3.041569767826335813e+00,9.846749080853705038e-01,3.158825279107682071e+00,3.041924460650368367e+00,-9.822469953687952282e-01,4.494028340825610535e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-3.162306870566763628e+00,-3.045059561394757086e+00,9.844805707070451994e-01,3.162541661096486489e+00,3.045357547556898137e+00,-9.824676131808851576e-01,4.499012665194668692e+00
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,-3.160834224679708537e+00,-3.045782932076175786e+00,9.842856891672115971e-01,3.160894403697129373e+00,3.046170517659392729e+00,-9.819307371367170800e-01,4.498288144007115186e+00
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,-3.161355737562597579e+00,-3.043378533260904462e+00,9.842623394202156817e-01,3.161414747926225122e+00,3.043720384405198764e+00,-9.824912684075109981e-01,4.497117530079258074e+00
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,-3.162833076546284428e+00,-3.046771726103977507e+00,9.841588942427945685e-01,3.162889350790905940e+00,3.047095631530537752e+00,-9.821288999396579067e-01,4.500359764411695274e+00
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,-3.162088668449503093e+00,-3.044466279851831381e+00,9.839117440279968596e-01,3.162182870485021891e+00,3.044869897040276996e+00,-9.818765107936688885e-01,4.498301310354754889e+00
