time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,8.001218699696388548e-02,-4.231224564929553233e-03,1.690825311296939581e-03,-7.994368560564331372e-02,4.541694861684398080e-03,-9.289923280441465467e-05,8.007264508368665268e-02
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,7.668984507054238398e-02,-4.149483626404937286e-03,1.207357538757669602e-03,-7.658918682666217281e-02,4.522024139152405232e-03,3.792939168064935179e-04,7.672350425364946047e-02
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,7.422417263308603297e-02,-1.540607006618704977e-03,1.014040713059827237e-03,-7.422448419307120515e-02,1.699819616043634057e-03,2.267319826624255869e-04,7.424429168526376632e-02
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,8.061679605193639020e-02,-3.937013377391662683e-04,1.719234837620153833e-03,-8.051902120221339498e-02,6.320288961102729815e-04,-3.211206695669117234e-04,8.052214201306640007e-02
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,8.208619892383228756e-02,-4.422236155822961701e-03,2.220640384351768581e-03,-8.163148089726186829e-02,4.656630781957683644e-03,-5.829021400657521251e-04,8.176626846459607301e-02
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,8.308778586003889854e-02,-7.099157818137608045e-03,2.501098928256617615e-03,-8.303811260221578838e-02,7.392959772684911876e-03,-9.226443581437098092e-04,8.337166947680980933e-02
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,8.375682406898490862e-02,-9.580674642090836191e-03,1.889957541330200552e-03,-8.351020318026715350e-02,9.458036848168340643e-03,-1.782443609957055442e-03,8.406298591802154052e-02
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,8.042952876182868360e-02,-1.011601692808025699e-02,2.119418858575305986e-03,-8.020530461227692864e-02,1.011016084203730271e-02,-1.904797945949372176e-03,8.086244180962437467e-02
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,7.635097266958429385e-02,-1.118685078744718897e-02,1.991140773312694012e-03,-7.641102375530266222e-02,1.107137927747012945e-02,-2.480842772694852143e-03,7.724878362344519966e-02
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,7.594908903441041637e-02,-1.539225461781398852e-02,2.339915660817093457e-03,-7.615833031422977739e-02,1.513040811654209686e-02,-3.096526704326075380e-03,7.770848733346351345e-02
