time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-3.740610632358028820e+00,-3.714431270562071674e+00,1.212313011261785256e+00,3.740620943306912860e+00,3.714612685564980588e+00,-1.211197589318417700e+00,5.409028752524553063e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-3.740026628691533794e+00,-3.721748327826386760e+00,1.213852895244348806e+00,3.740095130082854435e+00,3.722058798123141443e+00,-1.212254969165856178e+00,5.414018414174694982e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-3.741646284423349123e+00,-3.723798534106324887e+00,1.214535444635052031e+00,3.741746942667229181e+00,3.724171074619072375e+00,-1.212948793179487783e+00,5.416767038637023468e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-3.744615231975819025e+00,-3.718666678103000223e+00,1.214537714342322827e+00,3.744614920415833659e+00,3.718825890712424975e+00,-1.213296941646600624e+00,5.415154326170486421e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-3.742734427976715406e+00,-3.718661945301948268e+00,1.214118868347619840e+00,3.742832202826438248e+00,3.718900272860319323e+00,-1.212720754179566596e+00,5.413843714553738806e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-3.741367512966408793e+00,-3.719311946575562189e+00,1.213694976305284001e+00,3.741822230992979392e+00,3.719546341201696915e+00,-1.212057238060997966e+00,5.413440804242368287e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-3.741248597627438777e+00,-3.720816435675249334e+00,1.214102112028133673e+00,3.741298270885261790e+00,3.721110237629796647e+00,-1.212523657458020709e+00,5.414257822843100421e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-3.740602132180085526e+00,-3.722974453184717980e+00,1.213577271621142373e+00,3.740848753068803489e+00,3.722851815390795682e+00,-1.213469757689769279e+00,5.415356302730470084e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-3.743243896332965281e+00,-3.725569625542668906e+00,1.213745177168693345e+00,3.743468120482516870e+00,3.725563769456626151e+00,-1.213530556256067428e+00,5.419043769921399800e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-3.744489804283806400e+00,-3.730233404057285096e+00,1.213621556572116456e+00,3.744429753198088129e+00,3.730117932547308168e+00,-1.214111258571498597e+00,5.422969676804044958e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-3.743999732076629172e+00,-3.733050273218425641e+00,1.213873856412124086e+00,3.743790490796809589e+00,3.732788426717153829e+00,-1.214630467455632967e+00,5.424481896926712565e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-3.742235584127826087e+00,-3.732431378098975294e+00,1.214401058047567705e+00,3.742189042945880839e+00,3.732371602880871553e+00,-1.214893674330278728e+00,5.423148832095931127e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-3.742813185328538683e+00,-3.733343349782580756e+00,1.215377255978658200e+00,3.742749245577709605e+00,3.733096370125062791e+00,-1.215972611884414301e+00,5.424275971663539586e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-3.742755030949592054e+00,-3.732268414914710064e+00,1.215583333854229009e+00,3.742717159893983681e+00,3.732164837870471708e+00,-1.216011175767150565e+00,5.423621418903813662e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-3.742381238408335697e+00,-3.729475184771258611e+00,1.215549042336102836e+00,3.742345338268821653e+00,3.729171546085728650e+00,-1.216343626153560509e+00,5.421379978186568138e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-3.744864046291808357e+00,-3.725942197587880145e+00,1.215166991395341345e+00,3.744807104462785752e+00,3.725737881999382495e+00,-1.215998261621888954e+00,5.420641547572358832e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-3.744715811281907669e+00,-3.724726081923202425e+00,1.214052321995726880e+00,3.744657824611048458e+00,3.724417346753708280e+00,-1.214882392735912697e+00,5.419380594163913933e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-3.744986139664857827e+00,-3.724412303726964968e+00,1.213791598024539065e+00,3.744775795690476805e+00,3.724504745863990163e+00,-1.213178013985701353e+00,5.419140361309247034e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-3.744220046671318691e+00,-3.726710136009539820e+00,1.214142155344875240e+00,3.744583928500081260e+00,3.727037818719462159e+00,-1.212134250541580416e+00,5.420515578898581488e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-3.744523150684140766e+00,-3.728414535758724835e+00,1.214846480123200623e+00,3.745079212262616863e+00,3.728687101737650167e+00,-1.212582608917093685e+00,5.422092067849317409e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-3.745612947170684937e+00,-3.729869255363366776e+00,1.215536981335656241e+00,3.746026745248002499e+00,3.730223948187399330e+00,-1.213109068619081077e+00,5.423921154673064571e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-3.749080751827713165e+00,-3.732795641088741956e+00,1.215280530721577712e+00,3.749315542357436026e+00,3.733093627250883006e+00,-1.213267573195417670e+00,5.428201660785244798e+00
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,-3.748274414286269618e+00,-3.734718555789189320e+00,1.215164231704291886e+00,3.748334593303690454e+00,3.735106141372406263e+00,-1.212809279673797258e+00,5.428806172588766188e+00
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,-3.747198239201992465e+00,-3.732418777703478519e+00,1.214852989056381727e+00,3.747257249565620008e+00,3.732760628847772821e+00,-1.213081918043677154e+00,5.426509609922629096e+00
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,-3.747620794856557858e+00,-3.735327154427819263e+00,1.214766282717549384e+00,3.747677069101179370e+00,3.735651059854379508e+00,-1.212736288414412611e+00,5.428710856224994608e+00
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,-3.746392093264486522e+00,-3.732806469427027540e+00,1.214528727383469064e+00,3.746486295300005320e+00,3.733210086615473156e+00,-1.212493494149141204e+00,5.426154954019675181e+00
3.606352353096008301e+01,3.168829948762767312e-04,4.186553250328346135e-04,2.194012331313702126e-03,-3.745015927251873933e+00,-3.732178405316628922e+00,1.214406358328053326e+00,3.745332810246750022e+00,3.732597060641661635e+00,-1.212212345996739549e+00,5.424873956914437301e+00
3.616348481178283691e+01,5.676536900522967513e-05,4.141398744468301044e-04,2.049227757813147557e-03,-3.745946529611646092e+00,-3.732169024829820714e+00,1.214693843566126086e+00,3.746003294980651432e+00,3.732583164704267542e+00,-1.212644615808312842e+00,5.425423921841362684e+00
3.626339721679687500e+01,9.071020425686178099e-05,4.910826451042061636e-04,2.461433013595636186e-03,-3.743858643298032529e+00,-3.732250896202920387e+00,1.215206011689014209e+00,3.743949353502289412e+00,3.732741978848024722e+00,-1.212744578675418516e+00,5.424137613976169447e+00
3.636338472366333008e+01,9.064378529065966761e-05,4.703442095526206256e-04,2.368703961074123277e-03,-3.743663317531076729e+00,-3.736801672352272785e+00,1.214793036472296084e+00,3.743753961316367285e+00,3.737272016561825616e+00,-1.212424332511222058e+00,5.427049715150338294e+00
3.646338796615600586e+01,8.584092603931698360e-05,3.693640325942198132e-04,2.212107746353835554e-03,-3.744594322163074196e+00,-3.736451649720340829e+00,1.214815769279551150e+00,3.744680163089113556e+00,3.736821013752935183e+00,-1.212603661533197208e+00,5.427418212430505484e+00
3.656337809562683105e+01,3.729198636524754212e-04,2.524807016792597484e-04,2.055377027120571139e-03,-3.742559523167613644e+00,-3.736301441805510493e+00,1.214846197971899633e+00,3.742932443031266043e+00,3.736553922507189540e+00,-1.212790820944779080e+00,5.426070407234666604e+00
3.666335105895996094e+01,1.179707436754099737e-04,2.198384687939448033e-04,1.747023136353074340e-03,-3.746200165604317789e+00,-3.734211697242637573e+00,1.215057686014683780e+00,3.746318136347993377e+00,3.734431535711431493e+00,-1.213310662878330781e+00,5.427061934260581033e+00
3.676334166526794434e+01,1.764654624915270621e-04,3.732886982571045832e-04,2.037435092953374799e-03,-3.746060172841117364e+00,-3.735223083818978385e+00,1.215072938221034349e+00,3.746236638303608757e+00,3.735596372517235420e+00,-1.213035503128081061e+00,5.427745788113279346e+00
3.686332821846008301e+01,5.052074715645646624e-04,3.947582500754227624e-04,2.032552792677267545e-03,-3.746987404817826661e+00,-3.736989928130943550e+00,1.215125856456631848e+00,3.747492612289391012e+00,3.737384686381019172e+00,-1.213093303663954625e+00,5.429856401098765772e+00
3.696334290504455566e+01,4.678531012717780809e-04,2.980336725815827242e-04,2.040453116256809533e-03,-3.745335897914683354e+00,-3.738218568501354255e+00,1.215232288860234267e+00,3.745803751015955196e+00,3.738516602173935777e+00,-1.213191835743977487e+00,5.429492292670760278e+00
3.706330966949462891e+01,4.582532795689185710e-04,3.363118457426223103e-04,2.034684015887231346e-03,-3.746496700779577971e+00,-3.736597468693779067e+00,1.214963027420427277e+00,3.746954954059146914e+00,3.736933780539521521e+00,-1.212928343404540144e+00,5.429138115218646199e+00
3.716331148147583008e+01,4.594322333183638307e-04,3.383150970630317139e-04,2.043278443803823487e-03,-3.747337294545444841e+00,-3.739735865335395371e+00,1.214942280679385256e+00,3.747796726778763077e+00,3.740074180432458206e+00,-1.212899002235581447e+00,5.431874369866740437e+00
3.726326751708984375e+01,8.795311659357460117e-05,3.105155614480608174e-04,2.047059011742642827e-03,-3.746562505739782445e+00,-3.737891875393323460e+00,1.214461721905857550e+00,3.746650458856375820e+00,3.738202390954771470e+00,-1.212414662894114814e+00,5.429686555537927006e+00
3.736322855949401855e+01,4.507787220785817550e-04,2.333832973933462618e-04,1.980862887625161207e-03,-3.747223627121484490e+00,-3.735782335427307643e+00,1.214785801920163832e+00,3.747674405843563150e+00,3.736015718724701173e+00,-1.212804939032538609e+00,5.428975292162847133e+00
3.746329092979431152e+01,8.879506935077947916e-06,5.049966651773073607e-05,9.073546440069284874e-04,-3.746090435436053134e+00,-3.732655679623870792e+00,1.214784886219623994e+00,3.746099314942988201e+00,3.732706179290388615e+00,-1.213877531575617175e+00,5.425850547148630021e+00
3.756334042549133301e+01,-7.707707163496189950e-05,7.740352850971182882e-05,2.445033899333624275e-04,-3.743760602571510887e+00,-3.735989729758898203e+00,1.215633299794018463e+00,3.743683525499875930e+00,3.736067133287408026e+00,-1.215388796404085037e+00,5.426834610521509283e+00
3.766336274147033691e+01,-1.019927715334615172e-04,-1.275044663023727905e-04,1.891158653000544901e-04,-3.744138524258001866e+00,-3.735084197749566570e+00,1.215529998601238670e+00,3.744036531486468533e+00,3.734956693283264073e+00,-1.215340882735938655e+00,5.426303024256574403e+00
3.776336812973022461e+01,-1.974503847691940471e-04,-6.955244584010150536e-05,6.427786147507132536e-06,-3.743887505897204537e+00,-3.733351577637134877e+00,1.215652546142588220e+00,3.743690055512435499e+00,3.733282025191294817e+00,-1.215646118356440653e+00,5.424979760002261564e+00
3.786339282989501953e+01,-4.854206575503209258e-05,-1.592126632543174275e-04,3.398759226824616384e-05,-3.744352471107997626e+00,-3.737308394547479207e+00,1.215834929736296477e+00,3.744303929042242629e+00,3.737149181884225069e+00,-1.215800942144028340e+00,5.428099838029640800e+00
3.796340203285217285e+01,-6.859955583413221859e-05,-1.448592571467424337e-04,-6.095212927552731697e-04,-3.745729420315257130e+00,-3.738877514867928298e+00,1.215548242064522944e+00,3.745660820759423082e+00,3.738732655610781386e+00,-1.216157763357278210e+00,5.430205940816312804e+00
3.806345462799072266e+01,1.633922208624817834e-04,-3.383659556617276808e-04,-7.866895670966409437e-04,-3.746796736099951897e+00,-3.737213399887183041e+00,1.215164502021715442e+00,3.746960128320814487e+00,3.736875033931521095e+00,-1.215951191588812152e+00,5.429777391640738138e+00
