time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-2.767848045524238465e+00,-4.282640073892633126e+00,-9.788584916878046993e-01,2.767858356473122505e+00,4.282821488895542039e+00,9.799739136311722554e-01,5.192682221996751224e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-2.767343027135948930e+00,-4.289997606784108797e+00,-9.774934656258391641e-01,2.767411528527269571e+00,4.290308077080863924e+00,9.790913917043316816e-01,5.198454570139135811e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-2.768992756188984661e+00,-4.292115571976290234e+00,-9.769230340933496848e-01,2.769093414432864719e+00,4.292488112489037277e+00,9.785096855489138212e-01,5.201039678605440919e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-2.766140142821039483e+00,-4.285416309151573344e+00,-9.771601068240175492e-01,2.766237917670762325e+00,4.285654636709944398e+00,9.785582209920707930e-01,5.193889108768503959e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-2.766312460266162176e+00,-4.286156974143565002e+00,-9.771795187324152643e-01,2.766767178292732776e+00,4.286391368769699284e+00,9.788172569767012998e-01,5.194827697594666560e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-2.768477667442579282e+00,-4.288417714118615720e+00,-9.771351610214960015e-01,2.768527340700402295e+00,4.288711516073163033e+00,9.787136155916088542e-01,5.197660093315896290e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-2.768590959785581784e+00,-4.294167126783251298e+00,-9.774249536298392771e-01,2.768837580674299748e+00,4.294044488989328556e+00,9.775324675612123704e-01,5.202004358582396293e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-2.770240357675433529e+00,-4.289967621903070238e+00,-9.775733202049612380e-01,2.770464581824985117e+00,4.289961765817027484e+00,9.777879411175871560e-01,5.199549519825117372e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-2.769634231492527743e+00,-4.295002150687451170e+00,-9.774397096999954959e-01,2.769424990212708160e+00,4.294740304186179358e+00,9.766830986564865036e-01,5.202731872008886427e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-2.766705962534272256e+00,-4.295549300082183386e+00,-9.768314355010321304e-01,2.766659421352327008e+00,4.295489524864080089e+00,9.763388192183209968e-01,5.201814308670317466e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-2.768289393788595731e+00,-4.297737098795026078e+00,-9.765328349734925251e-01,2.768225454037766653e+00,4.297490119137507669e+00,9.759374790677364242e-01,5.204224000897366587e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-2.768804283465543303e+00,-4.297186126087621183e+00,-9.761126587793796938e-01,2.768766412409934929e+00,4.297082549043382826e+00,9.756848168664581378e-01,5.204127856004913788e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-2.768763174711550867e+00,-4.297354689295643126e+00,-9.757608230966255958e-01,2.768727274572036823e+00,4.297051050610113165e+00,9.749662392791679233e-01,5.203946350630714868e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-2.772721762755392394e+00,-4.297109957387934109e+00,-9.761070947806954612e-01,2.772664820926369789e+00,4.296905641799436459e+00,9.752758245541478521e-01,5.205980333970755325e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-2.774668468166394675e+00,-4.296864447710627921e+00,-9.766928936138318251e-01,2.774610481495535463e+00,4.296555712541134220e+00,9.758628228736460075e-01,5.206838058175197403e+00
