frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,1,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,6,6,0,0.013567526,0.027398445,1,0,0,0,-0.006654494,-0.010062006,-0.004051645,-0.000023935,-0.000021998,0.000230330,0.999999973,2356,1607,0.682088285,0.016235121,0.004572640,0.003825212,0.187769889,73.269015240,1358,0.961012839,184.390294406,330.970593019,789.694547771,0.141289243,0.135780776,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000001043,0.000002848,0.000005828,0.141605976,0.989797308,-0.015780909,0.000000001,0.000000004,0.000000010,-0.005378099,0.024813570,-0.999677629,0.000000000,0.179948109,0.024459261,0.007514623,0.000079526,70.149033702,0,883,851,32,0.374787776,126,0,0,0,0,0,1346,127,3020,2109,230,0,0,2353
3,1624181090.061851978,1624181090.161860704,8,7,0,0.013245338,0.025739126,1,0,0,0,-0.001734508,-0.011813329,-0.005134384,-0.000022779,-0.000051844,0.000105609,0.999999993,2363,1706,0.721963606,0.015769282,0.004373188,0.003498389,0.178057233,82.630549704,1439,0.961893204,184.099474500,334.471961129,865.592885382,0.133004060,0.127935702,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000943,0.000002468,0.000005445,0.140498707,0.990079320,0.001747437,0.000000001,0.000000003,0.000000009,0.000476169,0.007509874,-0.999971687,0.000000000,0.179317817,0.020139126,0.012848076,0.000328968,74.309539036,0,796,782,14,0.336859924,104,0,0,0,0,0,1463,104,3231,2905,334,0,0,3816
4,1624181090.161849499,1624181090.261902571,8,8,0,0.013046644,0.025504992,1,0,0,0,-0.003519641,-0.012012418,-0.004238836,-0.000008673,-0.000066890,0.000275972,0.999999960,2354,1756,0.745964316,0.016437639,0.004049095,0.003421836,0.164946007,86.827526698,1466,0.966474370,179.358427284,327.400576026,910.092423092,0.126589439,0.122345448,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000717,0.000001922,0.000004017,0.135022774,0.990834545,0.003969146,0.000000001,0.000000003,0.000000008,0.000336317,-0.011491738,0.999933911,0.000000000,0.175724865,0.024027387,0.014855149,0.000669692,77.439035952,0,629,613,16,0.267204758,102,0,0,0,0,0,1623,102,3392,3534,436,0,0,5439
5,1624181090.361844540,1624181090.461852789,10,9,0,0.013227424,0.026399256,1,0,0,0,-0.004706863,-0.012643943,-0.003398577,0.000006518,-0.000011639,0.000322465,0.999999948,2361,1816,0.769165608,0.015323173,0.003565080,0.003093674,0.162398496,92.694244505,1496,0.968165788,174.086660025,332.724684381,941.564674160,0.120194382,0.116368088,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000841,0.000002274,0.000004620,-0.121944885,-0.992536873,0.000003133,0.000000001,0.000000003,0.000000008,-0.004991544,0.011053204,-0.999926453,0.000000000,0.173059591,0.027215050,0.016440821,0.000762677,80.490077662,0,579,567,12,0.245235070,96,0,0,0,0,0,1685,97,3530,4113,532,0,0,7124
6,1624181090.461842060,1624181090.561805964,11,10,0,0.012734671,0.025070167,1,0,0,0,-0.007146178,-0.012916111,-0.002588929,-0.000003876,-0.000029559,0.000167721,0.999999985,2358,1848,0.783715013,0.015628905,0.003279468,0.002866010,0.148371742,98.697489777,1543,0.967644680,173.200057093,340.428483604,979.447200595,0.116002191,0.112248903,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000670,0.000001880,0.000003960,-0.122978997,-0.992395576,0.005214111,0.000000001,0.000000002,0.000000009,-0.002471786,0.002883107,-0.999992789,0.000000000,0.168944950,0.025416275,0.019025364,0.001072163,83.524646348,0,471,459,12,0.199745547,97,0,0,0,0,0,1789,98,3653,4584,629,0,0,8913
7,1624181090.561839819,1624181090.661713123,12,11,0,0.013076821,0.026333323,1,0,0,0,-0.006299877,-0.013311993,-0.002734341,-0.000004026,-0.000059983,0.000198273,0.999999979,2381,1883,0.790844183,0.014106071,0.003081229,0.002685731,0.144710085,101.532732290,1552,0.966549206,163.317815361,332.365962756,1004.400589945,0.108872420,0.105230551,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000643,0.000001817,0.000003835,-0.123249450,-0.992360988,0.005407715,0.000000001,0.000000002,0.000000009,-0.004584386,0.007951298,-0.999957879,0.000000000,0.165482826,0.045130121,0.019970929,0.001133267,86.097230054,0,404,396,8,0.169676606,77,0,0,0,0,0,1899,78,3760,4988,706,0,0,10812
8,1624181090.661837339,1624181090.761733294,13,12,0,0.012989325,0.025725314,1,0,0,0,-0.007252357,-0.017311202,-0.002690809,0.000013990,-0.000040914,0.000390056,0.999999923,2380,1898,0.797478992,0.015398853,0.003303836,0.002891031,0.142200897,101.152435826,1556,0.969794119,163.777292381,328.904839034,1016.317517415,0.108533685,0.105255329,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000633,0.000001761,0.000003757,-0.107840831,-0.994138803,0.007641705,0.000000001,0.000000002,0.000000008,-0.003398807,0.008428096,-0.999958707,0.000000000,0.162572585,0.042420832,0.024082229,0.001516831,87.979130776,0,452,443,9,0.189915966,85,0,0,0,0,0,1841,87,3852,5440,791,0,0,12653
9,1624181090.761834860,1624181090.861717939,13,13,0,0.013352977,0.024980185,1,0,0,0,-0.008808470,-0.019011683,-0.002896641,0.000015562,-0.000023116,0.000191630,0.999999981,2364,1909,0.807529611,0.015032455,0.003372664,0.002988383,0.143010574,101.181004034,1580,0.970779080,165.536266447,338.655357201,1029.639322931,0.107923410,0.104769789,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000629,0.000001742,0.000003672,-0.096967861,-0.995231852,0.010525932,0.000000001,0.000000002,0.000000008,-0.006911373,0.001620522,-0.999974803,0.000000000,0.160399028,0.041466477,0.026396422,0.001913683,89.446005582,0,353,346,7,0.149323181,76,0,0,0,0,0,1934,77,3936,5793,867,0,0,14587
10,1624181090.961829901,1624181091.061767101,15,14,0,0.013120297,0.027166466,1,0,0,0,-0.008442128,-0.019624615,-0.003984874,-0.000018254,0.000002717,0.000284101,0.999999959,2348,1890,0.804940375,0.014742477,0.003580750,0.002978992,0.137813529,104.107119566,1576,0.972181692,161.024155597,334.273830275,1036.860360580,0.105096288,0.102172688,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000758,0.000002218,0.000004866,-0.112791274,-0.993581368,0.008613592,0.000000001,0.000000002,0.000000009,-0.011653465,0.006937667,-0.999908029,0.000000000,0.158140478,0.042107533,0.027698015,0.002098625,90.912116980,0,337,326,11,0.143526405,85,0,0,0,0,0,1925,86,4029,6130,952,0,0,16512
11,1624181091.061827421,1624181091.161813259,16,15,0,0.012797584,0.026389048,1,0,0,0,-0.009028994,-0.018330561,-0.004293876,-0.000018604,-0.000058054,0.000175783,0.999999983,2375,1936,0.815157895,0.014425375,0.003238447,0.002848586,0.137706278,102.833971847,1586,0.971795038,163.238005646,336.032428728,1041.996495803,0.105911573,0.102924342,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000620,0.000001759,0.000003851,-0.089066366,-0.995984761,0.009029891,0.000000001,0.000000002,0.000000008,-0.006158182,0.002756449,-0.999977239,0.000000000,0.156282824,0.044434021,0.029152138,0.002315259,91.995921968,0,317,307,10,0.133473684,95,0,0,0,0,0,1963,95,4126,6447,1047,0,0,18475
12,1624181091.161825180,1624181091.261812449,17,16,0,0.013256795,0.025034932,1,0,0,0,-0.008273093,-0.016780819,-0.003832494,0.000010878,-0.000043766,0.000197450,0.999999979,2369,1916,0.808780076,0.013857393,0.002920461,0.002558116,0.133733442,107.474294335,1605,0.970810364,163.104733078,320.496587704,1074.549312912,0.104678411,0.101622887,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000611,0.000001739,0.000003663,-0.102472565,-0.994699768,0.008470243,0.000000001,0.000000002,0.000000009,-0.005450298,0.006831203,-0.999961814,0.000000000,0.154403708,0.050494321,0.030937063,0.002358590,93.285786332,0,270,262,8,0.113972140,73,0,0,0,0,0,2026,73,4203,6717,1120,0,0,20501
13,1624181091.261822701,1624181091.361767054,18,17,0,0.013420033,0.025407400,1,0,0,0,-0.004675295,-0.016462686,-0.003650037,-0.000003502,-0.000011690,0.000101791,0.999999995,2370,1917,0.808860759,0.014899344,0.003035826,0.002635838,0.135732064,104.761790885,1598,0.971290171,160.120943929,331.052309695,1060.948440145,0.103162622,0.100200841,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000619,0.000001725,0.000003614,-0.098917252,-0.995062850,0.008080923,0.000000001,0.000000002,0.000000009,-0.009239787,0.013346276,-0.999868243,0.000000000,0.152967428,0.048876138,0.034553504,0.002549906,94.168555913,0,312,308,4,0.131645570,81,0,0,0,0,0,1977,81,4286,7029,1201,0,0,22478
14,1624181091.361820221,1624181091.461771488,19,18,0,0.013218389,0.026174667,1,0,0,0,-0.002513414,-0.016200724,-0.003038933,0.000005449,-0.000015662,0.000109221,0.999999994,2365,1913,0.808879493,0.013598624,0.002710844,0.002399443,0.133155387,106.953177782,1593,0.971057646,161.586170201,328.481013083,1056.827647138,0.104458407,0.101435135,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000616,0.000001739,0.000003647,-0.103457244,-0.994563825,0.011806592,0.000000001,0.000000002,0.000000009,-0.005670935,0.003899498,-0.999976317,0.000000000,0.151552282,0.054595672,0.036815318,0.002564764,95.081743189,0,249,240,9,0.105285412,68,0,0,0,0,0,2047,69,4363,7278,1269,0,0,24525
15,1624181091.461817741,1624181091.561782360,20,19,0,0.013214105,0.025940849,1,0,0,0,-0.002080897,-0.016530626,-0.002799822,0.000006647,-0.000065232,0.000133601,0.999999989,2334,1932,0.827763496,0.013770991,0.002936016,0.002566224,0.131298934,109.165777406,1614,0.972756204,165.273202925,323.140706233,1081.614603380,0.105267644,0.102399754,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000602,0.000001733,0.000003665,-0.100183482,-0.994910632,0.010775165,0.000000001,0.000000002,0.000000009,-0.005976377,0.007935012,-0.999950658,0.000000000,0.150202059,0.057260041,0.037409524,0.002613525,96.020678804,0,280,276,4,0.119965724,73,0,0,0,0,0,1981,73,4415,7558,1342,0,0,26506
16,1624181091.561815262,1624181091.661733627,21,20,0,0.013099342,0.025465598,1,0,0,0,-0.003457993,-0.016031076,-0.002781730,-0.000001074,-0.000061094,0.000198903,0.999999978,2338,1916,0.819503849,0.014142440,0.002714784,0.002398900,0.136464980,106.033424013,1614,0.972541788,167.251974188,327.596582777,1074.833888976,0.106551471,0.103625758,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000614,0.000001728,0.000003572,-0.102001656,-0.994765593,0.006089180,0.000000001,0.000000002,0.000000008,-0.005713517,0.011290755,-0.999919934,0.000000000,0.149343492,0.057266250,0.038874540,0.002744128,96.646475379,0,214,209,5,0.091531223,76,0,0,0,0,0,2048,76,4477,7772,1418,0,0,28554
17,1624181091.661813021,1624181091.761733532,22,21,0,0.013252483,0.024768406,1,0,0,0,-0.005779594,-0.018849731,-0.003483025,-0.000010772,-0.000041600,0.000246875,0.999999969,2331,1911,0.819819820,0.013911076,0.002744059,0.002418931,0.131116838,107.840388116,1610,0.973272185,158.647306206,323.112264372,1085.208647292,0.101244750,0.098538700,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000614,0.000001727,0.000003590,-0.108767826,-0.994026794,0.008960646,0.000000001,0.000000002,0.000000008,-0.005155604,0.008379830,-0.999951598,0.000000000,0.148271336,0.058049713,0.042592934,0.002840074,97.304940835,0,234,229,5,0.100386100,66,0,0,0,0,0,2030,67,4527,8006,1484,0,0,30584
