time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,9.350910233547340966e-02,-1.555512201895606905e-01,-4.638657992182604328e-03,-9.349879138658916122e-02,1.557326351924694097e-01,5.754079935550205499e-03,1.817354866025025495e-01
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,9.419232489972192979e-02,-1.628813341388555547e-01,-3.205386772366203285e-03,-9.412382350840135803e-02,1.631918044356104047e-01,4.803312850858727778e-03,1.884514022265008915e-01
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,8.900956043256150196e-02,-1.618522883154010217e-01,-2.541367783815640102e-03,-8.900987199254667415e-02,1.620115009248259408e-01,3.782140479537892709e-03,1.848912878711470864e-01
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,9.046568542771785126e-02,-1.630193818907358094e-01,-3.269787454166783736e-03,-9.036791057799485605e-02,1.632577094491069192e-01,4.667901622220025845e-03,1.866580516944184864e-01
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,9.126130865327139463e-02,-1.642226117887900516e-01,-4.033094307447193660e-03,-9.121163539544828447e-02,1.645164137433373641e-01,5.611548877560101900e-03,1.881932578582091731e-01
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,9.333405432316496664e-02,-1.656218771724165539e-01,-4.617089519619976823e-03,-9.308743343444721152e-02,1.654992393784940619e-01,4.724603450993122150e-03,1.899410181504823103e-01
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,9.236927139525144548e-02,-1.655473541212205413e-01,-4.530177859427497733e-03,-9.214504724569969052e-02,1.655414980351775922e-01,4.744798772053431327e-03,1.895183643318773814e-01
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,9.116687420980171264e-02,-1.695847901136287861e-01,-4.503809004897330048e-03,-9.122692529552008101e-02,1.694693186036517196e-01,4.014107005515171918e-03,1.925053633068755377e-01
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,9.172508013001989813e-02,-1.717274133048573848e-01,-4.173221474213950621e-03,-9.193432140983925915e-02,1.714655668035854896e-01,3.416610430704968698e-03,1.945868270957663293e-01
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,9.099652753314096953e-02,-1.721017992220614246e-01,-3.136586854215361875e-03,-9.106046728396989531e-02,1.718548195645434040e-01,2.541230948459254936e-03,1.945059011039771413e-01
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,9.212496746507953249e-02,-1.711835000090591308e-01,-2.743574353919142617e-03,-9.216283852068787863e-02,1.710799229648208852e-01,2.315732440997548408e-03,1.943391145975964518e-01
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,9.228380552191303710e-02,-1.694849679997876557e-01,-3.274979169192948625e-03,-9.231970566142708168e-02,1.691813293142578611e-01,2.480395351735304333e-03,1.927469911647204104e-01
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,8.938649709828130896e-02,-1.674067899845506080e-01,-3.787989004269465276e-03,-8.944343892730385881e-02,1.672024743960529303e-01,2.956718777721823246e-03,1.896458235691880490e-01
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,8.769128342373841423e-02,-1.661350317370678398e-01,-4.582987180343001121e-03,-8.774927009459743132e-02,1.658262965675737222e-01,3.752916440157134069e-03,1.876496187506340729e-01
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,8.713880742981777727e-02,-1.662147984613217000e-01,-4.832608886817857385e-03,-8.734915140419899360e-02,1.663072405983470059e-01,5.446192925655586776e-03,1.879298633635793914e-01
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,8.855870527977655060e-02,-1.664999461278208193e-01,-4.732581797546320246e-03,-8.819482345101420373e-02,1.668276288377431027e-01,6.740486600841086480e-03,1.888258954349097130e-01
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,8.910718060401648377e-02,-1.700991327237073580e-01,-3.844300305287096098e-03,-8.855111902554023418e-02,1.703716987026328566e-01,6.108171511394116203e-03,1.921070695177788390e-01
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,8.878911096674954595e-02,-1.724717790661114691e-01,-3.243300772648394226e-03,-8.837531288943197005e-02,1.728264718901439401e-01,5.671213489223666387e-03,1.941940987175976852e-01
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,8.476531273956797174e-02,-1.766607931577222623e-01,-3.432877677243040271e-03,-8.453052220984529075e-02,1.769587793198632852e-01,5.445835203403069993e-03,1.961873489410258797e-01
3.566332626342773438e+01,6.017901742063873084e-05,3.875855832171361216e-04,2.354952030494529645e-03,8.437982409968181052e-02,-1.778509877373408710e-01,-3.455826885366886092e-03,-8.431964508226116872e-02,1.782385733205580081e-01,5.810778915861415303e-03,1.972626592078577934e-01
3.576338386535644531e+01,5.901036362769667814e-05,3.418511442943690461e-04,1.771071012704674048e-03,8.389088360221655383e-02,-1.754040259642514199e-01,-3.496929877697008138e-03,-8.383187323858885820e-02,1.757458771085457783e-01,5.268000890401682186e-03,1.947874434472719740e-01
3.586338353157043457e+01,5.627424462152171876e-05,3.239054265602997061e-04,2.029994303136672257e-03,8.371766649837741880e-02,-1.766329075710923180e-01,-3.597722045503681798e-03,-8.366139225375589239e-02,1.769568129976526183e-01,5.627716348640354055e-03,1.958178066760624392e-01
3.596341228485107422e+01,9.420203551894793469e-05,4.036171884457456565e-04,2.035233234327935535e-03,8.451956548378736223e-02,-1.743771672665042904e-01,-3.499450724055330753e-03,-8.442536344826841177e-02,1.747807844549500444e-01,5.534683958383266288e-03,1.941818666471694654e-01
3.606352353096008301e+01,3.168829948762767312e-04,4.186553250328346135e-04,2.194012331313702126e-03,8.632337871755524361e-02,-1.748282958080029370e-01,-3.430070316354671967e-03,-8.600649572267896059e-02,1.752469511330357610e-01,5.624082647668374527e-03,1.952952674632635055e-01
3.616348481178283691e+01,5.676536900522967513e-05,4.141398744468301044e-04,2.049227757813147557e-03,8.627627446167693281e-02,-1.727527184235230218e-01,-3.038774321530879341e-03,-8.621950909267170338e-02,1.731668582979698501e-01,5.088002079344027331e-03,1.935108584191850278e-01
3.626339721679687500e+01,9.071020425686178099e-05,4.910826451042061636e-04,2.461433013595636186e-03,8.847457012366541362e-02,-1.722013668658927132e-01,-2.351516263531694406e-03,-8.838385991940855835e-02,1.726924495109969093e-01,4.812949277127330158e-03,1.940555417737562238e-01
3.636338472366333008e+01,9.064378529065966761e-05,4.703442095526206256e-04,2.368703961074123277e-03,8.952221917153174724e-02,-1.747275575294114092e-01,-2.701164922522703016e-03,-8.943157538624109393e-02,1.751979017389640181e-01,5.069868883596825859e-03,1.967689381490317357e-01
3.646338796615600586e+01,8.584092603931698360e-05,3.693640325942198132e-04,2.212107746353835554e-03,8.895380436723637763e-02,-1.753845327086068218e-01,-2.877940447442273175e-03,-8.886796344119705926e-02,1.757538967412010378e-01,5.090048193796109163e-03,1.970097858902391252e-01
3.656337809562683105e+01,3.729198636524754212e-04,2.524807016792597484e-04,2.055377027120571139e-03,9.051584314044222590e-02,-1.756326894332531363e-01,-3.015045959620765714e-03,-9.014292327678974370e-02,1.758851701349324059e-01,5.070422986741336853e-03,1.977044483048972789e-01
3.666335105895996094e+01,1.179707436754099737e-04,2.198384687939448033e-04,1.747023136353074340e-03,8.781559420429119189e-02,-1.740333363262788202e-01,-3.005097777369902801e-03,-8.769762346061578395e-02,1.742531747950727683e-01,4.752120913722976923e-03,1.951348885770578245e-01
3.676334166526794434e+01,1.764654624915270621e-04,3.732886982571045832e-04,2.037435092953374799e-03,8.789426202154176915e-02,-1.738247508185996326e-01,-3.323901572466980703e-03,-8.771779655905023731e-02,1.741980395168567508e-01,5.361336665420355502e-03,1.951105141593637571e-01
3.686332821846008301e+01,5.052074715645646624e-04,3.947582500754227624e-04,2.032552792677267545e-03,8.628362768558520135e-02,-1.785036942205363020e-01,-3.254482372083200570e-03,-8.577842021402064254e-02,1.788984524706117296e-01,5.287035164760468114e-03,1.984705177390996000e-01
3.696334290504455566e+01,4.678531012717780809e-04,2.980336725815827242e-04,2.040453116256809533e-03,8.664867664494679822e-02,-1.816928627813885200e-01,-3.172178832595351494e-03,-8.618082354367502529e-02,1.819908964539700968e-01,5.212631948852160593e-03,2.014323515987933577e-01
3.706330966949462891e+01,4.582532795689185710e-04,3.363118457426223103e-04,2.034684015887231346e-03,8.499337948871271697e-02,-1.809030877915505098e-01,-3.303323336194874393e-03,-8.453512620914380160e-02,1.812393996372931304e-01,5.338007352082105306e-03,2.000559968273213363e-01
3.716331148147583008e+01,4.594322333183638307e-04,3.383150970630317139e-04,2.043278443803823487e-03,8.408308348632140272e-02,-1.846591271483601082e-01,-3.282737142109526385e-03,-8.362365125300304236e-02,1.849974422454231382e-01,5.326015585913349872e-03,2.030894756708331861e-01
3.726326751708984375e+01,8.795311659357460117e-05,3.105155614480608174e-04,2.047059011742642827e-03,8.429583986325470124e-02,-1.857400249505975764e-01,-3.659671820997745240e-03,-8.420788674666113138e-02,1.860505405120456424e-01,5.706730832740388067e-03,2.042996294464583529e-01
