time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,1.257295407208922078e-02,2.250187510436738036e-02,-2.202098221225257113e-02,-1.256264312320497407e-02,-2.232046010145864734e-02,2.313640415562017230e-02,3.451544782606789236e-02
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,1.330770442811152199e-02,1.517467222155238771e-02,-2.059835443244067976e-02,-1.323920303679095543e-02,-1.486420192479754286e-02,2.219628051093320426e-02,2.981435668315791238e-02
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,1.172469838460046820e-02,1.307067123829080968e-02,-1.999854122877559037e-02,-1.162404014072026225e-02,-1.269813072554334260e-02,2.158519268433975458e-02,2.760944360786972418e-02
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,8.622215259016380307e-03,1.812290267492230877e-02,-1.998602220622047732e-02,-8.622526819001547285e-03,-1.796369006549737926e-02,2.122679490194272905e-02,2.911389618932498993e-02
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,1.051301065159188086e-02,1.818427606105274541e-02,-2.035208796618498406e-02,-1.041523580186888738e-02,-1.794594850268163913e-02,2.175020213423822790e-02,3.006003155935891430e-02
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,1.190773150656979085e-02,1.757802867775154487e-02,-2.074940473097969251e-02,-1.145301347999936811e-02,-1.734363405161682206e-02,2.238714297526570723e-02,3.054762397445075217e-02
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,1.205516238125262096e-02,1.606971633725134962e-02,-2.036646109749590261e-02,-1.200548912342951427e-02,-1.577591438270404753e-02,2.194491566760881085e-02,2.957347743099643378e-02
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,1.277257732266465218e-02,1.393945969764659454e-02,-2.091211396321168703e-02,-1.252595643394689359e-02,-1.406209749156909009e-02,2.101962789458483236e-02,2.822174564541212252e-02
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,1.019671259272447728e-02,1.127398866408235723e-02,-2.086505291674389806e-02,-9.972488443172720582e-03,-1.127984475012531150e-02,2.107967382936983339e-02,2.590440256189597071e-02
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,9.078352174856696433e-03,6.582648022531167875e-03,-2.110793492088963719e-02,-9.138403260575070006e-03,-6.698119532508227392e-03,2.061823292150747819e-02,2.352629907635691089e-02
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,9.635598704660547353e-03,3.775169072246842283e-03,-2.089318833248293705e-02,-9.844839984479915318e-03,-4.037015573518733073e-03,2.013657728897395513e-02,2.277498878102180227e-02
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,1.136766082666046396e-02,4.429524497919695714e-03,-2.030584643802518796e-02,-1.141420200860559543e-02,-4.489299716023307033e-03,1.981323015531408216e-02,2.330240134880931860e-02
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,1.078782337479983200e-02,3.484641923152592691e-03,-1.936283883002365425e-02,-1.085176312562875604e-02,-3.731621580670601949e-03,1.876748292426754644e-02,2.199782211649045291e-02
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,1.081187842500291874e-02,4.556645260612224302e-03,-1.913575912641757304e-02,-1.084974948061127008e-02,-4.660222304850475047e-03,1.870791721349597883e-02,2.212285926795335214e-02
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,1.111251950627467622e-02,7.358774386797994893e-03,-1.910895041825955154e-02,-1.114841964578872427e-02,-7.662413072327786852e-03,1.831436660080190681e-02,2.276874741126871937e-02
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,8.548612897040702707e-03,1.083280544057274586e-02,-1.949597429610477883e-02,-8.605554726063245619e-03,-1.103712102907041318e-02,1.866470406955713854e-02,2.332905464775117399e-02
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,8.695152907014197519e-03,1.207315943163222993e-02,-2.058383770702199023e-02,-8.753139577873207677e-03,-1.238189460112636142e-02,1.975376696683612404e-02,2.490261182613580024e-02
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,8.423874195497449424e-03,1.238468737783482432e-02,-2.084626746834311595e-02,-8.634218169878664015e-03,-1.229224524080951668e-02,2.145985150718084447e-02,2.619492781390166461e-02
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,9.240530926791473698e-03,1.010127912266145511e-02,-2.051620591063951782e-02,-8.876649098029125093e-03,-9.773596412739157802e-03,2.252411071393428318e-02,2.610849764927538480e-02
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,8.963386008306373220e-03,8.376616885748616737e-03,-1.985163476794876702e-02,-8.407324429830116685e-03,-8.104050906823116393e-03,2.211550597405578800e-02,2.500908534227703692e-02
