time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-3.371033498224139002e+00,-3.138275619333120492e+00,1.160158317118193505e+00,3.371043809173023043e+00,3.138457034336029405e+00,-1.159042895174825949e+00,4.749445162605028692e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-3.370454822302291653e+00,-3.145589708630863512e+00,1.161714229035241797e+00,3.370523323693612294e+00,3.145900178927618196e+00,-1.160116302956749168e+00,4.754259695023558052e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-3.372077581551924830e+00,-3.147639854677426019e+00,1.162389549519268206e+00,3.372178239795804888e+00,3.148012395190173507e+00,-1.160802898063703958e+00,4.756998159488439626e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-3.375049847128524405e+00,-3.142509984110626320e+00,1.162363741191330124e+00,3.375049535568539039e+00,3.142669196720051072e+00,-1.161122968495607921e+00,4.755579417434064204e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-3.373166335451055264e+00,-3.142504694489852923e+00,1.161957251547578451e+00,3.373264110300778107e+00,3.142743022048223978e+00,-1.160559137379525207e+00,4.754223592957235844e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-3.371796238733558493e+00,-3.143154489177253819e+00,1.161543434421800081e+00,3.372250956760129093e+00,3.143388883803388545e+00,-1.159905696177514045e+00,4.753772335126427606e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-3.371679013497375976e+00,-3.144658217938991918e+00,1.161953855986613604e+00,3.371728686755198989e+00,3.144952019893539230e+00,-1.160375401416500640e+00,4.754550306467783649e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-3.371027697767514653e+00,-3.146816675382333450e+00,1.161436880277391559e+00,3.371274318656232616e+00,3.146694037588411152e+00,-1.161329366346018466e+00,4.755613503530658370e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-3.373668804355455908e+00,-3.149413326356131471e+00,1.161591765367773199e+00,3.373893028505007496e+00,3.149407470270088716e+00,-1.161377144455147281e+00,4.759277093556386617e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-3.374910812324685594e+00,-3.154078134690675217e+00,1.161467756845488086e+00,3.374850761238967323e+00,3.153962663180698289e+00,-1.161957458844870228e+00,4.763112771868660111e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-3.374420559791036389e+00,-3.156894251818567199e+00,1.161727977182403615e+00,3.374211318511216806e+00,3.156632405317295387e+00,-1.162484588225912496e+00,4.764556703632692347e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-3.372660320119750477e+00,-3.156273301933401498e+00,1.162265720855824025e+00,3.372613778937805229e+00,3.156213526715297757e+00,-1.162758337138535047e+00,4.763214721035251564e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-3.373243723774212999e+00,-3.157184030513382034e+00,1.163239626153578232e+00,3.373179784023383920e+00,3.156937050855864069e+00,-1.163834982059334333e+00,4.764357801831807571e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-3.373187630012161264e+00,-3.156108715107248663e+00,1.163444285040375448e+00,3.373149758956552891e+00,3.156005138063010307e+00,-1.163872126953297004e+00,4.763728167698862315e+00
