frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_retry_performed,transition_guard_conservative_selected,transition_guard_measurement_noise_scale,transition_guard_pause_frames_remaining,transition_guard_history_ready,lidar_correction_translation,lidar_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,transition_guard_conservative_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.861856699,1624181089.961797476,5,4,0,0.013344779,0.027749694,1,0,0,0,0,-0.002786660,-0.001168093,-0.003603079,-0.000031187,-0.000024839,0.000088971,0.999999995,2356,1432,0.607809847,0.015478429,0.003852300,0.002829363,0.176735156,65.182793698,1290,0.950212593,184.076373998,352.002543672,689.695327894,0.150171514,0.142694864,0,0,0,0,1.000000000,0,0,0.004879407,0.000200742,0.100000000,0.030000000,1.000000000,0.015478429,0.000000000,0.000001121,0.000002955,0.000007984,0.162349678,0.986711832,-0.006507114,0.000000002,0.000000007,0.000000014,-0.006586877,0.057133780,-0.998344802,0.000000000,0.176735156,0.000000000,0.000000000,0.000000000,65.182793698,0,0.150171514,0.142694864,1185,1140,45,0.502971138,107,0,0,0,0,0,1063,108,2748,1185,107,0,0,1063
2,1624181089.961854219,1624181090.061850786,6,5,0,0.013532809,0.025739126,1,0,0,0,0,0.000165497,-0.002796356,-0.003345044,-0.000005278,-0.000047296,0.000002284,0.999999999,2372,1607,0.677487352,0.016052382,0.004360968,0.003563921,0.176337729,75.053153177,1354,0.956879063,186.377169283,331.900955017,777.336126666,0.143852361,0.137649313,0,0,0,0,1.000000000,0,0,0.003541037,0.000149928,0.100000000,0.030000000,0.957920431,0.016052382,0.000000000,0.000001015,0.000002868,0.000006248,0.149932392,0.988688129,-0.004007593,0.000000001,0.000000004,0.000000010,-0.007011485,0.044386111,-0.998989846,0.000000000,0.176536443,0.018202925,0.003381280,0.000173376,70.117973438,0,0.147011938,0.140172088,946,920,26,0.398819562,127,0,0,0,0,0,1299,127,3015,2131,234,0,0,2362
3,1624181090.061851978,1624181090.161860704,7,6,0,0.012950497,0.025239474,1,0,0,0,0,0.003606290,-0.001752024,-0.003443304,-0.000011723,-0.000037182,-0.000026203,0.999999999,2363,1679,0.710537452,0.015176641,0.004110164,0.003558811,0.172730770,84.031353365,1426,0.960649957,185.409817160,338.161473466,846.315547861,0.135346813,0.130020910,0,0,0,0,1.000000000,0,0,0.002693731,0.000101325,0.100000000,0.030000000,0.920651852,0.015176641,0.000000000,0.000000833,0.000002425,0.000005205,0.174184853,0.984696602,-0.005677925,0.000000001,0.000000003,0.000000010,-0.008803171,0.011462560,-0.999895551,0.000000000,0.175267885,0.023330057,0.006978409,0.000230348,74.755766747,0,0.143123563,0.136788362,807,796,11,0.341515023,115,0,0,0,0,0,1441,115,3226,2938,349,0,0,3803
4,1624181090.161849499,1624181090.261902571,8,7,0,0.013046644,0.025504992,1,0,0,0,0,-0.001451069,0.002488611,-0.003731950,-0.000022397,-0.000058853,0.000129182,0.999999990,2355,1742,0.739702760,0.015047969,0.003724272,0.003238772,0.153173640,92.913371159,1467,0.965013614,187.509184723,330.554251709,897.611534975,0.132452144,0.127818122,0,0,0,0,1.000000000,0,0,0.009360551,0.000267269,0.100000000,0.030000000,0.920750570,0.015047969,0.000000000,0.000000719,0.000002090,0.000004573,0.128730646,0.991674589,-0.003151249,0.000000001,0.000000003,0.000000009,-0.000753508,0.002684788,0.999996112,0.000000000,0.169744324,0.025076098,0.013584707,0.000541119,79.295167850,0,0.140455708,0.134545802,626,611,15,0.265817410,97,0,0,0,0,0,1632,97,3390,3564,446,0,0,5435
5,1624181090.261847019,1624181090.361894131,9,8,0,0.012533416,0.026399256,1,0,0,0,0,-0.004721206,-0.000337856,-0.003978024,-0.000030146,-0.000022710,0.000050398,0.999999998,2334,1784,0.764353042,0.015325145,0.003693474,0.003173228,0.148806389,96.774563813,1506,0.964320739,176.324238551,339.533372315,936.409422818,0.121413097,0.117081168,0,0,0,0,1.000000000,0,0,0.005458366,0.000129973,0.100000000,0.030000000,0.869723900,0.015325145,0.000000000,0.000000682,0.000001903,0.000004115,-0.110678435,-0.993854588,0.001828122,0.000000001,0.000000002,0.000000008,-0.003621426,0.018942327,-0.999814019,0.000000000,0.165556737,0.022654776,0.017914055,0.000698688,82.791047042,0,0.136647186,0.131052875,510,494,16,0.218508997,109,0,0,0,0,0,1714,110,3517,4074,555,0,0,7149
6,1624181090.361844540,1624181090.461852789,10,9,0,0.013834681,0.025872072,1,0,0,0,0,-0.006913413,-0.002120878,-0.004089109,-0.000008917,0.000005623,0.000163249,0.999999987,2366,1826,0.771766695,0.015285094,0.003734149,0.003269564,0.149488844,97.471110789,1536,0.966450577,177.147467335,338.753800122,968.566819301,0.119333968,0.115330382,0,0,0,0,1.000000000,0,0,0.001860251,0.000179589,0.100000000,0.030000000,0.881690273,0.015285094,0.000000000,0.000000675,0.000001836,0.000003824,-0.098266644,-0.995159631,-0.000987801,0.000000001,0.000000002,0.000000008,-0.003662292,0.018597335,-0.999820347,0.000000000,0.162878755,0.020951701,0.020742002,0.000924389,85.237724333,0,0.133761649,0.128432460,532,523,9,0.224852071,108,0,0,0,0,0,1725,109,3632,4606,663,0,0,8874
7,1624181090.461842060,1624181090.561805964,11,10,0,0.012734671,0.025070167,1,0,0,0,0,-0.008677142,-0.003981435,-0.003308033,-0.000000922,-0.000026775,0.000117314,0.999999993,2357,1836,0.778956300,0.014826500,0.003328908,0.002944897,0.146992389,102.600248862,1557,0.966165246,181.439320089,332.195609671,990.684358562,0.120612241,0.116531355,0,0,0,0,1.000000000,0,0,0.001654978,0.000138845,0.100000000,0.030000000,0.900767071,0.014826500,0.000000000,0.000000660,0.000001891,0.000003814,-0.112662535,-0.993628059,0.003230085,0.000000001,0.000000002,0.000000009,-0.007657508,0.020245751,-0.999765709,0.000000000,0.160609274,0.023422154,0.023422019,0.001016259,87.718084980,0,0.131883162,0.126732302,453,439,14,0.192193466,96,0,0,0,0,0,1807,97,3760,5059,759,0,0,10681
8,1624181090.561839819,1624181090.661713123,12,11,0,0.013076821,0.026333323,1,0,0,0,0,-0.006070370,-0.006120582,-0.003748459,-0.000006573,-0.000026936,0.000052997,0.999999998,2381,1891,0.794204116,0.014396741,0.003240075,0.002784007,0.152043830,100.059095832,1584,0.967420669,177.126399011,336.261744503,1019.006196967,0.115588001,0.111822222,0,0,0,0,1.000000000,0,0,0.005212744,0.000121933,0.100000000,0.030000000,0.872677467,0.014396741,0.000000000,0.000000644,0.000001870,0.000003657,-0.108280827,-0.994097661,0.006715850,0.000000001,0.000000002,0.000000008,-0.005553922,0.022082564,-0.999740724,0.000000000,0.159538593,0.029747921,0.026822781,0.001144892,89.260711337,0,0.129846267,0.124868542,388,379,9,0.162956741,79,0,0,0,0,0,1913,80,3868,5447,838,0,0,12594
9,1624181090.661837339,1624181090.761733294,13,12,0,0.012989325,0.025725314,1,0,0,0,0,-0.003046601,-0.009095893,-0.003860742,-0.000001022,-0.000029637,-0.000002731,1.000000000,2377,1891,0.795540597,0.014230176,0.003230869,0.002888288,0.146729533,99.949804233,1578,0.967146966,177.978261712,325.535686722,1022.643963627,0.116618510,0.112787238,0,0,0,0,1.000000000,0,0,0.003047151,0.000138184,0.100000000,0.030000000,0.918743421,0.014230176,0.000000000,0.000000634,0.000001822,0.000003615,-0.091398208,-0.995798748,0.005587510,0.000000001,0.000000002,0.000000008,-0.004564672,0.019394647,-0.999801486,0.000000000,0.158115365,0.034707403,0.031066396,0.001256350,90.448388325,0,0.128376517,0.123526175,376,369,7,0.158182583,92,0,0,0,0,0,1907,94,3955,5823,930,0,0,14501
10,1624181090.761834860,1624181090.861717939,14,13,0,0.013352977,0.024980185,1,0,0,0,0,-0.004778368,-0.012950467,-0.004069394,0.000017326,-0.000008849,0.000022220,1.000000000,2365,1917,0.810570825,0.014259970,0.003097556,0.002687033,0.141552423,102.689248890,1584,0.969074764,170.586220551,329.794544661,1034.633660991,0.111130044,0.107693321,0,0,0,0,1.000000000,0,0,0.003611604,0.000077610,0.100000000,0.030000000,0.915305238,0.014259970,0.000000000,0.000000629,0.000001789,0.000003604,-0.073395941,-0.997277236,0.007151922,0.000000001,0.000000002,0.000000008,-0.003168130,0.008328714,-0.999960297,0.000000000,0.156459070,0.037042443,0.035297270,0.001306252,91.672474382,0,0.126651869,0.121942889,356,349,7,0.150528541,84,0,0,0,0,0,1924,85,4036,6179,1014,0,0,16425
