time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-3.268105060427646702e+00,-3.046484785841735210e+00,1.111516009388169302e+00,3.268115371376530742e+00,3.046666200844644123e+00,-1.110400587444801745e+00,4.603883413445051254e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-3.267521282855341269e+00,-3.053810434195841417e+00,1.113014578675709298e+00,3.267589784246661910e+00,3.054120904492596100e+00,-1.111416652597216670e+00,4.608692273632751579e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-3.269141800510347196e+00,-3.055865649041108245e+00,1.113679799406187332e+00,3.269242458754227254e+00,3.056238189553855733e+00,-1.112093147950623084e+00,4.611430287354189694e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-3.272114059345088588e+00,-3.050735761090768161e+00,1.113702773217477127e+00,3.272113747785103222e+00,3.050894973700192914e+00,-1.112462000521754923e+00,4.610017377580938991e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-3.270231920355143540e+00,-3.050727375802000374e+00,1.113290025644268155e+00,3.270329695204866383e+00,3.050965703360371428e+00,-1.111891911476214911e+00,4.608660506180318528e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-3.268863227771482194e+00,-3.051374005971771997e+00,1.112866713939223429e+00,3.269317945798052794e+00,3.051608400597906723e+00,-1.111228975694937393e+00,4.608208274127910009e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-3.268744650262840334e+00,-3.052880796361231219e+00,1.113265348988383474e+00,3.268794323520663347e+00,3.053174598315778532e+00,-1.111686894418270510e+00,4.608984617950353524e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-3.268095102835848920e+00,-3.055035272926826195e+00,1.112729873996440633e+00,3.268341723724566883e+00,3.054912635132903898e+00,-1.112622360065067539e+00,4.610040926873675282e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-3.270735714299814578e+00,-3.057633049229538269e+00,1.112873954034104163e+00,3.270959938449366167e+00,3.057627193143495514e+00,-1.112659333121478245e+00,4.613704993036896518e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-3.271978200460882835e+00,-3.062296798506618511e+00,1.112718810463987129e+00,3.271918149375164564e+00,3.062181326996641584e+00,-1.113208512463369271e+00,4.617535711593188985e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-3.271487120670893756e+00,-3.065114799123352718e+00,1.112956067734585108e+00,3.271277879391074173e+00,3.064852952622080906e+00,-1.113712678778093990e+00,4.618975916397565662e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-3.269725079582110006e+00,-3.064497918076558580e+00,1.113492593310958956e+00,3.269678538400164758e+00,3.064438142858454839e+00,-1.113985209593669978e+00,4.617633801317928999e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-3.270305229887942478e+00,-3.065415996804853993e+00,1.114461528278189117e+00,3.270241290137113399e+00,3.065169017147336028e+00,-1.115056884183945218e+00,4.618775925974719421e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-3.270248434563053141e+00,-3.064342260383328576e+00,1.114674129738474129e+00,3.270210563507444768e+00,3.064238683339090219e+00,-1.115101971651395685e+00,4.618147707179598882e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,-3.269876340697046579e+00,-3.061548642355088834e+00,1.114657520296160831e+00,3.269840440557532535e+00,3.061245003669558873e+00,-1.115452104113618503e+00,4.615984280277481311e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,-3.272360191059719092e+00,-3.058015021987255722e+00,1.114288317347401636e+00,3.272303249230696487e+00,3.057810706398758072e+00,-1.115119587573949245e+00,4.615372852293056383e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,-3.272209155677354708e+00,-3.056792257145711567e+00,1.113181324459425525e+00,3.272151169006495497e+00,3.056483521976217421e+00,-1.114011395199611343e+00,4.614118136933351266e+00
3.516343092918395996e+01,-2.103439743812138317e-04,9.244213702530793670e-05,6.135840388377294995e-04,-3.272478846374118344e+00,-3.056477115726916161e+00,1.112921586140239727e+00,3.272268502399737322e+00,3.056569557863941355e+00,-1.112308002101402016e+00,4.613847386444072995e+00
3.526338219642639160e+01,3.638818287623491474e-04,3.276827099222968226e-04,2.007904803294766234e-03,-3.271712399341720090e+00,-3.058776495084909897e+00,1.113261049868782937e+00,3.272076281170482659e+00,3.059104177794832236e+00,-1.111253145065488113e+00,4.615136521579636941e+00
3.536338210105895996e+01,5.560615784762557761e-04,2.725659789254996387e-04,2.263871206107020105e-03,-3.272016666178966471e+00,-3.060485211274924122e+00,1.113954328034246100e+00,3.272572727757442568e+00,3.060757777253849454e+00,-1.111690456828139162e+00,4.616689950742249415e+00
3.546334576606750488e+01,4.137980773175810464e-04,3.546928240324757572e-04,2.427912716575272162e-03,-3.273107738281224588e+00,-3.061944664136138972e+00,1.114632720581509640e+00,3.273521536358542150e+00,3.062299356960171526e+00,-1.112204807864934475e+00,4.618508431872756503e+00
3.556333732604980469e+01,2.347905297226793699e-04,2.979861621410161382e-04,2.012957526160030156e-03,-3.276572805597857130e+00,-3.064871662606688751e+00,1.114347838298713533e+00,3.276807596127579991e+00,3.065169648768829802e+00,-1.112334880772553491e+00,4.622772099590929606e+00
