time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,5.057079206309433861e-03,-5.043229679802724297e-03,-1.630354367970998641e-02,-5.046768257425188024e-03,5.224644682711456455e-03,1.741896562307758758e-02,1.887292095258967517e-02
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,5.783703216069246977e-03,-1.237079165367319100e-02,-1.487859349144793342e-02,-5.715201824748679556e-03,1.268126195042803585e-02,1.647651956994045791e-02,2.156278353301389894e-02
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,4.198273649553496689e-03,-1.447302086812038424e-02,-1.427896896710628694e-02,-4.097615405673290731e-03,1.484556138086785132e-02,1.586562042267045114e-02,2.211106184972091646e-02
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,1.100921926061648737e-03,-9.417635683388714263e-03,-1.426928936354315836e-02,-1.101233486046816583e-03,9.576848292813643776e-03,1.551006205926541183e-02,1.826172947715037562e-02
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,2.991952982413420559e-03,-9.358282724267863451e-03,-1.463446989408268006e-02,-2.894178132690427944e-03,9.596610282638969730e-03,1.603258406213592391e-02,1.890806567817158654e-02
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,4.386246095613943741e-03,-9.966054413913100207e-03,-1.503095829543138473e-02,-3.931528069043521006e-03,1.020044904004782302e-02,1.666869653971739945e-02,1.993367798248673467e-02
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,5.474623985523147107e-03,-1.511615194641338644e-02,-1.541381651755535653e-02,-5.228003096805388522e-03,1.499351415249089089e-02,1.552133044892850186e-02,2.220471080482667309e-02
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,3.183374752789736029e-03,-1.467649216495192643e-02,-1.497078268047830063e-02,-2.959150603237979769e-03,1.467063607890897216e-02,1.518540359310423422e-02,2.132089626488277781e-02
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,1.994573199567695188e-03,-1.965327943289815749e-02,-1.517410404226537946e-02,-2.054624285286068761e-03,1.953780792292109797e-02,1.468440204288322219e-02,2.452710913955574029e-02
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,2.715865131603434346e-03,-2.136930494919767054e-02,-1.497169315809560031e-02,-2.925106411422801443e-03,2.110745844792577888e-02,1.421508211458661838e-02,2.561541741165855937e-02
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,5.047988611667858505e-03,-2.282158774444087435e-02,-1.479079234094937689e-02,-5.094529793612990846e-03,2.276181252633726129e-02,1.429817605823827283e-02,2.735858515885849704e-02
