frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_armed,transition_guard_pause_frames_remaining,transition_guard_recovery_streak,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,5,5,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,1,0,0,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.013567526,0.027398445,1,0,0,0,0,-0.006654494,-0.010062006,-0.004051645,-0.000023935,-0.000021998,0.000230330,0.999999973,2356,1607,0.682088285,0.016235121,0.004572640,0.003825212,0.187769889,73.269015240,1358,0.961012839,184.390294406,330.970593019,789.694547771,0.141289243,0.135780776,0,0,1,0,0,0.000001043,0.000002848,0.000005828,0.141605976,0.989797308,-0.015780909,0.000000001,0.000000004,0.000000010,-0.005378099,0.024813570,-0.999677629,0.000000000,0.179948109,0.024459261,0.007514623,0.000079526,70.149033702,0,0.146465312,0.140032747,883,851,32,0.374787776,126,0,0,0,0,0,1346,127,3020,2109,230,0,0,2353
3,1624181089.961854219,1624181090.061850786,8,7,0,0.013532809,0.025739126,1,0,0,0,0,-0.006363196,-0.012748013,-0.004660899,0.000000318,-0.000035866,0.000126952,0.999999991,2369,1712,0.722667792,0.015788217,0.004079807,0.003263788,0.162350911,85.974380076,1432,0.962463414,179.377225076,328.652308698,870.218075470,0.130148766,0.125263425,0,0,1,0,0,0.000000828,0.000002275,0.000005202,0.144651492,0.989481686,-0.001392706,0.000000001,0.000000003,0.000000009,-0.000918794,0.008047651,-0.999967195,0.000000000,0.174082377,0.020073649,0.010284221,0.000286283,75.424149160,0,0.141026463,0.135109640,724,705,19,0.305614183,114,0,0,0,0,0,1531,114,3227,2833,344,0,0,3884
4,1624181090.061851978,1624181090.161860704,9,8,0,0.012950497,0.025239474,1,0,0,0,0,-0.001222734,-0.009885728,-0.005065810,-0.000030529,-0.000086332,0.000076259,0.999999993,2364,1775,0.750846024,0.016343085,0.004456844,0.003490068,0.172966302,87.997745890,1463,0.962930713,178.416086195,329.439773478,900.911773765,0.126646923,0.121952212,0,0,1,0,0,0.000000733,0.000001944,0.000004276,0.153235946,0.988189218,0.000902071,0.000000001,0.000000003,0.000000009,-0.007501088,0.015281928,-0.999855088,0.000000000,0.173803358,0.022202003,0.016181761,0.000387664,78.567548343,0,0.137431578,0.131820283,690,680,10,0.291878173,105,0,0,0,0,0,1569,105,3395,3523,449,0,0,5453
5,1624181090.161849499,1624181090.261902571,10,9,0,0.013046644,0.025504992,1,0,0,0,0,-0.002803684,-0.008798133,-0.004581180,-0.000020664,-0.000075160,0.000262299,0.999999963,2353,1798,0.764130897,0.016524450,0.004024530,0.003497536,0.164304324,88.891558011,1490,0.966014660,181.780107345,324.247986641,933.333750113,0.126292154,0.122000072,0,0,1,0,0,0.000000695,0.000001851,0.000003751,-0.122384850,-0.992481907,0.001269976,0.000000001,0.000000003,0.000000008,-0.004896000,0.000814309,0.999987683,0.000000000,0.171903551,0.024260724,0.018160935,0.000759741,80.632350276,0,0.135203693,0.129856241,546,534,12,0.232044199,110,0,0,0,0,0,1697,110,3534,4069,559,0,0,7150
6,1624181090.261847019,1624181090.361894131,10,10,0,0.012533416,0.026399256,1,0,0,0,0,-0.004264910,-0.008694799,-0.004078584,-0.000026113,-0.000052308,0.000163138,0.999999985,2337,1828,0.782199401,0.016159103,0.003356472,0.002888259,0.156233587,92.494402191,1508,0.968268920,174.267368361,331.872556071,954.009606313,0.119348988,0.115561915,0,0,1,0,0,0.000000670,0.000001850,0.000003628,-0.119216492,-0.992835067,0.008121438,0.000000001,0.000000002,0.000000008,-0.004206948,0.001457556,-0.999990089,0.000000000,0.169291890,0.022222273,0.019709633,0.000958063,82.609358929,0,0.132561242,0.127473853,438,421,17,0.187419769,98,0,0,0,0,0,1800,99,3645,4507,657,0,0,8950
7,1624181090.461842060,1624181090.561805964,12,11,0,0.013306104,0.025872072,1,0,0,0,0,-0.007698686,-0.012652235,-0.003412626,-0.000004721,-0.000040740,0.000163035,0.999999986,2358,1869,0.792620865,0.015710734,0.003310203,0.002923369,0.153075186,95.965702352,1527,0.968833300,174.532623677,329.835866082,975.039958692,0.117974603,0.114297723,0,0,1,0,0,0.000000784,0.000002271,0.000004585,-0.103436516,-0.994629001,0.003746594,0.000000001,0.000000002,0.000000008,-0.005454049,0.004111018,-0.999976676,0.000000000,0.166975218,0.022199980,0.024991262,0.000958271,84.517407989,0,0.130477437,0.125591549,440,427,13,0.186598813,102,0,0,0,0,0,1815,103,3766,4947,759,0,0,10765
8,1624181090.561839819,1624181090.661713123,13,12,0,0.013076821,0.026333323,1,0,0,0,0,-0.005523881,-0.013402822,-0.004036367,-0.000014596,-0.000029481,0.000147153,0.999999989,2380,1888,0.793277311,0.014684753,0.003373562,0.002819019,0.149791037,98.656134662,1553,0.969143958,173.694556003,328.242382725,1003.143628334,0.115405487,0.111844531,0,0,1,0,0,0.000000644,0.000001857,0.000003798,-0.107923145,-0.994145997,0.005131369,0.000000001,0.000000002,0.000000009,-0.003427803,0.005926607,-0.999976562,0.000000000,0.164827196,0.035054032,0.027375000,0.000990035,86.284748823,0,0.128593443,0.123873172,379,370,9,0.159243697,83,0,0,0,0,0,1917,84,3872,5326,842,0,0,12682
9,1624181090.661837339,1624181090.761733294,14,13,0,0.012989325,0.025725314,1,0,0,0,0,-0.006938736,-0.018233911,-0.003687239,0.000002098,-0.000061141,0.000308127,0.999999951,2377,1897,0.798064788,0.014942416,0.003053512,0.002692229,0.141995959,99.662824207,1558,0.969636766,167.455404396,320.075980275,1023.162696197,0.110846667,0.107481004,0,0,1,0,0,0.000000630,0.000001756,0.000003651,-0.088946324,-0.996023924,0.004989459,0.000000001,0.000000002,0.000000008,-0.001614190,0.000461864,-0.999998591,0.000000000,0.162290392,0.037994179,0.032421100,0.001311983,87.771201644,0,0.126621579,0.122051820,426,417,9,0.179217501,82,0,0,0,0,0,1867,84,3967,5752,924,0,0,14549
10,1624181090.761834860,1624181090.861717939,15,14,0,0.013352977,0.024980185,1,0,0,0,0,-0.008411028,-0.019463801,-0.003775991,0.000004157,-0.000046798,0.000155399,0.999999987,2366,1910,0.807269653,0.014618988,0.003131533,0.002708636,0.136213157,101.878323831,1572,0.971924165,165.746084156,327.569379884,1034.549323255,0.108482168,0.105436440,0,0,1,0,0,0.000000622,0.000001754,0.000003669,-0.090222521,-0.995897865,0.006880367,0.000000001,0.000000002,0.000000008,-0.004329191,0.008264904,-0.999956474,0.000000000,0.159682668,0.042397697,0.034341556,0.001617441,89.181913863,0,0.124807638,0.120390282,333,325,8,0.140743872,83,0,0,0,0,0,1949,84,4045,6085,1007,0,0,16498
