time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-3.241584871699279002e+00,-3.048958048330801418e+00,1.115199720524191473e+00,3.241595182648163043e+00,3.049139463333710331e+00,-1.114084298580823917e+00,4.587632790380141934e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-3.241008478699415996e+00,-3.056277091584727046e+00,1.116733019884516676e+00,3.241076980090736637e+00,3.056587561881481729e+00,-1.115135093806024047e+00,4.592475780204011038e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-3.242631199238477091e+00,-3.058327705710954358e+00,1.117407010914186039e+00,3.242731857482357150e+00,3.058700246223701846e+00,-1.115820359458621791e+00,4.595216226725602482e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-3.245598864274409134e+00,-3.053195108179797668e+00,1.117404258202692624e+00,3.245598552714423768e+00,3.053354320789222420e+00,-1.116163485506970421e+00,4.593767897929024180e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-3.243716496030087715e+00,-3.053190347639661351e+00,1.116992499560092167e+00,3.243814270879810557e+00,3.053428675198032405e+00,-1.115594385392038923e+00,4.592418592768233943e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-3.242348156148308291e+00,-3.053840185154815146e+00,1.116572976096519731e+00,3.242802874174878891e+00,3.054074579780949872e+00,-1.114935237852233696e+00,4.591973715541679546e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-3.241399788728439368e+00,-3.059022155074143878e+00,1.116252916046122534e+00,3.241646409617157332e+00,3.058899517280221581e+00,-1.116145402114749441e+00,4.594661931030712410e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-3.243667623077379325e+00,-3.058516578598849289e+00,1.116743550883988689e+00,3.243891847226930913e+00,3.058510722512806534e+00,-1.116528929971362771e+00,4.596080831283774870e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-3.244986231308232050e+00,-3.063463944778122894e+00,1.116655004618122726e+00,3.244926180222513779e+00,3.063348473268145966e+00,-1.117144706617504868e+00,4.600180657245024562e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-3.244303694550084938e+00,-3.065194291738979615e+00,1.116869524450943008e+00,3.244094453270265355e+00,3.064932445237707803e+00,-1.117626135494451889e+00,4.600766011693048441e+00
