time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,-9.745640118947730413e-01,-1.160994910925408963e+00,-5.821064287492720979e-01,9.745743228436573036e-01,1.161176325928317654e+00,5.832218506926396540e-01,1.624276238134359618e+00
3.356344604492187500e+01,6.850139132056701501e-05,3.104702967548444667e-04,1.597926078492524927e-03,-9.740298607259927355e-01,-1.168351628312484181e+00,-5.807481129586349322e-01,9.740983621173132656e-01,1.168662098609239086e+00,5.823460390371274498e-01,1.629038252769901884e+00
3.366349935531616211e+01,1.006582438802060124e-04,3.725405127474679459e-04,1.586651455564163119e-03,-9.756735351228299491e-01,-1.170423821811320098e+00,-5.802032710263154147e-01,9.757741933667101186e-01,1.170796362324067585e+00,5.817899224818795512e-01,1.631373320970155749e+00
3.376350927352905273e+01,-3.115599851678121728e-07,1.592126094249291337e-04,1.240772695722252824e-03,-9.786568773781700870e-01,-1.165300321552646734e+00,-5.801994178948732817e-01,9.786565658181849425e-01,1.165459534162071709e+00,5.814401905905954848e-01,1.629152324008514841e+00
3.386355113983154297e+01,9.777484972299262773e-05,2.383275583711066861e-04,1.398114168053242110e-03,-9.767580359975930326e-01,-1.165279733628596937e+00,-5.805263056409265543e-01,9.768558108473159862e-01,1.165518061186967991e+00,5.819244198089797981e-01,1.628286110150551469e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,-9.753699657475942697e-01,-1.165914541626397849e+00,-5.809017021668207992e-01,9.758246837741646473e-01,1.166148936252532575e+00,5.825394404111068347e-01,1.628339446988970707e+00
3.406350135803222656e+01,4.967325782310681433e-05,2.938019545473037229e-04,1.578454570112907806e-03,-9.752656795090417496e-01,-1.167429766168366134e+00,-5.805320986311152121e-01,9.753153527668648737e-01,1.167723568122913447e+00,5.821105532012280648e-01,1.629009228040376067e+00
3.416345453262329102e+01,2.466208887177587477e-04,-1.226377939224948424e-04,1.075139313731451104e-04,-9.745871004080540745e-01,-1.169570603486488114e+00,-5.810859583422738339e-01,9.748337212967718157e-01,1.169447965692565594e+00,5.811934722736469272e-01,1.629630381667355410e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,-9.772248870939423959e-01,-1.172175014416856564e+00,-5.811199404749524122e-01,9.774491112434942064e-01,1.172169158330813588e+00,5.813345613875783302e-01,1.633198448773556910e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,-9.784471865704329474e-01,-1.176835969569892226e+00,-5.814359780651578991e-01,9.783871354847145652e-01,1.176720498059915077e+00,5.809462760657757574e-01,1.636890678423899015e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,-9.779601406339142322e-01,-1.179657853422551250e+00,-5.812401832074032271e-01,9.777508993540948712e-01,1.179396006921279438e+00,5.804835721638942347e-01,1.638271326698283792e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,-9.762257264523926947e-01,-1.179050545879900769e+00,-5.806107582999388006e-01,9.761791852704475581e-01,1.178990770661797249e+00,5.801181420172276670e-01,1.636912367159126136e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,-9.768467272405515489e-01,-1.179991158671823914e+00,-5.796899524049728969e-01,9.767827874897225815e-01,1.179744179014305949e+00,5.790945964992167960e-01,1.637452745439978319e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,-9.768023381956720819e-01,-1.178922411185144625e+00,-5.794509055159196009e-01,9.767644671400637080e-01,1.178818834140906269e+00,5.790230636029980449e-01,1.636749943081391878e+00
