time_s,gt_x,gt_y,gt_z,est_prism_x,est_prism_y,est_prism_z,err_x,err_y,err_z,err_norm
3.346340560913085938e+01,1.031094888424612799e-05,1.814150029087318325e-04,1.115421943367601604e-03,6.715193018296808702e+00,3.132856433502201554e+00,-5.508622633309878225e+00,-6.715182707347924662e+00,-3.132675018499292641e+00,5.509738055253246003e+00,9.233880278739809100e+00
3.396354269981384277e+01,4.547180265704231679e-04,2.343946261347223503e-04,1.637738244286016456e-03,6.713769942018401160e+00,3.130079405858710917e+00,-5.508345651689364075e+00,-6.713315223991831004e+00,-3.129845011232576191e+00,5.509983389933649889e+00,9.231708836849366051e+00
3.426336169242858887e+01,2.242241495517564224e-04,-5.856086042954589733e-06,2.146209126259338105e-04,6.711431948529257063e+00,3.131843118496601797e+00,-5.508238823838810916e+00,-6.711207724379705475e+00,-3.131848974582644551e+00,5.508453444751436834e+00,9.229942928987272310e+00
3.436338186264038086e+01,-6.005108571837345104e-05,-1.154715099770591913e-04,-4.897019993821579136e-04,6.711606222808429223e+00,3.132710566281706743e+00,-5.508739081899621581e+00,-6.711666273894147494e+00,-3.132826037791683671e+00,5.508249379900239440e+00,9.230486140305128373e+00
3.446336650848388672e+01,-2.092412798193672599e-04,-2.618465012718908442e-04,-7.566110435089818146e-04,6.714693092404025343e+00,3.129440804576092638e+00,-5.508223077450655758e+00,-6.714902333683844482e+00,-3.129702651077364450e+00,5.507466466407146655e+00,9.231312957194802493e+00
3.456337046623229980e+01,-4.654118194513215162e-05,-5.977521810361148834e-05,-4.926162827111043923e-04,6.716100970463291908e+00,3.125695999899874788e+00,-5.508156770192973894e+00,-6.716147511645236712e+00,-3.125755775117978530e+00,5.507664153910262428e+00,9.230999458137237212e+00
3.466341567039489746e+01,-6.393975082892319024e-05,-2.469796575180094214e-04,-5.953559057561067219e-04,6.717959275334645319e+00,3.125115336855637249e+00,-5.506960263397804312e+00,-6.718023215085474398e+00,-3.125362316513155214e+00,5.506364907492048211e+00,9.231456007714481160e+00
3.476346182823181152e+01,-3.787105560835211471e-05,-1.035770442382509895e-04,-4.278419129215939917e-04,6.716698200347160252e+00,3.125934659399023374e+00,-5.506400496295316138e+00,-6.716736071402768182e+00,-3.126038236443261731e+00,5.505972654382394360e+00,9.230514253246949963e+00
3.486346101760864258e+01,-3.590013951404884453e-05,-3.036386855297916335e-04,-7.945838174576442918e-04,6.716962194308418788e+00,3.126426749893735035e+00,-5.506988041644499177e+00,-6.716998094447933276e+00,-3.126730388579264996e+00,5.506193457827041726e+00,9.231071049379888649e+00
3.496341562271118164e+01,-5.694182902254292490e-05,-2.043155884976666388e-04,-8.312702265476419215e-04,6.713018240507496515e+00,3.126188090133044550e+00,-5.507957582002767083e+00,-6.713075182336519120e+00,-3.126392405721542200e+00,5.507126311776219474e+00,9.228659062513566269e+00
3.506342005729675293e+01,-5.798667085901047720e-05,-3.087351694941311642e-04,-8.300707401858672691e-04,6.712641607059084414e+00,3.128308273031982445e+00,-5.508289191112937466e+00,-6.712699593729943182e+00,-3.128617008201476590e+00,5.507459120372751649e+00,9.229338339352755938e+00
