frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,trusted_snapshot_active,trusted_snapshot_points,trusted_snapshot_age,trusted_snapshot_evaluation_ran,trusted_snapshot_icp_converged,trusted_snapshot_aligned_points,trusted_snapshot_matched_points,trusted_snapshot_overlap_ratio,trusted_snapshot_fitness_rmse,trusted_snapshot_correction_translation,trusted_snapshot_correction_rotation,trusted_snapshot_consistency_translation,trusted_snapshot_consistency_rotation,trusted_snapshot_consistent_streak,trusted_snapshot_candidate_accepted,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,0,0,0,0.005596917,0.000573926,0.100000000,0.030000000,1.000000000,0.015459885,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.013567526,0.027398445,1,0,0,0,0,-0.006654494,-0.010062006,-0.004051645,-0.000023935,-0.000021998,0.000230330,0.999999973,2356,1607,0.682088285,0.016235121,0.004572640,0.003825212,0.187769889,73.269015240,1358,0.961012839,184.390294406,330.970593019,789.694547771,0.141289243,0.135780776,0,0,0,0,0,0.007528570,0.000139127,0.100000000,0.030000000,0.931732760,0.016235121,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000001043,0.000002848,0.000005828,0.141605976,0.989797308,-0.015780909,0.000000001,0.000000004,0.000000010,-0.005378099,0.024813570,-0.999677629,0.000000000,0.179948109,0.024459261,0.007514623,0.000079526,70.149033702,0,0.146465312,0.140032747,883,851,32,0.374787776,126,0,0,0,0,0,1346,127,3020,2109,230,0,0,2353
3,1624181089.961854219,1624181090.061850786,8,7,0,0.013532809,0.025739126,1,0,0,0,0,-0.006363196,-0.012748013,-0.004660899,0.000000318,-0.000035866,0.000126952,0.999999991,2369,1712,0.722667792,0.015788217,0.004079807,0.003263788,0.162350911,85.974380076,1432,0.962463414,179.377225076,328.652308698,870.218075470,0.130148766,0.125263425,0,0,0,0,0,0.005702402,0.000167487,0.100000000,0.030000000,0.888597878,0.015788217,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000828,0.000002275,0.000005202,0.144651492,0.989481686,-0.001392706,0.000000001,0.000000003,0.000000009,-0.000918794,0.008047651,-0.999967195,0.000000000,0.174082377,0.020073649,0.010284221,0.000286283,75.424149160,0,0.141026463,0.135109640,724,705,19,0.305614183,114,0,0,0,0,0,1531,114,3227,2833,344,0,0,3884
4,1624181090.061851978,1624181090.161860704,9,8,0,0.012950497,0.025239474,1,0,0,0,0,-0.001222734,-0.009885728,-0.005065810,-0.000030529,-0.000086332,0.000076259,0.999999993,2364,1775,0.750846024,0.016343085,0.004456844,0.003490068,0.172966302,87.997745890,1463,0.962930713,178.416086195,329.439773478,900.911773765,0.126646923,0.121952212,0,0,0,0,0,0.009316549,0.000169059,0.100000000,0.030000000,0.896366351,0.016343085,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000733,0.000001944,0.000004276,0.153235946,0.988189218,0.000902071,0.000000001,0.000000003,0.000000009,-0.007501088,0.015281928,-0.999855088,0.000000000,0.173803358,0.022202003,0.016181761,0.000387664,78.567548343,0,0.137431578,0.131820283,690,680,10,0.291878173,105,0,0,0,0,0,1569,105,3395,3523,449,0,0,5453
5,1624181090.161849499,1624181090.261902571,10,9,0,0.013046644,0.025504992,1,0,0,0,0,-0.002803684,-0.008798133,-0.004581180,-0.000020664,-0.000075160,0.000262299,0.999999963,2353,1798,0.764130897,0.016524450,0.004024530,0.003497536,0.164304324,88.891558011,1490,0.966014660,181.780107345,324.247986641,933.333750113,0.126292154,0.122000072,0,0,0,0,0,0.004341842,0.000348440,0.100000000,0.030000000,0.930541411,0.016524450,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000695,0.000001851,0.000003751,-0.122384850,-0.992481907,0.001269976,0.000000001,0.000000003,0.000000008,-0.004896000,0.000814309,0.999987683,0.000000000,0.171903551,0.024260724,0.018160935,0.000759741,80.632350276,0,0.135203693,0.129856241,546,534,12,0.232044199,110,0,0,0,0,0,1697,110,3534,4069,559,0,0,7150
6,1624181090.261847019,1624181090.361894131,11,10,0,0.012533416,0.026399256,1,0,0,0,0,-0.004264910,-0.008694799,-0.004078584,-0.000026113,-0.000052308,0.000163138,0.999999985,2337,1828,0.782199401,0.016159103,0.003356472,0.002888259,0.156233587,92.494402191,1508,0.968268920,174.267368361,331.872556071,954.009606313,0.119348988,0.115561915,0,0,0,0,0,0.001892208,0.000145012,0.100000000,0.030000000,0.917019744,0.016159103,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000670,0.000001850,0.000003628,-0.119216492,-0.992835067,0.008121438,0.000000001,0.000000002,0.000000008,-0.004206948,0.001457556,-0.999990089,0.000000000,0.169291890,0.022222273,0.019709633,0.000958063,82.609358929,0,0.132561242,0.127473853,438,421,17,0.187419769,98,0,0,0,0,0,1800,99,3645,4507,657,0,0,8950
7,1624181090.361844540,1624181090.461852789,12,11,0,0.013834681,0.025872072,1,0,0,0,0,-0.005144956,-0.009895296,-0.004407776,-0.000004143,-0.000016859,0.000254600,0.999999967,2363,1866,0.789674143,0.015681445,0.003455025,0.002895087,0.151442170,96.021060104,1529,0.969307729,174.414088872,328.437318387,979.220110885,0.117682640,0.114070693,0,0,0,0,0,0.001878246,0.000150838,0.100000000,0.030000000,0.916546851,0.015681445,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000661,0.000001811,0.000003591,-0.101324198,-0.994820175,0.008137914,0.000000001,0.000000002,0.000000008,-0.004705993,-0.001518813,-0.999987773,0.000000000,0.166741930,0.022448955,0.021234113,0.001140985,84.525316240,0,0.130435728,0.125559116,475,467,8,0.201015658,97,0,0,0,0,0,1790,98,3749,4982,754,0,0,10740
8,1624181090.461842060,1624181090.561805964,13,12,0,0.012092583,0.025070167,1,0,0,0,0,-0.006778079,-0.011470518,-0.003691984,-0.000009799,-0.000052970,0.000128078,0.999999990,2358,1880,0.797285835,0.015225683,0.003202513,0.002785235,0.143994370,101.357721470,1555,0.969469406,166.415810043,336.562017988,1004.547097655,0.110390089,0.107019814,0,0,0,0,0,0.001677704,0.000267092,0.100000000,0.030000000,0.871636561,0.015225683,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000645,0.000001813,0.000003709,-0.094549689,-0.995501588,0.006078176,0.000000001,0.000000002,0.000000009,-0.002627680,0.009009260,-0.999955963,0.000000000,0.163898485,0.026899990,0.023613352,0.001394028,86.629366893,0,0.127930023,0.123241703,388,377,11,0.164546226,97,0,0,0,0,0,1872,98,3856,5370,851,0,0,12612
9,1624181090.561839819,1624181090.661713123,14,13,0,0.012447280,0.025913325,1,0,0,0,0,-0.005831525,-0.015000866,-0.003793507,-0.000014165,-0.000043799,0.000195385,0.999999980,2380,1910,0.802521008,0.014168837,0.003082955,0.002637861,0.140590954,105.476003831,1577,0.970709424,167.636597896,329.635809160,1033.536355177,0.109508517,0.106300950,0,0,0,0,0,0.003622318,0.000162767,0.100000000,0.030000000,0.865888487,0.014168837,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000632,0.000001816,0.000003813,-0.111163983,-0.993770290,0.007948547,0.000000001,0.000000002,0.000000009,-0.005302974,0.015457616,-0.999866461,0.000000000,0.161308760,0.043509078,0.027269802,0.001528642,88.723437664,0,0.125883189,0.121359397,354,345,9,0.148739496,78,0,0,0,0,0,1947,79,3949,5724,929,0,0,14559
10,1624181090.661837339,1624181090.761733294,15,14,0,0.012989325,0.025725314,1,0,0,0,0,-0.007151638,-0.019586721,-0.003421936,0.000010069,-0.000047349,0.000268484,0.999999963,2377,1916,0.806058056,0.014963476,0.003037107,0.002682069,0.139247317,102.416961886,1573,0.970579363,166.116092798,321.289297559,1039.315948201,0.108805771,0.105604636,0,0,0,0,0,0.002645442,0.000136156,0.100000000,0.030000000,0.861540231,0.014963476,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000623,0.000001752,0.000003726,-0.098040043,-0.995159353,0.006783226,0.000000001,0.000000002,0.000000008,-0.000834718,0.004914181,-0.999987577,0.000000000,0.159102615,0.044014324,0.032056328,0.001674838,90.092790086,0,0.124175447,0.119783921,394,388,6,0.165755154,84,0,0,0,0,0,1897,86,4028,6118,1013,0,0,16456
