frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624182042.731771708,1624182042.831741571,1,0,0,0,-0.005461199,-0.002496447,-0.000778447,-0.000051233,0.000024326,0.000219743,0.999999974,2453,1554,0.633509988,0.015692239,0.003604312,0.003086207,0.219125464,62.506883056,0.000000000,0.219125464,0.000000000,0.000000000,0.000000000,62.506883056,0,1229,1204,25,0.501019160,138,0,0,0,0,0,1086,138,2809,1229,138,0,0,1086
2,1624182042.831768990,1624182042.931729317,1,0,0,0,-0.007467147,-0.001031431,-0.000618501,-0.000050304,0.000036987,0.000211504,0.999999976,2490,1720,0.690763052,0.014967229,0.003753756,0.003330518,0.188829860,80.236729386,0.000000000,0.203977662,0.023647172,0.002489113,0.000016479,71.371806221,0,954,935,19,0.383132530,131,0,0,0,0,0,1405,131,3057,2183,269,0,0,2491
3,1624182042.931766272,1624182043.031742096,1,0,0,0,-0.010570312,-0.001533774,-0.000705690,-0.000072427,0.000006446,0.000232581,0.999999970,2497,1857,0.743692431,0.014563076,0.003210012,0.002890929,0.165321777,90.823153411,0.000000000,0.191092367,0.030989497,0.005633883,0.000058635,77.855588618,0,766,746,20,0.306768122,109,0,0,0,0,0,1622,109,3243,2949,378,0,0,4113
4,1624182043.031763792,1624182043.131719828,1,0,0,0,-0.010948262,0.000102168,-0.000225201,-0.000071835,0.000004680,0.000280986,0.999999958,2510,1917,0.763745020,0.014672482,0.003270153,0.002684933,0.154220703,95.729659928,0.000000000,0.181874451,0.029409111,0.007380315,0.000155447,82.324106445,0,666,656,10,0.265338645,111,0,0,0,0,0,1733,111,3414,3615,489,0,0,5846
5,1624182043.131761074,1624182043.231636763,1,0,0,0,-0.011703143,-0.003110879,0.000057404,-0.000065310,-0.000001484,0.000240291,0.999999969,2477,1932,0.779975777,0.014157323,0.003217259,0.002776072,0.144517531,100.997643788,0.000000000,0.174403067,0.034546606,0.010692924,0.000236838,86.058813914,0,533,529,4,0.215179653,112,0,0,0,0,0,1832,112,3520,4148,601,0,0,7678
6,1624182043.231758356,1624182043.331623554,1,0,0,0,-0.012822527,-0.003451048,-0.000043253,-0.000054738,0.000001687,0.000260767,0.999999965,2503,1989,0.794646424,0.013842248,0.002889506,0.002580208,0.144087285,101.055992681,0.000000000,0.169350437,0.040290435,0.011867176,0.000277790,88.558343708,0,488,484,4,0.194966041,96,0,0,0,0,0,1919,96,3608,4636,697,0,0,9597
7,1624182043.331755638,1624182043.431613207,1,0,0,0,-0.012318447,-0.007083372,0.000007009,-0.000076361,-0.000004566,0.000254160,0.999999965,2493,1988,0.797432812,0.014124416,0.003155056,0.002746830,0.139987109,104.267103461,0.000000000,0.165155676,0.039553351,0.015534655,0.000291002,90.802452244,0,463,459,4,0.185720016,87,0,0,0,0,0,1943,87,3702,5099,784,0,0,11540
8,1624182043.431752920,1624182043.531715631,1,0,0,0,-0.012367103,-0.003416768,-0.001155451,-0.000072306,-0.000004076,0.000253235,0.999999965,2508,2044,0.814992026,0.013659022,0.002838288,0.002436668,0.139570262,105.288327496,0.000000000,0.161957499,0.042763710,0.019381429,0.000292854,92.613186651,0,409,406,3,0.163078150,103,0,0,0,0,0,1996,103,3779,5508,887,0,0,13536
9,1624182043.531750441,1624182043.631736755,1,0,0,0,-0.013058153,-0.007238736,-0.001507635,-0.000066860,0.000002661,0.000274910,0.999999960,2489,2027,0.814383286,0.012995606,0.002515315,0.002199493,0.136920058,103.208172311,0.000000000,0.159175561,0.051947649,0.023281304,0.000336204,93.790407280,0,374,372,2,0.150261149,73,0,0,0,0,0,2042,73,3853,5882,960,0,0,15578
10,1624182043.631747723,1624182043.731747389,1,0,0,0,-0.011623448,-0.008183072,-0.000895363,-0.000043942,0.000012709,0.000308089,0.999999951,2489,2031,0.815990358,0.013078080,0.002827436,0.002475208,0.131271797,108.962856531,0.000000000,0.156385185,0.056001899,0.025104770,0.000402561,95.307652205,0,371,366,5,0.149055846,81,0,0,0,0,0,2037,81,3927,6253,1041,0,0,17615
11,1624182043.731745005,1624182043.831698895,1,0,0,0,-0.014068485,-0.008706693,-0.000594860,-0.000049582,-0.000004608,0.000277168,0.999999960,2508,2042,0.814194577,0.012875523,0.002547881,0.002279597,0.128662686,109.562644353,0.000000000,0.153864957,0.060047305,0.027623239,0.000464400,96.603560582,0,379,375,4,0.151116427,84,0,0,0,0,0,2044,85,4002,6632,1125,0,0,19659
12,1624182043.831742287,1624182043.931715012,1,0,0,0,-0.015668771,-0.004938389,-0.000469477,-0.000048259,0.000011672,0.000280184,0.999999960,2469,2034,0.823815310,0.012804149,0.002310871,0.002073839,0.126786213,109.652308753,0.000000000,0.151608395,0.063014195,0.031719182,0.000470429,97.690956263,0,311,309,2,0.125961928,68,0,0,0,0,0,2090,68,4052,6943,1193,0,0,21749
13,1624182043.931739569,1624182044.031702757,1,0,0,0,-0.015878022,-0.003856938,-0.000791956,-0.000066813,-0.000001511,0.000212324,0.999999975,2494,2056,0.824378508,0.013020337,0.002138170,0.001926455,0.132709286,108.202669154,0.000000000,0.150154618,0.063431932,0.032866925,0.000606146,98.499549562,0,319,317,2,0.127906977,62,0,0,0,0,0,2113,62,4105,7262,1255,0,0,23862
14,1624182044.031737089,1624182044.131705284,1,0,0,0,-0.016352501,0.003052141,-0.001021951,-0.000071358,-0.000004786,0.000195819,0.999999978,2482,2060,0.829975826,0.013471450,0.002283787,0.001949173,0.128782815,109.630751390,0.000000000,0.148628060,0.061724860,0.039796096,0.000639156,99.294635407,0,297,294,3,0.119661563,83,0,0,0,0,0,2102,83,4161,7559,1338,0,0,25964
15,1624182044.131734371,1624182044.231661558,1,0,0,0,-0.016061351,0.008465147,-0.001325290,-0.000082563,-0.000010733,0.000055409,0.999999995,2477,2052,0.828421478,0.013024046,0.002342420,0.002013327,0.125138976,113.100109083,0.000000000,0.147062121,0.061711932,0.045225407,0.000919974,100.215000319,0,347,342,5,0.140088817,89,0,0,0,0,0,2039,91,4220,7906,1427,0,0,28003
16,1624182044.231731653,1624182044.331601620,1,0,0,0,-0.020174579,0.006060320,-0.000990662,-0.000058575,0.000007139,0.000286025,0.999999957,2483,2061,0.830044301,0.012138616,0.002023594,0.001773563,0.120147968,114.166572815,0.000000000,0.145379987,0.066959066,0.050001788,0.001381203,101.086973600,0,342,336,6,0.137736609,71,0,0,0,0,0,2070,71,4284,8248,1498,0,0,30073
17,1624182044.331728935,1624182044.431641579,1,0,0,0,-0.021331227,0.003631299,-0.000966439,-0.000062681,0.000009292,0.000259776,0.999999964,2486,2070,0.832662912,0.012618938,0.002113046,0.001868350,0.118185361,117.960293444,0.000000000,0.143780303,0.067843228,0.052692246,0.001433701,102.079521826,0,278,274,4,0.111826227,67,0,0,0,0,0,2140,68,4328,8526,1565,0,0,32213
18,1624182044.431726217,1624182044.531718016,1,0,0,0,-0.020217396,0.004551082,-0.001110857,-0.000080372,-0.000015103,0.000225133,0.999999971,2487,2081,0.836751106,0.011919834,0.001983361,0.001728969,0.120041774,114.230468021,0.000000000,0.142461496,0.072426643,0.054143961,0.001502984,102.754574392,0,230,229,1,0.092480901,59,0,0,0,0,0,2198,59,4372,8756,1624,0,0,34411
19,1624182044.531723499,1624182044.631760836,1,0,0,0,-0.019564837,0.005071755,-0.001107616,-0.000070957,-0.000005501,0.000353151,0.999999935,2502,2087,0.834132694,0.012096402,0.002101331,0.001844564,0.113488571,119.830872240,0.000000000,0.140936605,0.074799865,0.054978793,0.001759018,103.653326911,0,272,269,3,0.108713030,64,0,0,0,0,0,2166,64,4414,9028,1688,0,0,36577
20,1624182044.631721020,1624182044.731744528,1,0,0,1,-0.019048188,0.001652950,-0.000416271,-0.000061726,-0.000010568,0.000365673,0.999999931,2470,2067,0.836842105,0.012094004,0.002110591,0.001902066,0.111963209,116.494033735,0.000000000,0.139487935,0.076571250,0.058504855,0.001784062,104.295362252,0,252,249,3,0.102024291,61,0,0,0,0,0,2157,61,4455,9280,1749,0,0,38734
21,1624182044.731718302,1624182044.831701040,1,0,0,1,-0.016988148,-0.001110593,-0.000213968,-0.000047990,0.000006320,0.000278791,0.999999960,2519,2119,0.841206828,0.012228973,0.002106507,0.001911720,0.113355577,119.333565537,0.000000000,0.134199441,0.068676765,0.059468547,0.001941349,107.136696376,0,192,189,3,0.076220723,58,0,0,0,0,0,2269,58,4501,9472,1807,0,0,41003
22,1624182044.831715584,1624182044.931698799,1,0,0,1,-0.017819410,-0.001747111,-0.000547664,-0.000070590,-0.000010172,0.000415280,0.999999911,2496,2091,0.837740385,0.012736868,0.002071013,0.001899080,0.112242890,120.059260300,0.000000000,0.130370092,0.062457003,0.057422641,0.002172174,109.127822922,0,268,266,2,0.107371795,74,0,0,0,0,0,2154,74,4541,9740,1881,0,0,43157
23,1624182044.931712866,1624182045.031619072,1,0,0,1,-0.020953479,-0.002129064,-0.000764564,-0.000075723,0.000006481,0.000482782,0.999999881,2515,2112,0.839761431,0.012977652,0.002001932,0.001746253,0.110259962,120.022407491,0.000000000,0.127617002,0.057365845,0.058840909,0.002210364,110.587785626,0,280,276,4,0.111332008,70,0,0,0,0,0,2165,70,4591,10020,1951,0,0,45322
24,1624182045.031710148,1624182045.131543159,1,0,0,1,-0.021664567,-0.002351659,-0.000757670,-0.000074549,-0.000009884,0.000416732,0.999999910,2511,2129,0.847869375,0.011876443,0.001800619,0.001647557,0.107900780,123.559881520,0.000000000,0.125301005,0.053178698,0.056273445,0.002261073,111.979296705,0,217,212,5,0.086419753,66,0,0,0,0,0,2228,66,4625,10237,2017,0,0,47550
25,1624182045.131707668,1624182045.231560707,1,0,0,1,-0.022593260,-0.004319661,-0.001004987,-0.000060802,-0.000010372,0.000501571,0.999999872,2503,2120,0.846983620,0.011838302,0.002044104,0.001844482,0.107275285,124.535815127,0.000000000,0.123438893,0.051376685,0.057289324,0.002389800,113.156205272,0,275,274,1,0.109868158,64,0,0,0,0,0,2164,64,4669,10512,2081,0,0,49714
26,1624182045.231704950,1624182045.331511497,1,0,0,1,-0.022826447,-0.002649034,-0.000585004,-0.000062627,-0.000007704,0.000479311,0.999999883,2502,2114,0.844924061,0.012010281,0.001837915,0.001705601,0.107072596,122.496156539,0.000000000,0.121588159,0.049485123,0.055360164,0.002421109,114.228213465,0,212,211,1,0.084732214,51,0,0,0,0,0,2239,51,4708,10724,2132,0,0,51953
27,1624182045.331702232,1624182045.431548595,1,0,0,1,-0.022558852,0.000524488,-0.000799887,-0.000071312,-0.000014311,0.000397249,0.999999918,2510,2129,0.848207171,0.012889533,0.001839250,0.001688448,0.106451985,125.797928207,0.000000000,0.119911402,0.042508645,0.054705415,0.002583380,115.304754702,0,169,166,3,0.067330677,75,0,0,0,0,0,2266,75,4741,10893,2207,0,0,54219
28,1624182045.431699514,1624182045.531646252,1,0,0,1,-0.023064423,0.004510679,-0.001462076,-0.000071319,-0.000014418,0.000396978,0.999999919,2491,2116,0.849458049,0.011896029,0.001947817,0.001644363,0.102944738,127.669456841,0.000000000,0.118080126,0.040044012,0.054877864,0.002540571,116.423811170,0,188,187,1,0.075471698,54,0,0,0,0,0,2249,54,4773,11081,2261,0,0,56468
