frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1706584505.472604513,1706584505.572421074,42,41,0,0.009211181,0.012499862,0,1,0,0,0,-0.046471458,0.008139063,0.006786744,-0.002148676,0.000942425,0.000232647,0.999997220,1068,771,0.721910112,0.029463920,0.013398337,0.009735886,0.022536926,106.122171255,749,0.957790738,17.456575791,278.384771025,421.543915674,0.024333614,0.023306510,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000009521,0.000016228,0.000096859,0.971223347,-0.238022161,-0.008405984,0.000000000,0.000000068,0.000001313,0.972308979,-0.233557897,-0.008121488,0.000000000,0.022536926,0.000000000,0.000000000,0.000000000,106.122171255,0,703,661,42,0.658239700,0,0,0,0,0,0,365,0,1420,703,0,0,0,365
2,1706584505.572432756,1706584505.672264338,43,42,0,0.010001731,0.017551761,0,1,1,1,0,-0.008620385,-0.000888278,0.005121800,-0.000205477,0.000423689,0.000437524,0.999999793,1088,828,0.761029412,0.022236615,0.011782120,0.008332481,0.018334718,111.725955723,793,0.953707360,12.783412870,295.270697317,448.235826084,0.016902794,0.016120319,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000008690,0.000013095,0.000108582,0.970703102,-0.240251579,0.003829587,0.000000103,0.000000139,0.000001173,0.972410848,-0.233210962,-0.005457963,0.500000000,0.020435822,0.139791678,0.038948282,0.000413631,108.924063489,1,480,465,15,0.441176471,0,0,0,0,0,0,608,0,1547,1183,0,0,0,973
3,1706584505.673074007,1706584505.772902966,44,43,0,0.010752040,0.015270075,0,1,0,1,0,-0.100096199,0.029256130,0.003563760,0.000379006,0.000370755,0.000095770,0.999999855,1120,813,0.725892857,0.023550571,0.011849732,0.008255347,0.022216785,111.665816488,827,0.947181571,18.578838654,295.330694613,469.409626236,0.023718096,0.022465343,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000006810,0.000010496,0.000078254,0.971347178,-0.237657013,-0.001950411,0.000000023,0.000000055,0.000001232,0.973931334,-0.226819760,-0.003248633,0.333333333,0.021029476,0.125316035,0.135275523,0.001096685,109.837981155,0,469,449,20,0.418750000,0,0,0,0,0,0,651,0,1741,1652,0,0,0,1624
4,1706584505.772915125,1706584505.872747898,45,44,0,0.010851499,0.016644961,0,1,0,1,0,-0.102452040,0.029474541,0.003211765,-0.000369840,0.000457809,0.000263818,0.999999792,1090,844,0.774311927,0.021703849,0.010389890,0.007640417,0.027911431,94.770495870,815,0.946750025,16.221723628,304.264977551,451.114569173,0.021023454,0.019903955,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005735,0.000008556,0.000052882,0.968140175,-0.250320238,-0.006661882,0.000000021,0.000000043,0.000001103,0.974757207,-0.223197238,0.005601893,0.250000000,0.022749965,0.127511682,0.137667507,0.001432162,106.071109834,0,369,356,13,0.338532110,0,0,0,0,0,0,721,0,1856,2021,0,0,0,2345
5,1706584505.872760773,1706584505.972007751,46,45,0,0.007729339,0.012758232,0,1,0,0,0,-0.085128674,0.027771179,0.000788671,-0.000119142,0.000277569,0.000154092,0.999999943,1066,800,0.750469043,0.017709225,0.009686769,0.006924602,0.028555422,92.632156857,798,0.944390004,19.673650518,289.235543884,444.714028781,0.026105420,0.024653697,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000005356,0.000008376,0.000045221,0.970469318,-0.241122088,0.007031462,0.000000023,0.000000051,0.000001145,0.977294751,-0.211132403,0.017834722,0.200000000,0.023911057,0.165836503,0.155242256,0.001651341,103.383319239,0,300,292,8,0.281425891,0,0,0,0,0,0,766,0,1951,2321,0,0,0,3111
6,1706584505.972593784,1706584506.070913076,47,46,0,0.013196522,0.019295452,0,1,0,0,0,-0.106779238,0.034626021,0.005088038,0.001145474,0.000420269,-0.000011213,0.999999256,1058,827,0.781663516,0.022603454,0.010717248,0.007171159,0.027107169,98.610723098,815,0.944392701,17.017803603,293.935773806,458.726473858,0.022110231,0.020880741,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004854,0.000007276,0.000040986,0.968519456,-0.247758008,0.024208098,0.000000019,0.000000032,0.000001113,0.974773640,-0.222640639,0.015732036,0.166666667,0.024443742,0.151845413,0.178355463,0.001980922,102.587886548,0,299,291,8,0.282608696,0,0,0,0,0,0,759,0,2061,2620,0,0,0,3870
7,1706584506.072422743,1706584506.169879913,47,47,0,0.012171430,0.016855576,0,1,0,0,0,-0.080639881,0.030624468,0.009484332,0.001858525,0.000382993,-0.000056874,0.999998198,1072,823,0.767723881,0.022521295,0.011617098,0.007871473,0.030092339,97.175398395,809,0.945283369,17.730881848,283.017491088,463.985872699,0.023185678,0.021917036,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004756,0.000006845,0.000035509,0.965469651,-0.258601385,0.031522631,0.000000017,0.000000038,0.000001048,0.977463003,-0.210483829,0.016206015,0.142857143,0.025250685,0.141001341,0.205162288,0.002071782,101.814673955,0,270,264,6,0.251865672,0,0,0,0,0,0,802,0,2141,2890,0,0,0,4672
8,1706584506.173064470,1706584506.272882462,49,48,0,0.013802123,0.019243354,0,1,0,0,0,-0.083013675,0.024263503,0.010076624,0.001390477,0.000388102,0.000309341,0.999998910,1061,800,0.754005655,0.019715203,0.010626038,0.007419600,0.023635585,106.615002432,813,0.940440851,16.548448417,292.411653139,455.618310115,0.021643887,0.020354795,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004859,0.000007005,0.000037964,0.970382404,-0.239739018,0.029718556,0.000000020,0.000000040,0.000001136,0.978041455,-0.207859674,0.015141611,0.125000000,0.025048797,0.141803397,0.211977534,0.002803867,102.414715015,0,253,248,5,0.238454288,0,0,0,0,0,0,808,0,2217,3143,0,0,0,5480
9,1706584506.272894382,1706584506.372726202,50,49,0,0.011821941,0.019182320,0,1,0,0,0,-0.090680611,0.019705436,0.012758761,-0.000223049,0.000813242,0.000213511,0.999999622,1088,826,0.759191176,0.022632042,0.011445101,0.008581784,0.046086596,81.920540502,859,0.945078669,23.256585610,302.771436265,485.794555135,0.028647375,0.027074023,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004455,0.000006471,0.000026608,0.965436343,-0.257756027,0.038658755,0.000000015,0.000000029,0.000001127,0.975152501,-0.220523864,0.021138255,0.111111111,0.027386330,0.133592786,0.221291596,0.002996969,100.137584513,0,228,225,3,0.209558824,0,0,0,0,0,0,860,0,2288,3371,0,0,0,6340
10,1706584506.372737408,1706584506.472570419,51,50,0,0.011162687,0.021739945,0,1,0,0,0,-0.091051686,0.026022968,0.016637758,0.000182696,0.000862116,0.000073741,0.999999609,1061,819,0.771913289,0.022636957,0.011515121,0.008329675,0.039380158,85.738467557,849,0.947119834,19.182288822,302.491812078,482.430637791,0.023855460,0.022593980,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004604,0.000006541,0.000025272,0.968618202,-0.246890372,0.028704069,0.000000017,0.000000037,0.000001107,0.978279528,-0.207180986,0.006723457,0.100000000,0.028585713,0.126659357,0.228714233,0.003275832,98.697672818,0,218,210,8,0.205466541,0,0,0,0,0,0,843,0,2366,3589,0,0,0,7183
11,1706584506.472582340,1706584506.572411060,52,51,0,0.012967550,0.021201909,0,1,0,0,0,-0.102678781,0.030054630,0.013511735,0.000116494,0.000655809,0.000077715,0.999999775,1097,827,0.753874202,0.020541433,0.010962975,0.007796007,0.041475200,83.053455682,835,0.943717912,20.542701790,290.105257439,477.356497267,0.026069271,0.024602038,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004659,0.000006612,0.000023934,0.967337130,-0.253493346,0.000026367,0.000000017,0.000000030,0.000001186,0.976549042,-0.214735751,0.015508874,0.090909091,0.029757485,0.124249779,0.241411305,0.003283619,97.275471260,0,223,218,5,0.203281677,0,0,0,0,0,0,874,0,2428,3812,0,0,0,8057
12,1706584506.572422504,1706584506.672256708,53,52,0,0.011302497,0.021064260,0,1,0,0,0,-0.099352679,0.028373857,0.006756436,0.000522263,0.000353262,0.000167416,0.999999787,1085,817,0.752995392,0.021905679,0.010380216,0.008218414,0.040937939,85.563139605,845,0.942360490,18.617114661,302.140773753,475.536725874,0.023379682,0.022032088,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004309,0.000006460,0.000023850,0.964444035,-0.263912518,-0.014067181,0.000000015,0.000000036,0.000001123,0.979885397,-0.199064043,0.014075347,0.083333333,0.030689189,0.119237398,0.249126356,0.003463237,96.299443622,0,185,182,3,0.170506912,0,0,0,0,0,0,900,0,2478,3997,0,0,0,8957
13,1706584506.673066139,1706584506.772905827,54,53,0,0.010358336,0.014036904,0,1,0,0,0,-0.100190392,0.029147849,0.003304535,-0.000269506,0.000455417,0.000135712,0.999999851,1087,804,0.739650414,0.018873035,0.010118994,0.007394100,0.042602616,75.547757481,853,0.942668593,25.638680820,299.538157627,478.919471060,0.031885087,0.030057070,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004530,0.000006759,0.000023424,0.965501695,-0.260193188,-0.010294757,0.000000020,0.000000036,0.000001227,0.979208133,-0.202167426,0.016726161,0.076923077,0.031605607,0.122993538,0.252761800,0.003527260,94.703160073,0,171,169,2,0.157313707,0,0,0,0,0,0,916,0,2519,4168,0,0,0,9873
