frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624182042.631774426,1624182042.731703758,6,5,0,0.013179242,0.025014662,0,1,0,0,0,-0.000123177,0.005383962,-0.000864742,-0.000071547,0.000013309,-0.000002751,0.999999997,2486,1595,0.641592920,0.015912153,0.004356641,0.003636743,0.213637131,64.962780896,1386,0.955567938,202.117915569,410.894310715,711.404936229,0.152608952,0.145828222,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000001070,0.000002380,0.000005912,0.112718016,0.993562619,-0.011312447,0.000000001,0.000000006,0.000000010,-0.014850023,0.036537893,-0.999221927,0.000000000,0.213637131,0.000000000,0.000000000,0.000000000,64.962780896,0,1392,1355,37,0.559935640,0,0,0,0,0,0,1094,0,2879,1392,0,0,0,1094
2,1624182042.731771708,1624182042.831741571,7,6,0,0.013713259,0.024837116,0,1,0,0,0,-0.002056854,0.006464157,-0.000628693,-0.000049551,0.000019358,-0.000013673,0.999999998,2454,1723,0.702118989,0.014335113,0.003780845,0.003369153,0.186871042,82.442982438,1480,0.956522192,183.079651119,420.722187444,811.851005624,0.129325245,0.123702467,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000944,0.000002375,0.000005795,0.134481291,0.990831973,-0.012914462,0.000000001,0.000000004,0.000000009,-0.018671117,0.036673379,-0.999152868,0.000000000,0.200254086,0.052138284,0.002227476,0.000021845,73.702881667,0,975,964,11,0.397310513,0,0,0,0,0,0,1479,0,3124,2367,0,0,0,2573
3,1624182042.831768990,1624182042.931729317,8,7,0,0.013736145,0.025194523,0,1,0,0,0,-0.006353132,0.003744773,-0.000786503,-0.000044679,0.000005901,0.000122301,0.999999992,2497,1845,0.738886664,0.013077150,0.003513206,0.003125189,0.160559484,93.351064652,1567,0.960966807,177.485081298,409.637488575,918.712416755,0.117864894,0.113264251,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000730,0.000001944,0.000004881,0.112204626,0.993575330,-0.014771106,0.000000001,0.000000003,0.000000009,-0.015513655,0.012200236,-0.999805221,0.000000000,0.187022552,0.080312177,0.007314514,0.000293794,80.252275995,0,857,841,16,0.343211854,0,0,0,0,0,0,1640,0,3317,3224,0,0,0,4213
4,1624182042.931766272,1624182043.031742096,9,8,0,0.013719213,0.024026892,0,1,0,0,0,-0.006836649,0.007585768,-0.001532719,-0.000078839,-0.000019388,0.000035875,0.999999996,2496,1897,0.760016026,0.012517780,0.003115748,0.002583850,0.142365476,102.111551158,1596,0.961681406,167.805936447,405.514287219,961.523300050,0.109330973,0.105141564,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000629,0.000001707,0.000004476,0.086164057,0.996208068,-0.012051563,0.000000001,0.000000003,0.000000009,-0.014700862,0.016464983,-0.999756365,0.000000000,0.175858283,0.093470384,0.011257085,0.000466642,85.717094786,0,696,680,16,0.278846154,0,0,0,0,0,0,1800,0,3482,3920,0,0,0,6013
5,1624182043.031763792,1624182043.131719828,10,9,0,0.013389387,0.024586995,0,1,0,0,0,-0.004895661,0.009782247,-0.001167395,-0.000073923,0.000002223,0.000091979,0.999999993,2510,1939,0.772509960,0.012504646,0.003156098,0.002816735,0.137089003,104.373116927,1615,0.964492593,168.544003121,400.052582556,989.058951330,0.108203643,0.104361612,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000596,0.000001629,0.000004151,0.081789909,0.996586752,-0.011191762,0.000000001,0.000000003,0.000000009,-0.014598786,0.015640606,-0.999771097,0.000000000,0.168104427,0.095422002,0.014210966,0.000578846,89.448299214,0,598,591,7,0.238247012,0,0,0,0,0,0,1912,0,3615,4518,0,0,0,7925
6,1624182043.131761074,1624182043.231636763,10,10,0,0.013214212,0.026129065,0,1,0,0,0,-0.005830304,0.010047744,-0.001109163,-0.000080998,0.000003235,0.000096928,0.999999992,2472,1919,0.776294498,0.011693495,0.002751802,0.002409345,0.132491332,107.047521375,1613,0.964067449,164.887281608,396.646553162,993.506960180,0.106034055,0.102223981,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000594,0.000001678,0.000004110,-0.092865568,-0.995570294,0.014689298,0.000000001,0.000000003,0.000000010,-0.014399325,0.012332969,-0.999820263,0.000000000,0.162168911,0.104947768,0.015184330,0.000588743,92.381502907,0,530,526,4,0.214401294,0,0,0,0,0,0,1942,0,3714,5048,0,0,0,9867
7,1624182043.331755638,1624182043.431613207,12,11,0,0.013625566,0.025384860,0,1,0,0,0,-0.005288695,0.007072018,-0.000824610,-0.000073725,0.000010299,0.000144572,0.999999987,2490,1957,0.785943775,0.011692910,0.002533189,0.002284632,0.129116517,109.980325110,1640,0.964829029,156.592332212,400.662287079,1025.064987804,0.098963782,0.095483129,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000698,0.000002099,0.000005277,-0.080978819,-0.996649337,0.011512196,0.000000001,0.000000002,0.000000010,-0.015976802,0.017273716,-0.999723142,0.000000000,0.157447141,0.108245745,0.018222299,0.000684030,94.895620365,0,467,462,5,0.187550201,0,0,0,0,0,0,2023,0,3819,5515,0,0,0,11890
8,1624182043.431752920,1624182043.531715631,13,12,0,0.013098452,0.026246104,0,1,0,0,0,-0.006239068,0.009441700,-0.001372442,-0.000079319,-0.000006230,0.000200375,0.999999977,2504,2006,0.801118211,0.011480003,0.002486403,0.002191888,0.119312902,114.979748311,1677,0.966606600,156.560164693,397.584673805,1066.854430094,0.096582502,0.093357284,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000563,0.000001701,0.000004415,-0.074548364,-0.997133222,0.012956787,0.000000001,0.000000002,0.000000010,-0.012394543,0.013156293,-0.999836630,0.000000000,0.152680361,0.110961331,0.020833567,0.000795640,97.406136358,0,490,486,4,0.195686901,0,0,0,0,0,0,2014,0,3910,6005,0,0,0,13904
9,1624182043.531750441,1624182043.631736755,14,13,0,0.013461774,0.025733000,0,1,0,0,0,-0.007969661,0.005044453,-0.001471452,-0.000077933,-0.000004248,0.000114961,0.999999990,2488,1996,0.802250804,0.011082685,0.002151136,0.001968025,0.123435126,110.875299262,1655,0.964833664,154.391815057,392.999406004,1049.408492614,0.096688278,0.093288106,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000556,0.000001667,0.000004066,0.079890993,0.996677348,-0.015864849,0.000000001,0.000000002,0.000000010,0.011343207,-0.024166862,0.999643584,0.000000000,0.149430890,0.115419595,0.025560145,0.000966468,98.902710014,0,383,381,2,0.153938907,0,0,0,0,0,0,2105,0,3979,6388,0,0,0,16009
10,1624182043.631747723,1624182043.731747389,15,14,0,0.013313993,0.025284178,0,1,0,0,0,-0.009896111,0.003939834,-0.001075454,-0.000053342,0.000000440,0.000219459,0.999999974,2493,1991,0.798636181,0.010943487,0.002033894,0.001826332,0.113151807,119.682794335,1698,0.963372169,150.612738205,385.259480284,1099.933724766,0.092072497,0.088700081,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000551,0.000001658,0.000004151,0.081123741,0.996564674,-0.016667026,0.000000001,0.000000002,0.000000010,-0.009428759,0.008890249,-0.999916027,0.000000000,0.145802982,0.118733114,0.027815850,0.001175463,100.980718446,0,419,415,4,0.168070598,0,0,0,0,0,0,2074,0,4055,6807,0,0,0,18083
