frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1517157221.206058979,1517157221.306898355,22,21,0,0.008682659,0.014971945,0,1,0,0,0,0.011795077,-0.025138236,-0.005493179,-0.000433046,-0.000589328,0.004795062,0.999988236,783,635,0.810983397,0.037650720,0.019150440,0.015671395,0.564657410,32.196486167,415,0.947769642,82.270981606,116.440854694,194.612565265,0.209168262,0.198243329,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004088,0.000006072,0.000007580,-0.112216209,0.400074665,-0.909586601,0.000000000,0.000000000,0.000003538,0.930065436,0.364656658,-0.044763904,0.000000000,0.564657410,0.000000000,0.000000000,0.000000000,32.196486167,0,406,405,1,0.518518519,0,0,0,0,0,0,377,0,888,406,0,0,0,377
2,1517157221.306919098,1517157221.407758236,23,22,0,0.003517330,0.008714526,0,1,0,0,0,0.011737017,-0.016581956,-0.004090591,0.000944165,-0.000030144,0.005274009,0.999985646,778,601,0.772493573,0.021787709,0.010838553,0.007897069,0.659818485,28.657870888,439,0.942063828,92.229496993,120.370243422,200.966279897,0.223010336,0.210089970,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004614,0.000006048,0.000007923,-0.113864609,0.557972223,-0.822010857,0.000000000,0.000000090,0.000003942,0.933352706,0.356195867,-0.044466068,0.000000000,0.612237948,0.266881403,0.008670672,0.000957331,30.427178528,0,188,187,1,0.241645244,0,0,0,0,0,0,590,0,919,594,0,0,0,967
3,1517157221.407778978,1517157221.508618355,24,23,0,0.087530612,0.361302370,0,1,0,0,0,0.012811407,-0.012474802,0.005980919,0.003247010,-0.003352357,0.006707758,0.999966612,772,573,0.742227979,0.026956796,0.013905998,0.009759627,0.624818183,26.781949522,433,0.941541178,87.182039094,116.545064388,203.960226592,0.213845348,0.201344201,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004328,0.000005140,0.000007645,0.180866052,-0.431188077,0.883948140,0.000000018,0.000000040,0.000003922,0.935034211,0.351597685,-0.045717522,0.000000000,0.616431359,0.229376425,0.019600372,0.003803328,29.212102192,0,272,261,11,0.352331606,0,0,0,0,0,0,500,0,1021,866,0,0,0,1467
4,1517157221.508639097,1517157221.609478235,25,24,0,0.301454163,0.368724600,0,1,0,0,0,0.028740719,-0.003613464,-0.040929022,0.013377576,-0.019165171,0.011446624,0.999661298,758,561,0.740105541,0.046296710,0.025062055,0.019131039,0.619049071,21.433356196,432,0.929722230,85.579262347,121.531579792,194.529161199,0.213074548,0.198100144,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003621,0.000004484,0.000006719,0.193729658,-0.420923979,0.886166927,0.000000025,0.000000038,0.000002896,0.937824601,0.336963023,-0.083312299,0.000000000,0.617085787,0.286198188,0.069927391,0.012800629,27.267415693,0,262,246,16,0.345646438,0,0,0,0,0,0,496,0,1139,1128,0,0,0,1963
5,1517157221.609498978,1517157221.710338354,26,25,0,0.154462938,0.225674091,0,1,0,0,0,0.052411966,-0.005186169,-0.044697462,0.009756760,-0.010571700,0.015057459,0.999783135,757,559,0.738441215,0.031511073,0.016022393,0.012280129,0.546090952,23.463341716,446,0.922707011,81.322506734,131.906097255,198.298722927,0.197611438,0.182337459,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003155,0.000004391,0.000006263,-0.169167633,0.381219846,-0.908874986,0.000000023,0.000000050,0.000002822,0.937811217,0.342454709,-0.056876128,0.000000000,0.602886820,0.259365375,0.093948267,0.020322752,26.506600898,0,237,215,22,0.313077939,0,0,0,0,0,0,520,0,1252,1365,0,0,0,2483
6,1517157221.710359097,1517157221.811198235,27,26,0,0.131595970,0.163240227,0,1,0,0,0,0.074401039,0.000839247,-0.066091581,0.012817679,-0.005272282,0.015466453,0.999784326,775,536,0.691612903,0.060013078,0.035484805,0.022278365,0.615553803,23.101993138,464,0.913416423,94.553477204,130.004569771,199.267173168,0.223095448,0.203779046,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003157,0.000004239,0.000005732,-0.146701522,0.448478556,-0.881672075,0.000000022,0.000000046,0.000002735,0.942425290,0.331045187,-0.047367259,0.000000000,0.604997984,0.341655141,0.125213795,0.021207113,25.939166271,0,268,252,16,0.345806452,0,0,0,0,0,0,507,0,1378,1633,0,0,0,2990
7,1517157221.811218977,1517157221.912058353,28,27,0,0.101703699,0.116544086,0,1,0,0,0,0.081462314,-0.001696238,-0.055475226,0.011849799,-0.001520469,0.015307100,0.999811464,790,549,0.694936709,0.050020127,0.030269150,0.020201482,0.540705941,25.874495858,486,0.915805273,95.867474568,128.504051163,220.709836987,0.215393145,0.197258178,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003041,0.000004326,0.000005332,-0.132787646,0.439895308,-0.888177662,0.000000017,0.000000095,0.000002871,0.940735412,0.336286994,-0.043908353,0.000000000,0.595813406,0.322184767,0.138213691,0.021427565,25.929927641,0,239,226,13,0.302531646,0,0,0,0,0,0,551,0,1495,1872,0,0,0,3541
8,1517157221.912080050,1517157222.012864351,29,28,0,0.023713122,0.040783371,0,1,0,0,0,0.074550501,-0.009831435,-0.046524260,0.009874531,-0.002494618,0.013851046,0.999852199,793,536,0.675914250,0.032785636,0.014854022,0.011062293,0.567051329,22.904360060,491,0.909977886,91.484931217,135.987232545,219.326978109,0.204756282,0.186323689,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003076,0.000004421,0.000005325,-0.084075969,0.478159039,-0.874239764,0.000000023,0.000000036,0.000002934,0.941525082,0.333946197,-0.044838128,0.000000000,0.592218147,0.312540362,0.152144749,0.024352263,25.551731693,0,194,187,7,0.244640605,0,0,0,0,0,0,599,0,1583,2066,0,0,0,4140
9,1517157222.012886047,1517157222.113724232,30,29,0,0.018180021,0.024778905,0,1,0,0,0,0.066992195,-0.013808836,-0.040453599,0.010299297,-0.002559082,0.014224614,0.999842506,775,533,0.687741935,0.027084849,0.016428705,0.012310428,0.575825421,22.720643551,499,0.915863602,92.506248362,147.289041311,217.220647942,0.202413616,0.185383263,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003083,0.000004481,0.000005213,-0.097177305,0.485905426,-0.868592245,0.000000022,0.000000033,0.000002816,0.941601657,0.334323861,-0.040173072,0.000000000,0.590396733,0.319274850,0.162623328,0.025095890,25.237166344,0,134,128,6,0.172903226,0,0,0,0,0,0,641,0,1627,2200,0,0,0,4781
10,1517157222.113745928,1517157222.214585304,31,30,0,0.015789873,0.019513741,0,1,0,0,0,0.062546515,-0.013770801,-0.038488347,0.010043947,-0.002673936,0.013691191,0.999852249,788,553,0.701776650,0.030758627,0.015930721,0.012001598,0.571124394,20.366059855,505,0.915158239,94.309348982,147.607743874,220.237817834,0.204064366,0.186751186,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003010,0.000004343,0.000005091,-0.160688683,0.469329026,-0.868279571,0.000000027,0.000000032,0.000002828,0.940467803,0.337113628,-0.043297959,0.000000000,0.588469499,0.312585276,0.167484166,0.026163699,24.750055695,0,114,110,4,0.144670051,0,0,0,0,0,0,674,0,1668,2314,0,0,0,5455
